,ticker,open,close,Adj Close,low,high,volume,Date
14641957,ABTX,22.5499992370605,23.1200008392334,23.1200008392334,22.1599998474121,23.469999313354503,1239700,2015-10-08
14641974,ABTX,23.1800003051758,22.5200004577637,22.5200004577637,22.5200004577637,23.2000007629395,84300,2015-10-09
14641980,ABTX,22.399999618530302,22.2000007629395,22.2000007629395,21.969999313354503,22.6200008392334,48300,2015-10-12
14641997,ABTX,22.1599998474121,22.2999992370605,22.2999992370605,22.1599998474121,22.5699996948242,32000,2015-10-13
14642003,ABTX,22.280000686645497,22.350000381469698,22.350000381469698,22.280000686645497,23.0,21600,2015-10-14
14642020,ABTX,22.350000381469698,22.3199996948242,22.3199996948242,22.0499992370605,22.922000885009798,139800,2015-10-15
14642026,ABTX,23.0400009155273,22.5,22.5,22.0200004577637,23.0400009155273,19400,2015-10-16
14642043,ABTX,22.440000534057603,22.5,22.5,22.2000007629395,22.5499992370605,53400,2015-10-19
14642049,ABTX,22.3400001525879,22.3899993896484,22.3899993896484,22.0900001525879,22.399999618530302,111200,2015-10-20
14642065,ABTX,22.0900001525879,22.3299999237061,22.3299999237061,22.0499992370605,22.4200000762939,96700,2015-10-21
14642071,ABTX,22.1100006103516,22.1599998474121,22.1599998474121,22.100000381469698,22.399999618530302,18600,2015-10-22
14642087,ABTX,22.2000007629395,22.1700000762939,22.1700000762939,22.100000381469698,22.3899993896484,13600,2015-10-23
14642093,ABTX,22.219999313354503,22.1840000152588,22.1840000152588,22.059999465942397,22.5,50400,2015-10-26
14642109,ABTX,22.0799999237061,22.100000381469698,22.100000381469698,22.0799999237061,22.350000381469698,73000,2015-10-27
14642115,ABTX,22.100000381469698,22.4300003051758,22.4300003051758,22.100000381469698,22.499000549316396,13000,2015-10-28
14642131,ABTX,22.440000534057603,23.7000007629395,23.7000007629395,22.2299995422363,23.8899993896484,42900,2015-10-29
14642137,ABTX,23.75,23.1800003051758,23.1800003051758,22.7700004577637,24.7000007629395,88500,2015-10-30
14642154,ABTX,23.4200000762939,23.559999465942397,23.559999465942397,22.6299991607666,24.4799995422363,84700,2015-11-02
14642160,ABTX,23.4799995422363,23.3899993896484,23.3899993896484,22.899999618530302,24.1800003051758,25400,2015-11-03
14642176,ABTX,23.149999618530302,23.2759990692139,23.2759990692139,23.0,24.2000007629395,37800,2015-11-04
14642182,ABTX,23.7900009155273,23.25,23.25,22.7700004577637,23.7900009155273,53500,2015-11-05
14642199,ABTX,23.5499992370605,23.8199996948242,23.8199996948242,23.010000228881804,23.8199996948242,36800,2015-11-06
14642205,ABTX,23.2000007629395,23.0900001525879,23.0900001525879,23.0,24.100000381469698,81700,2015-11-09
14642228,ABTX,23.399999618530302,23.7000007629395,23.7000007629395,23.0200004577637,24.0349998474121,38600,2015-11-10
14642236,ABTX,23.75,23.9300003051758,23.9300003051758,23.3700008392334,24.1599998474121,18400,2015-11-11
14642254,ABTX,23.7900009155273,23.885000228881804,23.885000228881804,23.75,23.989999771118196,13600,2015-11-12
14642260,ABTX,23.690000534057603,23.7549991607666,23.7549991607666,23.0499992370605,24.0,34100,2015-11-13
14642278,ABTX,23.780000686645497,22.4799995422363,22.4799995422363,22.25,23.892999649047898,60900,2015-11-16
14642285,ABTX,22.6299991607666,22.6399993896484,22.6399993896484,22.3799991607666,23.4500007629395,77200,2015-11-17
14642302,ABTX,23.149999618530302,22.75,22.75,22.309999465942397,23.309999465942397,45700,2015-11-18
14642308,ABTX,22.3799991607666,22.5,22.5,22.309999465942397,22.739999771118196,12500,2015-11-19
14642324,ABTX,22.2999992370605,22.600000381469698,22.600000381469698,22.25,22.9500007629395,32600,2015-11-20
14642331,ABTX,22.3299999237061,23.559999465942397,23.559999465942397,22.3299999237061,23.6299991607666,34600,2015-11-23
14642346,ABTX,23.5,23.6299991607666,23.6299991607666,23.010000228881804,23.850000381469698,23600,2015-11-24
14642353,ABTX,23.440000534057603,24.4850006103516,24.4850006103516,23.4099998474121,24.5,26200,2015-11-25
14642369,ABTX,24.149999618530302,24.219999313354503,24.219999313354503,24.0,24.6200008392334,24100,2015-11-27
14642375,ABTX,24.100000381469698,24.260000228881804,24.260000228881804,23.559999465942397,24.4969997406006,25200,2015-11-30
14642391,ABTX,24.1700000762939,24.469999313354503,24.469999313354503,24.1299991607666,24.5,36400,2015-12-01
14642398,ABTX,24.2000007629395,24.0,24.0,23.899999618530302,24.4570007324219,34600,2015-12-02
14642414,ABTX,24.0,24.076000213623,24.076000213623,23.9300003051758,24.3700008392334,25100,2015-12-03
14642421,ABTX,24.25,24.1399993896484,24.1399993896484,23.780000686645497,24.2999992370605,34100,2015-12-04
14642437,ABTX,24.7700004577637,24.5900001525879,24.5900001525879,24.020999908447298,24.7700004577637,30200,2015-12-07
14642443,ABTX,24.7900009155273,26.260000228881804,26.260000228881804,24.385000228881804,27.600000381469698,46600,2015-12-08
14642459,ABTX,25.989999771118196,25.3400001525879,25.3400001525879,24.777999877929698,25.989999771118196,40000,2015-12-09
14642465,ABTX,24.9799995422363,24.3600006103516,24.3600006103516,24.0,25.25,40800,2015-12-10
14642483,ABTX,24.8799991607666,24.149999618530302,24.149999618530302,23.6100006103516,24.8799991607666,96200,2015-12-11
14642489,ABTX,23.809999465942397,23.5799999237061,23.5799999237061,23.25,28.2819995880127,101600,2015-12-14
14642506,ABTX,24.0200004577637,23.780000686645497,23.780000686645497,23.1700000762939,24.4799995422363,95000,2015-12-15
14642512,ABTX,24.0930004119873,23.7549991607666,23.7549991607666,23.5259990692139,24.4500007629395,165700,2015-12-16
14642528,ABTX,23.280000686645497,23.989999771118196,23.989999771118196,23.280000686645497,24.309999465942397,74400,2015-12-17
14642534,ABTX,23.7099990844727,22.780000686645497,22.780000686645497,22.780000686645497,24.2299995422363,454200,2015-12-18
14642550,ABTX,23.010000228881804,23.719999313354503,23.719999313354503,22.6599998474121,23.9300003051758,48200,2015-12-21
14642556,ABTX,23.7700004577637,23.899999618530302,23.899999618530302,23.600000381469698,24.1299991607666,38900,2015-12-22
14642572,ABTX,23.75,23.6800003051758,23.6800003051758,23.399999618530302,24.0,17100,2015-12-23
14642578,ABTX,23.5900001525879,23.4200000762939,23.4200000762939,23.2000007629395,23.969999313354503,13900,2015-12-24
14642595,ABTX,23.8199996948242,23.149999618530302,23.149999618530302,22.9500007629395,23.8199996948242,16500,2015-12-28
14642601,ABTX,23.2099990844727,23.5,23.5,22.7999992370605,23.5,32200,2015-12-29
14642617,ABTX,23.5,23.850000381469698,23.850000381469698,23.2099990844727,23.989999771118196,20400,2015-12-30
14642623,ABTX,23.7150001525879,23.649999618530302,23.649999618530302,23.0900001525879,24.0200004577637,26100,2015-12-31
14642640,ABTX,23.125,22.809999465942397,22.809999465942397,22.4200000762939,23.3199996948242,35200,2016-01-04
14642648,ABTX,22.6599998474121,23.4799995422363,23.4799995422363,22.4300003051758,23.489999771118196,40200,2016-01-05
14642664,ABTX,23.3199996948242,23.010000228881804,23.010000228881804,22.850000381469698,23.4099998474121,37700,2016-01-06
14642670,ABTX,22.510000228881804,22.399999618530302,22.399999618530302,22.25,22.5400009155273,27200,2016-01-07
14642686,ABTX,22.5,22.260000228881804,22.260000228881804,21.8299999237061,22.5,22100,2016-01-08
14642692,ABTX,22.2999992370605,22.2000007629395,22.2000007629395,21.760000228881804,22.489999771118196,98600,2016-01-11
14642708,ABTX,22.190000534057603,21.2800006866455,21.2800006866455,21.1100006103516,22.2000007629395,124700,2016-01-12
14642714,ABTX,21.2900009155273,20.9599990844727,20.9599990844727,20.590000152587898,21.2900009155273,15300,2016-01-13
14642730,ABTX,20.8999996185303,20.8199996948242,20.8199996948242,20.5799999237061,21.719999313354503,16000,2016-01-14
14642736,ABTX,20.3600006103516,20.7399997711182,20.7399997711182,20.1399993896484,21.0599994659424,29600,2016-01-15
14642752,ABTX,20.8899993896484,19.659999847412102,19.659999847412102,19.4300003051758,20.8899993896484,39200,2016-01-19
14642758,ABTX,19.3700008392334,19.340000152587898,19.340000152587898,19.1399993896484,19.6100006103516,22400,2016-01-20
14642774,ABTX,19.011999130249,18.2900009155273,18.2900009155273,18.1200008392334,19.270000457763697,107300,2016-01-21
14642780,ABTX,18.2900009155273,17.75,17.75,14.380000114440902,18.3899993896484,88700,2016-01-22
14642796,ABTX,17.7199993133545,16.7199993133545,16.7199993133545,16.1399993896484,17.7199993133545,100300,2016-01-25
14642802,ABTX,16.1100006103516,17.1399993896484,17.1399993896484,16.1100006103516,17.2099990844727,74900,2016-01-26
14642818,ABTX,16.9400005340576,16.7800006866455,16.7800006866455,16.2600002288818,17.0300006866455,43000,2016-01-27
14642824,ABTX,17.2900009155273,16.9300003051758,16.9300003051758,16.6499996185303,17.9400005340576,61900,2016-01-28
14642840,ABTX,18.0,18.5499992370605,18.5499992370605,17.0550003051758,18.6000003814697,65400,2016-01-29
