,ticker,open,close,Adj Close,low,high,volume,Date
19874771,AIMT,17.5,24.100000381469698,24.100000381469698,17.5,27.0,7528300,2015-08-06
19874779,AIMT,23.5,23.0,23.0,22.8799991607666,26.5,1455000,2015-08-07
19874789,AIMT,23.1599998474121,22.969999313354503,22.969999313354503,22.75,24.0,348000,2015-08-10
19874797,AIMT,22.989999771118196,23.010000228881804,23.010000228881804,22.6599998474121,23.9099998474121,325600,2015-08-11
19874807,AIMT,22.649999618530302,22.489999771118196,22.489999771118196,21.4500007629395,22.8799991607666,205300,2015-08-12
19874891,AIMT,22.5,25.5200004577637,25.5200004577637,22.190000534057603,26.6700000762939,310600,2015-08-13
19874901,AIMT,26.260000228881804,26.0499992370605,26.0499992370605,25.0,28.3299999237061,329700,2015-08-14
19874909,AIMT,25.7999992370605,24.1599998474121,24.1599998474121,22.5,26.2900009155273,248100,2015-08-17
19874920,AIMT,23.9099998474121,23.3700008392334,23.3700008392334,23.0,25.0,151900,2015-08-18
19874928,AIMT,23.5,23.7700004577637,23.7700004577637,23.2299995422363,24.7999992370605,100400,2015-08-19
19874929,AIMT,23.5200004577637,22.0799999237061,22.0799999237061,21.1000003814697,24.1599998474121,170700,2015-08-20
19874939,AIMT,21.5900001525879,21.1000003814697,21.1000003814697,20.3299999237061,22.3600006103516,188200,2015-08-21
19874947,AIMT,18.4699993133545,20.1299991607666,20.1299991607666,18.4699993133545,20.9899997711182,190600,2015-08-24
19874958,AIMT,20.9300003051758,20.7399997711182,20.7399997711182,19.8700008392334,21.6200008392334,127600,2015-08-25
19874966,AIMT,20.840000152587898,22.6700000762939,22.6700000762939,20.840000152587898,22.940000534057603,148900,2015-08-26
19874976,AIMT,23.0699996948242,21.3500003814697,21.3500003814697,21.128000259399396,23.399999618530302,88500,2015-08-27
19874984,AIMT,21.8400001525879,21.1100006103516,21.1100006103516,20.8799991607666,22.190000534057603,172100,2015-08-28
19874994,AIMT,21.600000381469698,21.090000152587898,21.090000152587898,20.5100002288818,23.239999771118196,244300,2015-08-31
19875002,AIMT,21.0,22.100000381469698,22.100000381469698,20.506000518798803,22.3549995422363,207800,2015-09-01
19875012,AIMT,22.469999313354503,22.25,22.25,21.5419998168945,22.7089996337891,157200,2015-09-02
19875020,AIMT,22.5,23.530000686645497,23.530000686645497,21.780000686645497,24.0,273300,2015-09-03
19875030,AIMT,23.3400001525879,22.5900001525879,22.5900001525879,21.8799991607666,23.5400009155273,202100,2015-09-04
19875038,AIMT,23.1800003051758,22.8199996948242,22.8199996948242,22.5,23.9799995422363,267500,2015-09-08
19875048,AIMT,22.5699996948242,22.760000228881804,22.760000228881804,22.5699996948242,23.3400001525879,136000,2015-09-09
19875056,AIMT,22.5900001525879,22.8700008392334,22.8700008392334,21.9500007629395,23.3799991607666,231800,2015-09-10
19875066,AIMT,23.309999465942397,25.010000228881804,25.010000228881804,23.030000686645497,25.190000534057603,148600,2015-09-11
19875074,AIMT,25.5,24.2900009155273,24.2900009155273,23.5900001525879,25.75,113200,2015-09-14
19875084,AIMT,24.780000686645497,25.8899993896484,25.8899993896484,24.2119998931885,25.9799995422363,100800,2015-09-15
19875091,AIMT,25.8899993896484,24.5400009155273,24.5400009155273,23.1599998474121,25.8899993896484,254200,2015-09-16
19875101,AIMT,24.030000686645497,24.3400001525879,24.3400001525879,23.6650009155273,24.75,169400,2015-09-17
19875109,AIMT,24.25,24.2900009155273,24.2900009155273,24.010000228881804,25.100000381469698,606400,2015-09-18
19875119,AIMT,24.3199996948242,24.1700000762939,24.1700000762939,23.510000228881804,25.100000381469698,214400,2015-09-21
19875127,AIMT,23.8600006103516,24.1800003051758,24.1800003051758,23.559999465942397,24.4099998474121,120200,2015-09-22
19875137,AIMT,23.9200000762939,24.6399993896484,24.6399993896484,23.7350006103516,25.2299995422363,262200,2015-09-23
19875145,AIMT,24.3199996948242,25.0499992370605,25.0499992370605,23.5750007629395,25.5,200500,2015-09-24
19875155,AIMT,25.1800003051758,24.4599990844727,24.4599990844727,24.25,25.739999771118196,140800,2015-09-25
19875163,AIMT,24.2099990844727,23.899999618530302,23.899999618530302,23.25,24.4799995422363,392700,2015-09-28
