,ticker,open,close,Adj Close,low,high,volume,Date
14165205,AIPT,149.75,137.5,137.5,137.5,175.0,100,2015-01-08
14165221,AIPT,141.25,151.25,151.25,140.0,151.25,300,2015-01-09
14165437,AIPT,125.0,112.5,112.5,90.0,130.5,300,2015-02-10
14165456,AIPT,130.5,112.5,112.5,112.5,130.5,200,2015-02-11
14165496,AIPT,112.5,106.25,106.25,95.0,145.0,200,2015-02-20
14165515,AIPT,106.25,106.25,106.25,98.75,106.25,100,2015-02-23
14165517,AIPT,108.25,112.5,112.5,100.650001525879,131.25,500,2015-02-24
14165536,AIPT,100.0,124.75,124.75,100.0,142.5,300,2015-02-26
14165555,AIPT,120.0,127.5,127.5,120.0,137.5,100,2015-02-27
14165557,AIPT,134.875,127.5,127.5,125.0,135.0,100,2015-03-02
14165575,AIPT,131.25,125.0,125.0,125.0,135.0,300,2015-03-03
14165577,AIPT,113.300003051758,112.5,112.5,107.5,113.300003051758,100,2015-03-04
14165595,AIPT,112.800003051758,118.25,118.25,112.5,118.25,200,2015-03-05
14165597,AIPT,124.800003051758,127.5,127.5,124.800003051758,127.75,100,2015-03-06
14165615,AIPT,122.75,114.0,114.0,114.0,122.75,100,2015-03-09
14165617,AIPT,113.75,100.0,100.0,96.75,113.75,200,2015-03-10
14165637,AIPT,103.75,103.5,103.5,96.625,104.050003051758,100,2015-03-12
14165655,AIPT,98.0,101.25,101.25,98.0,101.25,300,2015-03-16
14165673,AIPT,98.75,96.25,96.25,96.25,98.75,300,2015-03-17
14165675,AIPT,97.5,96.25,96.25,95.25,100.0,500,2015-03-18
14165693,AIPT,93.75,84.0,84.0,84.0,93.75,100,2015-03-20
14165695,AIPT,87.5,93.75,93.75,87.5,93.75,200,2015-03-23
14165713,AIPT,93.75,90.0,90.0,90.0,93.75,400,2015-03-24
14165715,AIPT,82.5,80.25,80.25,80.25,87.5,200,2015-03-25
14165733,AIPT,75.25,80.0,80.0,50.0,81.0,200,2015-03-26
14165735,AIPT,80.0,85.0,85.0,75.0,90.0,200,2015-03-27
14165754,AIPT,91.25,86.25,86.25,86.25,96.25,300,2015-03-31
14165772,AIPT,86.25,76.25,76.25,50.0,86.25,500,2015-04-01
14165774,AIPT,75.0,77.5,77.5,70.0,77.5,300,2015-04-02
14165792,AIPT,76.25,66.25,66.25,66.25,77.25,200,2015-04-06
14165794,AIPT,66.5,77.25,77.25,66.5,77.25,400,2015-04-07
14165812,AIPT,66.25,66.25,66.25,66.25,66.25,100,2015-04-08
14165814,AIPT,75.0,97.25,97.25,75.0,100.0,100,2015-04-09
14165831,AIPT,81.25,87.5,87.5,76.5,92.5,200,2015-04-10
14165833,AIPT,87.5,87.5,87.5,76.25,87.5,300,2015-04-13
14165851,AIPT,87.5,87.5,87.5,82.5,87.5,600,2015-04-14
14165871,AIPT,124.25,129.0,129.0,122.5,129.0,200,2015-04-17
14165889,AIPT,129.25,177.5,177.5,129.0,178.75,2400,2015-04-20
14165926,AIPT,151.5,167.5,167.5,150.25,167.5,200,2015-04-24
14165928,AIPT,155.0,147.5,147.5,147.5,155.0,100,2015-04-27
14165944,AIPT,145.0,177.75,177.75,145.0,177.75,200,2015-04-28
14165946,AIPT,163.75,171.75,171.75,156.25,171.75,100,2015-04-29
14165965,AIPT,169.75,156.25,156.25,156.25,169.75,100,2015-04-30
14165967,AIPT,160.0,138.75,138.75,133.75,160.0,600,2015-05-01
14165988,AIPT,141.75,125.0,125.0,122.5,141.75,500,2015-05-04
14165990,AIPT,127.5,118.75,118.75,118.75,127.5,600,2015-05-05
14166010,AIPT,118.5,110.0,110.0,101.75,118.75,800,2015-05-06
14166012,AIPT,110.0,111.25,111.25,110.0,111.25,200,2015-05-07
14166102,AIPT,116.25,118.75,118.75,109.0,118.75,100,2015-05-11
14166121,AIPT,108.5,117.5,117.5,103.75,120.75,300,2015-05-13
14166140,AIPT,112.5,117.25,117.25,112.5,117.5,300,2015-05-14
14166142,AIPT,105.0,112.5,112.5,101.25,112.5,100,2015-05-15
14166160,AIPT,112.5,100.0,100.0,100.0,112.5,400,2015-05-18
14166179,AIPT,100.0,83.75,83.75,76.25,110.0,700,2015-05-20
14166181,AIPT,86.25,99.25,99.25,86.25,102.5,1000,2015-05-21
14166200,AIPT,90.0,95.0,95.0,85.25,100.0,100,2015-05-26
14166218,AIPT,95.0,93.75,93.75,87.5,95.0,300,2015-05-27
14166220,AIPT,87.5,87.5,87.5,87.5,96.25,200,2015-05-28
14166256,AIPT,85.0,95.0,95.0,82.5,95.0,100,2015-06-02
14166278,AIPT,87.5,81.25,81.25,81.25,87.5,200,2015-06-04
14166280,AIPT,82.5,82.5,82.5,82.5,94.5,200,2015-06-05
14166333,AIPT,85.0,71.25,71.25,51.5,85.0,400,2015-06-08
14166352,AIPT,63.75,67.5,67.5,62.5,75.0,100,2015-06-10
14166354,AIPT,67.5,75.0,75.0,62.5,75.0,500,2015-06-11
14166373,AIPT,75.0,76.25,76.25,67.5,76.25,100,2015-06-12
14166375,AIPT,75.0,70.0,70.0,68.75,75.0,500,2015-06-15
14166392,AIPT,73.75,75.0,75.0,68.75,75.0,600,2015-06-16
14166411,AIPT,72.5,75.0,75.0,67.5,80.0,200,2015-06-18
14166413,AIPT,75.0,63.0,63.0,62.5,77.25,600,2015-06-19
14166430,AIPT,70.0,65.0,65.0,63.0,70.0,100,2015-06-22
14166432,AIPT,66.25,68.75,68.75,66.25,90.0,200,2015-06-23
14166451,AIPT,70.0,74.75,74.75,70.0,74.75,100,2015-06-25
14166469,AIPT,70.5999984741211,72.25,72.25,70.25,72.5,100,2015-06-26
14166488,AIPT,69.0,77.5,77.5,69.0,78.75,100,2015-06-30
14166509,AIPT,72.5,87.5,87.5,68.75,88.75,200,2015-07-02
14166511,AIPT,85.0,76.25,76.25,71.25,85.0,100,2015-07-06
14166528,AIPT,76.25,87.0,87.0,76.25,87.0,100,2015-07-07
14166530,AIPT,87.0,85.0,85.0,80.0,87.0,100,2015-07-08
14166550,AIPT,85.0,112.5,112.5,85.0,118.5,400,2015-07-09
14166552,AIPT,111.25,100.0,100.0,100.0,111.25,100,2015-07-10
14166571,AIPT,100.0,100.0,100.0,100.0,104.75,100,2015-07-14
14166589,AIPT,100.0,100.0,100.0,87.75,100.0,100,2015-07-15
14166626,AIPT,89.75,97.5,97.5,87.75,97.5,100,2015-07-21
14166628,AIPT,90.0,95.0,95.0,88.75,95.0,100,2015-07-22
14166665,AIPT,92.0,92.5,92.5,87.5,98.75,400,2015-07-28
14166683,AIPT,91.25,88.75,88.75,83.5,91.25,100,2015-07-29
14166685,AIPT,83.0,87.5,87.5,83.0,91.75,300,2015-07-30
14166702,AIPT,87.5,94.25,94.25,87.5,104.25,400,2015-07-31
14166704,AIPT,94.0,101.75,101.75,94.0,115.0,700,2015-08-03
14166722,AIPT,106.25,112.5,112.5,106.25,115.0,100,2015-08-04
14166759,AIPT,110.0,112.5,112.5,105.0,112.5,300,2015-08-10
14166761,AIPT,115.0,104.25,104.25,104.25,115.0,300,2015-08-11
14166806,AIPT,87.75,81.25,81.25,78.75,87.75,200,2015-08-14
14166825,AIPT,87.5,96.0,96.0,87.5,96.0,100,2015-08-18
14166827,AIPT,96.0,107.25,107.25,95.5,107.5,500,2015-08-19
14166844,AIPT,107.25,100.75,100.75,100.75,111.25,100,2015-08-20
14166846,AIPT,101.25,101.25,101.25,100.0,105.0,100,2015-08-21
14166863,AIPT,95.0,111.75,111.75,93.75,112.0,1100,2015-08-24
14166865,AIPT,112.25,123.75,123.75,112.25,144.5,600,2015-08-25
14166883,AIPT,114.0,117.474998474121,117.474998474121,101.75,134.225006103516,900,2015-08-26
14166885,AIPT,123.5,113.75,113.75,113.75,123.5,300,2015-08-27
14166903,AIPT,114.199996948242,107.5,107.5,100.0,116.400001525879,700,2015-08-28
14166905,AIPT,111.25,100.25,100.25,100.0,112.25,900,2015-08-31
14166941,AIPT,87.75,89.75,89.75,87.5,100.0,300,2015-09-04
14166958,AIPT,87.75,100.0,100.0,87.5,100.0,100,2015-09-08
14166960,AIPT,100.0,90.0,90.0,87.75,100.0,300,2015-09-09
14166996,AIPT,88.0,94.75,94.75,88.0,95.25,100,2015-09-15
14167015,AIPT,76.75,83.5,83.5,76.75,88.5,400,2015-09-17
14167033,AIPT,106.0,76.75,76.75,76.75,106.0,1500,2015-09-18
14167052,AIPT,82.75,80.0,80.0,80.0,84.8499984741211,300,2015-09-22
14167054,AIPT,96.0,87.5,87.5,84.0,96.0,500,2015-09-23
14167073,AIPT,96.0,84.875,84.875,75.25,96.0,300,2015-09-25
14167201,AIPT,81.0,73.25,73.25,56.5,86.4000015258789,1000,2015-09-28
14167203,AIPT,82.125,74.5,74.5,71.6999969482422,82.125,100,2015-09-29
14167287,AIPT,65.25,78.25,78.25,64.5,79.0,200,2015-10-26
14167319,AIPT,79.0,77.0,77.0,67.5,79.0,400,2015-10-27
14167340,AIPT,77.5,77.0,77.0,76.9749984741211,82.25,500,2015-10-29
14167381,AIPT,71.75,76.0,76.0,70.25,76.0,100,2015-11-04
14167639,AIPT,95.0,93.75,93.75,85.8000030517578,100.0,400,2015-12-14
14167699,AIPT,88.0,83.0,83.0,81.0,88.75,900,2015-12-21
14167701,AIPT,82.0,82.25,82.25,78.75,83.75,100,2015-12-22
14167722,AIPT,81.25,86.0,86.0,80.5,88.5,400,2015-12-24
14167753,AIPT,81.25,81.25,81.25,77.5,85.75,500,2015-12-28
14167775,AIPT,78.2750015258789,73.5,73.5,73.0,78.6999969482422,500,2015-12-31
14167794,AIPT,71.0,75.5,75.5,71.0,77.6999969482422,400,2016-01-04
14167796,AIPT,75.5,77.0749969482422,77.0749969482422,72.5,77.75,100,2016-01-05
14167816,AIPT,77.5,71.75,71.75,71.5,79.0,300,2016-01-06
14167818,AIPT,72.5,76.75,76.75,72.5,79.25,400,2016-01-07
14167838,AIPT,73.75,72.75,72.75,72.5,74.75,100,2016-01-08
14167840,AIPT,72.5,77.0,77.0,69.0749969482422,77.0,600,2016-01-11
14167897,AIPT,68.75,75.0,75.0,64.25,75.0,200,2016-01-19
14167899,AIPT,74.9000015258789,72.7249984741211,72.7249984741211,71.25,74.9000015258789,200,2016-01-20
14167919,AIPT,96.5,71.75,71.75,71.25,96.5,400,2016-01-21
14167921,AIPT,75.25,78.5,78.5,71.25,78.5,400,2016-01-22
14167941,AIPT,76.25,75.0,75.0,74.5,77.25,100,2016-01-25
14168000,AIPT,81.0,72.75,72.75,70.75,81.0,200,2016-02-02
14168002,AIPT,75.0,80.25,80.25,75.0,81.0,600,2016-02-03
14168022,AIPT,80.25,83.25,83.25,73.0,83.25,800,2016-02-04
14168043,AIPT,87.0,92.2249984741211,92.2249984741211,73.75,92.25,800,2016-02-08
14168045,AIPT,78.0,86.9749984741211,86.9749984741211,78.0,95.0,400,2016-02-09
14168113,AIPT,82.0,94.75,94.75,82.0,94.75,200,2016-02-17
14168115,AIPT,94.25,93.75,93.75,82.5,94.25,400,2016-02-18
14168134,AIPT,95.0,94.8249969482422,94.8249969482422,90.5,95.0,100,2016-02-19
14168136,AIPT,85.75,86.0250015258789,86.0250015258789,85.25,86.0250015258789,100,2016-02-22
