,ticker,open,close,Adj Close,low,high,volume,Date
14733691,AL,27.25,27.9500007629395,27.0801296234131,26.75,28.399999618530302,20033300,2011-04-19
14733705,AL,28.059999465942397,28.100000381469698,27.2254638671875,27.8799991607666,28.3400001525879,2633200,2011-04-20
14733713,AL,28.5,29.0499992370605,28.1458930969238,28.3400001525879,29.0499992370605,969100,2011-04-21
14733727,AL,28.9599990844727,28.7999992370605,27.903673171997102,28.4300003051758,29.0499992370605,324300,2011-04-25
14733736,AL,28.7999992370605,28.7999992370605,27.903673171997102,28.510000228881804,28.9200000762939,347600,2011-04-26
14733750,AL,28.7000007629395,28.559999465942397,27.6711406707764,28.0,28.7700004577637,414500,2011-04-27
14733759,AL,28.350000381469698,28.0200004577637,27.147953033447298,27.9099998474121,28.4099998474121,479800,2011-04-28
14733774,AL,27.8199996948242,27.600000381469698,26.741024017334,27.1700000762939,27.8899993896484,717000,2011-04-29
14733783,AL,27.5,27.6700000762939,26.8088397979736,27.5,27.75,440000,2011-05-02
14733797,AL,27.5699996948242,27.1299991607666,26.285648345947298,27.030000686645497,27.5699996948242,238000,2011-05-03
14733805,AL,27.059999465942397,26.690000534057603,25.859338760376,26.5900001525879,27.059999465942397,324200,2011-05-04
14733819,AL,26.649999618530302,26.6200008392334,25.791526794433604,26.5,26.7099990844727,870700,2011-05-05
14733827,AL,26.8199996948242,26.760000228881804,25.9271678924561,26.399999618530302,26.8199996948242,344500,2011-05-06
14733841,AL,26.9300003051758,27.2700004577637,26.4212913513184,26.75,27.4300003051758,184000,2011-05-09
14733849,AL,27.469999313354503,27.75,26.8863582611084,27.469999313354503,27.7999992370605,354300,2011-05-10
14733863,AL,27.649999618530302,27.809999465942397,26.944486618042003,27.3799991607666,28.219999313354503,217200,2011-05-11
14733871,AL,28.0499992370605,28.649999618530302,27.758342742919897,27.7000007629395,28.7299995422363,108000,2011-05-12
14733885,AL,28.75,28.9500007629395,28.049009323120103,28.6800003051758,28.969999313354503,431200,2011-05-13
14733893,AL,28.7999992370605,28.9799995422363,28.078077316284197,28.6100006103516,29.0799999237061,270900,2011-05-16
14733907,AL,29.100000381469698,28.5499992370605,27.6614551544189,28.4799995422363,29.100000381469698,172100,2011-05-17
14733915,AL,28.649999618530302,29.0,28.097448348999,28.489999771118196,29.149999618530302,270100,2011-05-18
14733930,AL,29.1299991607666,29.5400009155273,28.6206455230713,29.0,29.6299991607666,400200,2011-05-19
14733939,AL,29.5900001525879,29.7000007629395,28.7756652832031,29.100000381469698,29.940000534057603,1069900,2011-05-20
14733952,AL,29.649999618530302,28.75,27.8552303314209,28.7000007629395,29.649999618530302,96900,2011-05-23
14733960,AL,28.760000228881804,28.780000686645497,27.8842964172363,28.5499992370605,28.8299999237061,59600,2011-05-24
14733974,AL,28.600000381469698,28.219999313354503,27.3417263031006,28.059999465942397,28.8199996948242,91300,2011-05-25
14733982,AL,27.899999618530302,28.5499992370605,27.6614551544189,27.899999618530302,28.6599998474121,84800,2011-05-26
14733995,AL,28.600000381469698,28.4300003051758,27.5451927185059,28.25,28.6100006103516,117400,2011-05-27
14734003,AL,28.4500007629395,28.5,27.6130104064941,28.4500007629395,28.8299999237061,236000,2011-05-31
14734004,AL,28.75,27.7900009155273,26.925107955932603,27.7000007629395,28.75,253500,2011-06-01
14734005,AL,28.1599998474121,27.5900001525879,26.7313346862793,27.559999465942397,28.3400001525879,119200,2011-06-02
14734006,AL,27.25,26.3700008392334,25.5493011474609,26.3700008392334,27.3799991607666,610900,2011-06-03
14734007,AL,26.4300003051758,25.75,24.9485969543457,25.5499992370605,26.559999465942397,618500,2011-06-06
14734008,AL,25.9599990844727,24.9300003051758,24.154119491577102,24.8199996948242,25.9599990844727,956500,2011-06-07
14734009,AL,25.0499992370605,24.649999618530302,23.882833480835,24.2900009155273,25.100000381469698,1064300,2011-06-08
14734010,AL,24.649999618530302,24.899999618530302,24.1250534057617,24.350000381469698,25.2000007629395,775400,2011-06-09
14734011,AL,24.809999465942397,24.9099998474121,24.134740829467802,24.4099998474121,25.0,427400,2011-06-10
14734012,AL,25.0799999237061,25.6299991607666,24.832332611084,24.8899993896484,26.0799999237061,978100,2011-06-13
14734013,AL,25.6700000762939,26.3299999237061,25.510545730590803,25.6700000762939,26.4500007629395,503900,2011-06-14
14734014,AL,26.149999618530302,25.780000686645497,24.9776668548584,25.6299991607666,26.3400001525879,511500,2011-06-15
14734015,AL,26.0,25.75,24.9485969543457,25.719999313354503,26.0799999237061,380700,2011-06-16
14734016,AL,25.9300003051758,25.899999618530302,25.0939292907715,25.5,26.0799999237061,539900,2011-06-17
14734017,AL,25.8400001525879,25.809999465942397,25.0067253112793,25.510000228881804,26.0400009155273,247600,2011-06-20
14734018,AL,26.219999313354503,25.809999465942397,25.0067253112793,25.6599998474121,26.219999313354503,376800,2011-06-21
14734019,AL,25.9500007629395,25.690000534057603,24.8904647827148,25.350000381469698,26.0,586400,2011-06-22
14734020,AL,25.3600006103516,24.989999771118196,24.212255477905302,24.8400001525879,25.649999618530302,644100,2011-06-23
14734021,AL,24.989999771118196,23.5499992370605,22.8170680999756,23.5400009155273,25.0499992370605,3719100,2011-06-24
14734035,AL,23.5499992370605,23.9799995422363,23.233684539794897,23.0200004577637,24.100000381469698,750700,2011-06-27
14734043,AL,24.010000228881804,24.8899993896484,24.115360260009798,24.010000228881804,24.9200000762939,452800,2011-06-28
14734057,AL,25.0799999237061,24.5,23.7374992370605,24.260000228881804,25.1200008392334,297900,2011-06-29
14734065,AL,24.5200004577637,24.2900009155273,23.5340404510498,23.719999313354503,24.6100006103516,372000,2011-06-30
14734078,AL,24.489999771118196,25.059999465942397,24.280071258544897,24.489999771118196,25.0799999237061,355500,2011-07-01
