,ticker,open,close,Adj Close,low,high,volume,Date
4918687,AON,38.4500007629395,37.939998626709,34.066051483154304,37.810001373291,38.5,3407100,2010-01-04
4918697,AON,37.720001220703104,37.7000007629395,33.850559234619105,37.5099983215332,37.8499984741211,4986100,2010-01-05
4918708,AON,37.75,37.689998626709,33.8415908813477,37.5,37.790000915527294,1816600,2010-01-06
4918718,AON,37.819999694824205,37.5800018310547,33.742828369140604,37.459999084472706,37.819999694824205,1740900,2010-01-07
4918730,AON,37.529998779296896,37.8899993896484,34.0211715698242,37.3499984741211,37.8899993896484,1980600,2010-01-08
4918740,AON,38.0999984741211,38.0499992370605,34.1648330688477,37.8800010681152,38.2000007629395,1444800,2010-01-11
4918752,AON,38.0,37.9900016784668,34.1109580993652,37.8499984741211,38.2000007629395,1444100,2010-01-12
4918762,AON,38.0,38.060001373291,34.173801422119105,37.75,38.25,910400,2010-01-13
4918774,AON,37.8800010681152,37.7599983215332,33.9044380187988,37.5,37.8800010681152,1553500,2010-01-14
4918784,AON,37.529998779296896,37.560001373291,33.724864959716804,37.3899993896484,37.779998779296896,3660800,2010-01-15
4918796,AON,37.569999694824205,37.8300018310547,33.967296600341804,37.3300018310547,38.0,1270800,2010-01-19
4918806,AON,37.4500007629395,38.0900001525879,34.200740814209,37.4000015258789,38.2000007629395,2593900,2010-01-20
4918818,AON,38.0099983215332,38.2000007629395,34.2995109558105,37.9000015258789,38.459999084472706,2212900,2010-01-21
4918828,AON,38.27000045776371,38.529998779296896,34.595813751220696,38.25,38.8300018310547,2752500,2010-01-22
4918840,AON,38.8499984741211,38.930000305175795,34.9549789428711,38.680000305175795,39.069999694824205,1833900,2010-01-25
4918850,AON,38.790000915527294,39.040000915527294,35.0537528991699,38.790000915527294,39.290000915527294,2105200,2010-01-26
4918862,AON,39.220001220703104,39.180000305175795,35.1794586181641,38.779998779296896,39.2599983215332,2135300,2010-01-27
4918872,AON,39.25,39.02000045776371,35.1704444885254,38.8699989318848,39.25,2735000,2010-01-28
4918884,AON,39.02000045776371,38.9000015258789,35.0622711181641,38.7999992370605,39.189998626709,2207700,2010-01-29
4918925,AON,39.0999984741211,38.790000915527294,34.963123321533196,38.5999984741211,39.27000045776371,3274100,2010-02-01
4918937,AON,38.790000915527294,39.459999084472706,35.567024230956996,38.6100006103516,39.459999084472706,1497800,2010-02-02
4918947,AON,39.310001373291,39.310001373291,35.431831359863295,39.1399993896484,39.5,1314800,2010-02-03
4918961,AON,38.9900016784668,38.810001373291,34.981155395507805,38.4500007629395,39.189998626709,2819900,2010-02-04
4918971,AON,38.8800010681152,39.709999084472706,35.7923583984375,38.720001220703104,39.8899993896484,5676000,2010-02-05
4918983,AON,39.680000305175795,39.6500015258789,35.7382850646973,39.47999954223629,40.0499992370605,2752500,2010-02-08
4918993,AON,39.9199981689453,39.8300018310547,35.9005279541016,39.6100006103516,40.029998779296896,1764500,2010-02-09
4919005,AON,39.779998779296896,39.6399993896484,35.7292633056641,39.4199981689453,39.959999084472706,1287100,2010-02-10
4919054,AON,39.529998779296896,39.4099998474121,35.52195358276371,39.180000305175795,39.720001220703104,1359700,2010-02-11
4919075,AON,39.1599998474121,39.810001373291,35.8825073242188,39.1599998474121,39.8800010681152,2295400,2010-02-12
4919085,AON,40.029998779296896,39.9000015258789,35.9636268615723,39.439998626709,40.0900001525879,1358600,2010-02-16
4919097,AON,40.060001373291,40.279998779296896,36.3061180114746,39.4900016784668,40.5099983215332,1909500,2010-02-17
4919107,AON,40.060001373291,40.27000045776371,36.2971229553223,40.060001373291,40.5,1394900,2010-02-18
4919119,AON,40.2599983215332,40.569999694824205,36.5675201416016,40.0,40.7000007629395,1829300,2010-02-19
4919129,AON,40.529998779296896,40.459999084472706,36.468376159668004,40.3499984741211,40.5999984741211,1147600,2010-02-22
4919141,AON,40.470001220703104,40.5900001525879,36.5855484008789,40.25,40.7999992370605,1739100,2010-02-23
4919151,AON,40.689998626709,40.7400016784668,36.7207450866699,40.3699989318848,40.930000305175795,1544300,2010-02-24
4919164,AON,40.430000305175795,40.9900016784668,36.946083068847706,40.290000915527294,41.040000915527294,1621800,2010-02-25
4919174,AON,41.0499992370605,40.939998626709,36.901008605956996,40.8699989318848,41.1300010681152,1446300,2010-02-26
4919187,AON,40.8300018310547,40.97999954223629,36.937065124511705,40.7400016784668,41.069999694824205,994600,2010-03-01
4919197,AON,40.9199981689453,40.939998626709,36.901008605956996,40.709999084472706,40.9900016784668,743200,2010-03-02
4919208,AON,41.0,40.8400001525879,36.810874938964794,40.7599983215332,41.180000305175795,937600,2010-03-03
4919218,AON,40.8600006103516,40.8400001525879,36.810874938964794,40.6300010681152,40.9900016784668,911800,2010-03-04
4919230,AON,41.0099983215332,41.459999084472706,37.3697166442871,40.6500015258789,41.4900016784668,1427600,2010-03-05
4919240,AON,41.4000015258789,41.430000305175795,37.3426742553711,41.290000915527294,41.5499992370605,1111200,2010-03-08
4919252,AON,41.3300018310547,41.310001373291,37.2345123291016,41.1599998474121,41.5499992370605,1182800,2010-03-09
4919261,AON,41.319999694824205,40.970001220703104,36.928050994873,40.779998779296896,41.3400001525879,1128100,2010-03-10
4919271,AON,40.970001220703104,41.319999694824205,37.2435302734375,40.8300018310547,41.319999694824205,1361100,2010-03-11
4919280,AON,41.4900016784668,41.540000915527294,37.441822052002,41.310001373291,41.779998779296896,1766000,2010-03-12
4919291,AON,41.3899993896484,41.9000015258789,37.7663078308105,41.279998779296896,41.9199981689453,1767200,2010-03-15
4919302,AON,41.72999954223629,41.8800010681152,37.7482795715332,41.5999984741211,41.9500007629395,1077000,2010-03-16
4919314,AON,41.8699989318848,42.02000045776371,37.8744659423828,41.7999992370605,42.2000007629395,1394400,2010-03-17
4919324,AON,42.02000045776371,42.3400001525879,38.162899017334,42.0,42.3499984741211,1454200,2010-03-18
4919336,AON,42.6500015258789,42.6500015258789,38.4423027038574,42.3400001525879,42.680000305175795,3298600,2010-03-19
4919346,AON,41.8400001525879,42.689998626709,38.4783592224121,41.6199989318848,42.7999992370605,1786100,2010-03-22
4919357,AON,42.4900016784668,42.8899993896484,38.6586303710938,42.47999954223629,42.8899993896484,935700,2010-03-23
4919367,AON,42.75,42.4199981689453,38.234992980956996,42.3600006103516,42.779998779296896,1328300,2010-03-24
4919378,AON,42.6100006103516,42.5900001525879,38.3882331848145,42.439998626709,42.790000915527294,1145700,2010-03-25
4919388,AON,42.4099998474121,42.5800018310547,38.379222869873,42.3899993896484,42.77000045776371,1233900,2010-03-26
4919400,AON,42.5900001525879,42.9000015258789,38.667640686035206,42.470001220703104,43.060001373290994,1672700,2010-03-29
4919410,AON,42.9900016784668,42.8899993896484,38.6586303710938,42.8300018310547,43.1599998474121,1231500,2010-03-30
4919422,AON,42.569999694824205,42.709999084472706,38.496391296386705,42.569999694824205,42.939998626709,1004800,2010-03-31
4919431,AON,42.810001373291,42.9900016784668,38.748771667480504,42.6100006103516,43.0,1146900,2010-04-01
4919442,AON,42.9900016784668,42.930000305175795,38.6946907043457,42.810001373291,43.0,596900,2010-04-05
4919452,AON,42.8800010681152,43.0099983215332,38.7667961120605,42.8300018310547,43.130001068115206,918600,2010-04-06
4919464,AON,42.9799995422363,43.0699996948242,38.8208770751953,42.8400001525879,43.25,1074900,2010-04-07
4919474,AON,43.0099983215332,43.1800003051758,38.9200325012207,42.9799995422363,43.25,1167700,2010-04-08
4919486,AON,43.2299995422363,43.1399993896484,38.883975982666,43.060001373290994,43.369998931884794,1013000,2010-04-09
4919496,AON,43.0099983215332,43.41999816894529,39.136344909668004,42.9900016784668,43.41999816894529,852400,2010-04-12
4919508,AON,43.3499984741211,43.3600006103516,39.0822601318359,43.1800003051758,43.4500007629395,775900,2010-04-13
4919518,AON,43.3899993896484,43.310001373290994,39.037200927734396,43.130001068115206,43.5,1232700,2010-04-14
4919530,AON,43.1599998474121,43.4099998474121,39.127326965331996,42.9900016784668,43.560001373290994,1706100,2010-04-15
4919540,AON,43.4099998474121,43.08000183105471,38.829891204834,43.08000183105471,43.9300003051758,2449400,2010-04-16
4919552,AON,42.9099998474121,43.3400001525879,39.064239501953104,42.8800010681152,43.3600006103516,1179300,2010-04-19
4919562,AON,43.4099998474121,44.0099983215332,39.668140411377,43.3400001525879,44.0499992370605,1456600,2010-04-20
4919574,AON,43.939998626709006,44.119998931884794,39.7672882080078,43.7599983215332,44.1599998474121,1122600,2010-04-21
4919584,AON,43.9099998474121,44.2599983215332,39.8934783935547,43.5200004577637,44.3400001525879,1044700,2010-04-22
4919596,AON,44.2299995422363,44.08000183105471,39.731231689453104,43.869998931884794,44.25,1085800,2010-04-23
4919606,AON,44.0699996948242,43.810001373290994,39.4878692626953,43.810001373290994,44.2999992370605,902000,2010-04-26
4919617,AON,43.6100006103516,43.029998779296896,38.784820556640604,42.9500007629395,44.0900001525879,1463400,2010-04-27
4919627,AON,43.2999992370605,43.470001220703104,39.18141555786129,43.060001373290994,43.7000007629395,1544500,2010-04-28
4919639,AON,43.529998779296896,44.0,39.796455383300795,43.3499984741211,44.1399993896484,2812000,2010-04-29
4919649,AON,43.2599983215332,42.459999084472706,38.4035758972168,42.0900001525879,43.5,3751600,2010-04-30
4919661,AON,42.689998626709,42.4099998474121,38.3583526611328,41.9000015258789,42.689998626709,1690100,2010-05-03
4919671,AON,41.8899993896484,42.040000915527294,38.0236968994141,41.540000915527294,42.310001373291,2416100,2010-05-04
4919682,AON,41.930000305175795,42.0099983215332,37.9965591430664,41.779998779296896,42.4900016784668,1743900,2010-05-05
4919692,AON,41.9000015258789,41.1399993896484,37.2096824645996,40.1100006103516,42.1199989318848,4216200,2010-05-06
4919704,AON,40.0099983215332,41.1300010681152,37.2006378173828,40.0099983215332,41.5,3326500,2010-05-07
4919714,AON,42.72999954223629,42.3400001525879,38.2950286865234,41.5999984741211,42.72999954223629,2107000,2010-05-10
4919726,AON,41.970001220703104,42.4000015258789,38.349311828613295,41.930000305175795,42.9799995422363,1467800,2010-05-11
4919736,AON,42.5999984741211,42.9900016784668,38.8829460144043,42.5099983215332,43.0,1314300,2010-05-12
4919748,AON,42.9900016784668,42.4199981689453,38.367401123046896,42.4199981689453,43.029998779296896,1018600,2010-05-13
4919758,AON,42.1699981689453,41.6100006103516,37.634773254394496,41.4099998474121,42.5,2573900,2010-05-14
4919770,AON,41.680000305175795,41.8499984741211,37.8518486022949,41.290000915527294,42.0,2078700,2010-05-17
4919780,AON,41.8499984741211,40.7000007629395,36.8117179870605,40.5800018310547,41.9900016784668,2994300,2010-05-18
4919791,AON,40.6199989318848,40.4500007629395,36.5856056213379,40.1399993896484,41.1100006103516,2833000,2010-05-19
4919801,AON,40.0999984741211,38.9199981689453,35.20176315307621,38.8800010681152,40.4199981689453,3746000,2010-05-20
4919813,AON,38.6399993896484,39.6399993896484,35.8529777526855,38.3499984741211,39.6399993896484,2811800,2010-05-21
4919823,AON,39.2000007629395,38.9500007629395,35.228889465331996,38.939998626709,39.689998626709,1498300,2010-05-24
4919835,AON,38.310001373291,38.779998779296896,35.0751342773438,38.1100006103516,38.819999694824205,2032500,2010-05-25
4919844,AON,39.0499992370605,38.47999954223629,34.803806304931605,38.430000305175795,39.1199989318848,1874100,2010-05-26
4919856,AON,38.9199981689453,39.6100006103516,35.8258628845215,38.7000007629395,39.6599998474121,2345400,2010-05-27
4919866,AON,39.439998626709,39.470001220703104,35.6992340087891,39.1100006103516,39.8699989318848,1813200,2010-05-28
4919878,AON,39.25,38.6300010681152,34.9394760131836,38.6300010681152,39.310001373291,1993000,2010-06-01
4919888,AON,38.8800010681152,39.6500015258789,35.86204147338871,38.7400016784668,39.6500015258789,1602400,2010-06-02
4919900,AON,39.5800018310547,39.810001373291,36.006752014160206,39.5800018310547,39.9000015258789,1403300,2010-06-03
4919910,AON,39.27000045776371,38.4199981689453,34.749542236328104,38.319999694824205,39.439998626709,2097600,2010-06-04
4919922,AON,38.5800018310547,38.4199981689453,34.749542236328104,38.4199981689453,38.959999084472706,1941000,2010-06-07
4919932,AON,38.430000305175795,38.7000007629395,35.002796173095696,38.02000045776371,38.77000045776371,1956600,2010-06-08
4919944,AON,38.8800010681152,37.7999992370605,34.1887626647949,37.689998626709,39.0499992370605,2751000,2010-06-09
4919954,AON,38.3800010681152,38.3600006103516,34.6952629089355,37.9000015258789,38.4099998474121,3249200,2010-06-10
4919965,AON,38.029998779296896,38.5900001525879,34.903289794921896,37.779998779296896,38.5900001525879,2031900,2010-06-11
4919975,AON,38.6500015258789,38.27000045776371,34.6138687133789,38.25,39.25,2247900,2010-06-14
4919987,AON,38.8600006103516,39.25,35.5002403259277,38.2999992370605,39.290000915527294,2100400,2010-06-15
4919995,AON,39.1100006103516,39.3800010681152,35.617824554443395,39.02000045776371,39.459999084472706,1376400,2010-06-16
4920007,AON,39.4000015258789,39.6599998474121,35.8710823059082,39.2400016784668,39.6699981689453,1173800,2010-06-17
4920017,AON,39.790000915527294,39.7400016784668,35.9434356689453,39.5999984741211,39.7999992370605,1696700,2010-06-18
4920029,AON,40.040000915527294,39.560001373291,35.7806243896484,39.4000015258789,40.040000915527294,1238500,2010-06-21
4920039,AON,39.6199989318848,39.0999984741211,35.364574432373,39.069999694824205,39.8400001525879,1248600,2010-06-22
4920051,AON,39.0499992370605,38.939998626709,35.2198486328125,38.720001220703104,39.189998626709,1287800,2010-06-23
4920060,AON,38.9000015258789,38.4000015258789,34.7314491271973,38.319999694824205,39.02000045776371,1394300,2010-06-24
4920072,AON,38.540000915527294,38.720001220703104,35.0208778381348,38.069999694824205,38.8499984741211,2490500,2010-06-25
4920082,AON,38.8300018310547,38.5999984741211,34.912342071533196,38.4199981689453,38.8699989318848,1236300,2010-06-28
4920094,AON,38.1699981689453,37.720001220703104,34.1164169311523,37.5,38.279998779296896,2018600,2010-06-29
4920104,AON,37.5800018310547,37.1199989318848,33.5737342834473,37.060001373291,37.790000915527294,2249800,2010-06-30
4920116,AON,37.0099983215332,36.779998779296896,33.2662010192871,36.319999694824205,37.0099983215332,2248300,2010-07-01
4920126,AON,36.8499984741211,37.1100006103516,33.564689636230504,36.8400001525879,37.3699989318848,1449800,2010-07-02
4920138,AON,37.5,37.2400016784668,33.6822738647461,36.9500007629395,37.790000915527294,1439400,2010-07-06
4920148,AON,37.439998626709,38.0999984741211,34.4601249694824,37.2599983215332,38.1500015258789,1326200,2010-07-07
4920159,AON,38.22999954223629,38.209999084472706,34.559597015380895,37.819999694824205,38.3899993896484,1064100,2010-07-08
4920168,AON,38.2599983215332,38.3400001525879,34.6771812438965,38.0499992370605,38.3699989318848,788600,2010-07-09
4920180,AON,35.47999954223629,35.6199989318848,32.217041015625,35.0999984741211,36.310001373291,22718000,2010-07-12
4920189,AON,35.72999954223629,37.069999694824205,33.528518676757805,35.7000007629395,37.1500015258789,15442100,2010-07-13
4920201,AON,36.810001373291,37.0999984741211,33.5556449890137,36.470001220703104,37.310001373291,11266500,2010-07-14
4920212,AON,37.0099983215332,36.97999954223629,33.447097778320305,36.6199989318848,37.069999694824205,8944100,2010-07-15
4920224,AON,36.5499992370605,36.2400016784668,32.777805328369105,36.0999984741211,36.930000305175795,6481200,2010-07-16
4920233,AON,36.279998779296896,35.680000305175795,32.271297454834,35.4000015258789,36.3300018310547,5693500,2010-07-19
4920244,AON,35.52000045776371,35.9900016784668,32.5516891479492,35.1599998474121,36.040000915527294,5013900,2010-07-20
4920253,AON,36.4000015258789,35.6300010681152,32.226085662841804,35.5900001525879,36.5,4806800,2010-07-21
4920265,AON,35.970001220703104,36.470001220703104,32.985832214355504,35.5499992370605,36.77000045776371,5065000,2010-07-22
4920275,AON,36.5800018310547,36.6199989318848,33.1214942932129,36.27000045776371,36.680000305175795,4356300,2010-07-23
4920287,AON,36.4500007629395,36.810001373291,33.2933502197266,35.8699989318848,36.9099998474121,2887200,2010-07-26
4920296,AON,37.0900001525879,36.4099998474121,32.9315567016602,36.290000915527294,37.0900001525879,6860100,2010-07-27
4920308,AON,36.290000915527294,36.6500015258789,33.1486320495605,36.2599983215332,36.8600006103516,4116500,2010-07-28
4920318,AON,36.790000915527294,36.6300010681152,33.266696929931605,36.2400016784668,36.97999954223629,5054000,2010-07-29
4920330,AON,36.6599998474121,37.6699981689453,34.2111968994141,36.529998779296896,37.959999084472706,4841600,2010-07-30
4920339,AON,38.0800018310547,38.1300010681152,34.6289749145508,37.9500007629395,38.3899993896484,5289100,2010-08-02
4920350,AON,38.0499992370605,37.7999992370605,34.3292617797852,37.7000007629395,38.27000045776371,4788600,2010-08-03
4920358,AON,37.9900016784668,37.72999954223629,34.2656898498535,37.4900016784668,38.060001373291,3957000,2010-08-04
4920370,AON,37.569999694824205,38.02000045776371,34.5290679931641,37.3800010681152,38.3400001525879,8322600,2010-08-05
4920380,AON,37.779998779296896,38.2000007629395,34.692531585693395,37.209999084472706,38.220001220703104,5013000,2010-08-06
4920392,AON,38.22999954223629,38.680000305175795,35.1284828186035,38.1300010681152,38.77000045776371,3312900,2010-08-09
4920402,AON,38.47999954223629,38.4500007629395,34.919586181640604,38.0900001525879,38.680000305175795,2647900,2010-08-10
4920414,AON,37.8899993896484,37.3300018310547,33.9024238586426,37.3300018310547,37.9500007629395,3870400,2010-08-11
4920424,AON,37.069999694824205,37.1699981689453,33.757110595703104,36.77000045776371,37.290000915527294,1900500,2010-08-12
4920435,AON,37.0,36.9099998474121,33.5209808349609,36.8600006103516,37.180000305175795,1799500,2010-08-13
4920445,AON,36.77000045776371,36.7400016784668,33.366603851318395,36.52000045776371,36.959999084472706,1346700,2010-08-16
4920456,AON,37.1100006103516,37.439998626709,34.002326965331996,36.779998779296896,37.680000305175795,2720800,2010-08-17
4920466,AON,37.180000305175795,37.439998626709,34.002326965331996,36.959999084472706,37.569999694824205,2315000,2010-08-18
4920478,AON,37.290000915527294,36.959999084472706,33.566398620605504,36.9000015258789,37.3400001525879,2778800,2010-08-19
4920486,AON,36.6399993896484,36.9099998474121,33.5209808349609,36.5,36.959999084472706,2243500,2010-08-20
4920498,AON,37.0499992370605,36.9199981689453,33.5300521850586,36.9000015258789,37.2400016784668,1682100,2010-08-23
4920507,AON,36.5999984741211,36.569999694824205,33.2121963500977,36.290000915527294,36.8800010681152,2218800,2010-08-24
