,ticker,open,close,Adj Close,low,high,volume,Date
20288440,AREX,7.82999992370605,7.900000095367429,7.900000095367429,7.610000133514401,8.060000419616701,53300,2010-01-04
20288441,AREX,7.90999984741211,7.67999982833862,7.67999982833862,7.610000133514401,7.96999979019165,117300,2010-01-05
20288451,AREX,7.69000005722046,7.73000001907349,7.73000001907349,7.57000017166138,7.80999994277954,37100,2010-01-06
20288452,AREX,7.7399997711181605,7.7399997711181605,7.7399997711181605,7.630000114440921,7.849999904632571,114400,2010-01-07
20288461,AREX,7.7399997711181605,7.94000005722046,7.94000005722046,7.7399997711181605,7.94000005722046,60600,2010-01-08
20288463,AREX,8.0,8.050000190734862,8.050000190734862,7.900000095367429,8.090000152587889,100600,2010-01-11
20288474,AREX,7.96999979019165,7.869999885559079,7.869999885559079,7.78000020980835,8.01000022888184,65700,2010-01-12
20288476,AREX,7.860000133514401,8.52000045776367,8.52000045776367,7.860000133514401,8.57999992370605,129400,2010-01-13
20288486,AREX,8.47000026702881,8.57999992370605,8.57999992370605,8.42000007629395,8.9399995803833,63200,2010-01-14
20288488,AREX,8.60999965667725,8.27000045776367,8.27000045776367,8.02000045776367,8.72000026702881,43900,2010-01-15
20288496,AREX,8.26000022888184,8.550000190734862,8.550000190734862,7.639999866485599,8.61999988555908,78500,2010-01-19
20288498,AREX,8.439999580383299,8.310000419616701,8.310000419616701,8.22999954223633,8.63000011444092,28000,2010-01-20
20288508,AREX,8.439999580383299,8.300000190734862,8.300000190734862,8.22999954223633,8.56999969482422,39800,2010-01-21
20288510,AREX,8.310000419616701,8.07999992370605,8.07999992370605,8.050000190734862,8.340000152587889,32800,2010-01-22
20288518,AREX,8.11999988555908,8.01000022888184,8.01000022888184,8.0,8.22999954223633,26800,2010-01-25
20288520,AREX,7.96000003814697,8.01000022888184,8.01000022888184,7.849999904632571,8.189999580383299,69600,2010-01-26
20288529,AREX,7.96000003814697,8.13000011444092,8.13000011444092,7.860000133514401,8.26000022888184,183900,2010-01-27
20288530,AREX,8.18000030517578,8.02999973297119,8.02999973297119,7.98000001907349,8.189999580383299,42700,2010-01-28
20288539,AREX,8.10000038146973,8.01000022888184,8.01000022888184,7.949999809265139,8.189999580383299,80600,2010-01-29
20288540,AREX,8.01000022888184,8.409999847412111,8.409999847412111,8.0,8.43000030517578,29200,2010-02-01
20288550,AREX,8.439999580383299,8.449999809265138,8.449999809265138,8.27999973297119,8.48999977111816,37900,2010-02-02
20288552,AREX,8.39000034332275,8.14999961853027,8.14999961853027,8.10000038146973,8.42000007629395,19500,2010-02-03
20288562,AREX,8.11999988555908,8.0,8.0,8.0,8.22999954223633,44800,2010-02-04
20288564,AREX,8.01000022888184,8.050000190734862,8.050000190734862,7.75,8.189999580383299,18800,2010-02-05
20288575,AREX,8.02000045776367,8.0,8.0,8.0,8.22000026702881,19900,2010-02-08
20288576,AREX,8.10999965667725,8.11999988555908,8.11999988555908,8.050000190734862,8.27000045776367,19100,2010-02-09
20288586,AREX,8.10999965667725,8.090000152587889,8.090000152587889,8.02000045776367,8.10999965667725,15100,2010-02-10
20288588,AREX,8.06999969482422,8.36999988555908,8.36999988555908,8.01000022888184,8.36999988555908,21000,2010-02-11
20288598,AREX,8.310000419616701,8.53999996185303,8.53999996185303,8.310000419616701,8.64999961853027,143200,2010-02-12
20288599,AREX,8.659999847412111,8.61999988555908,8.61999988555908,8.48999977111816,8.659999847412111,42100,2010-02-16
20288608,AREX,8.63000011444092,8.51000022888184,8.51000022888184,8.48999977111816,8.84000015258789,57000,2010-02-17
20288609,AREX,8.189999580383299,8.5,8.5,8.189999580383299,8.68000030517578,292700,2010-02-18
20288619,AREX,8.5,8.36999988555908,8.36999988555908,8.35000038146973,8.52999973297119,34400,2010-02-19
20288620,AREX,8.409999847412111,8.32999992370605,8.32999992370605,8.26000022888184,8.449999809265138,360700,2010-02-22
20288631,AREX,8.32999992370605,8.449999809265138,8.449999809265138,8.32999992370605,8.5,47500,2010-02-23
20288632,AREX,8.48999977111816,8.39999961853027,8.39999961853027,8.310000419616701,8.5,36700,2010-02-24
20288640,AREX,8.27000045776367,8.27000045776367,8.27000045776367,8.21000003814697,8.340000152587889,10100,2010-02-25
