,ticker,open,close,Adj Close,low,high,volume,Date
13066435,ARLP,22.1800003051758,22.489999771118196,8.65713691711426,21.6299991607666,22.5499992370605,282200,2010-01-04
13066439,ARLP,22.5,22.6049995422363,8.70140647888184,22.5,22.8600006103516,279200,2010-01-05
13066454,ARLP,22.6049995422363,22.3199996948242,8.591701507568361,22.3050003051758,22.75,276200,2010-01-06
13066458,ARLP,22.3199996948242,22.065000534057603,8.49354362487793,21.899999618530302,22.600000381469698,319600,2010-01-07
13066472,ARLP,22.405000686645497,22.280000686645497,8.57630062103271,21.625,22.469999313354503,189400,2010-01-08
13066476,ARLP,22.5,21.940000534057603,8.44542598724365,21.649999618530302,22.5049991607666,228200,2010-01-11
13066490,ARLP,22.010000228881804,21.6949996948242,8.35111808776855,21.625,22.0200004577637,106800,2010-01-12
13066494,ARLP,21.8950004577637,21.6200008392334,8.32224655151367,21.3799991607666,21.9249992370605,103600,2010-01-13
13066508,ARLP,21.5149993896484,21.5550003051758,8.29722499847412,21.5,21.6100006103516,69600,2010-01-14
13066512,ARLP,21.524999618530302,21.3449993133545,8.21639060974121,21.1299991607666,21.7150001525879,151200,2010-01-15
13066526,ARLP,21.4200000762939,22.1599998474121,8.53010845184326,21.25,22.1800003051758,187800,2010-01-19
13066530,ARLP,22.260000228881804,22.2450008392334,8.56282997131348,21.7700004577637,22.260000228881804,159600,2010-01-20
13066544,ARLP,22.2299995422363,21.5049991607666,8.277979850769041,21.2749996185303,22.2299995422363,306200,2010-01-21
13066548,ARLP,21.5349998474121,20.6100006103516,7.933466911315921,20.0750007629395,21.5349998474121,849200,2010-01-22
13066562,ARLP,20.6149997711182,20.659999847412102,7.952712535858151,20.2649993896484,20.895000457763697,232000,2010-01-25
13066566,ARLP,20.5,20.715000152587898,7.973882675170901,20.3299999237061,20.965000152587898,227800,2010-01-26
13066580,ARLP,20.7649993896484,20.6499996185303,7.948864936828611,20.25,21.229999542236303,229600,2010-01-27
13066584,ARLP,21.465000152587898,21.0149993896484,8.08936309814453,20.6650009155273,21.4799995422363,240200,2010-01-28
13066599,ARLP,21.1849994659424,19.7900009155273,7.61781883239746,19.5849990844727,21.354999542236303,468800,2010-01-29
13066603,ARLP,20.1650009155273,20.8850002288818,8.03932285308838,19.854999542236303,21.0,341600,2010-02-01
13066618,ARLP,20.7800006866455,21.0499992370605,8.10283374786377,20.6100006103516,21.125,274200,2010-02-02
13066622,ARLP,20.6100006103516,20.7450008392334,8.29066848754883,20.1550006866455,20.8250007629395,213200,2010-02-03
13066636,ARLP,20.75,19.7399997711182,7.88902378082275,19.3600006103516,20.7549991607666,423800,2010-02-04
13066640,ARLP,19.6849994659424,19.5450000762939,7.81109285354614,18.7549991607666,19.9950008392334,438600,2010-02-05
13066654,ARLP,19.895000457763697,19.0849990844727,7.62725591659546,19.0599994659424,19.895000457763697,178800,2010-02-08
13066658,ARLP,19.4899997711182,19.4449996948242,7.77112817764282,19.25,19.7450008392334,166000,2010-02-09
13066672,ARLP,19.8099994659424,19.3600006103516,7.73716020584106,19.3600006103516,19.9349994659424,338400,2010-02-10
13066676,ARLP,19.284999847412102,19.8250007629395,7.9229941368103,19.1100006103516,20.0,144800,2010-02-11
13066691,ARLP,21.0,20.0499992370605,8.012912750244139,19.8199996948242,21.0,279800,2010-02-12
13066695,ARLP,21.104999542236303,20.4449996948242,8.17077541351318,19.8999996185303,21.1800003051758,274000,2010-02-16
13066709,ARLP,20.4449996948242,20.5699996948242,8.22073173522949,20.2099990844727,20.6200008392334,97800,2010-02-17
13066713,ARLP,20.6000003814697,20.9300003051758,8.36460399627686,20.4300003051758,20.9300003051758,166000,2010-02-18
13066727,ARLP,21.0,21.0049991607666,8.39457702636719,20.5699996948242,21.1800003051758,261200,2010-02-19
13066731,ARLP,21.2800006866455,21.159999847412102,8.45652198791504,21.0499992370605,21.2900009155273,231000,2010-02-22
13066746,ARLP,21.0,20.5650005340576,8.21873378753662,20.5100002288818,21.1499996185303,706000,2010-02-23
13066750,ARLP,20.5049991607666,20.3799991607666,8.14479827880859,20.2749996185303,20.6100006103516,174800,2010-02-24
13066764,ARLP,20.2549991607666,20.4950008392334,8.19075584411621,19.7800006866455,20.6399993896484,161200,2010-02-25
13066768,ARLP,20.715000152587898,20.7549991607666,8.29466438293457,20.3199996948242,20.9300003051758,141200,2010-02-26
13066785,ARLP,20.9750003814697,21.2450008392334,8.49049282073975,20.8299999237061,21.25,199000,2010-03-01
13066789,ARLP,21.340000152587898,21.3850002288818,8.54644203186035,21.2399997711182,21.4850006103516,202800,2010-03-02
13066803,ARLP,21.4950008392334,21.5,8.59240055084229,21.3250007629395,21.5,235200,2010-03-03
13066807,ARLP,21.375,21.215000152587898,8.478504180908201,21.1499996185303,21.5,140800,2010-03-04
13066821,ARLP,21.4349994659424,21.7450008392334,8.69031715393066,21.284999847412102,21.7450008392334,203600,2010-03-05
13066825,ARLP,21.75,21.3999996185303,8.55243682861328,21.3600006103516,21.75,194400,2010-03-08
13066841,ARLP,21.6399993896484,21.4449996948242,8.57042026519775,21.3899993896484,21.6700000762939,115000,2010-03-09
13066845,ARLP,21.3999996185303,21.8299999237061,8.72428417205811,21.375,21.8700008392334,155200,2010-03-10
13066862,ARLP,21.7549991607666,22.0200004577637,8.80021858215332,21.5499992370605,22.030000686645497,151800,2010-03-11
13066866,ARLP,21.9500007629395,21.9799995422363,8.78423309326172,21.774999618530302,22.0,158600,2010-03-12
13066885,ARLP,22.0750007629395,21.8199996948242,8.720290184021,21.594999313354503,22.0750007629395,157800,2010-03-15
13066889,ARLP,21.690000534057603,21.7900009155273,8.7082986831665,21.4950008392334,22.024999618530302,147000,2010-03-16
13066912,ARLP,21.6949996948242,21.8700008392334,8.74027252197266,21.5849990844727,22.0049991607666,150000,2010-03-17
13066916,ARLP,21.8400001525879,21.774999618530302,8.70230293273926,21.649999618530302,21.975000381469698,88200,2010-03-18
13066938,ARLP,21.8250007629395,21.2199993133545,8.48050022125244,21.1499996185303,21.8250007629395,173400,2010-03-19
13066942,ARLP,21.125,20.8099994659424,8.31664657592773,20.6900005340576,21.145000457763697,320800,2010-03-22
13066964,ARLP,20.8899993896484,21.0599994659424,8.41655731201172,20.7800006866455,21.0599994659424,259000,2010-03-23
13066968,ARLP,20.4599990844727,20.854999542236303,8.334630012512209,20.2099990844727,20.9549999237061,137000,2010-03-24
13066969,ARLP,21.0,20.6149997711182,8.23871326446533,20.5550003051758,21.0,179000,2010-03-25
13066986,ARLP,20.6000003814697,20.4200000762939,8.16078186035156,20.2999992370605,20.75,192800,2010-03-26
13066990,ARLP,20.4750003814697,20.6900005340576,8.26869201660156,20.4750003814697,20.75,253800,2010-03-29
13067006,ARLP,20.75,20.8199996948242,8.320644378662111,20.5799999237061,20.8250007629395,133400,2010-03-30
13067011,ARLP,20.8449993133545,20.9549999237061,8.37459468841553,20.7950000762939,21.0,140400,2010-03-31
13067028,ARLP,21.020000457763697,21.4150009155273,8.55843448638916,20.9549999237061,21.4449996948242,150600,2010-04-01
13067032,ARLP,21.5,21.969999313354503,8.78023433685303,21.475000381469698,21.969999313354503,257800,2010-04-05
13067046,ARLP,22.065000534057603,22.1100006103516,8.83618640899658,21.875,22.190000534057603,255000,2010-04-06
13067050,ARLP,22.1100006103516,22.2000007629395,8.87215328216553,21.9500007629395,22.3700008392334,218600,2010-04-07
13067067,ARLP,22.1949996948242,22.4150009155273,8.95808124542236,21.975000381469698,22.4449996948242,206000,2010-04-08
13067071,ARLP,22.475000381469698,22.809999465942397,9.11594104766846,22.385000228881804,22.9850006103516,277200,2010-04-09
13067089,ARLP,22.75,22.75,9.091959953308109,22.75,23.125,141200,2010-04-12
13067093,ARLP,22.8950004577637,23.0750007629395,9.221845626831051,22.4099998474121,23.0750007629395,140200,2010-04-13
13067109,ARLP,23.1100006103516,23.030000686645497,9.20386123657227,22.8400001525879,23.135000228881804,133600,2010-04-14
13067113,ARLP,22.8400001525879,23.3700008392334,9.33974075317383,22.760000228881804,23.3700008392334,116200,2010-04-15
