,ticker,open,close,Adj Close,low,high,volume,Date
20422881,BIT,20.0,20.0,12.3082437515259,20.0,20.0599994659424,1925500,2013-02-26
20422886,BIT,20.0300006866455,20.0,12.3082437515259,20.0,20.0300006866455,292700,2013-02-27
20422888,BIT,20.0,20.0,12.3082437515259,20.0,20.020000457763697,122300,2013-02-28
20422892,BIT,20.0,20.0,12.3082437515259,20.0,20.0100002288818,210000,2013-03-01
20422894,BIT,20.0,20.0,12.3082437515259,20.0,20.0300006866455,141100,2013-03-04
20422898,BIT,20.0,20.0,12.3082437515259,20.0,20.020000457763697,45900,2013-03-05
20422900,BIT,20.0,20.0,12.3082437515259,20.0,20.0400009155273,42900,2013-03-06
20422904,BIT,20.020000457763697,20.0,12.3082437515259,20.0,20.0300006866455,49400,2013-03-07
20422906,BIT,20.0100002288818,20.0,12.3082437515259,20.0,20.0799999237061,75000,2013-03-08
20422910,BIT,20.020000457763697,20.0,12.3082437515259,20.0,20.020000457763697,14500,2013-03-11
20422912,BIT,20.0100002288818,20.0,12.3082437515259,20.0,20.0100002288818,80500,2013-03-12
20422916,BIT,20.0,20.0,12.3082437515259,20.0,20.0100002288818,95400,2013-03-13
20422919,BIT,20.0,20.1000003814697,12.3697776794434,20.0,20.1000003814697,50800,2013-03-14
20422923,BIT,20.1000003814697,20.0,12.3082437515259,20.0,20.1499996185303,17800,2013-03-15
20422925,BIT,20.0,20.0,12.3082437515259,20.0,20.0699996948242,44600,2013-03-18
20422929,BIT,20.0,20.0100002288818,12.314393997192399,20.0,20.1499996185303,35600,2013-03-19
20422931,BIT,20.0499992370605,20.0,12.3082437515259,20.0,20.0499992370605,218600,2013-03-20
20422935,BIT,20.0300006866455,20.0,12.3082437515259,20.0,20.0300006866455,20100,2013-03-21
20422937,BIT,20.0,20.0,12.3082437515259,20.0,20.0100002288818,129200,2013-03-22
20422941,BIT,20.0,20.1499996185303,12.400552749633801,20.0,20.5,88400,2013-03-25
20422943,BIT,20.1499996185303,20.0,12.3082437515259,20.0,20.159999847412102,82100,2013-03-26
20422947,BIT,20.0,20.0,12.3082437515259,20.0,20.0100002288818,51500,2013-03-27
20422949,BIT,20.0100002288818,20.0,12.3082437515259,20.0,20.0300006866455,20700,2013-03-28
