,ticker,open,close,Adj Close,low,high,volume,Date
7752035,BPRN,32.6100006103516,32.6100006103516,32.6100006103516,32.6100006103516,32.6100006103516,800,2017-05-31
7752041,BPRN,33.0,33.0,33.0,33.0,33.0,200,2017-06-01
7752257,BPRN,33.0,33.0,33.0,33.0,33.0,600,2017-07-03
7752396,BPRN,33.5,33.25,33.25,33.25,33.5,1098,2017-07-24
7752402,BPRN,33.5,33.5,33.5,33.5,33.5,500,2017-07-25
7752443,BPRN,34.75,38.25,38.25,34.75,39.0,3900,2017-07-31
7752459,BPRN,33.220001220703104,33.259998321533196,33.259998321533196,32.75,33.490001678466804,339400,2017-08-01
7752465,BPRN,33.279998779296896,32.919998168945305,32.919998168945305,32.509998321533196,33.2999992370605,61600,2017-08-02
7752481,BPRN,32.990001678466804,32.25,32.25,32.060001373291,33.0,59900,2017-08-03
7752487,BPRN,32.2999992370605,32.0,32.0,31.260000228881804,32.2999992370605,57800,2017-08-04
7752503,BPRN,32.0,31.899999618530302,31.899999618530302,31.75,32.0999984741211,16400,2017-08-07
7752509,BPRN,31.510000228881804,31.899999618530302,31.899999618530302,31.510000228881804,31.899999618530302,6300,2017-08-08
7752525,BPRN,31.7999992370605,31.600000381469698,31.600000381469698,31.260000228881804,31.9099998474121,64200,2017-08-09
7752531,BPRN,31.600000381469698,31.7000007629395,31.7000007629395,31.5310001373291,31.7000007629395,6700,2017-08-10
7752546,BPRN,31.059999465942397,31.9099998474121,31.9099998474121,31.059999465942397,31.9099998474121,58800,2017-08-11
7752552,BPRN,31.899999618530302,31.899999618530302,31.899999618530302,31.7000007629395,31.899999618530302,3400,2017-08-14
7752567,BPRN,31.5499992370605,32.1199989318848,32.1199989318848,31.5499992370605,32.1199989318848,4200,2017-08-15
7752573,BPRN,31.9519996643066,32.0499992370605,32.0499992370605,31.7000007629395,32.2690010070801,13600,2017-08-16
7752588,BPRN,31.5699996948242,32.0,32.0,31.5499992370605,32.4500007629395,14200,2017-08-17
7752594,BPRN,31.5499992370605,32.5,32.5,31.5499992370605,32.5,2600,2017-08-18
7752611,BPRN,32.2490005493164,32.25,32.25,31.899999618530302,32.990001678466804,15400,2017-08-21
7752617,BPRN,32.0,32.0,32.0,31.9500007629395,32.0,13000,2017-08-22
7752632,BPRN,31.780000686645497,32.0,32.0,31.7700004577637,32.0,8900,2017-08-23
7752638,BPRN,32.0,32.4000015258789,32.4000015258789,31.972000122070302,32.4000015258789,30700,2017-08-24
7752653,BPRN,32.25,32.25,32.25,31.9500007629395,32.25,3900,2017-08-25
7752659,BPRN,32.25,32.5,32.5,32.0999984741211,32.5,9100,2017-08-28
7752675,BPRN,32.0,32.5,32.5,31.7999992370605,32.5,13900,2017-08-29
7752681,BPRN,32.5,32.5,32.5,31.530000686645497,32.5,18000,2017-08-30
7752696,BPRN,32.2999992370605,31.7000007629395,31.7000007629395,31.0,32.2999992370605,29100,2017-08-31
7752702,BPRN,31.7000007629395,31.100000381469698,31.100000381469698,31.0400009155273,31.7000007629395,14200,2017-09-01
7752718,BPRN,31.1800003051758,32.2999992370605,32.2999992370605,31.1800003051758,32.5,38400,2017-09-05
7752724,BPRN,31.899999618530302,32.2999992370605,32.2999992370605,31.350000381469698,32.2999992370605,29100,2017-09-06
7752740,BPRN,31.4969997406006,31.399999618530302,31.399999618530302,31.2000007629395,32.2000007629395,21200,2017-09-07
7752746,BPRN,31.850000381469698,31.600000381469698,31.600000381469698,31.5200004577637,31.9500007629395,23300,2017-09-08
7752762,BPRN,32.2000007629395,31.9500007629395,31.9500007629395,31.5499992370605,32.2000007629395,23300,2017-09-11
7752768,BPRN,32.0200004577637,32.029998779296896,32.029998779296896,31.524999618530302,32.0499992370605,17600,2017-09-12
7752784,BPRN,32.0,31.600000381469698,31.600000381469698,31.600000381469698,32.0499992370605,39000,2017-09-13
7752790,BPRN,31.524999618530302,31.3199996948242,31.3199996948242,31.2000007629395,31.9500007629395,22700,2017-09-14
7752806,BPRN,31.2999992370605,29.989999771118196,29.989999771118196,29.4300003051758,31.5799999237061,111800,2017-09-15
7752812,BPRN,30.0799999237061,30.25,30.25,30.0,30.899999618530302,32700,2017-09-18
7752828,BPRN,30.25,30.260000228881804,30.260000228881804,30.25,31.0,14100,2017-09-19
7752834,BPRN,30.5900001525879,30.440000534057603,30.440000534057603,30.440000534057603,31.4799995422363,6500,2017-09-20
7752850,BPRN,30.5,31.0,31.0,30.489999771118196,31.489999771118196,11000,2017-09-21
7752856,BPRN,30.4500007629395,31.399999618530302,31.399999618530302,30.4500007629395,31.4500007629395,2800,2017-09-22
7752871,BPRN,30.9099998474121,30.5400009155273,30.5400009155273,30.4599990844727,31.0,1800,2017-09-25
7752877,BPRN,30.774000167846697,30.559999465942397,30.559999465942397,30.4599990844727,30.891000747680696,1800,2017-09-26
7752893,BPRN,30.5499992370605,31.3899993896484,31.3899993896484,30.5499992370605,31.4799995422363,7000,2017-09-27
7752899,BPRN,31.2000007629395,31.4799995422363,31.4799995422363,31.2000007629395,31.4799995422363,4000,2017-09-28
7752915,BPRN,31.4099998474121,31.989999771118196,31.989999771118196,30.67799949646,31.989999771118196,5300,2017-09-29
7752921,BPRN,32.0,32.0999984741211,32.0999984741211,31.7700004577637,32.0999984741211,8700,2017-10-02
7752936,BPRN,32.029998779296896,31.100000381469698,31.100000381469698,31.100000381469698,32.0999984741211,11300,2017-10-03
7752942,BPRN,31.149999618530302,32.0999984741211,32.0999984741211,31.149999618530302,32.0999984741211,4900,2017-10-04
7752958,BPRN,32.029998779296896,32.0999984741211,32.0999984741211,32.009998321533196,32.0999984741211,1600,2017-10-05
7752964,BPRN,32.0,32.0999984741211,32.0999984741211,32.0,32.0999984741211,3900,2017-10-06
7752980,BPRN,32.0639991760254,32.0999984741211,32.0999984741211,32.0,32.0999984741211,3700,2017-10-09
7752986,BPRN,32.0,32.0999984741211,32.0999984741211,32.0,32.0999984741211,40300,2017-10-10
7753002,BPRN,32.0,32.0,32.0,32.0,32.0250015258789,5800,2017-10-11
7753008,BPRN,32.0,31.600000381469698,31.600000381469698,31.600000381469698,32.0,2500,2017-10-12
7753024,BPRN,32.0,31.899999618530302,31.899999618530302,31.899999618530302,32.0999984741211,2900,2017-10-13
7753030,BPRN,32.0009994506836,32.0900001525879,32.0900001525879,32.0,32.0900001525879,700,2017-10-16
7753045,BPRN,32.0,31.899999618530302,31.899999618530302,31.899999618530302,32.029998779296896,18700,2017-10-17
7753051,BPRN,32.0,32.0499992370605,32.0499992370605,32.0,32.0499992370605,3000,2017-10-18
7753067,BPRN,32.1500015258789,31.8799991607666,31.8799991607666,31.5,32.1500015258789,4200,2017-10-19
7753073,BPRN,31.4799995422363,31.780000686645497,31.780000686645497,31.100000381469698,31.8899993896484,28400,2017-10-20
7753089,BPRN,31.8299999237061,32.0200004577637,32.0200004577637,31.600000381469698,32.0200004577637,68300,2017-10-23
7753095,BPRN,31.989999771118196,32.080001831054695,32.080001831054695,31.989999771118196,32.080001831054695,9800,2017-10-24
7753111,BPRN,32.080001831054695,32.0999984741211,32.0999984741211,31.899999618530302,32.5,64600,2017-10-25
7753117,BPRN,31.9680004119873,32.2999992370605,32.2999992370605,31.9599990844727,32.2999992370605,3800,2017-10-26
7753133,BPRN,32.2299995422363,32.2999992370605,32.2999992370605,32.2099990844727,32.2999992370605,1500,2017-10-27
7753139,BPRN,32.4790000915527,32.7999992370605,32.7999992370605,32.4790000915527,32.8899993896484,20100,2017-10-30
7753155,BPRN,32.669998168945305,33.5,33.5,32.669998168945305,33.9500007629395,18000,2017-10-31
7753161,BPRN,33.029998779296896,33.5999984741211,33.5999984741211,33.0,33.9500007629395,12800,2017-11-01
7753177,BPRN,33.8800010681152,33.7299995422363,33.7299995422363,33.5,33.8800010681152,5800,2017-11-02
7753183,BPRN,33.509998321533196,33.5499992370605,33.5499992370605,33.1500015258789,33.6650009155273,77100,2017-11-03
7753197,BPRN,33.0,33.2999992370605,33.2999992370605,33.0,33.4000015258789,8200,2017-11-06
7753203,BPRN,33.359001159668004,33.1049995422363,33.1049995422363,33.009998321533196,33.4000015258789,14300,2017-11-07
7753219,BPRN,33.029998779296896,33.2000007629395,33.2000007629395,33.0,33.220001220703104,14000,2017-11-08
7753225,BPRN,32.0999984741211,32.0999984741211,32.0999984741211,32.0999984741211,32.0999984741211,28700,2017-11-09
7753241,BPRN,32.5,32.7099990844727,32.7099990844727,32.319000244140604,33.1199989318848,7600,2017-11-10
7753247,BPRN,32.5,32.939998626709,32.939998626709,32.310001373291,33.0,2700,2017-11-13
7753263,BPRN,32.3800010681152,32.009998321533196,32.009998321533196,31.760000228881804,32.5499992370605,44200,2017-11-14
7753269,BPRN,31.969999313354503,32.75,32.75,31.969999313354503,32.9099998474121,4100,2017-11-15
7753285,BPRN,32.5,32.919998168945305,32.919998168945305,32.5,32.919998168945305,5300,2017-11-16
7753291,BPRN,32.970001220703104,32.740001678466804,32.740001678466804,32.740001678466804,32.970001220703104,300,2017-11-17
7753308,BPRN,32.0750007629395,32.2099990844727,32.2099990844727,32.0750007629395,32.625,31300,2017-11-20
7753318,BPRN,32.2099990844727,32.220001220703104,32.220001220703104,32.2000007629395,32.935001373291,8400,2017-11-21
7753334,BPRN,32.2379989624023,32.240001678466804,32.240001678466804,32.2379989624023,32.990001678466804,9100,2017-11-22
7753340,BPRN,32.9000015258789,32.9000015258789,32.9000015258789,32.9000015258789,32.9000015258789,400,2017-11-24
7753356,BPRN,32.7389984130859,32.7099990844727,32.7099990844727,32.3800010681152,32.75,12500,2017-11-27
7753362,BPRN,32.5999984741211,32.5999984741211,32.5999984741211,32.4599990844727,32.9000015258789,13000,2017-11-28
7753383,BPRN,32.8499984741211,32.4300003051758,32.4300003051758,32.4300003051758,32.8629989624023,13700,2017-11-29
7753389,BPRN,32.759998321533196,33.25,33.25,32.5,33.25,11900,2017-11-30
7753405,BPRN,33.25,33.4799995422363,33.4799995422363,33.0,33.4799995422363,7300,2017-12-01
7753411,BPRN,33.330001831054695,34.5,34.5,33.330001831054695,34.9500007629395,26900,2017-12-04
7753427,BPRN,34.5999984741211,34.6500015258789,34.6500015258789,33.25,34.9000015258789,18300,2017-12-05
7753433,BPRN,33.810001373291,34.2999992370605,34.2999992370605,33.759998321533196,34.3899993896484,16900,2017-12-06
7753450,BPRN,34.0,34.4799995422363,34.4799995422363,33.9500007629395,34.4799995422363,9100,2017-12-07
7753456,BPRN,34.0499992370605,34.4599990844727,34.4599990844727,33.7999992370605,34.4599990844727,10500,2017-12-08
7753472,BPRN,34.310001373291,33.9070014953613,33.9070014953613,33.5999984741211,34.310001373291,10700,2017-12-11
7753478,BPRN,33.4000015258789,34.0900001525879,34.0900001525879,33.1500015258789,34.0900001525879,34000,2017-12-12
7753495,BPRN,34.009998321533196,33.7099990844727,33.7099990844727,33.7099990844727,34.4500007629395,4600,2017-12-13
7753501,BPRN,33.75,34.5,34.5,33.75,34.5,5900,2017-12-14
7753517,BPRN,34.25,34.310001373291,34.310001373291,34.134998321533196,34.5,13100,2017-12-15
7753523,BPRN,34.310001373291,34.5,34.5,34.2449989318848,34.5,6100,2017-12-18
7753560,BPRN,34.0999984741211,34.5,34.5,34.0499992370605,34.5,4000,2017-12-19
7753574,BPRN,34.439998626709,34.4500007629395,34.4500007629395,34.4300003051758,34.4599990844727,900,2017-12-20
7753599,BPRN,34.2900009155273,34.490001678466804,34.490001678466804,33.8359985351562,34.490001678466804,1900,2017-12-21
7753606,BPRN,34.0999984741211,34.4599990844727,34.4599990844727,34.0999984741211,34.5,2600,2017-12-22
7753607,BPRN,34.0,34.25,34.25,33.935001373291,34.490001678466804,10500,2017-12-26
7753608,BPRN,34.0900001525879,34.3699989318848,34.3699989318848,34.0,34.4000015258789,13400,2017-12-27
7753609,BPRN,34.0999984741211,33.8800010681152,33.8800010681152,33.5,34.2000007629395,2100,2017-12-28
7753610,BPRN,33.919998168945305,34.3400001525879,34.3400001525879,33.5,34.3400001525879,1700,2017-12-29
7753611,BPRN,34.2000007629395,33.970001220703104,33.970001220703104,33.9599990844727,34.2000007629395,10400,2018-01-02
7753612,BPRN,33.8699989318848,33.6500015258789,33.6500015258789,33.259998321533196,33.9799995422363,9800,2018-01-03
7753613,BPRN,33.0499992370605,33.220001220703104,33.220001220703104,32.9249992370605,33.310001373291,5100,2018-01-04
7753643,BPRN,33.4000015258789,33.0400009155273,33.0400009155273,33.0400009155273,33.4000015258789,3700,2018-01-05
7753649,BPRN,33.0400009155273,32.7999992370605,32.7999992370605,32.7999992370605,33.0400009155273,3800,2018-01-08
7754173,BPRN,32.8499984741211,32.970001220703104,32.970001220703104,32.75,33.0,13700,2018-01-09
7754179,BPRN,32.780998229980504,33.0,33.0,32.759998321533196,33.9000015258789,19700,2018-01-10
7754214,BPRN,33.1110000610352,33.0,33.0,32.7789993286133,33.8899993896484,9600,2018-01-11
7754220,BPRN,33.25,32.970001220703104,32.970001220703104,32.970001220703104,33.9000015258789,12600,2018-01-12
7754235,BPRN,33.5,33.3899993896484,33.3899993896484,33.029998779296896,33.5,1700,2018-01-16
7754242,BPRN,33.4500007629395,32.9599990844727,32.9599990844727,32.9599990844727,33.4500007629395,1500,2018-01-17
7754256,BPRN,33.009998321533196,32.8699989318848,32.8699989318848,32.8400001525879,33.0999984741211,21700,2018-01-18
7754263,BPRN,32.5,32.509998321533196,32.509998321533196,32.5,32.9000015258789,7300,2018-01-19
7754277,BPRN,32.7000007629395,32.75,32.75,32.7000007629395,32.7999992370605,5500,2018-01-22
7754287,BPRN,32.75,32.7099990844727,32.7099990844727,32.7000007629395,32.7999992370605,3600,2018-01-23
7754302,BPRN,32.7999992370605,32.8499984741211,32.8499984741211,32.7550010681152,32.8499984741211,8900,2018-01-24
7754309,BPRN,32.7109985351562,32.75,32.75,32.7109985351562,32.7999992370605,2600,2018-01-25
7754322,BPRN,32.75,32.9000015258789,32.9000015258789,32.720001220703104,32.9000015258789,13400,2018-01-26
7754329,BPRN,32.7299995422363,32.759998321533196,32.759998321533196,32.7299995422363,32.7999992370605,10800,2018-01-29
7754344,BPRN,32.7999992370605,32.7999992370605,32.7999992370605,32.7999992370605,32.7999992370605,1900,2018-01-30
7754350,BPRN,32.7999992370605,32.7999992370605,32.7999992370605,32.75,32.7999992370605,5200,2018-01-31
7754364,BPRN,32.7000007629395,32.509998321533196,32.509998321533196,32.5,32.7000007629395,12700,2018-02-01
7754370,BPRN,32.435001373291,32.490001678466804,32.490001678466804,32.0499992370605,32.5,12500,2018-02-02
7754385,BPRN,32.4000015258789,32.0699996948242,32.0699996948242,32.0499992370605,32.7999992370605,5800,2018-02-05
7754391,BPRN,32.3899993896484,32.7000007629395,32.7000007629395,31.8199996948242,32.75,21100,2018-02-06
7754408,BPRN,32.7360000610352,32.0,32.0,31.9409999847412,32.740001678466804,20700,2018-02-07
7754414,BPRN,32.0,31.850000381469698,31.850000381469698,31.75,32.0,11400,2018-02-08
7754431,BPRN,31.989999771118196,32.0,32.0,31.75,32.3699989318848,31500,2018-02-09
7754437,BPRN,31.899999618530302,31.6399993896484,31.6399993896484,31.5,32.1599998474121,59400,2018-02-12
7754451,BPRN,31.989999771118196,32.439998626709,32.439998626709,31.940000534057603,32.5400009155273,16600,2018-02-13
