,ticker,open,close,Adj Close,low,high,volume,Date
11687205,BSIG,15.640000343322802,15.520000457763699,15.4232425689697,15.470000267028801,15.8199996948242,762800,2018-03-28
11687207,BSIG,15.5600004196167,15.7600002288818,15.661746025085401,15.4499998092651,15.8400001525879,587300,2018-03-29
11687226,BSIG,15.7399997711182,15.0699996948242,14.9760475158691,14.979999542236301,15.9099998474121,641500,2018-04-02
11687228,BSIG,15.109999656677198,15.270000457763699,15.174800872802699,15.0900001525879,15.359999656677198,319100,2018-04-03
11687249,BSIG,15.0900001525879,15.529999732971199,15.4331798553467,15.0799999237061,15.5699996948242,357900,2018-04-04
11687251,BSIG,15.529999732971199,15.3500003814697,15.254302024841301,15.289999961853,15.6599998474121,528100,2018-04-05
11687272,BSIG,15.1899995803833,14.8400001525879,14.7474813461304,14.729999542236301,15.3100004196167,549500,2018-04-06
11687274,BSIG,14.9200000762939,14.8400001525879,14.7474813461304,14.6999998092651,15.119999885559098,720100,2018-04-09
11687293,BSIG,15.0600004196167,14.9499998092651,14.8567953109741,14.9300003051758,15.0799999237061,484400,2018-04-10
11687295,BSIG,14.789999961853,14.8100004196167,14.7176685333252,14.7250003814697,14.9399995803833,723400,2018-04-11
11687314,BSIG,14.770000457763699,14.890000343322802,14.7971696853638,14.765000343322802,15.039999961853,817000,2018-04-12
11687316,BSIG,14.890000343322802,14.6000003814697,14.5089778900146,14.5600004196167,14.979999542236301,787900,2018-04-13
11687335,BSIG,14.6499996185303,14.6800003051758,14.5884790420532,14.5799999237061,14.789999961853,1073200,2018-04-16
11687337,BSIG,14.8400001525879,14.960000038147,14.8667335510254,14.7399997711182,15.029999732971199,588200,2018-04-17
11687357,BSIG,15.029999732971199,15.020000457763699,14.9263601303101,14.9650001525879,15.1800003051758,516400,2018-04-18
11687359,BSIG,15.039999961853,15.039999961853,14.946234703064,14.979999542236301,15.1800003051758,217900,2018-04-19
11687380,BSIG,15.020000457763699,14.9099998474121,14.817045211792,14.8299999237061,15.0600004196167,305700,2018-04-20
11687382,BSIG,15.029999732971199,14.9200000762939,14.8269824981689,14.8500003814697,15.029999732971199,428600,2018-04-23
11687402,BSIG,15.0,14.880000114440902,14.7872323989868,14.8199996948242,15.140000343322802,446000,2018-04-24
11687404,BSIG,14.8500003814697,14.9099998474121,14.817045211792,14.720000267028801,15.0600004196167,279900,2018-04-25
11687424,BSIG,14.9099998474121,15.210000038147,15.1151742935181,14.7250003814697,15.279999732971199,389100,2018-04-26
11687426,BSIG,15.1499996185303,15.0100002288818,14.916421890258801,14.9300003051758,15.1800003051758,349600,2018-04-27
11687447,BSIG,15.380000114440902,15.1700000762939,15.0754241943359,15.1599998474121,15.5,558000,2018-04-30
11687449,BSIG,15.1999998092651,15.0600004196167,14.9661102294922,14.9499998092651,15.1999998092651,292000,2018-05-01
11687468,BSIG,15.029999732971199,14.7399997711182,14.6481046676636,14.729999542236301,15.039999961853,495200,2018-05-02
11687470,BSIG,14.789999961853,15.039999961853,14.946234703064,14.789999961853,15.390000343322802,779800,2018-05-03
11687490,BSIG,15.020000457763699,15.380000114440902,15.2841148376465,14.859999656677198,15.460000038147,641800,2018-05-04
11687492,BSIG,15.470000267028801,15.4399995803833,15.3437404632568,15.1800003051758,15.5,504500,2018-05-07
11687511,BSIG,15.4099998474121,15.369999885559098,15.274176597595199,15.3000001907349,15.5699996948242,240100,2018-05-08
11687513,BSIG,15.4499998092651,15.4899997711182,15.393428802490199,15.3199996948242,15.5900001525879,387900,2018-05-09
11687532,BSIG,15.4899997711182,15.6000003814697,15.5027437210083,15.4899997711182,15.779999732971199,245400,2018-05-10
11687534,BSIG,15.5799999237061,15.6599998474121,15.5623693466187,15.5500001907349,15.6899995803833,326300,2018-05-11
11687553,BSIG,15.619999885559098,15.5,15.403367042541499,15.4899997711182,15.770000457763699,469100,2018-05-14
11687555,BSIG,15.380000114440902,15.479999542236301,15.383490562439,15.3500003814697,15.539999961853,325700,2018-05-15
11687575,BSIG,15.529999732971199,15.520000457763699,15.4232425689697,15.390000343322802,15.619999885559098,240500,2018-05-16
11687577,BSIG,15.4899997711182,15.6599998474121,15.5623693466187,15.4300003051758,15.6850004196167,357800,2018-05-17
11687597,BSIG,15.7399997711182,15.5900001525879,15.492805480957001,15.5450000762939,15.7399997711182,450800,2018-05-18
11687599,BSIG,15.6000003814697,15.5799999237061,15.4828681945801,15.460000038147,15.7600002288818,243300,2018-05-21
11687619,BSIG,15.609999656677198,15.6999998092651,15.6021194458008,15.5600004196167,15.765000343322802,191900,2018-05-22
11687621,BSIG,15.6599998474121,15.4899997711182,15.393428802490199,15.369999885559098,15.6599998474121,270200,2018-05-23
11687642,BSIG,15.359999656677198,15.5500001907349,15.4530553817749,15.3299999237061,15.6000003814697,248000,2018-05-25
11687662,BSIG,15.390000343322802,15.220000267028801,15.1251125335693,14.9300003051758,15.4499998092651,362800,2018-05-29
11687664,BSIG,15.3199996948242,15.4899997711182,15.393428802490199,15.3199996948242,15.5600004196167,361300,2018-05-30
11687684,BSIG,15.479999542236301,15.5100002288818,15.4133043289185,15.3929996490479,15.625,553200,2018-05-31
11687686,BSIG,15.6800003051758,15.8000001907349,15.7014961242676,15.6599998474121,15.8500003814697,398600,2018-06-01
11687704,BSIG,15.8400001525879,15.8999996185303,15.800872802734402,15.789999961853,15.960000038147,372000,2018-06-04
11687706,BSIG,15.8199996948242,15.640000343322802,15.542493820190401,15.5600004196167,15.880000114440902,312700,2018-06-05
11687727,BSIG,15.619999885559098,15.75,15.6518077850342,15.609999656677198,15.779999732971199,243300,2018-06-06
11687729,BSIG,15.729999542236301,15.710000038147,15.612057685852099,15.5699996948242,15.8050003051758,307800,2018-06-07
11687750,BSIG,15.720000267028801,15.8400001525879,15.741247177124,15.5699996948242,15.859999656677198,354100,2018-06-08
11687752,BSIG,15.9200000762939,16.2399997711182,16.1387538909912,15.890000343322802,16.3400001525879,546000,2018-06-11
11687772,BSIG,16.229999542236303,16.0400009155273,15.9400014877319,16.0100002288818,16.2999992370605,415900,2018-06-12
11687774,BSIG,16.0599994659424,16.0400009155273,15.9400014877319,15.9300003051758,16.1499996185303,534200,2018-06-13
11687794,BSIG,16.0300006866455,16.1900005340576,16.1900005340576,15.9399995803833,16.2099990844727,356800,2018-06-14
11687796,BSIG,16.0499992370605,16.270000457763697,16.270000457763697,15.979999542236301,16.3099994659424,858800,2018-06-15
11687816,BSIG,16.0799999237061,15.75,15.75,15.6899995803833,16.0799999237061,379300,2018-06-18
11687818,BSIG,15.6000003814697,15.6499996185303,15.6499996185303,15.505000114440902,15.6700000762939,319500,2018-06-19
11687838,BSIG,15.789999961853,15.4899997711182,15.4899997711182,15.460000038147,15.789999961853,359200,2018-06-20
11687840,BSIG,15.3999996185303,15.0699996948242,15.0699996948242,15.0100002288818,15.3999996185303,556500,2018-06-21
11687860,BSIG,15.229999542236301,15.1700000762939,15.1700000762939,15.085000038147,15.3999996185303,1731000,2018-06-22
11687862,BSIG,15.130000114440902,14.8100004196167,14.8100004196167,14.609999656677198,15.130000114440902,714800,2018-06-25
11687882,BSIG,14.8000001907349,14.619999885559098,14.619999885559098,14.5699996948242,14.8299999237061,399700,2018-06-26
11687884,BSIG,14.5799999237061,14.479999542236301,14.479999542236301,14.4250001907349,14.630000114440902,551400,2018-06-27
11687904,BSIG,14.4399995803833,14.3400001525879,14.3400001525879,14.3400001525879,14.6000003814697,424500,2018-06-28
11687906,BSIG,14.4200000762939,14.2600002288818,14.2600002288818,14.2600002288818,14.5600004196167,500300,2018-06-29
11687926,BSIG,14.0799999237061,14.390000343322802,14.390000343322802,14.0799999237061,14.4300003051758,508300,2018-07-02
11687928,BSIG,14.4399995803833,14.4399995803833,14.4399995803833,14.4300003051758,14.5600004196167,268500,2018-07-03
11687947,BSIG,14.5500001907349,14.640000343322802,14.640000343322802,14.4099998474121,14.640000343322802,496500,2018-07-05
