,ticker,open,close,Adj Close,low,high,volume,Date
2018222,CALX,17.0,15.1000003814697,15.1000003814697,15.029999732971199,18.0,5530700,2010-03-24
2018223,CALX,15.3500003814697,14.25,14.25,14.0,15.6999998092651,1213400,2010-03-25
2018224,CALX,14.529999732971199,13.619999885559098,13.619999885559098,13.5500001907349,14.529999732971199,685400,2010-03-26
2018225,CALX,13.7600002288818,13.25,13.25,13.0500001907349,13.7600002288818,507200,2010-03-29
2018226,CALX,13.210000038147,13.6899995803833,13.6899995803833,13.210000038147,13.75,272100,2010-03-30
2018227,CALX,13.6000003814697,13.4499998092651,13.4499998092651,13.25,13.8000001907349,263200,2010-03-31
2018228,CALX,13.479999542236301,13.720000267028801,13.720000267028801,13.4499998092651,14.1999998092651,262100,2010-04-01
2018229,CALX,13.8500003814697,14.0,14.0,13.6999998092651,14.0600004196167,100000,2010-04-05
2018230,CALX,14.0500001907349,14.4200000762939,14.4200000762939,14.0,14.640000343322802,161800,2010-04-06
2018231,CALX,14.619999885559098,14.029999732971199,14.029999732971199,13.869999885559098,14.6499996185303,107800,2010-04-07
2018232,CALX,14.1999998092651,13.6700000762939,13.6700000762939,13.6599998474121,14.1999998092651,74900,2010-04-08
2018260,CALX,13.6999998092651,13.770000457763699,13.770000457763699,13.520000457763699,13.9499998092651,71300,2010-04-09
2018265,CALX,14.0,13.7600002288818,13.7600002288818,13.609999656677198,14.0100002288818,121000,2010-04-12
2018266,CALX,13.7600002288818,13.479999542236301,13.479999542236301,13.4200000762939,13.8000001907349,118500,2010-04-13
2018296,CALX,13.6999998092651,13.6599998474121,13.6599998474121,13.4499998092651,13.8500003814697,557000,2010-04-14
2018300,CALX,13.6999998092651,14.1599998474121,14.1599998474121,13.6999998092651,14.25,168100,2010-04-15
2018316,CALX,14.2399997711182,14.380000114440902,14.380000114440902,13.880000114440902,14.5699996948242,143200,2010-04-16
2018320,CALX,14.3999996185303,14.0699996948242,14.0699996948242,14.0100002288818,14.539999961853,76300,2010-04-19
2018336,CALX,14.0500001907349,14.609999656677198,14.609999656677198,14.0100002288818,14.6499996185303,140800,2010-04-20
2018339,CALX,14.6800003051758,14.520000457763699,14.520000457763699,14.2600002288818,14.8100004196167,200000,2010-04-21
2018355,CALX,14.5,14.0500001907349,14.0500001907349,13.7600002288818,14.520000457763699,413200,2010-04-22
2018359,CALX,14.1000003814697,13.960000038147,13.960000038147,13.9300003051758,14.3299999237061,95500,2010-04-23
2018375,CALX,14.0,13.3400001525879,13.3400001525879,13.3000001907349,14.1000003814697,273800,2010-04-26
2018379,CALX,13.479999542236301,12.1899995803833,12.1899995803833,11.880000114440902,13.479999542236301,501800,2010-04-27
2018395,CALX,12.229999542236301,12.029999732971199,12.029999732971199,11.9200000762939,12.4499998092651,213500,2010-04-28
2018399,CALX,12.0699996948242,12.359999656677198,12.359999656677198,11.9899997711182,12.5,135600,2010-04-29
2018415,CALX,12.479999542236301,12.0,12.0,11.8000001907349,12.5500001907349,171300,2010-04-30
2018419,CALX,12.5,12.039999961853,12.039999961853,11.529999732971199,12.5,452800,2010-05-03
2018434,CALX,12.25,12.289999961853,12.289999961853,11.8999996185303,12.470000267028801,206900,2010-05-04
2018438,CALX,12.1499996185303,11.859999656677198,11.859999656677198,11.5799999237061,12.3199996948242,206000,2010-05-05
2018454,CALX,11.7399997711182,11.6000003814697,11.6000003814697,10.8299999237061,11.979999542236301,363200,2010-05-06
2018457,CALX,10.9300003051758,10.3999996185303,10.3999996185303,10.1400003433228,11.25,653100,2010-05-07
2018473,CALX,10.8500003814697,10.239999771118198,10.239999771118198,10.020000457763699,10.960000038147,362800,2010-05-10
2018477,CALX,10.1999998092651,10.1999998092651,10.1999998092651,9.65999984741211,10.25,411700,2010-05-11
2018491,CALX,10.1599998474121,10.3999996185303,10.3999996185303,10.0500001907349,10.75,246500,2010-05-12
2018495,CALX,10.3199996948242,10.8299999237061,10.8299999237061,10.3000001907349,10.869999885559098,242900,2010-05-13
2018509,CALX,10.970000267028801,10.8999996185303,10.8999996185303,10.710000038147,11.369999885559098,318100,2010-05-14
2018510,CALX,10.8999996185303,11.3100004196167,11.3100004196167,10.75,11.3100004196167,121900,2010-05-17
2018513,CALX,11.460000038147,11.1499996185303,11.1499996185303,11.0900001525879,11.8999996185303,222200,2010-05-18
2018528,CALX,11.1499996185303,11.0600004196167,11.0600004196167,10.8999996185303,11.3999996185303,148200,2010-05-19
2018532,CALX,10.890000343322802,10.6400003433228,10.6400003433228,10.3900003433228,11.0,205400,2010-05-20
2018548,CALX,10.6000003814697,10.8500003814697,10.8500003814697,10.510000228881802,11.220000267028801,95000,2010-05-21
2018551,CALX,10.8000001907349,11.020000457763699,11.020000457763699,10.8000001907349,11.119999885559098,172100,2010-05-24
2018567,CALX,10.8000001907349,10.9300003051758,10.9300003051758,10.6999998092651,11.020000457763699,71600,2010-05-25
2018571,CALX,11.0,11.3999996185303,11.3999996185303,11.0,11.5600004196167,49100,2010-05-26
2018587,CALX,11.6700000762939,11.890000343322802,11.890000343322802,11.5799999237061,12.0699996948242,84200,2010-05-27
2018588,CALX,11.8999996185303,12.229999542236301,12.229999542236301,11.8999996185303,12.619999885559098,90100,2010-05-28
2018592,CALX,12.109999656677198,11.6800003051758,11.6800003051758,11.6800003051758,12.3500003814697,66300,2010-06-01
2018606,CALX,11.6700000762939,12.039999961853,12.039999961853,11.5699996948242,12.130000114440902,67900,2010-06-02
2018607,CALX,12.109999656677198,12.2600002288818,12.2600002288818,11.970000267028801,12.3100004196167,55900,2010-06-03
2018611,CALX,12.0,11.5600004196167,11.5600004196167,11.130000114440902,12.0799999237061,105500,2010-06-04
2018627,CALX,11.4499998092651,10.9300003051758,10.9300003051758,10.8500003814697,11.770000457763699,114700,2010-06-07
2018631,CALX,10.8299999237061,10.960000038147,10.960000038147,10.4700002670288,10.9899997711182,92100,2010-06-08
2018646,CALX,11.0,11.140000343322802,11.140000343322802,11.0,11.369999885559098,72700,2010-06-09
2018650,CALX,11.140000343322802,11.470000267028801,11.470000267028801,11.0699996948242,11.520000457763699,95800,2010-06-10
2018667,CALX,11.3500003814697,11.3999996185303,11.3999996185303,11.039999961853,11.5,71500,2010-06-11
2018671,CALX,11.3999996185303,11.380000114440902,11.380000114440902,11.3299999237061,11.779999732971199,36700,2010-06-14
2018687,CALX,11.380000114440902,11.5,11.5,11.0799999237061,11.619999885559098,46800,2010-06-15
2018691,CALX,11.4200000762939,11.4099998474121,11.4099998474121,11.3500003814697,11.5799999237061,67500,2010-06-16
2018707,CALX,11.3999996185303,11.279999732971199,11.279999732971199,11.0100002288818,11.4399995803833,46000,2010-06-17
2018711,CALX,11.3100004196167,11.130000114440902,11.130000114440902,11.1000003814697,11.3400001525879,83200,2010-06-18
2018727,CALX,11.220000267028801,11.1899995803833,11.1899995803833,11.140000343322802,11.529999732971199,77400,2010-06-21
2018731,CALX,11.210000038147,10.9200000762939,10.9200000762939,10.859999656677198,11.460000038147,67300,2010-06-22
2018748,CALX,10.9399995803833,11.0699996948242,11.0699996948242,10.789999961853,11.1599998474121,115600,2010-06-23
2018751,CALX,11.220000267028801,11.4099998474121,11.4099998474121,11.0699996948242,11.619999885559098,216500,2010-06-24
2018766,CALX,11.460000038147,10.3500003814697,10.3500003814697,10.25,11.529999732971199,1167000,2010-06-25
2018770,CALX,10.3500003814697,10.8500003814697,10.8500003814697,10.3000001907349,10.9399995803833,138100,2010-06-28
2018786,CALX,10.75,10.3800001144409,10.3800001144409,10.3500003814697,10.75,113100,2010-06-29
2018790,CALX,10.4499998092651,10.260000228881802,10.260000228881802,10.239999771118198,10.520000457763699,73700,2010-06-30
2018805,CALX,10.2799997329712,10.2200002670288,10.2200002670288,9.93000030517578,10.3900003433228,93300,2010-07-01
2018809,CALX,10.2200002670288,10.3100004196167,10.3100004196167,10.0699996948242,10.5299997329712,127100,2010-07-02
2018825,CALX,10.3999996185303,10.869999885559098,10.869999885559098,10.3999996185303,11.1499996185303,120700,2010-07-06
2018829,CALX,10.8999996185303,11.380000114440902,11.380000114440902,10.6800003051758,11.3999996185303,180000,2010-07-07
2018845,CALX,11.380000114440902,12.029999732971199,12.029999732971199,11.359999656677198,12.039999961853,229300,2010-07-08
2018849,CALX,12.0600004196167,12.390000343322802,12.390000343322802,11.6899995803833,12.4399995803833,81600,2010-07-09
2018864,CALX,12.380000114440902,12.390000343322802,12.390000343322802,12.1999998092651,12.640000343322802,144200,2010-07-12
2018868,CALX,12.369999885559098,11.7399997711182,11.7399997711182,11.6899995803833,12.369999885559098,369900,2010-07-13
2018884,CALX,11.6700000762939,11.6499996185303,11.6499996185303,11.279999732971199,12.270000457763699,248900,2010-07-14
2018888,CALX,11.619999885559098,11.5100002288818,11.5100002288818,11.359999656677198,11.6899995803833,83300,2010-07-15
2018904,CALX,11.470000267028801,11.3500003814697,11.3500003814697,11.1800003051758,11.6499996185303,123200,2010-07-16
2018908,CALX,11.369999885559098,10.869999885559098,10.869999885559098,10.859999656677198,11.4399995803833,79300,2010-07-19
2018923,CALX,10.75,10.8500003814697,10.8500003814697,10.6599998474121,10.9300003051758,146000,2010-07-20
2018927,CALX,10.880000114440902,10.710000038147,10.710000038147,10.6599998474121,11.119999885559098,23100,2010-07-21
2018943,CALX,10.8400001525879,10.8000001907349,10.8000001907349,10.6700000762939,10.9300003051758,258000,2010-07-22
2018946,CALX,11.609999656677198,10.4499998092651,10.4499998092651,9.75,11.630000114440902,569400,2010-07-23
2018963,CALX,10.4300003051758,10.4399995803833,10.4399995803833,10.0500001907349,10.5799999237061,196700,2010-07-26
2018967,CALX,10.4300003051758,10.479999542236301,10.479999542236301,10.2200002670288,10.5799999237061,160700,2010-07-27
2018983,CALX,10.479999542236301,10.5799999237061,10.5799999237061,10.3999996185303,10.710000038147,83200,2010-07-28
2018986,CALX,10.6499996185303,10.6099996566772,10.6099996566772,10.5600004196167,10.75,19900,2010-07-29
2019002,CALX,10.539999961853,10.6800003051758,10.6800003051758,10.520000457763699,10.779999732971199,118600,2010-07-30
2019006,CALX,10.779999732971199,10.6300001144409,10.6300001144409,10.6000003814697,10.8299999237061,115300,2010-08-02
2019021,CALX,10.5900001525879,10.5,10.5,10.489999771118198,10.75,362100,2010-08-03
2019025,CALX,10.5299997329712,10.75,10.75,10.5299997329712,10.75,53100,2010-08-04
2019041,CALX,10.6700000762939,10.6999998092651,10.6999998092651,10.6099996566772,10.779999732971199,71200,2010-08-05
2019045,CALX,10.8000001907349,10.520000457763699,10.520000457763699,10.3699998855591,10.8000001907349,82600,2010-08-06
2019060,CALX,10.5600004196167,10.460000038147,10.460000038147,10.4300003051758,10.6999998092651,210900,2010-08-09
2019064,CALX,10.3900003433228,10.229999542236301,10.229999542236301,10.1000003814697,10.4300003051758,52300,2010-08-10
2019080,CALX,10.0699996948242,9.94999980926514,9.94999980926514,9.8100004196167,10.1199998855591,84000,2010-08-11
2019084,CALX,9.86999988555908,10.3500003814697,10.3500003814697,9.86999988555908,10.3599996566772,74400,2010-08-12
2019099,CALX,10.289999961853,10.239999771118198,10.239999771118198,10.1300001144409,10.3199996948242,77900,2010-08-13
2019103,CALX,10.210000038147,10.1899995803833,10.1899995803833,9.77000045776367,10.4099998474121,276900,2010-08-16
2019119,CALX,10.270000457763699,10.3999996185303,10.3999996185303,10.020000457763699,10.5500001907349,108600,2010-08-17
2019123,CALX,10.5,10.3100004196167,10.3100004196167,10.260000228881802,10.510000228881802,96300,2010-08-18
2019139,CALX,10.2799997329712,10.039999961853,10.039999961853,9.97999954223633,10.2799997329712,36000,2010-08-19
2019143,CALX,10.020000457763699,9.93000030517578,9.93000030517578,9.80000019073486,10.0900001525879,113700,2010-08-20
2019159,CALX,9.94999980926514,9.98999977111816,9.98999977111816,9.84000015258789,10.210000038147,153400,2010-08-23
2019163,CALX,9.85000038146973,9.89999961853027,9.89999961853027,9.56999969482422,10.0,150200,2010-08-24
2019179,CALX,9.85999965667725,9.90999984741211,9.90999984741211,9.77000045776367,9.94999980926514,125900,2010-08-25
2019183,CALX,9.86999988555908,10.3999996185303,10.3999996185303,9.85000038146973,10.3999996185303,233300,2010-08-26
2019198,CALX,10.5,11.1800003051758,11.1800003051758,10.479999542236301,11.3000001907349,560400,2010-08-27
