,ticker,open,close,Adj Close,low,high,volume,Date
4422850,CBIO,2210.25,2151.44995117188,1597.52453613281,2136.75,2210.25,1100,2010-01-04
4422865,CBIO,2154.60009765625,2100.0,1559.3212890625,2056.94995117188,2175.60009765625,1900,2010-01-05
4422869,CBIO,2089.5,2077.94995117188,1542.94836425781,2067.44995117188,2096.85009765625,1200,2010-01-06
4422885,CBIO,2089.5,2060.10009765625,1529.69421386719,2042.25,2089.5,1800,2010-01-07
4422889,CBIO,2060.10009765625,2102.10009765625,1560.8806152343802,2060.10009765625,2146.19995117188,800,2010-01-08
4422903,CBIO,2106.30004882812,2104.19995117188,1562.43981933594,2071.64990234375,2152.5,1100,2010-01-11
4422907,CBIO,2100.0,2105.25,1563.2194824218802,2090.55004882812,2128.35009765625,500,2010-01-12
4422922,CBIO,2126.25,2153.55004882812,1599.083984375,2113.64990234375,2176.64990234375,1100,2010-01-13
4422926,CBIO,2152.5,2171.39990234375,1612.3381347656198,2116.80004882812,2194.5,1000,2010-01-14
4422942,CBIO,2163.0,2165.10009765625,1607.66027832031,2127.30004882812,2177.69995117188,3800,2010-01-15
4422946,CBIO,2179.80004882812,2171.39990234375,1612.3381347656198,2117.85009765625,2179.80004882812,500,2010-01-19
4422960,CBIO,2142.0,2163.0,1606.1008300781198,2131.5,2188.19995117188,900,2010-01-20
4422964,CBIO,2163.0,2163.0,1606.1008300781198,2158.80004882812,2177.69995117188,2800,2010-01-21
4422978,CBIO,2170.35009765625,2169.30004882812,1610.77893066406,2163.0,2206.05004882812,1700,2010-01-22
4422982,CBIO,2188.19995117188,2168.25,1609.99914550781,2159.85009765625,2188.19995117188,1200,2010-01-25
4422996,CBIO,2168.25,2203.94995117188,1636.5075683593802,2163.0,2214.44995117188,1700,2010-01-26
4423000,CBIO,2203.94995117188,2174.55004882812,1614.67712402344,2145.14990234375,2234.39990234375,1400,2010-01-27
4423014,CBIO,2194.5,2168.25,1609.99914550781,2150.39990234375,2201.85009765625,800,2010-01-28
4423018,CBIO,2166.14990234375,2199.75,1633.38903808594,2165.10009765625,2205.0,4200,2010-01-29
4423033,CBIO,2197.64990234375,2184.0,1621.6940917968802,2155.64990234375,2197.64990234375,1200,2010-02-01
4423037,CBIO,2190.30004882812,2215.5,1645.08386230469,2170.35009765625,2224.94995117188,900,2010-02-02
4423053,CBIO,2216.55004882812,2220.75,1648.9821777343802,2203.94995117188,2241.75,800,2010-02-03
4423057,CBIO,2228.10009765625,2146.19995117188,1593.6262207031198,2138.85009765625,2228.10009765625,2400,2010-02-04
4423072,CBIO,2136.75,2124.14990234375,1577.25341796875,2033.84997558594,2136.75,1300,2010-02-05
4423076,CBIO,2124.14990234375,2132.55004882812,1583.49072265625,2109.44995117188,2163.0,600,2010-02-08
4423091,CBIO,2144.10009765625,2153.55004882812,1599.083984375,2139.89990234375,2190.30004882812,1300,2010-02-09
4423095,CBIO,2160.89990234375,2184.0,1621.6940917968802,2131.5,2184.0,600,2010-02-10
4423109,CBIO,2182.94995117188,2172.44995117188,1613.11779785156,2131.5,2193.44995117188,2500,2010-02-11
4423113,CBIO,2163.0,2145.14990234375,1592.84655761719,2055.89990234375,2175.60009765625,1600,2010-02-12
4423129,CBIO,2152.5,2098.94995117188,1558.54150390625,2053.80004882812,2159.85009765625,1300,2010-02-16
4423133,CBIO,2095.80004882812,2090.55004882812,1552.30432128906,2061.14990234375,2106.30004882812,700,2010-02-17
4423146,CBIO,2086.35009765625,2134.64990234375,1585.04992675781,2068.5,2135.69995117188,800,2010-02-18
