,ticker,open,close,Adj Close,low,high,volume,Date
14888199,CCS,23.0,21.25,21.25,20.6399993896484,23.399999618530302,4241900,2014-06-18
14888219,CCS,21.3700008392334,21.2000007629395,21.2000007629395,21.0300006866455,21.760000228881804,220700,2014-06-19
14888221,CCS,21.2000007629395,21.0,21.0,20.75,21.409999847412102,77100,2014-06-20
14888241,CCS,21.0,20.7399997711182,20.7399997711182,20.5499992370605,21.020000457763697,145700,2014-06-23
14888243,CCS,20.5499992370605,21.5,21.5,20.5499992370605,21.760000228881804,227100,2014-06-24
14888263,CCS,21.3099994659424,21.8199996948242,21.8199996948242,21.0100002288818,21.8199996948242,37800,2014-06-25
14888265,CCS,21.719999313354503,21.940000534057603,21.940000534057603,21.0100002288818,22.100000381469698,235700,2014-06-26
14888285,CCS,22.1700000762939,22.0,22.0,21.2999992370605,22.1949996948242,90100,2014-06-27
14888287,CCS,21.899999618530302,22.149999618530302,22.149999618530302,21.4500007629395,22.2900009155273,50200,2014-06-30
14888307,CCS,22.25,22.5,22.5,21.7900009155273,22.780000686645497,109800,2014-07-01
14888309,CCS,22.440000534057603,22.649999618530302,22.649999618530302,22.0,22.8400001525879,32800,2014-07-02
14888329,CCS,22.649999618530302,22.989999771118196,22.989999771118196,21.5699996948242,23.3400001525879,63300,2014-07-03
14888331,CCS,22.8600006103516,22.469999313354503,22.469999313354503,22.25,22.989999771118196,107000,2014-07-07
14888351,CCS,22.309999465942397,22.059999465942397,22.059999465942397,22.010000228881804,22.5200004577637,40600,2014-07-08
14888353,CCS,22.0200004577637,21.9599990844727,21.9599990844727,21.8600006103516,22.440000534057603,50000,2014-07-09
14888373,CCS,21.8199996948242,21.559999465942397,21.559999465942397,21.1299991607666,21.8199996948242,71300,2014-07-10
14888375,CCS,21.5900001525879,21.850000381469698,21.850000381469698,21.5,22.402000427246104,43300,2014-07-11
14888395,CCS,22.0400009155273,21.9500007629395,21.9500007629395,21.4400005340576,22.0400009155273,134100,2014-07-14
14888397,CCS,21.9599990844727,21.8700008392334,21.8700008392334,21.6200008392334,22.25,42700,2014-07-15
14888417,CCS,21.8799991607666,21.600000381469698,21.600000381469698,21.0499992370605,22.100000381469698,36800,2014-07-16
14888419,CCS,21.5799999237061,20.5699996948242,20.5699996948242,20.25,21.8600006103516,40600,2014-07-17
14888439,CCS,20.7000007629395,21.1000003814697,21.1000003814697,20.5100002288818,21.1000003814697,22700,2014-07-18
14888441,CCS,21.1399993896484,20.8999996185303,20.8999996185303,20.3700008392334,21.1399993896484,63500,2014-07-21
14888461,CCS,20.9200000762939,21.1299991607666,21.1299991607666,20.75,21.6299991607666,44400,2014-07-22
14888463,CCS,21.229999542236303,21.2800006866455,21.2800006866455,20.8099994659424,21.5200004577637,48300,2014-07-23
14888483,CCS,21.2199993133545,21.4599990844727,21.4599990844727,21.1000003814697,22.0,72200,2014-07-24
14888485,CCS,21.6100006103516,21.2399997711182,21.2399997711182,20.909999847412102,21.760000228881804,30300,2014-07-25
14888505,CCS,20.8700008392334,20.3299999237061,20.3299999237061,19.6399993896484,21.1700000762939,114300,2014-07-28
14888507,CCS,20.6800003051758,19.8500003814697,19.8500003814697,19.520000457763697,20.6800003051758,48300,2014-07-29
14888527,CCS,20.0300006866455,19.4899997711182,19.4899997711182,19.159999847412102,20.4200000762939,86300,2014-07-30
14888529,CCS,19.4899997711182,19.0699996948242,19.0699996948242,18.8600006103516,19.5300006866455,124800,2014-07-31
14888549,CCS,19.25,19.3500003814697,19.3500003814697,18.9899997711182,19.7600002288818,50700,2014-08-01
14888551,CCS,19.479999542236303,19.25,19.25,19.1499996185303,19.5799999237061,42000,2014-08-04
14888572,CCS,19.3099994659424,19.2099990844727,19.2099990844727,19.0100002288818,19.4500007629395,24000,2014-08-05
14888574,CCS,19.1499996185303,19.3500003814697,19.3500003814697,19.0300006866455,19.6879997253418,24900,2014-08-06
14888594,CCS,19.340000152587898,19.0100002288818,19.0100002288818,18.8999996185303,19.6399993896484,86700,2014-08-07
14888596,CCS,19.4599990844727,19.770000457763697,19.770000457763697,19.409999847412102,20.2000007629395,90900,2014-08-08
