,ticker,open,close,Adj Close,low,high,volume,Date
998242,CTRE,17.4899997711182,17.4899997711182,5.82559871673584,17.4899997711182,17.4899997711182,100,2014-05-29
998260,CTRE,17.75,21.0,6.99471521377563,17.75,21.0,2100,2014-05-30
998264,CTRE,21.0,21.600000381469698,7.194565296173099,21.0,22.0,145700,2014-06-02
998282,CTRE,21.4200000762939,20.659999847412102,6.88146734237671,20.4599990844727,22.344999313354503,3111000,2014-06-03
998286,CTRE,20.0599994659424,17.379999160766598,5.78895998001099,17.0799999237061,20.6499996185303,869000,2014-06-04
998305,CTRE,17.3400001525879,18.1000003814697,6.0287775993347195,16.8500003814697,18.4899997711182,190800,2014-06-05
998309,CTRE,18.2800006866455,17.6700000762939,5.88555383682251,17.4699993133545,18.4899997711182,177200,2014-06-06
998327,CTRE,17.6700000762939,17.3199996948242,5.76897478103638,17.25,17.8999996185303,186200,2014-06-09
998331,CTRE,17.1499996185303,17.0,5.66238737106323,16.8500003814697,17.25,240500,2014-06-10
998349,CTRE,17.0,16.8600006103516,5.61575651168823,16.75,17.5599994659424,123900,2014-06-11
998353,CTRE,16.7399997711182,16.6900005340576,5.5591325759887695,16.3199996948242,16.8999996185303,240100,2014-06-12
998371,CTRE,16.8400001525879,17.25,5.74565982818604,16.4400005340576,17.5,80300,2014-06-13
998375,CTRE,17.25,17.5900001525879,5.85890817642212,16.770000457763697,17.871999740600604,85000,2014-06-16
998393,CTRE,17.6800003051758,18.0,5.995470523834231,17.0599994659424,18.25,116500,2014-06-17
998397,CTRE,17.9599990844727,18.2000007629395,6.0620865821838406,17.2999992370605,18.2900009155273,76000,2014-06-18
998415,CTRE,18.3600006103516,18.270000457763697,6.0854024887085,18.020000457763697,18.5100002288818,179100,2014-06-19
998419,CTRE,18.4400005340576,19.1200008392334,6.36852216720581,18.2600002288818,19.2399997711182,348500,2014-06-20
998437,CTRE,19.3199996948242,18.8600006103516,6.281920909881589,18.7000007629395,19.590000152587898,121100,2014-06-23
998441,CTRE,18.9300003051758,18.8099994659424,6.26526689529419,18.7600002288818,19.1900005340576,156900,2014-06-24
998460,CTRE,18.7399997711182,19.159999847412102,6.38184452056885,18.270000457763697,19.2019996643066,89300,2014-06-25
998464,CTRE,19.0799999237061,19.020000457763697,6.33521366119385,18.5400009155273,19.2099990844727,57600,2014-06-26
998482,CTRE,18.8799991607666,19.2600002288818,6.41515398025513,18.6200008392334,19.2900009155273,238100,2014-06-27
998486,CTRE,19.2800006866455,19.7999992370605,6.5950179100036594,19.0100002288818,19.8700008392334,167300,2014-06-30
998504,CTRE,19.9699993133545,19.8199996948242,6.601678848266599,19.7800006866455,20.2000007629395,294900,2014-07-01
998508,CTRE,19.8199996948242,19.8099994659424,6.59834814071655,19.5699996948242,20.2000007629395,154900,2014-07-02
998525,CTRE,19.8899993896484,19.8999996185303,6.62832498550415,19.3500003814697,20.1499996185303,32600,2014-07-03
998529,CTRE,19.8600006103516,19.5300006866455,6.50508546829224,19.3449993133545,20.1550006866455,134100,2014-07-07
998547,CTRE,19.5499992370605,19.1200008392334,6.36852216720581,18.6000003814697,19.9400005340576,118300,2014-07-08
998551,CTRE,19.1399993896484,19.0,6.328551769256589,18.6200008392334,19.2999992370605,67500,2014-07-09
998569,CTRE,18.6399993896484,18.5300006866455,6.17200469970703,18.020000457763697,19.0,123000,2014-07-10
998573,CTRE,18.4599990844727,18.2000007629395,6.0620865821838406,18.0599994659424,18.5,93300,2014-07-11
998591,CTRE,18.3999996185303,18.2199993133545,6.068748950958249,18.0300006866455,18.5400009155273,120600,2014-07-14
998595,CTRE,18.1299991607666,17.5900001525879,5.85890817642212,17.5,18.5,75300,2014-07-15
998612,CTRE,17.7199993133545,17.6800003051758,5.8888845443725595,17.1900005340576,18.445999145507802,102900,2014-07-16
998616,CTRE,17.5400009155273,17.4599990844727,5.815607070922849,17.1000003814697,17.756000518798803,109000,2014-07-17
998634,CTRE,17.2900009155273,18.0100002288818,5.99880075454712,17.2900009155273,18.3099994659424,98700,2014-07-18
998638,CTRE,17.7999992370605,17.7399997711182,5.90887022018433,17.5,18.1800003051758,76800,2014-07-21
998656,CTRE,17.9500007629395,17.8600006103516,5.9488387107849094,17.5900001525879,18.0,75800,2014-07-22
998660,CTRE,17.840000152587898,17.7000007629395,5.895545482635501,17.5499992370605,17.979999542236303,59100,2014-07-23
998678,CTRE,17.7399997711182,17.5900001525879,5.85890817642212,17.5499992370605,18.0,59400,2014-07-24
998682,CTRE,17.5,17.6800003051758,5.8888845443725595,17.5,17.7199993133545,103900,2014-07-25
998700,CTRE,17.6299991607666,17.8099994659424,5.93218469619751,17.6100006103516,17.9899997711182,80000,2014-07-28
998704,CTRE,17.7999992370605,17.4899997711182,5.82559871673584,17.3999996185303,17.9599990844727,223800,2014-07-29
998722,CTRE,17.5499992370605,17.3299999237061,5.7723069190979,17.2999992370605,17.8799991607666,58100,2014-07-30
998726,CTRE,17.2999992370605,17.0599994659424,5.682373046875,17.020000457763697,17.8299999237061,118600,2014-07-31
998744,CTRE,17.1100006103516,16.6499996185303,5.545809745788571,16.3999996185303,17.3050003051758,105200,2014-08-01
998748,CTRE,16.7800006866455,16.3099994659424,5.432561874389651,16.1000003814697,17.2800006866455,119900,2014-08-04
998766,CTRE,16.229999542236303,15.460000038147,5.1494436264038095,15.0699996948242,16.6599998474121,157700,2014-08-05
998774,CTRE,15.3500003814697,15.1899995803833,5.0595121383667,15.020000457763699,15.758000373840302,48300,2014-08-06
998792,CTRE,15.3000001907349,15.229999542236301,5.07283401489258,14.6700000762939,15.4200000762939,112300,2014-08-07
998797,CTRE,15.220000267028801,15.289999961853,5.0928201675414995,14.609999656677198,15.4099998474121,62600,2014-08-08
998815,CTRE,15.3299999237061,15.229999542236301,5.07283401489258,14.9399995803833,15.7399997711182,79700,2014-08-11
998819,CTRE,15.1999998092651,15.4300003051758,5.13945055007935,15.020000457763699,15.5799999237061,61700,2014-08-12
998837,CTRE,15.1800003051758,15.6800003051758,5.22272109985352,15.1800003051758,15.9300003051758,60500,2014-08-13
998841,CTRE,16.0,16.1599998474121,5.3825998306274405,15.970000267028801,16.7800006866455,91400,2014-08-14
998859,CTRE,16.4500007629395,16.8899993896484,5.62574863433838,16.2000007629395,16.9300003051758,104200,2014-08-15
998863,CTRE,17.1100006103516,17.3500003814697,5.77896785736084,16.8099994659424,17.5,79200,2014-08-18
998881,CTRE,17.3199996948242,17.6100006103516,5.8655681610107395,17.3199996948242,17.75,229900,2014-08-19
998885,CTRE,17.520000457763697,17.6299991607666,5.87222957611084,17.5100002288818,17.8999996185303,39400,2014-08-20
998903,CTRE,17.5799999237061,17.5,5.8289289474487305,17.3999996185303,17.8999996185303,73000,2014-08-21
998906,CTRE,17.4200000762939,17.5799999237061,5.855576038360599,17.379999160766598,17.840000152587898,71600,2014-08-22
998924,CTRE,17.7199993133545,17.5,5.8289289474487305,17.25,17.7199993133545,53800,2014-08-25
998931,CTRE,17.4599990844727,17.520000457763697,5.83559226989746,17.3500003814697,17.75,57300,2014-08-26
998993,CTRE,17.3099994659424,17.5100002288818,5.832260608673099,17.3099994659424,17.6299991607666,76700,2014-08-27
998997,CTRE,17.4300003051758,17.6100006103516,5.8655681610107395,17.4099998474121,17.7399997711182,83300,2014-08-28
999017,CTRE,17.7099990844727,17.4699993133545,5.8189382553100595,17.4599990844727,17.7399997711182,74200,2014-08-29
999021,CTRE,17.5499992370605,17.4699993133545,5.8189382553100595,17.3099994659424,17.7099990844727,113100,2014-09-02
999040,CTRE,17.5,17.3199996948242,5.76897478103638,17.2000007629395,17.7399997711182,65300,2014-09-03
999044,CTRE,17.729999542236303,17.3500003814697,5.77896785736084,17.3299999237061,17.729999542236303,36800,2014-09-04
999063,CTRE,17.2399997711182,17.3600006103516,5.78229856491089,17.2150001525879,17.520000457763697,37400,2014-09-05
999067,CTRE,17.2800006866455,17.6299991607666,5.87222957611084,17.2800006866455,17.6800003051758,46700,2014-09-08
999087,CTRE,17.5599994659424,17.2600002288818,5.748990058898929,17.1900005340576,17.7000007629395,29800,2014-09-09
999091,CTRE,17.2099990844727,17.4699993133545,5.8189382553100595,17.2099990844727,17.5900001525879,63300,2014-09-10
999110,CTRE,17.3600006103516,17.0300006866455,5.67238092422485,16.7199993133545,17.5499992370605,57800,2014-09-11
999114,CTRE,17.0499992370605,16.5900001525879,5.5258264541626,16.3899993896484,17.1100006103516,43700,2014-09-12
999132,CTRE,16.5499992370605,15.9300003051758,5.30599164962769,15.9200000762939,16.7999992370605,29900,2014-09-15
999136,CTRE,15.8400001525879,15.460000038147,5.1494436264038095,15.4399995803833,16.0,169500,2014-09-16
999155,CTRE,15.479999542236301,15.130000114440902,5.03952550888062,14.7600002288818,16.0499992370605,349600,2014-09-17
999159,CTRE,15.1599998474121,15.2600002288818,5.08282661437988,14.9200000762939,15.539999961853,227300,2014-09-18
999177,CTRE,15.3000001907349,15.3000001907349,5.096149921417241,15.020000457763699,15.8400001525879,418300,2014-09-19
