,ticker,open,close,Adj Close,low,high,volume,Date
19161345,CYOU,33.7299995422363,35.310001373291,20.274616241455103,33.5999984741211,35.9199981689453,416700,2010-01-04
19161357,CYOU,35.6199989318848,35.25,20.240163803100604,34.25,35.6599998474121,142100,2010-01-05
19161363,CYOU,35.3699989318848,35.52000045776371,20.3951950073242,34.740001678466804,35.8300018310547,172400,2010-01-06
19161375,CYOU,35.529998779296896,34.8699989318848,20.02197265625,34.310001373291,35.819999694824205,151200,2010-01-07
19161380,CYOU,34.470001220703104,35.209999084472706,20.2171955108643,34.0699996948242,35.4000015258789,110300,2010-01-08
19161392,CYOU,35.2999992370605,34.6300010681152,19.884168624877898,34.4000015258789,35.779998779296896,134800,2010-01-11
19161398,CYOU,34.0,33.5999984741211,19.2927513122559,32.580001831054695,34.2299995422363,218500,2010-01-12
19161410,CYOU,34.5999984741211,34.080001831054695,19.5683650970459,33.8499984741211,34.5999984741211,87300,2010-01-13
19161416,CYOU,33.75,34.0200004577637,19.5339126586914,33.75,34.279998779296896,89200,2010-01-14
19161428,CYOU,34.080001831054695,34.5200004577637,19.8210067749023,33.7000007629395,34.5999984741211,235400,2010-01-15
19161434,CYOU,34.740001678466804,35.7400016784668,20.521518707275398,34.5499992370605,35.779998779296896,216900,2010-01-19
19161446,CYOU,35.430000305175795,35.319999694824205,20.2803573608398,34.560001373291,36.4000015258789,438700,2010-01-20
19161452,CYOU,35.4099998474121,34.919998168945305,20.0506820678711,34.6300010681152,35.4099998474121,285900,2010-01-21
19161464,CYOU,34.75,32.990001678466804,18.942497253418,32.6300010681152,34.759998321533196,345900,2010-01-22
19161470,CYOU,32.6399993896484,32.759998321533196,18.810432434082,31.9099998474121,33.0699996948242,188800,2010-01-25
19161482,CYOU,32.5400009155273,33.259998321533196,19.097526550293,32.2700004577637,33.560001373291,307200,2010-01-26
19161487,CYOU,33.25,32.7099990844727,18.781724929809602,32.1100006103516,33.8600006103516,362900,2010-01-27
19161499,CYOU,32.810001373291,32.6500015258789,18.747272491455103,31.75,33.2000007629395,472100,2010-01-28
19161505,CYOU,33.2099990844727,33.5900001525879,19.2870121002197,32.669998168945305,34.919998168945305,430000,2010-01-29
19161517,CYOU,31.649999618530302,32.669998168945305,18.758754730224602,30.600000381469698,33.2700004577637,751100,2010-02-01
19161522,CYOU,33.0900001525879,32.9599990844727,18.9252700805664,32.1500015258789,34.490001678466804,315100,2010-02-02
19161534,CYOU,32.6599998474121,33.990001678466804,19.5166873931885,32.6599998474121,34.0499992370605,260900,2010-02-03
19161539,CYOU,33.7099990844727,32.8899993896484,18.885076522827102,32.7000007629395,34.0999984741211,184200,2010-02-04
19161551,CYOU,32.6300010681152,32.970001220703104,18.9310131072998,32.4300003051758,33.3899993896484,273900,2010-02-05
19161557,CYOU,33.1599998474121,33.009998321533196,18.9539794921875,32.6100006103516,34.2099990844727,88700,2010-02-08
19161569,CYOU,33.2999992370605,33.3600006103516,19.1549472808838,32.939998626709,33.8499984741211,95100,2010-02-09
19161576,CYOU,34.0,33.1500015258789,19.034368515014602,33.0900001525879,34.0999984741211,289000,2010-02-10
19161588,CYOU,33.0499992370605,33.6199989318848,19.304235458374,32.7099990844727,33.7000007629395,79700,2010-02-11
19161593,CYOU,33.5,33.669998168945305,19.3329448699951,32.9000015258789,34.1100006103516,146800,2010-02-12
19161605,CYOU,33.779998779296896,33.5,19.235332489013697,33.2700004577637,33.7999992370605,166100,2010-02-16
19161610,CYOU,33.5,33.2000007629395,19.0630779266357,33.1599998474121,33.7299995422363,118700,2010-02-17
19161622,CYOU,33.1300010681152,33.169998168945305,19.045850753784197,33.0,33.4099998474121,143600,2010-02-18
19161627,CYOU,33.0,33.779998779296896,19.3961067199707,32.9000015258789,33.8800010681152,140300,2010-02-19
19161639,CYOU,34.0,32.919998168945305,18.9023036956787,32.720001220703104,34.0,193100,2010-02-22
19161643,CYOU,32.75,32.4599990844727,18.6381759643555,32.310001373291,33.3899993896484,201800,2010-02-23
19161655,CYOU,32.439998626709,33.169998168945305,19.045850753784197,31.989999771118196,33.2900009155273,267800,2010-02-24
19161661,CYOU,32.5900001525879,32.830001831054695,18.850627899169897,32.2299995422363,32.9799995422363,111800,2010-02-25
19161673,CYOU,32.830001831054695,33.2000007629395,19.0630779266357,32.759998321533196,33.4099998474121,99600,2010-02-26
19161677,CYOU,32.759998321533196,32.9599990844727,18.9252700805664,32.759998321533196,34.2099990844727,231600,2010-03-01
19161689,CYOU,33.080001831054695,31.9099998474121,18.3223724365234,31.7999992370605,33.080001831054695,282900,2010-03-02
19161695,CYOU,32.1500015258789,31.3600006103516,18.0065689086914,31.309999465942397,32.1500015258789,130000,2010-03-03
19161707,CYOU,31.6100006103516,32.029998779296896,18.3912754058838,31.559999465942397,32.169998168945305,123100,2010-03-04
19161713,CYOU,31.9599990844727,32.3800010681152,18.5922412872314,31.719999313354503,32.5999984741211,101200,2010-03-05
19161725,CYOU,32.3800010681152,32.6300010681152,18.7357902526855,32.0999984741211,32.759998321533196,204500,2010-03-08
19161730,CYOU,32.0400009155273,31.9200000762939,18.3281154632568,31.510000228881804,32.5400009155273,235100,2010-03-09
19161742,CYOU,31.780000686645497,31.75,18.230503082275398,31.5,32.1199989318848,155800,2010-03-10
19161747,CYOU,31.7700004577637,31.7299995422363,18.2190189361572,31.399999618530302,31.9200000762939,211900,2010-03-11
19161759,CYOU,31.969999313354503,31.969999313354503,18.356824874877898,31.850000381469698,32.470001220703104,248600,2010-03-12
19161765,CYOU,31.75,30.969999313354503,17.782634735107397,30.6599998474121,32.1100006103516,235100,2010-03-15
19161777,CYOU,31.2700004577637,32.1100006103516,18.437210083007802,31.2700004577637,32.279998779296896,234500,2010-03-16
19161783,CYOU,32.1599998474121,31.7299995422363,18.2190189361572,31.1800003051758,32.2700004577637,228600,2010-03-17
19161795,CYOU,31.440000534057603,32.189998626709,18.4831447601318,31.309999465942397,32.4000015258789,201100,2010-03-18
19161801,CYOU,31.8799991607666,31.8799991607666,18.3051471710205,31.6200008392334,32.2900009155273,89400,2010-03-19
19161813,CYOU,31.7999992370605,31.5400009155273,18.1099243164062,31.3199996948242,32.0,127300,2010-03-22
19161818,CYOU,31.469999313354503,31.0900001525879,17.8515377044678,30.809999465942397,31.6399993896484,293700,2010-03-23
19161830,CYOU,30.940000534057603,30.190000534057603,17.3347682952881,30.1200008392334,31.0699996948242,239700,2010-03-24
19161837,CYOU,30.2299995422363,30.219999313354503,17.351993560790998,30.0499992370605,30.6100006103516,178000,2010-03-25
19161849,CYOU,30.260000228881804,30.0799999237061,17.2716064453125,29.7999992370605,30.690000534057603,108000,2010-03-26
19161855,CYOU,30.3799991607666,29.8899993896484,17.1625099182129,29.5499992370605,30.559999465942397,259900,2010-03-29
19161867,CYOU,29.8199996948242,30.1200008392334,17.294574737548803,29.399999618530302,30.4599990844727,359900,2010-03-30
19161872,CYOU,29.9099998474121,30.7999992370605,17.685022354126,29.760000228881804,31.0799999237061,274900,2010-03-31
19161884,CYOU,31.0,30.75,17.6563129425049,30.530000686645497,31.4300003051758,218500,2010-04-01
19161890,CYOU,31.0200004577637,31.5799999237061,18.1328907012939,30.719999313354503,31.760000228881804,236600,2010-04-05
19161902,CYOU,31.2700004577637,32.0900001525879,18.425725936889602,30.7999992370605,32.189998626709,183900,2010-04-06
19161908,CYOU,32.080001831054695,32.1500015258789,18.4601783752441,31.739999771118196,32.2700004577637,229100,2010-04-07
19161920,CYOU,32.0,32.2299995422363,18.5061130523682,31.690000534057603,32.4000015258789,103600,2010-04-08
