,ticker,open,close,Adj Close,low,high,volume,Date
12002578,DESP,29.0,31.780000686645497,31.780000686645497,27.9099998474121,32.6399993896484,10174600,2017-09-20
12002596,DESP,32.5400009155273,30.8400001525879,30.8400001525879,30.7000007629395,32.5900001525879,1573000,2017-09-21
12002598,DESP,30.6599998474121,32.1599998474121,32.1599998474121,30.600000381469698,33.4000015258789,1396500,2017-09-22
12002618,DESP,32.310001373291,31.8899993896484,31.8899993896484,31.2999992370605,32.740001678466804,1005600,2017-09-25
12002620,DESP,31.9200000762939,32.009998321533196,32.009998321533196,31.4500007629395,32.0900001525879,366300,2017-09-26
12002643,DESP,32.1100006103516,32.0,32.0,31.9300003051758,32.9300003051758,703900,2017-09-27
12002645,DESP,31.940000534057603,32.220001220703104,32.220001220703104,31.809999465942397,32.8199996948242,439900,2017-09-28
12002664,DESP,32.0999984741211,32.0,32.0,31.9500007629395,32.3499984741211,797300,2017-09-29
12002666,DESP,31.969999313354503,31.5499992370605,31.5499992370605,31.5,31.969999313354503,122800,2017-10-02
12002686,DESP,31.6399993896484,32.0,32.0,31.399999618530302,32.169998168945305,406700,2017-10-03
12002688,DESP,32.0,32.1599998474121,32.1599998474121,31.5699996948242,32.4000015258789,247400,2017-10-04
12002707,DESP,32.0999984741211,32.080001831054695,32.080001831054695,31.3400001525879,32.470001220703104,204100,2017-10-05
12002709,DESP,32.2299995422363,32.310001373291,32.310001373291,32.0699996948242,32.4500007629395,112400,2017-10-06
12002727,DESP,32.7999992370605,33.2999992370605,33.2999992370605,32.7999992370605,34.1199989318848,695000,2017-10-09
12002729,DESP,33.5499992370605,33.8699989318848,33.8699989318848,33.0499992370605,33.9099998474121,258000,2017-10-10
12002747,DESP,33.7099990844727,33.5999984741211,33.5999984741211,33.1100006103516,34.0,148100,2017-10-11
12002749,DESP,33.669998168945305,33.0,33.0,32.7900009155273,34.7000007629395,337200,2017-10-12
12002767,DESP,33.0,33.939998626709,33.939998626709,33.0,34.009998321533196,159900,2017-10-13
12002769,DESP,33.560001373291,33.1800003051758,33.1800003051758,32.8499984741211,33.560001373291,618800,2017-10-16
12002787,DESP,32.759998321533196,32.5200004577637,32.5200004577637,30.059999465942397,32.8800010681152,510700,2017-10-17
12002789,DESP,32.5200004577637,32.279998779296896,32.279998779296896,32.0200004577637,32.8899993896484,130800,2017-10-18
12002809,DESP,31.760000228881804,30.809999465942397,30.809999465942397,30.5400009155273,32.169998168945305,421200,2017-10-19
12002811,DESP,30.559999465942397,30.100000381469698,30.100000381469698,29.899999618530302,31.5400009155273,326200,2017-10-20
12002832,DESP,30.0,29.780000686645497,29.780000686645497,29.649999618530302,30.6800003051758,236900,2017-10-23
12002834,DESP,29.739999771118196,30.1299991607666,30.1299991607666,29.6399993896484,30.4650001525879,90400,2017-10-24
12002852,DESP,30.0,30.0,30.0,29.309999465942397,30.149999618530302,149700,2017-10-25
12002854,DESP,30.030000686645497,30.059999465942397,30.059999465942397,29.469999313354503,30.2099990844727,76000,2017-10-26
12002871,DESP,29.8299999237061,29.6700000762939,29.6700000762939,29.1700000762939,30.0,111700,2017-10-27
12002873,DESP,29.6599998474121,29.9500007629395,29.9500007629395,29.257999420166,30.0,44600,2017-10-30
12002891,DESP,29.7999992370605,30.7999992370605,30.7999992370605,29.600000381469698,30.850000381469698,241800,2017-10-31
12002892,DESP,30.690000534057603,30.5799999237061,30.5799999237061,29.844999313354503,30.9599990844727,194500,2017-11-01
12002894,DESP,30.3299999237061,29.690000534057603,29.690000534057603,29.6700000762939,30.4799995422363,140400,2017-11-02
12002912,DESP,29.760000228881804,29.850000381469698,29.850000381469698,29.3199996948242,30.0,79300,2017-11-03
12002914,DESP,29.9500007629395,29.899999618530302,29.899999618530302,29.6100006103516,30.4200000762939,44100,2017-11-06
12002931,DESP,29.809999465942397,29.059999465942397,29.059999465942397,28.9099998474121,30.0,137300,2017-11-07
12002932,DESP,28.8199996948242,29.3400001525879,29.3400001525879,28.010000228881804,29.850000381469698,183900,2017-11-08
12002934,DESP,29.149999618530302,29.239999771118196,29.239999771118196,28.989999771118196,29.5699996948242,133900,2017-11-09
12002951,DESP,29.280000686645497,28.649999618530302,28.649999618530302,28.3299999237061,29.399999618530302,133500,2017-11-10
12002952,DESP,28.4200000762939,28.2999992370605,28.2999992370605,28.1700000762939,28.7700004577637,113300,2017-11-13
12002954,DESP,28.350000381469698,28.5400009155273,28.5400009155273,28.010000228881804,29.0,181200,2017-11-14
12002973,DESP,28.469999313354503,28.2900009155273,28.2900009155273,28.0,28.607000350952102,139300,2017-11-15
12002975,DESP,28.6299991607666,29.1599998474121,29.1599998474121,28.547000885009798,29.4500007629395,193200,2017-11-16
12002993,DESP,29.469999313354503,28.5,28.5,27.25,29.999000549316396,423800,2017-11-17
12002994,DESP,28.6100006103516,27.2999992370605,27.2999992370605,27.25,28.75,207100,2017-11-20
12002996,DESP,27.469999313354503,27.7999992370605,27.7999992370605,27.2700004577637,28.2999992370605,214500,2017-11-21
12003014,DESP,27.989999771118196,26.9099998474121,26.9099998474121,26.5900001525879,28.100000381469698,200400,2017-11-22
12003016,DESP,26.8600006103516,27.010000228881804,27.010000228881804,26.7000007629395,27.760000228881804,279200,2017-11-24
12003032,DESP,26.9300003051758,25.809999465942397,25.809999465942397,24.809999465942397,27.1200008392334,298800,2017-11-27
12003034,DESP,25.8700008392334,25.030000686645497,25.030000686645497,24.899999618530302,26.0499992370605,667600,2017-11-28
12003050,DESP,25.2099990844727,24.0,24.0,23.7900009155273,25.3530006408691,484300,2017-11-29
12003052,DESP,24.25,24.0,24.0,23.7700004577637,24.649999618530302,272200,2017-11-30
12003068,DESP,23.899999618530302,23.690000534057603,23.690000534057603,23.2000007629395,24.0799999237061,407400,2017-12-01
12003070,DESP,24.059999465942397,22.8799991607666,22.8799991607666,22.7299995422363,24.1700000762939,490700,2017-12-04
12003086,DESP,22.7700004577637,23.010000228881804,23.010000228881804,22.7700004577637,23.7299995422363,730700,2017-12-05
12003088,DESP,23.1299991607666,25.7999992370605,25.7999992370605,23.0,25.989999771118196,423800,2017-12-06
12003104,DESP,25.600000381469698,26.899999618530302,26.899999618530302,25.141000747680696,27.2350006103516,492200,2017-12-07
12003106,DESP,26.8899993896484,26.6200008392334,26.6200008392334,25.489999771118196,27.010000228881804,205700,2017-12-08
12003122,DESP,26.4500007629395,26.030000686645497,26.030000686645497,25.850000381469698,26.9500007629395,160600,2017-12-11
12003124,DESP,26.010000228881804,26.030000686645497,26.030000686645497,25.899999618530302,26.690000534057603,168300,2017-12-12
12003140,DESP,26.4200000762939,26.239999771118196,26.239999771118196,26.0,26.6200008392334,248400,2017-12-13
12003142,DESP,26.3400001525879,26.399999618530302,26.399999618530302,26.0900001525879,26.75,377300,2017-12-14
12003158,DESP,26.469999313354503,26.8400001525879,26.8400001525879,26.0699996948242,26.8799991607666,322200,2017-12-15
12003160,DESP,27.0,26.100000381469698,26.100000381469698,25.8799991607666,27.4179992675781,182500,2017-12-18
12003176,DESP,26.1800003051758,26.2999992370605,26.2999992370605,25.527000427246104,26.5049991607666,84100,2017-12-19
12003178,DESP,26.440000534057603,27.190000534057603,27.190000534057603,26.3299999237061,27.350000381469698,209200,2017-12-20
12003194,DESP,27.2700004577637,27.9500007629395,27.9500007629395,27.2099990844727,28.2700004577637,136000,2017-12-21
12003196,DESP,27.8400001525879,28.0499992370605,28.0499992370605,27.649999618530302,28.559999465942397,180500,2017-12-22
12003212,DESP,27.8600006103516,27.6100006103516,27.6100006103516,27.2240009307861,28.239999771118196,124000,2017-12-26
12003214,DESP,27.4500007629395,27.510000228881804,27.510000228881804,27.1599998474121,28.010000228881804,168700,2017-12-27
12003230,DESP,27.3400001525879,27.0,27.0,26.7999992370605,27.7549991607666,225200,2017-12-28
12003232,DESP,26.9799995422363,27.4799995422363,27.4799995422363,26.7700004577637,27.6299991607666,115000,2017-12-29
12003248,DESP,27.5200004577637,29.030000686645497,29.030000686645497,27.5200004577637,29.030000686645497,88300,2018-01-02
12003250,DESP,29.5200004577637,28.3700008392334,28.3700008392334,28.1599998474121,29.5200004577637,245600,2018-01-03
12003267,DESP,28.3700008392334,27.3299999237061,27.3299999237061,26.8899993896484,28.7299995422363,112100,2018-01-04
12003269,DESP,27.6299991607666,28.2299995422363,28.2299995422363,27.6200008392334,28.725000381469698,75300,2018-01-05
12003285,DESP,28.010000228881804,28.219999313354503,28.219999313354503,27.6450004577637,28.9599990844727,74800,2018-01-08
12003287,DESP,28.3600006103516,27.5900001525879,27.5900001525879,27.440000534057603,28.5,69100,2018-01-09
12003304,DESP,27.719999313354503,26.489999771118196,26.489999771118196,26.3700008392334,27.719999313354503,175600,2018-01-10
12003306,DESP,27.649999618530302,28.5799999237061,28.5799999237061,27.600000381469698,29.149999618530302,264000,2018-01-11
12003322,DESP,28.6200008392334,29.309999465942397,29.309999465942397,28.3799991607666,29.5,97300,2018-01-12
12003324,DESP,29.4200000762939,28.6200008392334,28.6200008392334,28.219999313354503,29.989999771118196,149700,2018-01-16
12003340,DESP,29.0,29.25,29.25,28.559999465942397,30.1299991607666,146300,2018-01-17
12003342,DESP,29.0699996948242,28.809999465942397,28.809999465942397,28.25,29.5930004119873,99300,2018-01-18
12003358,DESP,29.0900001525879,29.1800003051758,29.1800003051758,28.875,29.4099998474121,229500,2018-01-19
12003360,DESP,29.1800003051758,30.100000381469698,30.100000381469698,29.0400009155273,30.350000381469698,143300,2018-01-22
12003376,DESP,30.100000381469698,30.0200004577637,30.0200004577637,29.9599990844727,30.649999618530302,184700,2018-01-23
12003378,DESP,30.0200004577637,30.0,30.0,29.8700008392334,30.5200004577637,80800,2018-01-24
12003394,DESP,30.1200008392334,30.030000686645497,30.030000686645497,29.489999771118196,30.239999771118196,175500,2018-01-25
12003396,DESP,30.3600006103516,30.649999618530302,30.649999618530302,30.0499992370605,31.149999618530302,108400,2018-01-26
12003412,DESP,30.8400001525879,30.8400001525879,30.8400001525879,29.940000534057603,32.8600006103516,169500,2018-01-29
12003414,DESP,30.9099998474121,30.100000381469698,30.100000381469698,29.9599990844727,30.9099998474121,82000,2018-01-30
12003430,DESP,30.1100006103516,30.4500007629395,30.4500007629395,29.9449996948242,30.719999313354503,101600,2018-01-31
12003432,DESP,30.25,30.25,30.25,29.7099990844727,30.3600006103516,134600,2018-02-01
12003515,DESP,30.25,30.0499992370605,30.0499992370605,29.899999618530302,30.260000228881804,207700,2018-02-02
12003517,DESP,29.690000534057603,29.2000007629395,29.2000007629395,28.8899993896484,30.219999313354503,228500,2018-02-05
12003539,DESP,28.5200004577637,29.2099990844727,29.2099990844727,28.3400001525879,29.3700008392334,198500,2018-02-06
12003541,DESP,29.3600006103516,29.5,29.5,27.7000007629395,29.9500007629395,272700,2018-02-07
12003561,DESP,29.4300003051758,28.7900009155273,28.7900009155273,28.0900001525879,29.7700004577637,151500,2018-02-08
12003563,DESP,28.780000686645497,27.4799995422363,27.4799995422363,26.5200004577637,28.780000686645497,373800,2018-02-09
12003581,DESP,27.6299991607666,27.760000228881804,27.760000228881804,27.469999313354503,28.4300003051758,164600,2018-02-12
12003583,DESP,27.8600006103516,27.9099998474121,27.9099998474121,27.4300003051758,27.9300003051758,245500,2018-02-13
12003600,DESP,27.739999771118196,28.7000007629395,28.7000007629395,27.4850006103516,28.850000381469698,164800,2018-02-14
12003602,DESP,28.5499992370605,28.399999618530302,28.399999618530302,27.9099998474121,29.5900001525879,98800,2018-02-15
12003618,DESP,28.399999618530302,28.719999313354503,28.719999313354503,28.0499992370605,29.100000381469698,104700,2018-02-16
12003620,DESP,28.719999313354503,28.2000007629395,28.2000007629395,27.75,29.0200004577637,83200,2018-02-20
