,ticker,open,close,Adj Close,low,high,volume,Date
14257411,DSE,20.0,20.0100002288818,12.225484848022498,19.9899997711182,20.0400009155273,695700,2014-06-26
14257430,DSE,20.0,20.0,12.219373703002901,20.0,20.1800003051758,121000,2014-06-27
14257432,DSE,20.0799999237061,20.020000457763697,12.231595993042,20.0,20.0799999237061,44700,2014-06-30
14257450,DSE,20.0100002288818,20.0,12.219373703002901,20.0,20.0319995880127,57100,2014-07-01
14257452,DSE,20.0,20.0,12.219373703002901,19.840000152587898,20.0100002288818,75600,2014-07-02
14257475,DSE,20.0100002288818,20.0100002288818,12.225484848022498,20.0,20.0100002288818,81700,2014-07-03
14257510,DSE,20.0,20.0,12.219373703002901,20.0,20.020000457763697,50700,2014-07-07
14257530,DSE,20.0,20.0,12.219373703002901,20.0,20.0100002288818,71400,2014-07-08
14257532,DSE,20.0,20.0100002288818,12.225484848022498,20.0,20.0160007476807,27900,2014-07-09
14257553,DSE,20.0,20.003000259399396,12.2212066650391,20.0,20.0100002288818,14000,2014-07-10
14257555,DSE,20.0,20.0,12.219373703002901,20.0,20.0100002288818,15000,2014-07-11
14257579,DSE,19.9500007629395,20.020000457763697,12.231595993042,19.9500007629395,20.0300006866455,46200,2014-07-14
14257581,DSE,20.0,20.0300006866455,12.2377052307129,20.0,20.0300006866455,9500,2014-07-15
14257601,DSE,20.020000457763697,20.0100002288818,12.225484848022498,20.0,20.020000457763697,15100,2014-07-16
14257603,DSE,20.0,20.0,12.219373703002901,20.0,20.020000457763697,15700,2014-07-17
14257622,DSE,20.017999649047898,20.0,12.219373703002901,20.0,20.020000457763697,5100,2014-07-18
14257624,DSE,20.0100002288818,20.0009994506836,12.2199859619141,20.0,20.0100002288818,31000,2014-07-21
14257642,DSE,20.0100002288818,20.0090007781982,12.224873542785598,20.0,20.0300006866455,29900,2014-07-22
14257644,DSE,20.0100002288818,20.0100002288818,12.225484848022498,20.0,20.0100002288818,31700,2014-07-23
14257662,DSE,20.0,20.0,12.219373703002901,20.0,20.0100002288818,26500,2014-07-24
14257664,DSE,20.0,20.0100002288818,12.225484848022498,19.976999282836896,20.0499992370605,14600,2014-07-25
14257683,DSE,20.1499996185303,20.0,12.219373703002901,20.0,20.1499996185303,44700,2014-07-28
14257685,DSE,20.0,20.0100002288818,12.225484848022498,20.0,20.0100002288818,42400,2014-07-29
14257703,DSE,20.0100002288818,20.0300006866455,12.2377052307129,20.0,20.0499992370605,42200,2014-07-30
14257705,DSE,20.0,20.0,12.219373703002901,20.0,20.0259990692139,52600,2014-07-31
14257723,DSE,20.0,20.0100002288818,12.225484848022498,20.0,20.0100002288818,50100,2014-08-01
14257725,DSE,20.0,20.0,12.219373703002901,20.0,20.0300006866455,53100,2014-08-04
14257743,DSE,19.979999542236303,19.25,11.761148452758801,19.0,19.979999542236303,504300,2014-08-05
14257745,DSE,19.2600002288818,19.5,11.9138927459717,19.25,19.7000007629395,195300,2014-08-06
14257763,DSE,19.5499992370605,19.75,12.0666332244873,19.5499992370605,19.7900009155273,204900,2014-08-07
14257765,DSE,19.7600002288818,20.0,12.219373703002901,19.7399997711182,20.0,362300,2014-08-08
14257783,DSE,20.0,19.6499996185303,12.0055341720581,19.5499992370605,20.0,104200,2014-08-11
14257785,DSE,19.659999847412102,19.7199993133545,12.048303604126,19.6200008392334,19.75,88000,2014-08-12
14257803,DSE,19.6900005340576,19.6299991607666,11.993315696716301,19.6100006103516,19.75,57400,2014-08-13
14257805,DSE,19.5599994659424,19.2600002288818,11.9591646194458,19.2600002288818,19.5599994659424,60500,2014-08-14
