,ticker,open,close,Adj Close,low,high,volume,Date
14590027,DSM,8.48999977111816,8.5,8.23051357269287,8.47999954223633,8.51000022888184,60600,2018-01-16
14590042,DSM,8.48999977111816,8.47000026702881,8.20146369934082,8.449999809265138,8.5,95800,2018-01-17
14590053,DSM,8.439999580383299,8.46000003814697,8.19178199768066,8.439999580383299,8.48999977111816,96600,2018-01-18
14590081,DSM,8.47000026702881,8.47000026702881,8.20146369934082,8.449999809265138,8.47999954223633,72900,2018-01-19
14590082,DSM,8.47000026702881,8.46000003814697,8.19178199768066,8.449999809265138,8.5,104700,2018-01-22
14590090,DSM,8.46000003814697,8.439999580383299,8.17241477966309,8.439999580383299,8.47999954223633,69200,2018-01-23
14590091,DSM,8.449999809265138,8.42000007629395,8.153049468994139,8.39999961853027,8.449999809265138,74800,2018-01-24
14590114,DSM,8.42000007629395,8.46000003814697,8.19178199768066,8.409999847412111,8.46000003814697,75200,2018-01-25
14590122,DSM,8.449999809265138,8.14999961853027,7.89160966873169,8.06999969482422,8.449999809265138,646600,2018-01-26
14590136,DSM,8.11999988555908,7.90999984741211,7.65921926498413,7.84000015258789,8.13000011444092,513200,2018-01-29
14590144,DSM,7.849999904632571,7.880000114440921,7.63017082214355,7.84000015258789,7.90999984741211,271000,2018-01-30
14590159,DSM,7.90999984741211,7.900000095367429,7.6495361328125,7.80999994277954,7.92999982833862,233000,2018-01-31
14590167,DSM,7.869999885559079,7.860000133514401,7.61080408096313,7.82000017166138,7.900000095367429,273900,2018-02-01
14590181,DSM,7.82000017166138,7.71999979019165,7.47524213790894,7.699999809265139,7.82000017166138,265700,2018-02-02
14590189,DSM,7.69000005722046,7.650000095367429,7.40746212005615,7.639999866485599,7.73000001907349,422300,2018-02-05
14590203,DSM,7.639999866485599,7.7399997711181605,7.49460887908936,7.639999866485599,7.7399997711181605,206000,2018-02-06
14590211,DSM,7.7600002288818395,7.7600002288818395,7.51397466659546,7.71999979019165,7.82000017166138,241100,2018-02-07
14590225,DSM,7.71999979019165,7.699999809265139,7.489657402038571,7.639999866485599,7.73000001907349,303000,2018-02-08
14590233,DSM,7.65999984741211,7.67000007629395,7.46047735214233,7.630000114440921,7.73000001907349,158600,2018-02-09
14590247,DSM,7.65999984741211,7.639999866485599,7.43129682540894,7.619999885559079,7.69000005722046,243100,2018-02-12
14590255,DSM,7.619999885559079,7.639999866485599,7.43129682540894,7.619999885559079,7.699999809265139,264500,2018-02-13
14590269,DSM,7.610000133514401,7.639999866485599,7.43129682540894,7.610000133514401,7.67999982833862,78700,2018-02-14
14590277,DSM,7.639999866485599,7.630000114440921,7.421570301055911,7.599999904632571,7.65999984741211,153600,2018-02-15
14590291,DSM,7.630000114440921,7.630000114440921,7.421570301055911,7.619999885559079,7.67999982833862,109800,2018-02-16
14590299,DSM,7.639999866485599,7.610000133514401,7.40211629867554,7.57000017166138,7.65999984741211,158400,2018-02-20
14590314,DSM,7.599999904632571,7.599999904632571,7.39238977432251,7.57000017166138,7.639999866485599,244600,2018-02-21
14590322,DSM,7.599999904632571,7.619999885559079,7.41184282302856,7.53000020980835,7.67999982833862,419800,2018-02-22
14590336,DSM,7.639999866485599,7.639999866485599,7.43129682540894,7.57999992370605,7.639999866485599,309800,2018-02-23
14590344,DSM,7.639999866485599,7.67000007629395,7.46047735214233,7.630000114440921,7.67999982833862,141900,2018-02-26
14590359,DSM,7.69000005722046,7.639999866485599,7.43129682540894,7.610000133514401,7.69000005722046,139900,2018-02-27
14590367,DSM,7.619999885559079,7.610000133514401,7.40211629867554,7.610000133514401,7.65999984741211,73400,2018-02-28
14590381,DSM,7.599999904632571,7.610000133514401,7.40211629867554,7.599999904632571,7.639999866485599,96700,2018-03-01
14590389,DSM,7.59000015258789,7.630000114440921,7.421570301055911,7.59000015258789,7.630000114440921,83000,2018-03-02
14590403,DSM,7.619999885559079,7.639999866485599,7.43129682540894,7.619999885559079,7.65999984741211,77200,2018-03-05
14590411,DSM,7.619999885559079,7.650000095367429,7.44102382659912,7.619999885559079,7.69000005722046,117100,2018-03-06
14590425,DSM,7.610000133514401,7.650000095367429,7.44102382659912,7.599999904632571,7.65999984741211,68500,2018-03-07
14590433,DSM,7.650000095367429,7.67000007629395,7.46047735214233,7.630000114440921,7.67000007629395,109600,2018-03-08
14590447,DSM,7.650000095367429,7.650000095367429,7.44102382659912,7.639999866485599,7.69000005722046,145100,2018-03-09
14590455,DSM,7.67000007629395,7.699999809265139,7.489657402038571,7.619999885559079,7.699999809265139,180000,2018-03-12
14590469,DSM,7.65999984741211,7.650000095367429,7.47500133514404,7.639999866485599,7.67999982833862,76500,2018-03-13
14590477,DSM,7.639999866485599,7.65999984741211,7.4847712516784695,7.630000114440921,7.67000007629395,88200,2018-03-14
14590491,DSM,7.650000095367429,7.619999885559079,7.44568681716919,7.619999885559079,7.67000007629395,71500,2018-03-15
14590499,DSM,7.599999904632571,7.65999984741211,7.4847712516784695,7.599999904632571,7.69000005722046,226900,2018-03-16
14590513,DSM,7.639999866485599,7.599999904632571,7.42614507675171,7.599999904632571,7.639999866485599,40000,2018-03-19
14590521,DSM,7.59000015258789,7.599999904632571,7.42614507675171,7.57000017166138,7.619999885559079,108100,2018-03-20
