,ticker,open,close,Adj Close,low,high,volume,Date
6950007,ECC,19.2000007629395,19.159999847412102,11.469057083129899,18.8799991607666,19.2900009155273,2127400,2014-10-08
6950018,ECC,19.159999847412102,19.1000003814697,11.433141708374,18.8999996185303,19.2399997711182,115000,2014-10-09
6950024,ECC,19.2000007629395,19.1499996185303,11.4630727767944,19.1000003814697,19.6000003814697,75400,2014-10-10
6950034,ECC,19.2800006866455,19.0,11.373284339904801,19.0,19.4500007629395,42700,2014-10-13
6950040,ECC,19.0,19.0300006866455,11.391240119934098,19.0,19.2999992370605,41100,2014-10-14
6950050,ECC,19.0,19.0100002288818,11.379264831542999,19.0,19.2000007629395,39900,2014-10-15
6950056,ECC,19.0100002288818,19.1800003051758,11.4810304641724,19.0,19.3999996185303,12100,2014-10-16
6950067,ECC,19.5,19.1499996185303,11.4630727767944,19.1499996185303,19.7000007629395,20200,2014-10-17
6950073,ECC,19.2999992370605,19.270000457763697,11.534904479980499,19.1900005340576,19.3500003814697,12600,2014-10-20
6950083,ECC,19.2600002288818,19.270000457763697,11.534904479980499,19.1499996185303,19.2900009155273,68700,2014-10-21
6950089,ECC,19.159999847412102,19.25,11.5229320526123,19.159999847412102,19.3090000152588,22000,2014-10-22
6950099,ECC,19.2099990844727,19.7600002288818,11.8282146453857,19.2000007629395,20.0,32200,2014-10-23
6950105,ECC,19.503000259399396,19.6000003814697,11.7324390411377,19.5,19.6259994506836,10600,2014-10-24
6950115,ECC,19.739000320434602,19.7800006866455,11.8401880264282,19.5100002288818,20.25,43200,2014-10-27
6950121,ECC,21.0,19.909999847412102,11.918004989624,19.75,21.0,59300,2014-10-28
6950131,ECC,19.8099994659424,19.9500007629395,11.9419479370117,19.6200008392334,20.020000457763697,64000,2014-10-29
6950132,ECC,19.8899993896484,20.0049991607666,11.974872589111301,19.75,20.0400009155273,25400,2014-10-30
6950138,ECC,20.0,20.090000152587898,12.0257511138916,19.966999053955103,20.090000152587898,4100,2014-10-31
6950148,ECC,20.080999374389602,20.020000457763697,11.9838514328003,20.0,20.1299991607666,7000,2014-11-03
6950149,ECC,20.0100002288818,20.1499996185303,12.061664581298801,20.0,20.2000007629395,33900,2014-11-04
6950155,ECC,20.0,20.2000007629395,12.091595649719201,20.0,20.2900009155273,143000,2014-11-05
6950165,ECC,20.0100002288818,20.3099994659424,12.157443046569801,20.0,20.3099994659424,24900,2014-11-06
6950166,ECC,20.6000003814697,20.4899997711182,12.2651882171631,19.9200000762939,20.7800006866455,461100,2014-11-07
6950172,ECC,21.0,20.229999542236303,12.1095523834229,20.1000003814697,21.8199996948242,39900,2014-11-10
6950183,ECC,20.229999542236303,20.5599994659424,12.307090759277301,20.1000003814697,20.5599994659424,31700,2014-11-11
6950189,ECC,20.6399993896484,20.3999996185303,12.211314201355,20.2099990844727,20.6399993896484,10700,2014-11-12
6950199,ECC,20.3199996948242,20.4300003051758,12.2292737960815,20.3199996948242,20.4899997711182,14500,2014-11-13
6950205,ECC,20.4699993133545,20.479999542236303,12.2592039108276,20.2399997711182,20.5,13200,2014-11-14
6950216,ECC,20.5699996948242,20.4500007629395,12.2412452697754,20.25,20.5699996948242,19400,2014-11-17
6950222,ECC,20.2800006866455,20.590000152587898,12.3250465393066,20.1000003814697,20.590000152587898,27300,2014-11-18
6950232,ECC,20.479999542236303,20.4500007629395,12.2412452697754,20.3500003814697,20.5499992370605,15800,2014-11-19
6950238,ECC,20.770000457763697,20.6800003051758,12.3789215087891,20.4200000762939,20.770000457763697,5500,2014-11-20
6950248,ECC,20.5699996948242,20.979999542236303,12.558499336242699,20.3999996185303,21.3199996948242,41200,2014-11-21
6950254,ECC,20.8899993896484,20.7800006866455,12.4387817382812,20.6520004272461,21.090000152587898,17700,2014-11-24
6950264,ECC,21.0100002288818,21.0,12.5704708099365,20.5300006866455,21.0100002288818,20400,2014-11-25
6950270,ECC,20.8899993896484,21.0,12.5704708099365,20.6200008392334,21.1000003814697,12700,2014-11-26
6950281,ECC,21.0100002288818,21.25,12.7201194763184,20.7999992370605,21.25,7000,2014-11-28
6950287,ECC,21.2000007629395,21.0300006866455,12.588428497314501,21.0300006866455,21.25,5600,2014-12-01
6950298,ECC,20.8199996948242,20.8500003814697,12.4806804656982,20.7999992370605,21.2199993133545,18500,2014-12-02
6950304,ECC,21.090000152587898,21.1000003814697,12.6303291320801,20.8500003814697,21.25,22100,2014-12-03
6950315,ECC,20.9209995269775,21.0599994659424,12.6063852310181,20.8999996185303,21.25,32600,2014-12-04
6950337,ECC,20.9300003051758,21.1900005340576,12.684202194213901,20.9300003051758,21.2000007629395,31400,2014-12-05
6950347,ECC,21.1299991607666,21.0100002288818,12.5764579772949,21.0,21.25,36500,2014-12-08
6950353,ECC,20.9300003051758,21.340000152587898,12.7739925384521,20.7000007629395,21.6200008392334,87100,2014-12-09
6950364,ECC,21.3899993896484,21.159999847412102,12.666246414184599,20.6200008392334,21.3899993896484,61000,2014-12-10
6950370,ECC,20.7099990844727,21.0,12.5704708099365,20.6900005340576,21.354999542236303,44700,2014-12-11
6950380,ECC,21.0699996948242,21.0,12.5704708099365,20.8700008392334,21.3899993896484,25400,2014-12-12
6950386,ECC,20.8500003814697,20.7000007629395,12.3908948898315,20.6499996185303,21.229999542236303,9600,2014-12-15
6950396,ECC,20.6499996185303,20.3500003814697,12.1813859939575,20.2999992370605,20.8999996185303,62900,2014-12-16
6950402,ECC,20.2999992370605,20.75,12.4208221435547,20.2099990844727,20.9899997711182,42400,2014-12-17
6950412,ECC,20.5599994659424,20.7600002288818,12.4268083572388,20.5599994659424,21.239000320434602,25100,2014-12-18
6950418,ECC,21.371000289917,20.4500007629395,12.2412452697754,20.4500007629395,21.371000289917,23500,2014-12-19
6950428,ECC,20.6000003814697,20.659999847412102,12.366950035095199,20.6000003814697,20.75,6900,2014-12-22
6950434,ECC,20.75,20.5,12.2711725234985,20.3700008392334,20.75,15600,2014-12-23
6950445,ECC,20.5599994659424,20.5499992370605,12.3011026382446,20.5499992370605,20.600999832153303,5800,2014-12-24
6950451,ECC,20.6499996185303,20.5400009155273,12.2951173782349,20.5400009155273,20.6499996185303,5100,2014-12-26
6950461,ECC,20.1399993896484,20.1000003814697,12.362773895263699,20.1000003814697,20.25,6400,2014-12-29
6950467,ECC,20.270000457763697,20.090000152587898,12.3566246032715,19.9500007629395,20.5499992370605,12200,2014-12-30
6950478,ECC,19.8299999237061,20.1000003814697,12.362773895263699,19.4599990844727,20.1000003814697,29400,2014-12-31
6950484,ECC,20.2099990844727,20.3199996948242,12.498086929321301,19.7600002288818,20.3199996948242,15600,2015-01-02
6950494,ECC,20.5799999237061,20.4400005340576,12.571895599365199,20.3500003814697,20.5799999237061,2300,2015-01-05
6950500,ECC,20.4500007629395,20.3500003814697,12.5165414810181,20.25,20.4500007629395,22200,2015-01-06
6950511,ECC,20.4500007629395,20.479999542236303,12.5964975357056,20.4300003051758,20.5799999237061,9800,2015-01-07
6950517,ECC,20.5,20.5100002288818,12.614950180053699,20.4740009307861,20.5799999237061,15200,2015-01-08
6950527,ECC,20.3199996948242,20.4950008392334,12.605725288391099,20.270000457763697,20.5,9600,2015-01-09
6950533,ECC,20.5400009155273,20.7399997711182,12.7564153671265,20.3600006103516,20.8799991607666,8400,2015-01-12
6950546,ECC,20.7999992370605,20.5319995880127,12.6284780502319,20.5100002288818,20.7999992370605,4900,2015-01-13
6950552,ECC,20.5,20.510999679565398,12.615563392639197,20.5,20.725999832153303,2100,2015-01-14
6950572,ECC,20.6800003051758,20.5599994659424,12.6457033157349,20.5300006866455,20.729999542236303,3500,2015-01-15
6950582,ECC,20.6000003814697,20.7399997711182,12.7564153671265,20.5100002288818,20.7399997711182,8200,2015-01-16
6950583,ECC,20.6299991607666,20.520000457763697,12.621100425720199,20.520000457763697,20.6900005340576,5700,2015-01-20
6950584,ECC,20.6000003814697,20.5300006866455,12.627256393432601,20.5300006866455,20.6000003814697,2300,2015-01-21
6950585,ECC,20.5799999237061,20.5599994659424,12.6457033157349,20.5499992370605,20.6000003814697,6500,2015-01-22
6950586,ECC,20.5699996948242,20.75,12.762568473815902,20.5100002288818,20.7999992370605,21800,2015-01-23
6950587,ECC,20.820999145507802,20.6200008392334,12.6826066970825,20.510999679565398,20.9500007629395,8000,2015-01-26
6950588,ECC,20.8390007019043,20.6700000762939,12.7133617401123,20.5419998168945,20.8999996185303,11000,2015-01-27
6950589,ECC,20.7999992370605,20.8500003814697,12.824072837829599,20.6499996185303,20.8500003814697,8800,2015-01-28
6950590,ECC,20.8320007324219,20.8600006103516,12.830225944519,20.729999542236303,20.8999996185303,6900,2015-01-29
6950591,ECC,20.7000007629395,20.8899993896484,12.8486738204956,20.7000007629395,20.909999847412102,2700,2015-01-30
6950592,ECC,20.8999996185303,21.0400009155273,12.9409341812134,20.729999542236303,21.3799991607666,9100,2015-02-02
6950593,ECC,21.270000457763697,21.1399993896484,13.0024423599243,21.0300006866455,21.270000457763697,2700,2015-02-03
6950594,ECC,20.9599990844727,20.9699993133545,12.8978776931763,20.7800006866455,20.9699993133545,3800,2015-02-04
6950595,ECC,20.770000457763697,20.729999542236303,12.750265121460002,20.7000007629395,20.9599990844727,7800,2015-02-05
6950596,ECC,21.0400009155273,20.979999542236303,12.904032707214402,20.8199996948242,21.0400009155273,3900,2015-02-06
6950610,ECC,21.1000003814697,21.0499992370605,12.947080612182601,20.8799991607666,21.2600002288818,5800,2015-02-09
6950611,ECC,20.9500007629395,21.0,12.916335105896001,20.7900009155273,21.020000457763697,10400,2015-02-10
6950617,ECC,20.9449996948242,21.25,13.0700950622559,20.9050006866455,21.409999847412102,25500,2015-02-11
6950628,ECC,21.1200008392334,21.2000007629395,13.039342880249,21.0,21.2000007629395,9000,2015-02-12
6950634,ECC,21.4699993133545,21.1100006103516,12.983987808227502,21.1000003814697,21.4699993133545,7700,2015-02-13
6950647,ECC,21.1100006103516,21.1989994049072,13.0387277603149,21.1100006103516,21.1989994049072,2700,2015-02-17
6950653,ECC,21.1100006103516,21.2950000762939,13.097776412963901,21.0,21.2999992370605,18800,2015-02-18
6950666,ECC,21.2000007629395,21.25,13.0700950622559,21.2000007629395,21.2600002288818,4300,2015-02-19
6950672,ECC,21.0,21.25,13.0700950622559,21.0,21.270000457763697,13900,2015-02-20
6950684,ECC,21.0410003662109,21.25,13.0700950622559,21.0410003662109,21.3099994659424,2900,2015-02-23
6950690,ECC,21.070999145507802,21.25,13.0700950622559,21.0599994659424,21.2999992370605,17800,2015-02-24
6950704,ECC,21.7000007629395,21.2900009155273,13.0947008132935,21.0599994659424,21.7000007629395,15700,2015-02-25
6950710,ECC,21.0499992370605,21.25,13.0700950622559,21.0499992370605,21.4500007629395,18400,2015-02-26
6950711,ECC,21.25,21.0,12.916335105896001,21.0,21.340000152587898,21500,2015-02-27
6950723,ECC,21.1399993896484,21.0400009155273,12.9409341812134,21.0,21.5900001525879,17400,2015-03-02
6950729,ECC,21.0400009155273,20.479999542236303,12.5964975357056,20.4699993133545,21.1000003814697,45400,2015-03-03
6950740,ECC,20.6000003814697,20.9300003051758,12.873277664184599,20.409999847412102,21.0,21200,2015-03-04
6950746,ECC,21.0,20.8700008392334,12.8363733291626,20.4500007629395,21.0,31700,2015-03-05
6950758,ECC,20.9899997711182,20.9200000762939,12.8671264648438,20.5,21.0,36200,2015-03-06
6950764,ECC,20.6700000762939,20.4899997711182,12.602648735046401,20.2900009155273,20.9599990844727,16400,2015-03-09
6950775,ECC,20.5499992370605,20.6499996185303,12.701062202453599,20.5100002288818,20.8500003814697,20000,2015-03-10
6950781,ECC,20.6760005950928,20.7600002288818,12.7687187194824,20.6760005950928,21.340000152587898,35100,2015-03-11
6950791,ECC,20.6200008392334,20.6000003814697,12.670307159423801,20.590000152587898,21.159999847412102,14900,2015-03-12
6950797,ECC,20.6200008392334,20.659999847412102,12.7072114944458,20.5,20.8999996185303,23500,2015-03-13
6950808,ECC,20.770000457763697,20.5,12.6088008880615,20.340000152587898,20.8199996948242,21000,2015-03-16
6950814,ECC,20.75,20.6100006103516,12.676456451416,20.4950008392334,20.9699993133545,21700,2015-03-17
6950825,ECC,20.7000007629395,20.4899997711182,12.602648735046401,20.4899997711182,20.7099990844727,22000,2015-03-18
6950831,ECC,20.5729999542236,20.4899997711182,12.602648735046401,20.2800006866455,20.7099990844727,5700,2015-03-19
6950841,ECC,20.6240005493164,20.8999996185303,12.8548259735107,20.3999996185303,21.1900005340576,19600,2015-03-20
6950847,ECC,21.007999420165998,20.7999992370605,12.7933187484741,20.7999992370605,21.007999420165998,5500,2015-03-23
6950858,ECC,20.6900005340576,20.7900009155273,12.7871694564819,20.5499992370605,20.8500003814697,26700,2015-03-24
6950864,ECC,20.7999992370605,21.020000457763697,12.9286327362061,20.7999992370605,21.1399993896484,15500,2015-03-25
6950875,ECC,21.3500003814697,21.1800003051758,13.0270414352417,21.0599994659424,21.3500003814697,11400,2015-03-26
6950881,ECC,21.0,20.4699993133545,12.9574127197266,20.409999847412102,21.0499992370605,21700,2015-03-27
6950891,ECC,20.5599994659424,20.840000152587898,13.191620826721199,20.5590000152588,20.840000152587898,8300,2015-03-30
6950897,ECC,20.5410003662109,21.0,13.2928991317749,20.5410003662109,21.1399993896484,22200,2015-03-31
6950907,ECC,20.8199996948242,20.9599990844727,13.267580986022901,20.7509994506836,20.9699993133545,3600,2015-04-01
6950913,ECC,20.979999542236303,20.979999542236303,13.2802391052246,20.9300003051758,21.0,5400,2015-04-02
6950925,ECC,21.020000457763697,20.9599990844727,13.267580986022901,20.9580001831055,21.020000457763697,1300,2015-04-06
6950931,ECC,20.8999996185303,21.0,13.2928991317749,20.8999996185303,21.0,9200,2015-04-07
6950943,ECC,20.9009990692139,20.9899997711182,13.286574363708501,20.7999992370605,21.0,3200,2015-04-08
6950949,ECC,21.0,21.090000152587898,13.3498697280884,20.9500007629395,21.1299991607666,8700,2015-04-09
6950961,ECC,20.8600006103516,20.8600006103516,13.2042789459229,20.7999992370605,20.9950008392334,2400,2015-04-10
6950967,ECC,20.9899997711182,21.0799999237061,13.3435411453247,20.4950008392334,21.0799999237061,50100,2015-04-13
6950978,ECC,20.979999542236303,21.1399993896484,13.3815202713013,20.8500003814697,21.1399993896484,8400,2015-04-14
6950984,ECC,20.9899997711182,20.770000457763697,13.1473140716553,20.757999420165998,21.1399993896484,20000,2015-04-15
6950995,ECC,20.7999992370605,20.7000007629395,13.1030015945435,20.7000007629395,20.8500003814697,13800,2015-04-16
6951001,ECC,20.6909999847412,20.773000717163104,13.149209976196301,20.6909999847412,20.7999992370605,6200,2015-04-17
6951012,ECC,20.8700008392334,20.7889995574951,13.159338951110803,20.7600002288818,20.8700008392334,2500,2015-04-20
