,ticker,open,close,Adj Close,low,high,volume,Date
19677142,EE,20.520000457763697,20.3999996185303,16.546514511108402,20.2900009155273,20.6100006103516,153100,2010-01-04
19677152,EE,20.3099994659424,20.4899997711182,16.6195106506348,20.2000007629395,20.7000007629395,376800,2010-01-05
19677162,EE,20.4200000762939,20.6499996185303,16.749286651611303,20.4200000762939,20.7900009155273,154200,2010-01-06
19677172,EE,20.7000007629395,20.5799999237061,16.6925144195557,20.3500003814697,20.7000007629395,116600,2010-01-07
19677182,EE,20.479999542236303,20.3600006103516,16.5140705108643,20.229999542236303,20.5100002288818,121000,2010-01-08
19677192,EE,20.4599990844727,20.2999992370605,16.4654006958008,20.1499996185303,20.4599990844727,98100,2010-01-11
19677202,EE,20.1000003814697,19.979999542236303,16.2058486938477,19.9300003051758,20.2999992370605,133200,2010-01-12
19677212,EE,20.1000003814697,19.979999542236303,16.2058486938477,19.8299999237061,20.159999847412102,104200,2010-01-13
19677223,EE,19.8799991607666,19.840000152587898,16.0922946929932,19.8199996948242,19.9899997711182,96500,2010-01-14
19677233,EE,19.8899993896484,19.6800003051758,15.962517738342301,19.4500007629395,19.9899997711182,273800,2010-01-15
19677244,EE,19.75,20.1900005340576,16.3761863708496,19.5400009155273,20.2000007629395,155300,2010-01-19
19677254,EE,20.0,19.6299991607666,15.921958923339801,19.3999996185303,20.0,207300,2010-01-20
19677264,EE,19.7199993133545,19.2399997711182,15.605630874633801,19.090000152587898,19.8299999237061,155600,2010-01-21
19677274,EE,19.2999992370605,18.9899997711182,15.4028568267822,18.9300003051758,19.3999996185303,130100,2010-01-22
19677284,EE,19.090000152587898,19.2000007629395,15.5731906890869,18.7399997711182,19.2999992370605,166400,2010-01-25
19677294,EE,19.090000152587898,19.1700000762939,15.548851966857901,19.0300006866455,19.3600006103516,98900,2010-01-26
19677305,EE,19.090000152587898,19.3700008392334,15.711072921752901,19.0400009155273,19.3899993896484,126100,2010-01-27
19677315,EE,19.3899993896484,19.1399993896484,15.524524688720698,19.0499992370605,19.3899993896484,142300,2010-01-28
19677325,EE,19.2600002288818,19.25,15.613746643066401,19.1700000762939,19.4400005340576,224100,2010-01-29
19677335,EE,19.270000457763697,19.2800006866455,15.6380767822266,19.1399993896484,19.3799991607666,102700,2010-02-01
19677345,EE,19.25,19.2800006866455,15.6380767822266,19.1299991607666,19.3899993896484,123000,2010-02-02
19677355,EE,19.1499996185303,19.2399997711182,15.605630874633801,19.1399993896484,19.2999992370605,114000,2010-02-03
19677364,EE,19.159999847412102,18.9599990844727,15.3785228729248,18.9400005340576,19.3199996948242,186400,2010-02-04
19677374,EE,19.0599994659424,19.1399993896484,15.524524688720698,18.75,19.1800003051758,132600,2010-02-05
19677383,EE,19.1399993896484,18.9500007629395,15.3704137802124,18.8799991607666,19.1399993896484,205100,2010-02-08
19677393,EE,19.1000003814697,19.2099990844727,15.581300735473599,18.9699993133545,19.340000152587898,187600,2010-02-09
19677403,EE,19.1000003814697,19.2399997711182,15.605630874633801,18.9400005340576,19.3199996948242,141400,2010-02-10
19677413,EE,19.1299991607666,19.4500007629395,15.7759685516357,18.979999542236303,19.4599990844727,92400,2010-02-11
19677423,EE,19.2800006866455,19.229999542236303,15.59752368927,19.1000003814697,19.409999847412102,157600,2010-02-12
19677433,EE,19.4200000762939,19.6399993896484,15.930074691772498,19.2399997711182,19.6399993896484,103000,2010-02-16
