,ticker,open,close,Adj Close,low,high,volume,Date
19958645,ENTA,14.5100002288818,17.1800003051758,17.1800003051758,14.3100004196167,17.8500003814697,1763600,2013-03-21
19958653,ENTA,17.5699996948242,16.8099994659424,16.8099994659424,16.7099990844727,17.5699996948242,75200,2013-03-22
19958654,ENTA,17.3999996185303,16.8299999237061,16.8299999237061,16.7999992370605,17.3999996185303,24100,2013-03-25
19958666,ENTA,16.9099998474121,17.0900001525879,17.0900001525879,16.8999996185303,17.3139991760254,27000,2013-03-26
19958675,ENTA,16.9500007629395,17.0900001525879,17.0900001525879,16.5799999237061,17.229999542236303,33900,2013-03-27
19958676,ENTA,16.979999542236303,18.2000007629395,18.2000007629395,16.9200000762939,18.5,57700,2013-03-28
19958688,ENTA,18.2600002288818,19.9300003051758,19.9300003051758,18.2600002288818,21.8090000152588,68200,2013-04-01
19958696,ENTA,20.1299991607666,20.159999847412102,20.159999847412102,19.5400009155273,21.3799991607666,130700,2013-04-02
19958697,ENTA,20.2099990844727,19.9300003051758,19.9300003051758,19.5,20.590000152587898,98300,2013-04-03
19958710,ENTA,19.979999542236303,19.840000152587898,19.840000152587898,19.5799999237061,20.4069995880127,35500,2013-04-04
19958718,ENTA,19.8500003814697,20.340000152587898,20.340000152587898,19.7099990844727,20.4309997558594,42900,2013-04-05
19958719,ENTA,21.1900005340576,20.7999992370605,20.7999992370605,20.1900005340576,21.1900005340576,93100,2013-04-08
19958732,ENTA,20.9899997711182,20.6499996185303,20.6499996185303,20.5,21.0,82100,2013-04-09
19958740,ENTA,20.493999481201197,21.690000534057603,21.690000534057603,20.493999481201197,22.1700000762939,74500,2013-04-10
19958741,ENTA,21.5,21.1200008392334,21.1200008392334,21.0300006866455,21.719999313354503,32300,2013-04-11
19958754,ENTA,20.9300003051758,19.6800003051758,19.6800003051758,19.0499992370605,20.9300003051758,59300,2013-04-12
19958762,ENTA,20.270000457763697,20.3500003814697,20.3500003814697,19.7800006866455,21.0,183200,2013-04-15
19958763,ENTA,21.5699996948242,20.0,20.0,19.8799991607666,21.7999992370605,107100,2013-04-16
19958775,ENTA,20.5,19.8999996185303,19.8999996185303,19.5,20.5,40200,2013-04-17
19958783,ENTA,20.3600006103516,20.6399993896484,20.6399993896484,20.0,20.6399993896484,71200,2013-04-18
19958784,ENTA,20.7999992370605,20.1299991607666,20.1299991607666,20.0300006866455,20.8199996948242,142100,2013-04-19
19958797,ENTA,20.2329998016357,20.4300003051758,20.4300003051758,20.2329998016357,20.8199996948242,124400,2013-04-22
19958804,ENTA,21.2099990844727,20.9899997711182,20.9899997711182,20.3500003814697,22.399999618530302,165100,2013-04-23
19958816,ENTA,21.1989994049072,21.0100002288818,21.0100002288818,20.729999542236303,21.3199996948242,111800,2013-04-24
19958825,ENTA,21.0009994506836,18.520000457763697,18.520000457763697,18.0,21.5,166200,2013-04-25
19958900,ENTA,18.75,20.6200008392334,20.6200008392334,18.75,20.9500007629395,175000,2013-04-26
19959002,ENTA,21.2900009155273,20.4300003051758,20.4300003051758,20.0499992370605,21.2900009155273,89900,2013-04-29
19959003,ENTA,20.5,19.9599990844727,19.9599990844727,19.7000007629395,20.5,53900,2013-04-30
19959004,ENTA,20.104999542236303,19.729999542236303,19.729999542236303,19.5,20.4899997711182,50600,2013-05-01
19959005,ENTA,19.909999847412102,19.5699996948242,19.5699996948242,18.7900009155273,20.159999847412102,95600,2013-05-02
