,ticker,open,close,Adj Close,low,high,volume,Date
18684092,EXR,11.75,11.890000343322802,9.0280704498291,11.6000003814697,11.9099998474121,774400,2010-01-04
18684094,EXR,11.9300003051758,11.8100004196167,8.967326164245609,11.6899995803833,11.9499998092651,642600,2010-01-05
18684112,EXR,11.729999542236301,11.8500003814697,8.997697830200199,11.729999542236301,12.0900001525879,1144200,2010-01-06
18684114,EXR,11.779999732971199,11.7600002288818,8.92936420440674,11.5799999237061,11.970000267028801,595600,2010-01-07
18684134,EXR,11.729999542236301,11.5,8.73194408416748,11.4899997711182,11.75,412000,2010-01-08
18684136,EXR,11.6800003051758,11.5900001525879,8.80028247833252,11.5699996948242,12.0900001525879,453400,2010-01-11
18684156,EXR,11.4300003051758,11.1800003051758,8.48896980285645,11.1700000762939,11.5100002288818,567000,2010-01-12
18684158,EXR,11.279999732971199,11.380000114440902,8.64083003997803,11.25,11.380000114440902,415800,2010-01-13
18684177,EXR,11.270000457763699,11.3400001525879,8.61045551300049,11.2399997711182,11.4399995803833,263400,2010-01-14
18684179,EXR,11.3999996185303,11.390000343322802,8.64842128753662,11.279999732971199,11.5,791300,2010-01-15
18684197,EXR,11.390000343322802,11.720000267028801,8.898993492126461,11.3299999237061,11.7600002288818,584800,2010-01-19
18684199,EXR,11.5699996948242,11.75,8.92176914215088,11.470000267028801,11.789999961853,630700,2010-01-20
18684235,EXR,11.8000001907349,11.5600004196167,8.777501106262209,11.520000457763699,11.8400001525879,1092600,2010-01-21
18684236,EXR,11.5699996948242,11.479999542236301,8.71675682067871,11.4300003051758,11.710000038147,811500,2010-01-22
18684237,EXR,11.5900001525879,11.520000457763699,8.747129440307619,11.359999656677198,11.5900001525879,635600,2010-01-25
18684239,EXR,11.470000267028801,11.3500003814697,8.61805057525635,11.3000001907349,11.520000457763699,463000,2010-01-26
18684332,EXR,11.3100004196167,11.3999996185303,8.65601444244385,11.0900001525879,11.4099998474121,581600,2010-01-27
18684334,EXR,11.3000001907349,11.3000001907349,8.58008575439453,11.0799999237061,11.3999996185303,601800,2010-01-28
18684354,EXR,11.3000001907349,11.3500003814697,8.61805057525635,11.1599998474121,11.520000457763699,693800,2010-01-29
18684356,EXR,11.4200000762939,11.460000038147,8.70157623291016,11.3299999237061,11.619999885559098,495800,2010-02-01
18684375,EXR,11.5100002288818,11.720000267028801,8.898993492126461,11.4899997711182,11.8299999237061,844500,2010-02-02
18684377,EXR,11.630000114440902,11.609999656677198,8.81546783447266,11.5500001907349,11.729999542236301,531700,2010-02-03
18684397,EXR,11.5500001907349,11.1800003051758,8.48896980285645,11.130000114440902,11.6700000762939,610800,2010-02-04
18684399,EXR,11.1999998092651,11.3500003814697,8.61805057525635,11.0100002288818,11.380000114440902,420100,2010-02-05
18684418,EXR,11.3000001907349,11.130000114440902,8.45100402832031,11.1000003814697,11.4399995803833,413200,2010-02-08
18684420,EXR,11.279999732971199,11.0799999237061,8.413037300109862,10.9200000762939,11.4200000762939,646600,2010-02-09
18684439,EXR,11.0500001907349,11.130000114440902,8.45100402832031,10.8000001907349,11.3299999237061,517900,2010-02-10
18684441,EXR,11.0699996948242,11.289999961853,8.57249355316162,10.880000114440902,11.3400001525879,361200,2010-02-11
18684460,EXR,11.109999656677198,11.359999656677198,8.62563991546631,11.0799999237061,11.380000114440902,402800,2010-02-12
18684461,EXR,11.5,11.5900001525879,8.80028247833252,11.3199996948242,11.609999656677198,441800,2010-02-16
18684462,EXR,11.6800003051758,11.6000003814697,8.80787754058838,11.5699996948242,11.7399997711182,575000,2010-02-17
18684463,EXR,11.619999885559098,11.8400001525879,8.990105628967289,11.520000457763699,11.869999885559098,348000,2010-02-18
18684465,EXR,11.789999961853,12.0699996948242,9.16474437713623,11.779999732971199,12.1800003051758,656800,2010-02-19
18684488,EXR,12.1599998474121,12.0,9.11159515380859,12.0,12.3299999237061,868600,2010-02-22
18684489,EXR,10.779999732971199,11.520000457763699,8.747129440307619,10.779999732971199,11.6599998474121,2374000,2010-02-23
18684491,EXR,11.6000003814697,11.5,8.73194408416748,11.460000038147,11.6000003814697,980100,2010-02-24
18684509,EXR,11.3299999237061,11.4300003051758,8.67879390716553,11.3199996948242,11.520000457763699,759400,2010-02-25
18684511,EXR,11.4099998474121,11.279999732971199,8.56489753723145,11.2399997711182,11.460000038147,1137400,2010-02-26
18684531,EXR,11.3299999237061,11.3400001525879,8.61045551300049,11.25,11.529999732971199,631600,2010-03-01
18684533,EXR,11.3999996185303,11.1700000762939,8.48137664794922,11.1000003814697,11.529999732971199,1617200,2010-03-02
18684552,EXR,11.229999542236301,11.3100004196167,8.58767509460449,11.1700000762939,11.380000114440902,1791800,2010-03-03
18684554,EXR,11.3100004196167,11.729999542236301,8.90658283233643,11.3100004196167,11.7399997711182,401500,2010-03-04
18684575,EXR,11.779999732971199,12.210000038147,9.27104949951172,11.779999732971199,12.289999961853,896900,2010-03-05
18684577,EXR,12.270000457763699,12.479999542236301,9.47605991363525,12.229999542236301,12.4899997711182,685100,2010-03-08
18684597,EXR,12.460000038147,12.6599998474121,9.612730026245119,12.3999996185303,13.0600004196167,1824800,2010-03-09
18684599,EXR,12.640000343322802,12.6599998474121,9.612730026245119,12.5500001907349,12.8199996948242,820100,2010-03-10
18684619,EXR,12.4899997711182,12.5600004196167,9.61273288726807,12.3199996948242,12.5600004196167,1018300,2010-03-11
18684621,EXR,12.640000343322802,12.720000267028801,9.73518753051758,12.5900001525879,12.789999961853,784300,2010-03-12
18684640,EXR,12.729999542236301,12.8000001907349,9.79641628265381,12.6000003814697,12.859999656677198,580000,2010-03-15
18684642,EXR,12.8999996185303,13.1000003814697,10.026020050048801,12.8500003814697,13.1499996185303,852900,2010-03-16
18684661,EXR,13.1000003814697,13.130000114440902,10.048978805542001,13.039999961853,13.3100004196167,533300,2010-03-17
18684663,EXR,13.1000003814697,13.1800003051758,10.087246894836401,13.0,13.289999961853,454200,2010-03-18
18684683,EXR,12.869999885559098,12.869999885559098,9.84998512268066,12.8500003814697,13.3100004196167,1695600,2010-03-19
18684685,EXR,12.770000457763699,12.8999996185303,9.87294864654541,12.6499996185303,12.9399995803833,1123600,2010-03-22
18684705,EXR,12.869999885559098,13.0600004196167,9.99540424346924,12.75,13.130000114440902,725100,2010-03-23
18684707,EXR,12.9499998092651,13.039999961853,9.9800968170166,12.9499998092651,13.3199996948242,614100,2010-03-24
18684727,EXR,13.130000114440902,12.8999996185303,9.87294864654541,12.890000343322802,13.3500003814697,854100,2010-03-25
18684729,EXR,12.9899997711182,13.0,9.949483871459961,12.8999996185303,13.1599998474121,697600,2010-03-26
18684748,EXR,13.0100002288818,13.029999732971199,9.97244358062744,12.9200000762939,13.130000114440902,574000,2010-03-29
18684750,EXR,13.0600004196167,13.0699996948242,10.0030555725098,12.960000038147,13.1499996185303,513800,2010-03-30
18684770,EXR,13.039999961853,12.6800003051758,9.70457363128662,12.619999885559098,13.039999961853,727500,2010-03-31
18684772,EXR,12.729999542236301,12.710000038147,9.72753429412842,12.520000457763699,12.789999961853,536600,2010-04-01
18684792,EXR,12.75,13.039999961853,9.9800968170166,12.729999542236301,13.039999961853,330800,2010-04-05
18684794,EXR,12.8999996185303,13.3999996185303,10.2556209564209,12.8999996185303,13.4099998474121,574500,2010-04-06
18684814,EXR,13.3400001525879,13.5600004196167,10.378077507019,13.3400001525879,13.6800003051758,1028700,2010-04-07
18684816,EXR,13.520000457763699,13.4300003051758,10.278582572937,13.390000343322802,13.6499996185303,706000,2010-04-08
18684835,EXR,13.4200000762939,13.789999961853,10.5541067123413,13.3100004196167,13.8400001525879,542600,2010-04-09
18684837,EXR,13.710000038147,13.630000114440902,10.4316511154175,13.6000003814697,13.859999656677198,673800,2010-04-12
18684857,EXR,13.619999885559098,14.1000003814697,10.7913656234741,13.5,14.1700000762939,785300,2010-04-13
18684859,EXR,14.1700000762939,14.390000343322802,11.0133113861084,14.0100002288818,14.4099998474121,704100,2010-04-14
18684879,EXR,14.3199996948242,13.6899995803833,10.4775695800781,13.6899995803833,14.390000343322802,713400,2010-04-15
18684881,EXR,13.6000003814697,13.359999656677198,10.2250080108643,13.1999998092651,13.710000038147,1328800,2010-04-16
18684899,EXR,13.289999961853,13.5,10.3321571350098,13.1499996185303,13.539999961853,647800,2010-04-19
18684903,EXR,13.5500001907349,13.609999656677198,10.416346549987802,13.359999656677198,13.609999656677198,894000,2010-04-20
18684922,EXR,13.6000003814697,14.0900001525879,10.7837085723877,13.5799999237061,14.140000343322802,556800,2010-04-21
18684924,EXR,13.9200000762939,14.130000114440902,10.8143253326416,13.8199996948242,14.220000267028801,328400,2010-04-22
18684942,EXR,14.1899995803833,14.5,11.0974988937378,14.029999732971199,14.5,496800,2010-04-23
18684944,EXR,14.4399995803833,14.8299999237061,11.3500652313232,14.4399995803833,14.869999885559098,556800,2010-04-26
18684963,EXR,14.720000267028801,14.3400001525879,10.9750452041626,14.3199996948242,14.890000343322802,832400,2010-04-27
18684965,EXR,14.4300003051758,14.220000267028801,10.883204460144,14.1899995803833,14.520000457763699,648800,2010-04-28
18684984,EXR,14.3999996185303,15.1599998474121,11.6026258468628,14.3999996185303,15.1599998474121,647900,2010-04-29
18684986,EXR,15.1599998474121,15.020000457763699,11.495480537414599,14.789999961853,15.2399997711182,1180700,2010-04-30
18685005,EXR,15.0799999237061,15.5600004196167,11.9087657928467,14.970000267028801,15.779999732971199,1209000,2010-05-03
18685007,EXR,15.5,15.6000003814697,11.9393815994263,15.039999961853,15.779999732971199,1074100,2010-05-04
18685026,EXR,15.4099998474121,15.8299999237061,12.1154117584229,15.25,15.9899997711182,1594800,2010-05-05
18685028,EXR,15.720000267028801,15.369999885559098,11.763352394103999,14.6499996185303,15.9899997711182,2038700,2010-05-06
18685052,EXR,15.220000267028801,15.0500001907349,11.5184421539307,14.789999961853,15.5900001525879,1780900,2010-05-07
18685054,EXR,15.890000343322802,15.9200000762939,12.1842918395996,15.640000343322802,16.3199996948242,1387400,2010-05-10
18685074,EXR,15.619999885559098,15.859999656677198,12.1383695602417,15.4499998092651,16.0799999237061,1471900,2010-05-11
18685076,EXR,15.9499998092651,16.229999542236303,12.421548843383801,15.8500003814697,16.2600002288818,1736300,2010-05-12
18685097,EXR,16.1700000762939,15.8400001525879,12.1230630874634,15.6999998092651,16.2600002288818,811400,2010-05-13
18685099,EXR,15.710000038147,15.6499996185303,11.977646827697802,15.3999996185303,15.710000038147,995100,2010-05-14
18685118,EXR,15.75,15.869999885559098,12.146023750305199,15.119999885559098,16.2000007629395,1269900,2010-05-17
18685120,EXR,16.120000839233402,15.1700000762939,11.6102838516235,15.020000457763699,16.1900005340576,958300,2010-05-18
18685138,EXR,15.0500001907349,14.9300003051758,11.4266023635864,14.5900001525879,15.3199996948242,767800,2010-05-19
18685140,EXR,14.4399995803833,14.020000457763699,10.7301368713379,14.0,14.779999732971199,1237100,2010-05-20
18685195,EXR,13.789999961853,14.640000343322802,11.2046499252319,13.6999998092651,14.640000343322802,1248100,2010-05-21
18685197,EXR,14.609999656677198,14.4399995803833,11.0515785217285,14.4099998474121,14.8299999237061,622500,2010-05-24
18685281,EXR,13.8500003814697,14.369999885559098,10.998007774353,13.720000267028801,14.4399995803833,728500,2010-05-25
18685283,EXR,14.619999885559098,14.460000038147,11.066887855529801,14.3400001525879,14.970000267028801,895800,2010-05-26
18685334,EXR,14.8999996185303,15.270000457763699,11.686817169189501,14.720000267028801,15.279999732971199,772200,2010-05-27
18685336,EXR,15.229999542236301,15.039999961853,11.5107879638672,14.8000001907349,15.2600002288818,987400,2010-05-28
18685356,EXR,14.9099998474121,14.3999996185303,11.020965576171902,14.3999996185303,14.970000267028801,1037900,2010-06-01
18685358,EXR,14.390000343322802,14.75,11.288836479187,14.270000457763699,14.8299999237061,1151300,2010-06-02
18685378,EXR,14.859999656677198,14.5900001525879,11.1663818359375,14.529999732971199,14.960000038147,836700,2010-06-03
18685380,EXR,14.109999656677198,13.880000114440902,10.622985839843802,13.859999656677198,14.4300003051758,977900,2010-06-04
18685400,EXR,13.9200000762939,13.7399997711182,10.5158386230469,13.710000038147,14.25,577300,2010-06-07
18685402,EXR,13.770000457763699,13.8999996185303,10.638296127319302,13.289999961853,13.9200000762939,711900,2010-06-08
18685420,EXR,14.020000457763699,14.039999961853,10.7454423904419,13.859999656677198,14.3500003814697,784700,2010-06-09
18685422,EXR,14.289999961853,14.4399995803833,11.0515785217285,14.119999885559098,14.4899997711182,1294300,2010-06-10
18685442,EXR,14.109999656677198,14.5799999237061,11.2365436553955,13.890000343322802,14.6000003814697,835200,2010-06-11
18685444,EXR,14.6499996185303,15.1000003814697,11.6372976303101,14.5500001907349,15.1499996185303,1703000,2010-06-14
18685464,EXR,15.0600004196167,15.520000457763699,11.960984230041499,14.8999996185303,15.619999885559098,1519900,2010-06-15
18685466,EXR,15.380000114440902,14.970000267028801,11.537109375,14.8500003814697,15.5500001907349,2043200,2010-06-16
18685486,EXR,14.970000267028801,14.8999996185303,11.4831628799438,14.5900001525879,15.0,2218000,2010-06-17
18685488,EXR,14.970000267028801,14.890000343322802,11.47545337677,14.7399997711182,14.979999542236301,1376600,2010-06-18
18685508,EXR,15.0600004196167,14.75,11.367560386657699,14.6800003051758,15.109999656677198,942700,2010-06-21
18685510,EXR,14.8000001907349,14.6000003814697,11.2519588470459,14.5799999237061,15.0900001525879,1671400,2010-06-22
18685530,EXR,14.5500001907349,14.5699996948242,11.2288360595703,14.3500003814697,14.779999732971199,631500,2010-06-23
18685532,EXR,14.4899997711182,14.229999542236301,10.9668073654175,14.1499996185303,14.619999885559098,622400,2010-06-24
18685550,EXR,14.3000001907349,14.5600004196167,11.2211303710938,14.109999656677198,14.6999998092651,794800,2010-06-25
18685552,EXR,14.6000003814697,14.4499998092651,11.136359214782699,14.369999885559098,14.6599998474121,480700,2010-06-28
18685579,EXR,14.210000038147,13.9099998474121,10.7201900482178,13.8299999237061,14.210000038147,886100,2010-06-29
18685581,EXR,13.890000343322802,13.8999996185303,10.7124814987183,13.789999961853,14.3500003814697,994000,2010-06-30
