,ticker,open,close,Adj Close,low,high,volume,Date
15607333,FBC,61.0,63.0,63.0,60.0,64.0,7800,2010-01-04
15607347,FBC,63.0,67.0,67.0,62.0,68.0,7200,2010-01-05
15607355,FBC,68.0,68.0,68.0,64.0,69.0,6300,2010-01-06
15607369,FBC,66.0,67.0,67.0,66.0,68.0,3300,2010-01-07
15607377,FBC,69.0,70.0,70.0,66.0,76.0,13300,2010-01-08
15607391,FBC,75.0,71.0,71.0,70.0,75.0,8000,2010-01-11
15607400,FBC,71.0,67.0,67.0,67.0,71.0,6100,2010-01-12
15607414,FBC,71.0,66.0,66.0,66.0,72.0,10200,2010-01-13
15607423,FBC,66.0,66.0,66.0,66.0,68.0,6700,2010-01-14
15607437,FBC,70.0,68.0,68.0,66.0,70.0,8500,2010-01-15
15607446,FBC,67.0,66.0,66.0,65.0,68.0,6100,2010-01-19
15607460,FBC,66.0,64.0,64.0,64.0,66.0,7700,2010-01-20
15607468,FBC,64.0,64.0,64.0,61.0,68.0,47700,2010-01-21
15607482,FBC,64.0,63.0,63.0,62.0,65.0,10500,2010-01-22
15607491,FBC,64.0,64.0,64.0,61.0,65.0,5100,2010-01-25
15607506,FBC,65.0,65.0,65.0,63.0,67.0,5000,2010-01-26
15607514,FBC,65.0,62.0,62.0,61.0,66.0,6100,2010-01-27
15607528,FBC,67.0,61.0,61.0,58.0,68.0,16900,2010-01-28
15607536,FBC,64.0,63.0,63.0,62.0,66.0,16900,2010-01-29
15607550,FBC,68.0,67.0,67.0,64.0,68.0,16500,2010-02-01
15607558,FBC,67.0,64.0,64.0,63.0,70.0,23100,2010-02-02
15607572,FBC,65.0,63.0,63.0,63.0,66.0,16100,2010-02-03
15607580,FBC,63.0,61.0,61.0,60.0,65.0,12700,2010-02-04
15607594,FBC,64.0,61.0,61.0,61.0,64.0,13000,2010-02-05
15607602,FBC,61.0,61.0,61.0,60.0,66.0,15900,2010-02-08
15607616,FBC,62.0,60.0,60.0,59.0,62.0,171000,2010-02-09
15607625,FBC,60.0,63.0,63.0,60.0,63.0,65000,2010-02-10
15607639,FBC,63.0,66.0,66.0,62.0,66.0,10400,2010-02-11
15607647,FBC,65.0,62.0,62.0,62.0,68.0,13300,2010-02-12
15607661,FBC,64.0,59.0,59.0,59.0,65.0,28400,2010-02-16
15607669,FBC,61.0,62.0,62.0,60.0,64.0,13900,2010-02-17
15607683,FBC,62.0,62.0,62.0,61.0,63.0,10000,2010-02-18
15607691,FBC,63.0,61.0,61.0,61.0,64.0,55300,2010-02-19
15607705,FBC,64.0,64.0,64.0,61.0,64.0,9100,2010-02-22
15607713,FBC,64.0,65.0,65.0,64.0,66.0,16100,2010-02-23
15607727,FBC,68.0,67.0,67.0,64.0,68.0,7100,2010-02-24
