,ticker,open,close,Adj Close,low,high,volume,Date
7611810,FNGN,15.0,17.25,16.5952053070068,14.8999996185303,17.3600006103516,9992800,2010-03-16
7611812,FNGN,17.120000839233402,16.6900005340576,16.0564556121826,16.5799999237061,17.25,915500,2010-03-17
7611813,FNGN,16.9599990844727,17.0499992370605,16.4027976989746,16.6499996185303,17.75,622300,2010-03-18
7611857,FNGN,17.1800003051758,17.6000003814697,16.9319171905518,17.0100002288818,18.1499996185303,513900,2010-03-19
7611859,FNGN,17.6100006103516,18.5499992370605,17.8458576202393,17.0799999237061,18.909999847412102,215800,2010-03-22
7611860,FNGN,18.8899993896484,18.0499992370605,17.3648319244385,18.0,18.9599990844727,361200,2010-03-23
7611902,FNGN,17.8999996185303,17.3899993896484,16.729887008667,17.2000007629395,18.1000003814697,188600,2010-03-24
7611904,FNGN,17.6499996185303,17.0,16.3546867370605,16.8999996185303,17.9699993133545,210000,2010-03-25
7611940,FNGN,17.1900005340576,17.2800006866455,16.6240673065186,16.7800006866455,17.4899997711182,182800,2010-03-26
7611942,FNGN,17.1599998474121,17.0300006866455,16.3835582733154,16.9500007629395,17.5,184100,2010-03-29
7611962,FNGN,17.1100006103516,17.0799999237061,16.4316539764404,16.8099994659424,17.3299999237061,228500,2010-03-30
7611964,FNGN,17.2199993133545,16.8999996185303,16.2584857940674,16.7800006866455,17.270000457763697,175700,2010-03-31
7611993,FNGN,16.879999160766598,16.5699996948242,15.941016197204599,16.3999996185303,16.9099998474121,158600,2010-04-01
7611995,FNGN,16.5499992370605,16.25,15.6331624984741,16.0799999237061,16.6000003814697,122000,2010-04-05
7612013,FNGN,16.1700000762939,16.2000007629395,15.585060119628901,16.1000003814697,16.5,102700,2010-04-06
7612015,FNGN,16.1700000762939,16.3999996185303,15.777470588684098,16.1700000762939,16.4899997711182,106000,2010-04-07
7612032,FNGN,16.2999992370605,16.729999542236303,16.0949382781982,16.2900009155273,16.8400001525879,173700,2010-04-08
7612034,FNGN,16.7399997711182,16.6700000762939,16.0372219085693,16.3500003814697,16.879999160766598,56400,2010-04-09
7612053,FNGN,16.5599994659424,17.1800003051758,16.5278644561768,16.3999996185303,17.25,103200,2010-04-12
7612055,FNGN,17.0599994659424,17.2199993133545,16.566333770752,16.6000003814697,17.270000457763697,70000,2010-04-13
7612074,FNGN,17.2900009155273,16.5,15.873668670654302,16.4300003051758,17.2900009155273,103600,2010-04-14
7612076,FNGN,16.4200000762939,16.5,15.873668670654302,16.25,16.7999992370605,117600,2010-04-15
7612116,FNGN,16.6000003814697,15.9300003051758,15.3253087997437,15.609999656677198,16.6000003814697,304200,2010-04-16
7612118,FNGN,15.8100004196167,16.0699996948242,15.4599924087524,15.3100004196167,16.1599998474121,119500,2010-04-19
7612147,FNGN,16.2399997711182,16.1700000762939,15.5562000274658,15.6899995803833,16.2399997711182,267500,2010-04-20
7612149,FNGN,16.120000839233402,15.5100002288818,14.921250343322802,15.5,16.3199996948242,290000,2010-04-21
7612185,FNGN,15.529999732971199,15.6000003814697,15.007835388183599,15.3100004196167,15.8199996948242,237200,2010-04-22
7612187,FNGN,15.640000343322802,16.7600002288818,16.123802185058597,15.270000457763699,16.770000457763697,136700,2010-04-23
7612210,FNGN,16.5499992370605,16.7399997711182,16.104564666748,15.789999961853,16.9899997711182,148000,2010-04-26
7612212,FNGN,16.5,16.2399997711182,15.6235446929932,16.1100006103516,16.5,38300,2010-04-27
7612324,FNGN,16.270000457763697,16.0100002288818,15.4022703170776,16.0,16.3199996948242,100400,2010-04-28
7612326,FNGN,16.0,16.6599998474121,16.0275993347168,15.9099998474121,16.75,75200,2010-04-29
7612400,FNGN,16.6399993896484,15.9200000762939,15.3156890869141,15.8500003814697,16.870000839233402,77300,2010-04-30
7612402,FNGN,15.9300003051758,16.120000839233402,15.508094787597699,15.770000457763699,16.1800003051758,38200,2010-05-03
7612535,FNGN,16.0,15.520000457763699,14.930871963501,15.5,16.2399997711182,27500,2010-05-04
7612537,FNGN,15.5100002288818,15.5900001525879,14.998215675353999,15.5,15.9899997711182,114100,2010-05-05
7612808,FNGN,15.5,15.5699996948242,14.978973388671902,14.8000001907349,15.8400001525879,75100,2010-05-06
7612810,FNGN,15.710000038147,15.520000457763699,14.930871963501,15.0100002288818,15.710000038147,113100,2010-05-07
7612835,FNGN,15.710000038147,15.640000343322802,15.0463171005249,15.5,15.9899997711182,132400,2010-05-10
7612837,FNGN,15.520000457763699,15.6499996185303,15.055937767028801,15.3000001907349,15.859999656677198,117000,2010-05-11
7613009,FNGN,15.8999996185303,15.8500003814697,15.2483463287354,15.5500001907349,15.9499998092651,49900,2010-05-12
7613011,FNGN,15.75,15.6899995803833,15.0944185256958,15.5500001907349,15.960000038147,80400,2010-05-13
7613132,FNGN,15.5500001907349,15.539999961853,14.950111389160199,15.5,15.6700000762939,24900,2010-05-14
7613134,FNGN,15.8500003814697,15.7600002288818,15.161762237548801,15.5,15.8500003814697,24200,2010-05-17
7613153,FNGN,15.9099998474121,15.8199996948242,15.2194833755493,15.6599998474121,15.960000038147,28900,2010-05-18
7613155,FNGN,15.640000343322802,15.5,14.9116306304932,15.369999885559098,15.8000001907349,51800,2010-05-19
7613175,FNGN,15.5,15.3000001907349,14.719223976135302,15.1499996185303,15.6599998474121,102300,2010-05-20
7613177,FNGN,15.5,15.6599998474121,15.065556526184098,15.5,15.869999885559098,149400,2010-05-21
7613197,FNGN,15.630000114440902,15.5,14.9116306304932,15.5,15.8100004196167,11300,2010-05-24
7613199,FNGN,15.4300003051758,15.130000114440902,14.555677413940401,15.0500001907349,15.4300003051758,84300,2010-05-25
7613227,FNGN,15.3000001907349,14.960000038147,14.3921308517456,14.710000038147,15.5699996948242,56900,2010-05-26
7613229,FNGN,15.1499996185303,15.220000267028801,14.6422595977783,14.8000001907349,15.359999656677198,66600,2010-05-27
7613362,FNGN,15.3400001525879,15.2399997711182,14.6614999771118,15.1000003814697,15.3999996185303,34500,2010-05-28
7613364,FNGN,15.1800003051758,14.960000038147,14.3921308517456,14.8100004196167,15.3999996185303,16800,2010-06-01
7613388,FNGN,15.0,15.0,14.4306116104126,14.6499996185303,15.1499996185303,39200,2010-06-02
7613390,FNGN,14.8999996185303,15.25,14.6711206436157,14.4399995803833,16.0900001525879,153800,2010-06-03
7613414,FNGN,15.0699996948242,14.8199996948242,14.257444381713901,14.8000001907349,15.25,147700,2010-06-04
7613416,FNGN,14.880000114440902,14.6000003814697,14.0457935333252,14.380000114440902,15.119999885559098,75700,2010-06-07
