,ticker,open,close,Adj Close,low,high,volume,Date
7452071,GEO,14.7266664505005,15.0799999237061,8.06698799133301,14.6666669845581,15.106666564941401,728100,2010-01-04
7452082,GEO,15.1599998474121,15.1000003814697,8.07768821716309,15.0799999237061,15.453332901001,643600,2010-01-05
7452094,GEO,15.119999885559098,15.1466665267944,8.10265254974365,14.926666259765598,15.313333511352502,538600,2010-01-06
7452105,GEO,15.1466665267944,15.173333168029801,8.11691570281982,14.8533334732056,15.2733335494995,219600,2010-01-07
7452117,GEO,15.1133337020874,14.9733333587646,8.00992679595947,14.8199996948242,15.1133337020874,286900,2010-01-08
7452128,GEO,15.0266666412354,14.6133337020874,7.81734561920166,14.5799999237061,15.0266666412354,385600,2010-01-11
7452140,GEO,14.4666662216187,14.3199996948242,7.6604290008544895,14.2600002288818,14.553333282470698,379600,2010-01-12
7452150,GEO,14.413332939147901,14.4200000762939,7.71392488479614,14.2600002288818,14.5600004196167,346200,2010-01-13
7452162,GEO,14.4399995803833,14.3333330154419,7.66756200790405,14.1800003051758,14.4399995803833,316600,2010-01-14
7452172,GEO,14.3533334732056,14.020000457763699,7.49994564056396,13.7333335876465,14.4200000762939,672300,2010-01-15
7452184,GEO,14.013333320617699,14.173333168029801,7.58197021484375,14.013333320617699,14.1933336257935,447300,2010-01-19
7452194,GEO,14.039999961853,14.0600004196167,7.52134227752686,13.7600002288818,14.1466665267944,605200,2010-01-20
7452206,GEO,14.086667060852099,13.513333320617699,7.22890710830688,13.1666669845581,14.206666946411099,1100400,2010-01-21
7452216,GEO,13.460000038147,13.2733335494995,7.100519180297849,13.206666946411099,13.720000267028801,850300,2010-01-22
7452228,GEO,13.3400001525879,13.3333330154419,7.1326150894165,13.1999998092651,13.4733333587646,929500,2010-01-25
7452238,GEO,13.253333091735803,12.846666336059599,6.87227392196655,12.8000001907349,13.393333435058599,1025400,2010-01-26
7452250,GEO,12.7866668701172,12.913332939147901,6.90793752670288,12.6666669845581,13.0,421900,2010-01-27
7452261,GEO,12.8999996185303,12.4666662216187,6.66899538040161,12.3999996185303,12.8999996185303,755400,2010-01-28
7452273,GEO,12.546667098999,12.3333330154419,6.5976681709289595,12.3066663742065,12.5799999237061,971200,2010-01-29
7452284,GEO,12.346666336059599,12.506667137146001,6.69039344787598,12.206666946411099,12.653333663940401,533800,2010-02-01
7452296,GEO,12.506667137146001,12.553333282470698,6.71535682678223,12.3533334732056,12.6000003814697,840900,2010-02-02
7452307,GEO,12.539999961853,12.753333091735803,6.82234716415405,12.539999961853,12.893333435058599,648900,2010-02-03
7452319,GEO,12.6466665267944,12.326666831970199,6.594103813171389,12.3066663742065,12.6666669845581,472500,2010-02-04
7452329,GEO,12.3733329772949,12.3866662979126,6.62619972229004,12.1800003051758,12.4066667556763,289800,2010-02-05
7452341,GEO,12.3199996948242,12.013333320617699,6.4264874458313,11.946666717529302,12.3199996948242,583300,2010-02-08
7452351,GEO,12.0933332443237,12.1000003814697,6.472848415374759,11.9399995803833,12.1266670227051,751800,2010-02-09
7452363,GEO,12.0333337783813,12.3333330154419,6.5976681709289595,12.020000457763699,12.6666669845581,1070100,2010-02-10
7452374,GEO,12.2866668701172,12.6133337020874,6.74745321273804,12.1800003051758,12.640000343322802,983800,2010-02-11
7452386,GEO,12.453332901001,12.893333435058599,6.89723968505859,12.4333333969116,12.8999996185303,517300,2010-02-12
7452397,GEO,13.020000457763699,12.9333333969116,6.91863679885864,12.8666667938232,13.053333282470698,326500,2010-02-16
7452409,GEO,13.013333320617699,12.893333435058599,6.89723968505859,12.8333330154419,13.1333332061768,496300,2010-02-17
7452420,GEO,12.846666336059599,12.8199996948242,6.85801076889038,12.7866668701172,12.960000038147,1267500,2010-02-18
7452432,GEO,12.813333511352502,12.779999732971199,6.83661222457886,12.5600004196167,12.859999656677198,1057600,2010-02-19
7452442,GEO,12.8533334732056,13.073333740234402,6.99352931976318,12.8000001907349,13.4666662216187,1626300,2010-02-22
7452454,GEO,13.013333320617699,13.020000457763699,6.96499872207642,12.9066667556763,13.140000343322802,770200,2010-02-23
7452465,GEO,13.1000003814697,13.1000003814697,7.0077953338623,12.979999542236301,13.253333091735803,619300,2010-02-24
7452477,GEO,12.926666259765598,13.0933332443237,7.00422668457031,12.8733329772949,13.186666488647498,620200,2010-02-25
7452488,GEO,13.053333282470698,13.1800003051758,7.05059146881104,12.960000038147,13.206666946411099,825300,2010-02-26
7452500,GEO,13.279999732971199,13.3999996185303,7.168278694152829,13.2133331298828,13.513333320617699,755700,2010-03-01
7452511,GEO,13.173333168029801,12.3199996948242,6.59053754806519,12.2266664505005,13.173333168029801,3028300,2010-03-02
