,ticker,open,close,Adj Close,low,high,volume,Date
14997573,GMLPP,23.559999465942397,25.0,23.3821182250977,23.3299999237061,25.5200004577637,875400,2017-10-26
14997604,GMLPP,25.100000381469698,25.0499992370605,23.428882598877,25.0,25.149999618530302,335600,2017-10-31
14997613,GMLPP,25.149999618530302,25.1299991607666,23.5037059783936,25.0699996948242,25.239999771118196,281800,2017-11-01
14997625,GMLPP,25.2000007629395,25.2700004577637,23.6346435546875,25.0900001525879,25.2999992370605,192000,2017-11-02
14997635,GMLPP,25.2999992370605,25.2900009155273,23.6533527374268,25.2099990844727,25.350999832153303,116400,2017-11-03
14997645,GMLPP,25.3799991607666,25.288999557495103,23.6524143218994,25.25,25.3799991607666,144300,2017-11-06
14997655,GMLPP,25.2999992370605,25.469999313354503,23.821701049804698,25.280000686645497,25.530000686645497,224900,2017-11-07
14997667,GMLPP,25.5,25.4249992370605,23.779613494873,25.3899993896484,25.5200004577637,188300,2017-11-08
14997677,GMLPP,25.4500007629395,25.381999969482397,23.7393970489502,25.309999465942397,25.4500007629395,85700,2017-11-09
14997689,GMLPP,25.399000167846697,25.3799991607666,23.737524032592802,25.309999465942397,25.4099998474121,120600,2017-11-10
14997697,GMLPP,25.399999618530302,25.3299999237061,23.6907615661621,25.309999465942397,25.448999404907198,74900,2017-11-13
14997709,GMLPP,25.350000381469698,25.1100006103516,23.4850006103516,25.1100006103516,25.350000381469698,122000,2017-11-14
14997719,GMLPP,25.100000381469698,25.149999618530302,23.5224094390869,24.9200000762939,25.2299995422363,166400,2017-11-15
14997730,GMLPP,25.1509990692139,25.1480007171631,23.5205402374268,25.1299991607666,25.260000228881804,83200,2017-11-16
14997740,GMLPP,25.149999618530302,25.247999191284197,23.614068984985398,25.1100006103516,25.25,47600,2017-11-17
14997752,GMLPP,25.260000228881804,25.350000381469698,23.7094669342041,25.2000007629395,25.350000381469698,33000,2017-11-20
14997761,GMLPP,25.350000381469698,25.3199996948242,23.681409835815398,25.176000595092802,25.440000534057603,94600,2017-11-21
14997773,GMLPP,25.25,25.3400001525879,23.700115203857397,25.25,25.3400001525879,44000,2017-11-22
14997784,GMLPP,25.30299949646,25.3409996032715,23.7010498046875,25.2649993896484,25.378999710082997,18900,2017-11-24
14997796,GMLPP,25.2999992370605,25.239999771118196,23.6065864562988,25.1700000762939,25.3129997253418,116700,2017-11-27
14997806,GMLPP,25.219999313354503,25.149999618530302,23.5224094390869,25.0699996948242,25.239000320434602,160200,2017-11-28
14997818,GMLPP,25.2000007629395,25.2099990844727,23.5785274505615,25.1200008392334,25.239999771118196,50800,2017-11-29
14997827,GMLPP,25.239999771118196,25.1299991607666,23.5037059783936,25.1200008392334,25.239999771118196,127200,2017-11-30
14997839,GMLPP,25.2099990844727,25.1299991607666,23.5037059783936,25.059999465942397,25.2099990844727,47400,2017-12-01
14997848,GMLPP,25.2299995422363,25.149999618530302,23.5224094390869,25.1299991607666,25.25,80500,2017-12-04
14997861,GMLPP,25.190000534057603,25.136999130249,23.5102519989014,25.1100006103516,25.190000534057603,46400,2017-12-05
14997872,GMLPP,25.1800003051758,25.149999618530302,23.5224094390869,25.121000289917003,25.212999343872102,87600,2017-12-06
14997884,GMLPP,25.1399993896484,25.219999313354503,23.5878791809082,25.1399993896484,25.249000549316396,41800,2017-12-07
14997893,GMLPP,25.239999771118196,25.274999618530302,23.6393222808838,25.1599998474121,25.3700008392334,94300,2017-12-08
14997905,GMLPP,25.2999992370605,25.3299999237061,23.6907615661621,25.2900009155273,25.388000488281197,49400,2017-12-11
14997913,GMLPP,25.350000381469698,25.3899993896484,23.7468776702881,25.309999465942397,25.440000534057603,67300,2017-12-12
14997952,GMLPP,25.440000534057603,25.489999771118196,23.840408325195302,25.3490009307861,25.5400009155273,84800,2017-12-13
