,ticker,open,close,Adj Close,low,high,volume,Date
2992834,GZT,8.75,8.829999923706051,2.63256573677063,8.409999847412111,9.01000022888184,5085400,2011-12-14
2992843,GZT,9.02000045776367,9.14000034332275,2.72498917579651,9.01000022888184,9.170000076293949,1246700,2011-12-15
2992854,GZT,9.14000034332275,9.22999954223633,2.75182056427002,9.05000019073486,9.23999977111816,385400,2011-12-16
2992864,GZT,9.329999923706051,9.35000038146973,2.7875978946685804,9.30000019073486,9.420000076293949,169100,2011-12-19
2992874,GZT,9.5,9.61999988555908,2.86809492111206,9.3100004196167,9.6899995803833,573900,2011-12-20
2992885,GZT,9.5,9.46000003814697,2.82039260864258,9.31999969482422,9.55000019073486,164500,2011-12-21
2992895,GZT,9.47999954223633,9.47000026702881,2.82337498664856,9.40999984741211,9.55000019073486,111500,2011-12-22
2992905,GZT,9.47000026702881,9.5600004196167,2.85020637512207,9.420000076293949,9.5600004196167,72300,2011-12-23
2992915,GZT,9.77000045776367,9.75,2.90685367584229,9.6899995803833,9.89000034332275,169400,2011-12-27
2992925,GZT,9.72999954223633,9.60000038146973,2.86213231086731,9.5,9.72999954223633,57400,2011-12-28
2992935,GZT,9.5,9.34000015258789,2.78461694717407,9.26000022888184,9.55000019073486,69000,2011-12-29
2992945,GZT,9.36999988555908,9.44999980926514,2.8174114227294904,9.35000038146973,9.44999980926514,87900,2011-12-30
2992955,GZT,9.60000038146973,9.52000045776367,2.8382813930511497,9.35000038146973,9.60000038146973,179300,2012-01-03
2992964,GZT,9.39999961853027,9.30000019073486,2.77269101142883,9.10000038146973,9.39999961853027,154100,2012-01-04
2992975,GZT,9.26000022888184,9.35000038146973,2.7875978946685804,9.25,9.420000076293949,37500,2012-01-05
2992983,GZT,9.35000038146973,9.35000038146973,2.7875978946685804,9.25,9.35000038146973,40700,2012-01-06
2992993,GZT,9.31999969482422,9.44999980926514,2.8174114227294904,9.3100004196167,9.48999977111816,51900,2012-01-09
2993001,GZT,9.64999961853027,9.56999969482422,2.8531880378723105,9.47000026702881,9.69999980926514,116000,2012-01-10
2993011,GZT,9.40999984741211,9.39000034332275,2.79952430725098,9.30000019073486,9.48999977111816,47600,2012-01-11
2993019,GZT,9.48999977111816,9.38000011444092,2.79654288291931,9.30000019073486,9.48999977111816,36900,2012-01-12
2993029,GZT,9.22999954223633,9.39000034332275,2.79952430725098,9.22000026702881,9.39000034332275,63700,2012-01-13
2993037,GZT,9.63000011444092,9.52000045776367,2.8382813930511497,9.51000022888184,9.68000030517578,154700,2012-01-17
2993047,GZT,9.670000076293949,9.76000022888184,2.90983390808105,9.65999984741211,9.829999923706051,288700,2012-01-18
2993055,GZT,9.69999980926514,9.920000076293949,2.95753645896912,9.63000011444092,9.94999980926514,234100,2012-01-19
2993065,GZT,9.90999984741211,9.920000076293949,2.95753645896912,9.90999984741211,9.97999954223633,220100,2012-01-20
2993073,GZT,10.0,9.94999980926514,2.96648073196411,9.90999984741211,10.0600004196167,127800,2012-01-23
2993083,GZT,9.90999984741211,9.84000015258789,2.93368625640869,9.80000019073486,9.93000030517578,204700,2012-01-24
2993091,GZT,9.78999996185303,10.0299997329712,2.9903328418731703,9.63000011444092,10.039999961853,68000,2012-01-25
2993101,GZT,10.0299997329712,9.85000038146973,2.9366674423217796,9.8100004196167,10.0699996948242,81600,2012-01-26
2993108,GZT,9.84000015258789,9.96000003814697,2.9694619178772004,9.829999923706051,10.0,21200,2012-01-27
2993118,GZT,9.94999980926514,9.90999984741211,2.95455527305603,9.72000026702881,9.94999980926514,30800,2012-01-30
2993126,GZT,9.98999977111816,9.97000026702881,2.97244429588318,9.84000015258789,9.98999977111816,42100,2012-01-31
2993136,GZT,10.010000228881802,10.0,2.98138689994812,9.85000038146973,10.0500001907349,39700,2012-02-01
2993144,GZT,9.97000026702881,9.89000034332275,2.9485924243927,9.8100004196167,10.039999961853,17000,2012-02-02
2993154,GZT,9.98999977111816,10.1099996566772,3.01418352127075,9.90999984741211,10.1599998474121,54000,2012-02-03
2993162,GZT,10.1700000762939,10.1899995803833,3.0380337238311803,10.1300001144409,10.25,27200,2012-02-06
2993172,GZT,10.1700000762939,10.1499996185303,3.02610874176025,10.1000003814697,10.229999542236301,9300,2012-02-07
2993180,GZT,10.1499996185303,10.1599998474121,3.0290901660919203,10.1300001144409,10.1899995803833,6500,2012-02-08
