,ticker,open,close,Adj Close,low,high,volume,Date
20866294,HA,7.09000015258789,7.099999904632571,7.01175308227539,7.0,7.19000005722046,290800,2010-01-04
20866296,HA,7.05999994277954,7.21000003814697,7.12038612365723,6.900000095367429,7.32999992370605,783400,2010-01-05
20866298,HA,7.199999809265139,6.94000005722046,6.85374212265015,6.80999994277954,7.21000003814697,670100,2010-01-06
20866300,HA,6.949999809265139,7.21000003814697,7.12038612365723,6.889999866485599,7.2600002288818395,429200,2010-01-07
20866302,HA,7.199999809265139,7.17999982833862,7.09075927734375,7.050000190734861,7.26999998092651,219000,2010-01-08
20866304,HA,7.199999809265139,7.050000190734861,6.96237516403198,6.92000007629395,7.199999809265139,339300,2010-01-11
20866306,HA,6.9899997711181605,6.94000005722046,6.85374212265015,6.82000017166138,7.07000017166138,688100,2010-01-12
20866308,HA,7.0,7.15999984741211,7.071008205413821,6.849999904632571,7.19000005722046,374000,2010-01-13
20866310,HA,7.07000017166138,6.880000114440921,6.794488430023191,6.849999904632571,7.21000003814697,835200,2010-01-14
20866312,HA,6.92999982833862,6.7600002288818395,6.67597961425781,6.65999984741211,6.94000005722046,645100,2010-01-15
20866314,HA,6.78999996185303,6.800000190734861,6.71548223495483,6.650000095367429,6.869999885559079,688400,2010-01-19
20866316,HA,6.699999809265139,6.69000005722046,6.606849193573001,6.5,6.78999996185303,471800,2010-01-20
20866318,HA,6.67999982833862,6.5,6.41921091079712,6.449999809265139,6.80999994277954,432200,2010-01-21
20866320,HA,6.48000001907349,6.30999994277954,6.23157262802124,6.300000190734861,6.55999994277954,459100,2010-01-22
20866322,HA,6.369999885559079,6.349999904632571,6.271075248718259,6.26999998092651,6.53999996185303,371500,2010-01-25
20866325,HA,6.34000015258789,6.17999982833862,6.10318803787231,6.130000114440921,6.34000015258789,397500,2010-01-26
20866327,HA,6.139999866485599,6.2600002288818395,6.18219423294067,6.099999904632571,6.28000020980835,504300,2010-01-27
20866329,HA,6.28000020980835,6.09000015258789,6.01430702209473,6.0,6.34000015258789,475900,2010-01-28
