,ticker,open,close,Adj Close,low,high,volume,Date
10851689,HBB,35.0,31.0,30.705383300781197,31.0,35.0,3300,2017-09-26
10851700,HBB,31.0,29.344999313354503,29.0661106109619,29.0,31.0,5800,2017-09-27
10851707,HBB,29.625,31.25,30.9530086517334,29.625,33.009998321533196,13800,2017-09-28
10851718,HBB,30.100000381469698,33.0999984741211,32.7854194641113,30.100000381469698,33.0999984741211,14700,2017-09-29
10851724,HBB,32.8600006103516,30.2299995422363,29.942699432373,29.5,34.5999984741211,141100,2017-10-02
10851737,HBB,31.1100006103516,33.9000015258789,33.577823638916,30.6299991607666,34.2000007629395,73200,2017-10-03
10851745,HBB,33.9000015258789,34.5900001525879,34.261260986328104,33.0,36.6699981689453,92600,2017-10-04
10851756,HBB,35.319999694824205,35.5099983215332,35.1725196838379,35.0,36.5,84300,2017-10-05
10851764,HBB,36.0,37.5999984741211,37.24265670776371,36.0,37.9900016784668,30900,2017-10-06
10851775,HBB,37.6300010681152,38.6300010681152,38.262866973877,36.5800018310547,41.0,37800,2017-10-09
10851782,HBB,38.6300010681152,37.0,36.6483612060547,36.5,38.6300010681152,50100,2017-10-10
10851794,HBB,36.3300018310547,38.1199989318848,37.757717132568395,35.6300010681152,38.7599983215332,63700,2017-10-11
10851800,HBB,38.0999984741211,37.9500007629395,37.5893325805664,37.2599983215332,38.0999984741211,29700,2017-10-12
10851814,HBB,38.3600006103516,38.220001220703104,37.8567657470703,37.310001373291,38.6100006103516,32800,2017-10-13
10851821,HBB,38.4500007629395,38.930000305175795,38.5600166320801,37.9550018310547,39.2000007629395,44000,2017-10-16
10851834,HBB,38.959999084472706,39.3300018310547,38.9562187194824,38.529998779296896,39.3699989318848,32400,2017-10-17
10851842,HBB,39.459999084472706,39.5,39.1245994567871,39.0,39.77000045776371,32200,2017-10-18
10851854,HBB,39.2849998474121,39.5499992370605,39.1741218566895,38.8899993896484,40.029998779296896,25800,2017-10-19
10851862,HBB,39.8300018310547,39.6699981689453,39.2929840087891,39.180000305175795,40.5,33800,2017-10-20
10851874,HBB,39.8600006103516,39.6699981689453,39.2929840087891,39.25,39.8600006103516,24600,2017-10-23
10851882,HBB,39.6699981689453,39.8699989318848,39.491081237793004,39.540000915527294,40.279998779296896,40500,2017-10-24
10851893,HBB,39.9080009460449,39.290000915527294,38.916595458984396,38.9099998474121,40.0,50400,2017-10-25
10851915,HBB,39.279998779296896,38.8499984741211,38.4807739257812,38.529998779296896,39.5,8300,2017-10-26
10851966,HBB,38.7000007629395,39.8899993896484,39.510894775390604,38.4099998474121,39.970001220703104,35600,2017-10-27
10851974,HBB,39.1100006103516,39.5,39.1245994567871,39.1100006103516,39.779998779296896,15800,2017-10-30
10851986,HBB,39.7000007629395,38.77000045776371,38.4015350341797,38.3800010681152,39.7000007629395,25100,2017-10-31
10851994,HBB,38.939998626709,38.5900001525879,38.22324752807621,37.7999992370605,38.939998626709,16500,2017-11-01
10852006,HBB,37.5999984741211,37.2400016784668,36.886081695556605,36.8499984741211,38.2599983215332,43600,2017-11-02
10852013,HBB,37.290000915527294,36.25,35.905487060546896,35.8380012512207,37.3300018310547,50200,2017-11-03
10852026,HBB,35.9000015258789,32.7700004577637,32.4585647583008,30.530000686645497,35.9000015258789,43200,2017-11-06
10852034,HBB,32.7700004577637,32.0900001525879,31.7850227355957,31.1299991607666,32.7700004577637,40000,2017-11-07
10852048,HBB,31.899999618530302,31.8400001525879,31.537399291992198,31.5750007629395,32.029998779296896,26100,2017-11-08
10852056,HBB,31.3400001525879,30.5,30.2101345062256,30.0049991607666,31.3400001525879,30100,2017-11-09
10852068,HBB,30.1700000762939,30.7999992370605,30.507282257080103,30.1100006103516,31.0699996948242,25200,2017-11-10
10852075,HBB,31.0200004577637,31.8799991607666,31.577016830444304,30.8600006103516,32.4500007629395,59000,2017-11-13
10852088,HBB,31.7700004577637,32.3800010681152,32.0722694396973,31.7350006103516,32.6500015258789,20800,2017-11-14
10852096,HBB,32.2000007629395,32.8400001525879,32.5278968811035,32.0499992370605,32.8400001525879,39100,2017-11-15
10852110,HBB,32.9500007629395,32.689998626709,32.379322052002,32.490001678466804,33.25,27600,2017-11-16
10852118,HBB,32.490001678466804,31.8400001525879,31.537399291992198,30.350000381469698,32.8499984741211,61400,2017-11-17
10852128,HBB,31.8600006103516,31.8899993896484,31.5869216918945,31.7999992370605,32.4500007629395,23400,2017-11-20
