,ticker,open,close,Adj Close,low,high,volume,Date
8587641,HLG,15133.2998046875,14800.0,14800.0,14666.7001953125,15133.2998046875,7215,2010-02-22
8587654,HLG,14333.2998046875,14066.7001953125,14066.7001953125,14066.7001953125,14666.7001953125,16845,2010-02-23
8587662,HLG,13666.7001953125,13733.2998046875,13733.2998046875,13666.7001953125,14066.7001953125,13365,2010-02-24
8587675,HLG,14266.7001953125,14133.2998046875,14133.2998046875,14133.2998046875,14266.7001953125,3345,2010-02-25
8587683,HLG,13866.7001953125,14266.7001953125,14266.7001953125,13866.7001953125,14400.0,7545,2010-02-26
8587695,HLG,14266.7001953125,14333.2998046875,14333.2998046875,14000.0,14466.7001953125,18150,2010-03-01
8587703,HLG,14200.0,14466.7001953125,14466.7001953125,14200.0,14466.7001953125,16725,2010-03-02
8587715,HLG,14200.0,14466.7001953125,14466.7001953125,14200.0,14466.7001953125,9945,2010-03-03
8587724,HLG,14400.0,15000.0,15000.0,14400.0,15000.0,47235,2010-03-04
8587736,HLG,15000.0,15733.2998046875,15733.2998046875,15000.0,15733.2998046875,63990,2010-03-05
8587744,HLG,16333.2998046875,16466.69921875,16466.69921875,16133.2998046875,16466.69921875,42840,2010-03-08
8587755,HLG,16333.2998046875,17000.0,17000.0,16333.2998046875,17000.0,43455,2010-03-09
8587763,HLG,17000.0,17333.30078125,17333.30078125,17000.0,17600.0,77550,2010-03-10
8587774,HLG,17066.69921875,17000.0,17000.0,17000.0,17866.69921875,79905,2010-03-11
8587782,HLG,17066.69921875,16666.69921875,16666.69921875,16666.69921875,17133.30078125,94485,2010-03-12
8587794,HLG,17000.0,16666.69921875,16666.69921875,16666.69921875,17266.69921875,72435,2010-03-15
8587802,HLG,17133.30078125,16666.69921875,16666.69921875,16266.7001953125,17133.30078125,14145,2010-03-16
8587812,HLG,16666.69921875,16600.0,16600.0,16000.0,16666.69921875,23325,2010-03-17
8587820,HLG,16066.7001953125,17400.0,17400.0,16066.7001953125,17400.0,37710,2010-03-18
8587833,HLG,17333.30078125,16800.0,16800.0,16666.69921875,17333.30078125,77460,2010-03-19
8587841,HLG,17266.69921875,16800.0,16800.0,16000.0,17266.69921875,35850,2010-03-22
8587853,HLG,16866.69921875,17066.69921875,17066.69921875,16733.30078125,17066.69921875,35400,2010-03-23
8587861,HLG,16400.0,16666.69921875,16666.69921875,16400.0,17333.30078125,35850,2010-03-24
8587875,HLG,16200.0,16133.2998046875,16133.2998046875,16133.2998046875,16266.7001953125,16020,2010-03-25
8587883,HLG,16666.69921875,16666.69921875,16666.69921875,16000.0,16666.69921875,9420,2010-03-26
8587895,HLG,17066.69921875,16666.69921875,16666.69921875,16133.2998046875,17066.69921875,6900,2010-03-29
8587903,HLG,16133.2998046875,16666.69921875,16666.69921875,15933.2998046875,16800.0,117315,2010-03-30
8587917,HLG,16666.69921875,16000.0,16000.0,16000.0,16666.69921875,36465,2010-03-31
8587925,HLG,15333.2998046875,16333.2998046875,16333.2998046875,15333.2998046875,16333.2998046875,25125,2010-04-01
8587937,HLG,17933.30078125,17933.30078125,17933.30078125,17933.30078125,17933.30078125,61545,2010-04-05
8587945,HLG,18800.0,18800.0,18800.0,18666.69921875,18800.0,150765,2010-04-06
8587956,HLG,18666.69921875,18666.69921875,18666.69921875,18333.30078125,19000.0,123750,2010-04-07
8587964,HLG,17933.30078125,17800.0,17800.0,17800.0,18666.69921875,68130,2010-04-08
8587976,HLG,17400.0,17400.0,17400.0,16933.30078125,17666.69921875,255525,2010-04-09
8587984,HLG,18266.69921875,18266.69921875,18266.69921875,18200.0,18266.69921875,234135,2010-04-12
8587998,HLG,18800.0,19133.30078125,19133.30078125,18466.69921875,19133.30078125,335535,2010-04-13
8588006,HLG,19266.69921875,19200.0,19200.0,18666.69921875,19333.30078125,148545,2010-04-14
8588020,HLG,19333.30078125,19200.0,19200.0,18733.30078125,19333.30078125,290565,2010-04-15
8588029,HLG,20133.30078125,20133.30078125,20133.30078125,20133.30078125,20133.30078125,243930,2010-04-16
8588042,HLG,21133.30078125,21133.30078125,21133.30078125,21133.30078125,21133.30078125,116430,2010-04-19
8588050,HLG,22133.30078125,22133.30078125,22133.30078125,22133.30078125,22133.30078125,22455,2010-04-20
8588061,HLG,23200.0,23200.0,23200.0,23200.0,23200.0,78690,2010-04-21
8588069,HLG,24333.30078125,24333.30078125,24333.30078125,24333.30078125,24333.30078125,109620,2010-04-22
8588088,HLG,25200.0,25200.0,25200.0,25200.0,25200.0,104940,2010-04-26
8588101,HLG,26400.0,26400.0,26400.0,26000.0,26400.0,524730,2010-04-27
8588109,HLG,27666.69921875,27666.69921875,27666.69921875,27333.30078125,27666.69921875,627570,2010-04-28
8588121,HLG,29000.0,29000.0,29000.0,29000.0,29000.0,501645,2010-04-29
8588149,HLG,30400.0,30400.0,30400.0,30400.0,30400.0,411600,2010-05-04
8588162,HLG,31866.69921875,31866.69921875,31866.69921875,31333.30078125,31866.69921875,665055,2010-05-05
8588183,HLG,32333.30078125,32000.0,32000.0,31000.0,33333.30078125,1655115,2010-05-06
8588195,HLG,32000.0,30400.0,30400.0,30400.0,32000.0,895410,2010-05-07
8588203,HLG,30666.69921875,29266.69921875,29266.69921875,29266.69921875,30666.69921875,306270,2010-05-10
8588217,HLG,30666.69921875,30133.30078125,30133.30078125,29733.30078125,30666.69921875,380970,2010-05-11
8588225,HLG,28733.30078125,29400.0,29400.0,28666.69921875,29400.0,290655,2010-05-12
8588239,HLG,28000.0,27266.69921875,27266.69921875,27266.69921875,28666.69921875,591000,2010-05-13
8588240,HLG,28000.0,28600.0,28600.0,27266.69921875,28600.0,231855,2010-05-14
8588248,HLG,29533.30078125,30000.0,30000.0,28600.0,30000.0,562440,2010-05-17
8588263,HLG,31000.0,30000.0,30000.0,30000.0,31000.0,431115,2010-05-18
8588264,HLG,29200.0,28533.30078125,28533.30078125,28533.30078125,29200.0,85440,2010-05-19
8588272,HLG,27133.30078125,27133.30078125,27133.30078125,27133.30078125,27933.30078125,471750,2010-05-20
8588285,HLG,25800.0,25800.0,25800.0,25800.0,25800.0,20700,2010-05-21
8588293,HLG,24600.0,24533.30078125,24533.30078125,24533.30078125,24666.69921875,189975,2010-05-24
8588313,HLG,24666.69921875,25733.30078125,25733.30078125,24133.30078125,25733.30078125,339735,2010-05-26
8588325,HLG,26000.0,26666.69921875,26666.69921875,25666.69921875,26666.69921875,193005,2010-05-27
8588333,HLG,27866.69921875,28000.0,28000.0,27000.0,28000.0,352665,2010-05-28
8588346,HLG,25333.30078125,25533.30078125,25533.30078125,25333.30078125,26333.30078125,409155,2010-06-01
8588356,HLG,24666.69921875,25666.69921875,25666.69921875,24666.69921875,25666.69921875,156570,2010-06-02
8588370,HLG,25666.69921875,26066.69921875,26066.69921875,25400.0,26066.69921875,469695,2010-06-03
8588379,HLG,25933.30078125,24666.69921875,24666.69921875,24666.69921875,25933.30078125,207870,2010-06-04
8588392,HLG,23533.30078125,23466.69921875,23466.69921875,23466.69921875,24000.0,248685,2010-06-07
8588401,HLG,23666.69921875,23600.0,23600.0,22333.30078125,23800.0,153150,2010-06-08
8588413,HLG,23866.69921875,23333.30078125,23333.30078125,23333.30078125,23866.69921875,149250,2010-06-09
8588422,HLG,23333.30078125,23333.30078125,23333.30078125,23000.0,23800.0,189645,2010-06-10
8588434,HLG,24400.0,24466.69921875,24466.69921875,24333.30078125,24466.69921875,208305,2010-06-11
8588442,HLG,25666.69921875,25666.69921875,25666.69921875,25666.69921875,25666.69921875,29520,2010-06-14
8588462,HLG,26933.30078125,26933.30078125,26933.30078125,26666.69921875,26933.30078125,1135350,2010-06-16
8588474,HLG,26200.0,25866.69921875,25866.69921875,25866.69921875,27000.0,444360,2010-06-17
8588482,HLG,25200.0,25800.0,25800.0,25200.0,26333.30078125,227655,2010-06-18
8588495,HLG,25800.0,26066.69921875,26066.69921875,25800.0,27066.69921875,601710,2010-06-21
8588503,HLG,25400.0,25000.0,25000.0,25000.0,26333.30078125,268020,2010-06-22
8588515,HLG,25600.0,24666.69921875,24666.69921875,24533.30078125,25600.0,195945,2010-06-23
8588523,HLG,25333.30078125,24466.69921875,24466.69921875,24466.69921875,25333.30078125,125235,2010-06-24
8588537,HLG,24333.30078125,23800.0,23800.0,23733.30078125,24333.30078125,193230,2010-06-25
8588545,HLG,23466.69921875,24533.30078125,24533.30078125,23466.69921875,24933.30078125,142845,2010-06-28
8588556,HLG,24400.0,23866.69921875,23866.69921875,23800.0,24666.69921875,251970,2010-06-29
8588564,HLG,23200.0,23000.0,23000.0,23000.0,23400.0,413775,2010-06-30
8588577,HLG,23000.0,22666.69921875,22666.69921875,22533.30078125,23133.30078125,232560,2010-07-01
8588585,HLG,23333.30078125,22666.69921875,22666.69921875,22400.0,23333.30078125,253560,2010-07-02
8588598,HLG,22933.30078125,23133.30078125,23133.30078125,22000.0,23133.30078125,814830,2010-07-06
8588606,HLG,24266.69921875,22666.69921875,22666.69921875,22666.69921875,24266.69921875,584415,2010-07-07
8588618,HLG,23533.30078125,22666.69921875,22666.69921875,22666.69921875,23533.30078125,278250,2010-07-08
8588626,HLG,22666.69921875,22866.69921875,22866.69921875,22666.69921875,23133.30078125,133215,2010-07-09
8588639,HLG,23133.30078125,22866.69921875,22866.69921875,22600.0,23133.30078125,187275,2010-07-12
8588647,HLG,22866.69921875,23200.0,23200.0,22866.69921875,23600.0,442665,2010-07-13
8588659,HLG,24333.30078125,24333.30078125,24333.30078125,24200.0,24333.30078125,1375755,2010-07-14
8588667,HLG,24000.0,23533.30078125,23533.30078125,23533.30078125,24266.69921875,250155,2010-07-15
8588680,HLG,24000.0,24000.0,24000.0,23933.30078125,24666.69921875,601515,2010-07-16
8588688,HLG,23333.30078125,23533.30078125,23533.30078125,23333.30078125,24000.0,199440,2010-07-19
8588699,HLG,23533.30078125,23266.69921875,23266.69921875,23266.69921875,23533.30078125,191475,2010-07-20
8588708,HLG,23066.69921875,22933.30078125,22933.30078125,22733.30078125,23133.30078125,194130,2010-07-21
8588721,HLG,22933.30078125,22333.30078125,22333.30078125,22000.0,22933.30078125,300390,2010-07-22
8588729,HLG,22333.30078125,22066.69921875,22066.69921875,22066.69921875,23200.0,283065,2010-07-23
8588747,HLG,21333.30078125,20733.30078125,20733.30078125,20733.30078125,21400.0,254295,2010-07-27
8588758,HLG,21000.0,19733.30078125,19733.30078125,19733.30078125,21000.0,221055,2010-07-28
8588766,HLG,19933.30078125,19933.30078125,19933.30078125,18933.30078125,19933.30078125,209655,2010-07-29
8588777,HLG,19466.69921875,20200.0,20200.0,19466.69921875,20666.69921875,224880,2010-07-30
8588785,HLG,20333.30078125,19466.69921875,19466.69921875,19400.0,20333.30078125,118545,2010-08-02
8588796,HLG,19466.69921875,18800.0,18800.0,18800.0,20000.0,224475,2010-08-03
8588804,HLG,18266.69921875,18000.0,18000.0,17866.69921875,18400.0,426030,2010-08-04
8588817,HLG,18600.0,17333.30078125,17333.30078125,17333.30078125,18600.0,269715,2010-08-05
8588825,HLG,17333.30078125,17333.30078125,17333.30078125,17000.0,17333.30078125,170220,2010-08-06
8588837,HLG,18066.69921875,16466.69921875,16466.69921875,16466.69921875,18066.69921875,183660,2010-08-09
8588845,HLG,16000.0,15666.7001953125,15666.7001953125,15666.7001953125,16000.0,180480,2010-08-10
8588859,HLG,15666.7001953125,15333.2998046875,15333.2998046875,14933.2998046875,15666.7001953125,604215,2010-08-11
