,ticker,open,close,Adj Close,low,high,volume,Date
16539451,HUM,44.4300003051758,45.6800003051758,42.722496032714794,44.4300003051758,45.7700004577637,2008500,2010-01-04
16539467,HUM,45.790000915527294,45.6599998474121,42.7037925720215,45.2700004577637,46.1599998474121,1860700,2010-01-05
16539471,HUM,45.6599998474121,45.9799995422363,43.003082275390604,45.3499984741211,46.3400001525879,1686800,2010-01-06
16539488,HUM,46.25,48.119998931884794,45.0045166015625,46.25,48.689998626709006,3706600,2010-01-07
16539493,HUM,47.810001373290994,47.5099983215332,44.4340019226074,47.2000007629395,48.0200004577637,2412300,2010-01-08
16539509,HUM,47.4799995422363,46.9500007629395,43.9102668762207,46.709999084472706,47.7299995422363,2000900,2010-01-11
16539539,HUM,46.4799995422363,46.1800003051758,43.190120697021506,45.619998931884794,46.779998779296896,2392100,2010-01-12
16539556,HUM,46.2400016784668,47.029998779296896,43.9850883483887,45.3199996948242,47.1399993896484,2455800,2010-01-13
16539606,HUM,46.7599983215332,48.0200004577637,44.9109992980957,46.75,48.5999984741211,3433400,2010-01-14
16539623,HUM,48.1399993896484,48.5099983215332,45.369266510009794,47.5900001525879,48.9900016784668,2646200,2010-01-15
16539629,HUM,49.2999992370605,51.939998626709006,48.5772018432617,49.2999992370605,52.2599983215332,9567400,2010-01-19
16539646,HUM,52.6500015258789,51.2700004577637,47.9505767822266,50.2999992370605,52.6599998474121,10926100,2010-01-20
16539652,HUM,51.130001068115206,51.7700004577637,48.4182014465332,51.0099983215332,52.1800003051758,9071700,2010-01-21
16539668,HUM,51.7000007629395,51.0,47.6980590820312,50.8199996948242,52.58000183105471,3878400,2010-01-22
16539674,HUM,50.8899993896484,49.560001373290994,46.351291656494105,49.4000015258789,51.4099998474121,4585300,2010-01-25
16539690,HUM,49.5999984741211,48.2700004577637,45.1448097229004,48.0999984741211,49.689998626709006,3760600,2010-01-26
16539696,HUM,48.25,49.0200004577637,45.846256256103494,47.810001373290994,50.1100006103516,3232200,2010-01-27
16539712,HUM,49.2599983215332,48.790000915527294,45.6311531066895,48.4300003051758,50.209999084472706,3317800,2010-01-28
16539718,HUM,49.1100006103516,48.619998931884794,45.4721488952637,48.540000915527294,49.709999084472706,2670600,2010-01-29
16539734,HUM,48.0,48.709999084472706,45.556324005127,46.1800003051758,50.369998931884794,8798300,2010-02-01
16539740,HUM,48.9300003051758,50.2999992370605,47.0433769226074,48.529998779296896,50.3400001525879,2596200,2010-02-02
16539756,HUM,50.220001220703104,48.9799995422363,45.808834075927706,48.529998779296896,50.33000183105471,2257000,2010-02-03
16539762,HUM,48.9000015258789,47.16999816894529,44.116031646728494,47.1599998474121,48.9000015258789,2165800,2010-02-04
16539778,HUM,46.6599998474121,47.0200004577637,43.975746154785206,45.6500015258789,47.2000007629395,3150300,2010-02-05
16539784,HUM,46.9900016784668,46.75,43.723217010498,46.5,47.709999084472706,1383800,2010-02-08
16539800,HUM,47.3499984741211,47.91999816894529,44.8174705505371,46.2599983215332,48.3400001525879,3131200,2010-02-09
16539806,HUM,48.0099983215332,47.0999984741211,44.0505714416504,45.8899993896484,48.0099983215332,2733200,2010-02-10
16539807,HUM,47.290000915527294,46.8199996948242,43.7886962890625,46.2999992370605,47.33000183105471,2081800,2010-02-11
16539823,HUM,46.2999992370605,45.9500007629395,42.97502136230471,45.4300003051758,46.2999992370605,2216900,2010-02-12
16539824,HUM,46.3400001525879,46.0099983215332,43.0311279296875,45.2400016784668,46.4500007629395,1499600,2010-02-16
16539825,HUM,46.3199996948242,46.6399993896484,43.6203460693359,46.1800003051758,47.2999992370605,1701300,2010-02-17
16539826,HUM,46.3899993896484,46.2000007629395,43.2088279724121,45.8899993896484,46.9099998474121,2470300,2010-02-18
16539827,HUM,45.8199996948242,45.3499984741211,42.413856506347706,45.0699996948242,46.1100006103516,3960000,2010-02-19
16539833,HUM,45.810001373290994,47.869998931884794,44.770713806152294,45.7000007629395,47.9799995422363,5733100,2010-02-22
16539849,HUM,47.5,46.8199996948242,43.7886962890625,46.6399993896484,47.7299995422363,2429600,2010-02-23
16539855,HUM,46.869998931884794,46.9099998474121,43.872859954834006,46.0,46.9500007629395,2186000,2010-02-24
16539872,HUM,46.529998779296896,47.130001068115206,44.07861328125,45.9000015258789,47.5900001525879,2072700,2010-02-25
16539878,HUM,47.1800003051758,47.33000183105471,44.2656669616699,47.0,48.0,1911300,2010-02-26
16539894,HUM,47.6399993896484,47.4799995422363,44.4059562683105,46.9500007629395,48.470001220703104,2229600,2010-03-01
16539900,HUM,47.3899993896484,47.4900016784668,44.4153060913086,46.9799995422363,47.9500007629395,1430800,2010-03-02
16539917,HUM,47.75,47.4900016784668,44.4153060913086,47.3899993896484,48.130001068115206,1551300,2010-03-03
16539923,HUM,47.4099998474121,47.119998931884794,44.06925964355471,46.1800003051758,47.4900016784668,2038100,2010-03-04
16539924,HUM,47.4000015258789,48.1399993896484,45.023220062255895,47.209999084472706,48.1399993896484,1685700,2010-03-05
16539940,HUM,48.25,47.9500007629395,44.845531463623,47.540000915527294,48.25,1422200,2010-03-08
16539946,HUM,47.6500015258789,47.939998626709006,44.8361625671387,47.5499992370605,48.189998626709006,1278100,2010-03-09
16539962,HUM,47.8400001525879,48.3199996948242,45.1915817260742,47.8400001525879,48.6500015258789,1348800,2010-03-10
16539968,HUM,48.3499984741211,49.0,45.827545166015604,47.790000915527294,49.16999816894529,1453000,2010-03-11
16539984,HUM,49.1800003051758,47.970001220703104,44.8642425537109,47.8199996948242,49.1800003051758,2195900,2010-03-12
16539990,HUM,48.029998779296896,47.5,44.4246597290039,46.869998931884794,48.0499992370605,1632300,2010-03-15
16540006,HUM,47.459999084472706,47.7000007629395,44.6117134094238,46.83000183105471,47.75,1188000,2010-03-16
16540012,HUM,47.810001373290994,48.2299995422363,45.1074066162109,47.2599983215332,48.3499984741211,2080100,2010-03-17
16540028,HUM,48.220001220703104,50.0900001525879,46.84696960449221,47.4300003051758,50.25,4850700,2010-03-18
16540034,HUM,50.0,50.0,46.7628021240234,49.2599983215332,50.8400001525879,3678700,2010-03-19
16540050,HUM,49.560001373290994,49.3199996948242,46.126838684082,48.4500007629395,50.630001068115206,3930900,2010-03-22
16540056,HUM,49.209999084472706,49.0200004577637,45.846256256103494,48.439998626709006,49.5,1329900,2010-03-23
16540071,HUM,48.970001220703104,47.9000015258789,44.7987747192383,47.790000915527294,48.9799995422363,2109200,2010-03-24
16540077,HUM,48.380001068115206,47.869998931884794,44.770713806152294,47.5499992370605,48.41999816894529,1740500,2010-03-25
16540093,HUM,48.0900001525879,47.2000007629395,44.1440773010254,47.0200004577637,48.0900001525879,1612400,2010-03-26
16540099,HUM,47.3499984741211,47.4300003051758,44.3591918945312,47.220001220703104,47.709999084472706,1925600,2010-03-29
16540115,HUM,47.130001068115206,47.3400001525879,44.275020599365206,46.8600006103516,47.4099998474121,1994600,2010-03-30
16540121,HUM,47.1599998474121,46.7700004577637,43.7419204711914,46.540000915527294,47.3199996948242,1819600,2010-03-31
16540137,HUM,47.1100006103516,46.91999816894529,43.8822174072266,46.5200004577637,47.25,1256400,2010-04-01
16540143,HUM,47.029998779296896,47.1100006103516,44.0599136352539,46.720001220703104,47.2700004577637,1168900,2010-04-05
16540159,HUM,47.439998626709006,47.83000183105471,44.733303070068395,47.209999084472706,48.439998626709006,3804800,2010-04-06
16540165,HUM,47.75,46.4900016784668,43.4800605773926,46.279998779296896,47.75,2360600,2010-04-07
16540180,HUM,46.470001220703104,46.310001373290994,43.3117065429688,45.66999816894529,46.4799995422363,1796000,2010-04-08
16540186,HUM,46.3199996948242,45.130001068115206,42.208103179931605,44.58000183105471,46.3600006103516,3478200,2010-04-09
16540202,HUM,44.9900016784668,44.5099983215332,41.628257751464794,44.1399993896484,45.1500015258789,3069000,2010-04-12
16540208,HUM,44.4300003051758,44.08000183105471,41.2260894775391,43.33000183105471,44.619998931884794,3796100,2010-04-13
16540223,HUM,44.0999984741211,44.0,41.151252746581996,43.0499992370605,44.41999816894529,2750900,2010-04-14
16540229,HUM,43.970001220703104,44.0,41.151252746581996,43.380001068115206,44.310001373290994,2593000,2010-04-15
16540244,HUM,43.939998626709006,43.9300003051758,41.0857925415039,43.310001373290994,44.5999984741211,2999800,2010-04-16
16540250,HUM,43.66999816894529,44.6599998474121,41.7685394287109,43.6599998474121,45.4500007629395,2825800,2010-04-19
16540306,HUM,45.4799995422363,45.16999816894529,42.2455177307129,44.2700004577637,45.6399993896484,2795900,2010-04-20
16540312,HUM,45.040000915527294,44.4500007629395,41.5721206665039,44.189998626709006,45.470001220703104,2066000,2010-04-21
16540327,HUM,44.380001068115206,44.4799995422363,41.60020065307621,43.6500015258789,44.5,2266800,2010-04-22
16540333,HUM,44.380001068115206,45.529998779296896,42.5822105407715,44.0699996948242,45.83000183105471,4383000,2010-04-23
16540350,HUM,46.91999816894529,43.560001373290994,40.739753723144496,43.41999816894529,46.91999816894529,5647800,2010-04-26
16540356,HUM,43.310001373290994,43.5699996948242,40.749114990234396,43.209999084472706,44.8400001525879,4194400,2010-04-27
16540372,HUM,43.58000183105471,45.689998626709006,42.7318572998047,43.4099998474121,46.08000183105471,4260600,2010-04-28
16540378,HUM,46.16999816894529,47.189998626709006,44.134738922119105,46.08000183105471,47.6100006103516,3218800,2010-04-29
16540394,HUM,47.16999816894529,45.720001220703104,42.7599105834961,45.6399993896484,47.3199996948242,3576700,2010-04-30
16540400,HUM,45.810001373290994,46.3600006103516,43.358463287353494,45.1500015258789,46.41999816894529,2596400,2010-05-03
16540416,HUM,45.5699996948242,45.8499984741211,42.8814849853516,45.3400001525879,46.119998931884794,3180900,2010-05-04
16540422,HUM,45.4000015258789,46.5699996948242,43.554874420165994,45.3899993896484,46.619998931884794,2976300,2010-05-05
16540439,HUM,46.4900016784668,45.5900001525879,42.6383171081543,43.2700004577637,47.119998931884794,3711400,2010-05-06
16540445,HUM,45.3499984741211,44.3499984741211,41.478607177734396,43.6599998474121,45.3499984741211,2637900,2010-05-07
16540461,HUM,45.560001373290994,45.9500007629395,42.97502136230471,45.2599983215332,46.33000183105471,2247100,2010-05-10
16540467,HUM,45.560001373290994,45.5999984741211,42.647674560546896,45.369998931884794,46.2400016784668,2293200,2010-05-11
16540483,HUM,45.6500015258789,45.9900016784668,43.0124168395996,45.6399993896484,46.2700004577637,3892800,2010-05-12
16540489,HUM,45.560001373290994,45.7999992370605,42.8347320556641,45.5,46.689998626709006,2239100,2010-05-13
16540505,HUM,45.58000183105471,45.75,42.7879638671875,44.790000915527294,45.83000183105471,1689300,2010-05-14
16540511,HUM,45.709999084472706,45.8899993896484,42.9188957214355,44.9799995422363,46.2700004577637,2400100,2010-05-17
16540527,HUM,46.0900001525879,46.2000007629395,43.2088279724121,45.9799995422363,47.209999084472706,2626700,2010-05-18
16540533,HUM,46.0900001525879,46.2400016784668,43.246242523193395,45.6599998474121,46.6500015258789,1911100,2010-05-19
16540549,HUM,45.3899993896484,44.3400001525879,41.46925735473629,44.2599983215332,45.720001220703104,1935900,2010-05-20
16540555,HUM,43.58000183105471,44.709999084472706,41.8153076171875,43.16999816894529,44.880001068115206,2425600,2010-05-21
16540571,HUM,44.439998626709006,44.810001373290994,41.908821105956996,44.0,45.41999816894529,1671200,2010-05-24
16540577,HUM,43.7700004577637,44.209999084472706,41.3476676940918,43.2999992370605,44.220001220703104,1974300,2010-05-25
16540593,HUM,44.4000015258789,44.540000915527294,41.6562995910645,44.290000915527294,45.529998779296896,1866900,2010-05-26
16540599,HUM,45.5699996948242,45.709999084472706,42.750556945800795,44.9799995422363,45.7400016784668,1105200,2010-05-27
16540615,HUM,45.619998931884794,46.0499992370605,43.068546295165994,45.2400016784668,46.3899993896484,1845600,2010-05-28
16540621,HUM,45.6500015258789,45.5200004577637,42.57285690307621,45.3600006103516,46.720001220703104,1248300,2010-06-01
16540637,HUM,45.6500015258789,47.4300003051758,44.3591918945312,45.529998779296896,47.4300003051758,1731900,2010-06-02
16540643,HUM,47.5200004577637,48.2299995422363,45.1074066162109,47.3199996948242,48.4000015258789,1387700,2010-06-03
16540659,HUM,47.380001068115206,47.3899993896484,44.3217849731445,47.220001220703104,49.2700004577637,3443200,2010-06-04
16540665,HUM,47.6500015258789,46.5900001525879,43.573581695556605,45.7400016784668,48.2000007629395,3474000,2010-06-07
16540681,HUM,46.6399993896484,46.630001068115206,43.610988616943395,45.9099998474121,47.1399993896484,1783500,2010-06-08
16540687,HUM,46.9000015258789,46.8400001525879,43.8074073791504,46.5999984741211,47.470001220703104,2154300,2010-06-09
16540704,HUM,47.2599983215332,47.2700004577637,44.2095527648926,46.5200004577637,47.4000015258789,1687300,2010-06-10
16540710,HUM,46.9000015258789,47.9500007629395,44.845531463623,46.3199996948242,47.9500007629395,1717600,2010-06-11
16540726,HUM,48.220001220703104,48.0999984741211,44.985809326171896,48.040000915527294,48.66999816894529,1231400,2010-06-14
16540732,HUM,48.25,48.9799995422363,45.808834075927706,48.060001373290994,48.9799995422363,1588200,2010-06-15
16540748,HUM,48.5900001525879,48.83000183105471,45.668548583984396,48.4900016784668,49.1100006103516,2534200,2010-06-16
16540754,HUM,49.0099983215332,49.4900016784668,46.285816192627,48.83000183105471,49.4900016784668,1873900,2010-06-17
16540770,HUM,49.290000915527294,49.25,46.06135559082029,48.83000183105471,49.5699996948242,1559000,2010-06-18
16540776,HUM,49.790000915527294,49.2599983215332,46.0707015991211,49.029998779296896,50.1599998474121,1373100,2010-06-21
16540792,HUM,49.220001220703104,48.4099998474121,45.2757377624512,48.3400001525879,49.5900001525879,1580600,2010-06-22
16540798,HUM,48.1500015258789,48.6399993896484,45.490848541259794,47.66999816894529,49.029998779296896,1912900,2010-06-23
16540814,HUM,48.5699996948242,47.91999816894529,44.8174705505371,47.779998779296896,49.029998779296896,1269400,2010-06-24
16540820,HUM,48.060001373290994,48.0999984741211,44.985809326171896,47.5099983215332,48.470001220703104,2543400,2010-06-25
16540836,HUM,48.1500015258789,48.060001373290994,44.948402404785206,47.619998931884794,48.3899993896484,1182400,2010-06-28
16540842,HUM,47.119998931884794,45.970001220703104,42.9937133789062,45.7299995422363,47.4900016784668,1897300,2010-06-29
16540859,HUM,45.8600006103516,45.66999816894529,42.7131385803223,45.540000915527294,46.3400001525879,1829000,2010-06-30
16540865,HUM,45.5099983215332,44.5900001525879,41.703067779541,43.5900001525879,45.540000915527294,2317900,2010-07-01
16540881,HUM,44.560001373290994,44.3400001525879,41.46925735473629,44.0099983215332,44.810001373290994,1283700,2010-07-02
16540887,HUM,44.8600006103516,44.459999084472706,41.581485748291,43.970001220703104,45.2400016784668,1516700,2010-07-06
16540944,HUM,44.619998931884794,45.3899993896484,42.451263427734396,44.380001068115206,45.5,1927100,2010-07-07
16540945,HUM,45.790000915527294,45.939998626709006,42.965660095214794,45.5900001525879,46.3499984741211,1398100,2010-07-08
16540946,HUM,46.220001220703104,46.2000007629395,43.2088279724121,45.6500015258789,46.279998779296896,1266600,2010-07-09
