,ticker,open,close,Adj Close,low,high,volume,Date
4930844,HYND,25.0499992370605,24.9799995422363,20.6499118804932,24.9799995422363,25.0499992370605,2400,2013-12-18
4930854,HYND,25.0799999237061,25.0799999237061,20.732585906982397,25.0799999237061,25.0799999237061,200,2013-12-19
4930864,HYND,25.030000686645497,25.0,20.6664447784424,25.0,25.030000686645497,1200,2013-12-20
4930874,HYND,25.0200004577637,25.0,20.6664447784424,25.0,25.0200004577637,6100,2013-12-23
4930886,HYND,24.7999992370605,24.7999992370605,20.521640777587898,24.7999992370605,24.7999992370605,1000,2013-12-24
4930896,HYND,25.0,25.0,20.6871318817139,25.0,25.0499992370605,13300,2013-12-26
4930906,HYND,25.010000228881804,25.010000228881804,20.6954097747803,25.010000228881804,25.010000228881804,4000,2013-12-27
4930917,HYND,25.030000686645497,25.0499992370605,20.7285137176514,25.0,25.0499992370605,6500,2013-12-30
4930928,HYND,24.989999771118196,24.989999771118196,20.6788597106934,24.989999771118196,24.989999771118196,800,2013-12-31
4930939,HYND,25.2000007629395,25.2000007629395,20.8526306152344,25.2000007629395,25.2000007629395,100,2014-01-02
4931091,HYND,25.1200008392334,25.1200008392334,20.786434173584002,25.1200008392334,25.1200008392334,100,2014-01-06
4931112,HYND,25.1399993896484,25.100000381469698,20.769884109497102,25.100000381469698,25.1399993896484,3900,2014-01-08
4931142,HYND,25.010000228881804,25.010000228881804,20.6954097747803,25.010000228881804,25.010000228881804,4000,2014-01-13
4931153,HYND,24.8199996948242,24.8199996948242,20.5381927490234,24.8199996948242,24.8199996948242,200,2014-01-14
4931163,HYND,24.7999992370605,24.7999992370605,20.521640777587898,24.7999992370605,24.7999992370605,1100,2014-01-15
4931173,HYND,25.0,25.0,20.6871318817139,25.0,25.0,4000,2014-01-16
4931183,HYND,24.809999465942397,24.850000381469698,20.5630111694336,24.809999465942397,24.850000381469698,9300,2014-01-17
4931194,HYND,24.8400001525879,24.8400001525879,20.554738998413104,24.8400001525879,24.8400001525879,100,2014-01-21
4931213,HYND,24.510000228881804,24.6800003051758,20.422342300415,24.510000228881804,24.7999992370605,2300,2014-01-23
4931223,HYND,24.559999465942397,24.559999465942397,20.3230419158936,24.559999465942397,24.559999465942397,100,2014-01-24
4931233,HYND,24.5200004577637,24.5200004577637,20.352092742919897,24.5200004577637,24.5200004577637,100,2014-01-27
4931261,HYND,24.399999618530302,24.350000381469698,20.210988998413104,24.350000381469698,24.399999618530302,700,2014-01-30
4931334,HYND,24.3400001525879,24.399999618530302,20.252487182617198,24.3400001525879,24.399999618530302,1300,2014-02-11
4931362,HYND,24.4799995422363,24.4799995422363,20.318889617919897,24.4799995422363,24.4799995422363,400,2014-02-14
4931372,HYND,24.399999618530302,24.399999618530302,20.252487182617198,24.399999618530302,24.399999618530302,200,2014-02-18
4931391,HYND,24.4300003051758,24.600000381469698,20.4184970855713,24.4300003051758,24.600000381469698,400,2014-02-20
4931401,HYND,24.5499992370605,24.5499992370605,20.3769931793213,24.5499992370605,24.5499992370605,300,2014-02-21
4931421,HYND,24.2900009155273,24.4300003051758,20.322927474975604,24.2900009155273,24.4300003051758,1300,2014-02-25
4931431,HYND,24.3199996948242,24.3199996948242,20.2314052581787,24.3199996948242,24.3199996948242,1500,2014-02-26
4931469,HYND,24.4200000762939,24.4200000762939,20.3145999908447,24.4200000762939,24.4200000762939,300,2014-03-04
4931479,HYND,24.3299999237061,24.4799995422363,20.3645095825195,24.3299999237061,24.4799995422363,1000,2014-03-05
4931489,HYND,24.4799995422363,24.4799995422363,20.3645095825195,24.4799995422363,24.4799995422363,1400,2014-03-06
4931500,HYND,24.7099990844727,24.7099990844727,20.555841445922898,24.7099990844727,24.7099990844727,200,2014-03-07
4931510,HYND,24.7000007629395,24.600000381469698,20.4643440246582,24.600000381469698,24.7000007629395,3000,2014-03-10
4931521,HYND,24.600000381469698,24.600000381469698,20.4643440246582,24.600000381469698,24.600000381469698,1000,2014-03-11
4931531,HYND,24.5499992370605,24.5699996948242,20.439386367797898,24.5499992370605,24.5799999237061,1300,2014-03-12
4931542,HYND,24.5499992370605,24.489999771118196,20.3728332519531,24.4799995422363,24.5499992370605,11000,2014-03-13
4931561,HYND,24.4099998474121,24.4099998474121,20.3062801361084,24.4099998474121,24.4099998474121,7100,2014-03-17
4931580,HYND,24.5499992370605,24.5499992370605,20.422748565673803,24.5499992370605,24.5499992370605,400,2014-03-19
4931590,HYND,24.7099990844727,24.600000381469698,20.4643440246582,24.600000381469698,24.7099990844727,1000,2014-03-20
4931601,HYND,24.5,24.600000381469698,20.4643440246582,24.5,24.6399993896484,1700,2014-03-21
4931611,HYND,24.4300003051758,24.469999313354503,20.410121917724602,24.3799991607666,24.469999313354503,1900,2014-03-24
4931621,HYND,24.4599990844727,24.4599990844727,20.401781082153303,24.4599990844727,24.4599990844727,200,2014-03-25
4931631,HYND,24.5799999237061,24.5,20.4351425170898,24.5,24.5799999237061,800,2014-03-26
4931641,HYND,24.399999618530302,24.399999618530302,20.3517379760742,24.3899993896484,24.399999618530302,1000,2014-03-27
4931651,HYND,24.2999992370605,24.3600006103516,20.3183746337891,24.2999992370605,24.3899993896484,4700,2014-03-28
4931661,HYND,24.489999771118196,24.489999771118196,20.4268074035645,24.4799995422363,24.489999771118196,700,2014-03-31
4931671,HYND,24.399999618530302,24.3799991607666,20.3350582122803,24.3799991607666,24.399999618530302,600,2014-04-01
4931690,HYND,24.5400009155273,24.5400009155273,20.4685096740723,24.5400009155273,24.5499992370605,2100,2014-04-03
4931719,HYND,24.3799991607666,24.3700008392334,20.326717376709002,24.3700008392334,24.3799991607666,1100,2014-04-08
4931729,HYND,24.489999771118196,24.489999771118196,20.4268074035645,24.489999771118196,24.489999771118196,300,2014-04-09
