,ticker,open,close,Adj Close,low,high,volume,Date
11902760,IFRX,15.0,15.0,15.0,15.0,15.0,100,2017-11-07
11902761,IFRX,15.1899995803833,14.9899997711182,14.9899997711182,14.8000001907349,15.479999542236301,1874000,2017-11-08
11902775,IFRX,14.890000343322802,15.0,15.0,14.539999961853,15.4099998474121,185000,2017-11-09
11902815,IFRX,15.0100002288818,15.0,15.0,14.619999885559098,15.0100002288818,195100,2017-11-10
11902829,IFRX,14.8999996185303,14.8500003814697,14.8500003814697,14.470000267028801,15.0900001525879,106000,2017-11-13
11902837,IFRX,15.140000343322802,14.6599998474121,14.6599998474121,14.640000343322802,15.140000343322802,36800,2017-11-14
11902852,IFRX,14.6899995803833,14.8500003814697,14.8500003814697,14.5450000762939,14.9099998474121,16400,2017-11-15
11902858,IFRX,14.8000001907349,14.8000001907349,14.8000001907349,14.8000001907349,15.1999998092651,17500,2017-11-16
11902872,IFRX,15.1499996185303,14.8299999237061,14.8299999237061,14.5799999237061,15.1499996185303,16800,2017-11-17
11902878,IFRX,14.720000267028801,14.5500001907349,14.5500001907349,14.529999732971199,15.0,21800,2017-11-20
11902892,IFRX,15.0,15.0,15.0,14.960000038147,15.1499996185303,30100,2017-11-21
11902897,IFRX,15.0,15.0,15.0,15.0,15.0279998779297,2900,2017-11-22
11902911,IFRX,14.9300003051758,15.3000001907349,15.3000001907349,14.9300003051758,15.3000001907349,900,2017-11-24
11902916,IFRX,15.229999542236301,16.7000007629395,16.7000007629395,15.145000457763699,16.7000007629395,17800,2017-11-27
11902931,IFRX,16.7000007629395,19.0,19.0,16.7000007629395,20.0,44300,2017-11-28
11902937,IFRX,17.7999992370605,20.7000007629395,20.7000007629395,17.7999992370605,21.559999465942397,41100,2017-11-29
11902951,IFRX,20.5,21.2999992370605,21.2999992370605,20.5,22.4799995422363,91900,2017-11-30
11902957,IFRX,21.6700000762939,20.8799991607666,20.8799991607666,20.229999542236303,22.315000534057603,87500,2017-12-01
11902971,IFRX,21.0100002288818,19.2399997711182,19.2399997711182,19.2399997711182,21.215000152587898,48400,2017-12-04
11902975,IFRX,19.0699996948242,18.659999847412102,18.659999847412102,17.6700000762939,19.0699996948242,32800,2017-12-05
11902989,IFRX,18.7000007629395,17.5799999237061,17.5799999237061,17.0100002288818,19.0,93000,2017-12-06
11902994,IFRX,17.4400005340576,18.0499992370605,18.0499992370605,17.3999996185303,18.729999542236303,124000,2017-12-07
11903008,IFRX,18.2600002288818,19.1900005340576,19.1900005340576,18.2600002288818,19.6299991607666,33300,2017-12-08
11903013,IFRX,19.4300003051758,18.7600002288818,18.7600002288818,18.75,20.2000007629395,39100,2017-12-11
11903027,IFRX,18.7999992370605,18.0,18.0,17.9500007629395,18.8999996185303,44700,2017-12-12
11903033,IFRX,18.1000003814697,18.0499992370605,18.0499992370605,17.5,18.1499996185303,167100,2017-12-13
11903047,IFRX,18.0650005340576,18.409999847412102,18.409999847412102,17.9500007629395,18.9599990844727,105200,2017-12-14
11903054,IFRX,18.5,18.2099990844727,18.2099990844727,17.5300006866455,19.9899997711182,74800,2017-12-15
11903068,IFRX,18.2900009155273,19.8500003814697,19.8500003814697,18.2900009155273,19.9139995574951,21900,2017-12-18
11903073,IFRX,18.1410007476807,19.0,19.0,18.1410007476807,19.479999542236303,30200,2017-12-19
11903087,IFRX,19.020000457763697,19.7600002288818,19.7600002288818,19.0100002288818,20.0599994659424,35300,2017-12-20
11903092,IFRX,19.7099990844727,21.2900009155273,21.2900009155273,19.7099990844727,21.3700008392334,21900,2017-12-21
11903105,IFRX,21.0,23.989999771118196,23.989999771118196,21.0,26.489999771118196,14100,2017-12-22
11903110,IFRX,24.190000534057603,22.1299991607666,22.1299991607666,21.989999771118196,26.9200000762939,17300,2017-12-26
11903124,IFRX,22.0799999237061,20.409999847412102,20.409999847412102,18.6000003814697,22.0799999237061,131300,2017-12-27
11903129,IFRX,20.4500007629395,20.7900009155273,20.7900009155273,20.090999603271502,23.5,15200,2017-12-28
11903143,IFRX,20.8999996185303,20.9500007629395,20.9500007629395,20.3999996185303,21.75,38600,2017-12-29
11903148,IFRX,21.229999542236303,20.2099990844727,20.2099990844727,19.0,22.7049999237061,34700,2018-01-02
11903162,IFRX,20.1499996185303,20.25,20.25,19.503000259399396,20.7999992370605,15600,2018-01-03
11903167,IFRX,20.5,22.9950008392334,22.9950008392334,20.4200000762939,23.0,14600,2018-01-04
11903181,IFRX,23.0,23.75,23.75,22.2999992370605,24.4109992980957,21700,2018-01-05
11903187,IFRX,23.75,22.8299999237061,22.8299999237061,22.6800003051758,23.9500007629395,9900,2018-01-08
