,ticker,open,close,Adj Close,low,high,volume,Date
2496952,INDU,9.8100004196167,9.69999980926514,9.69999980926514,9.69999980926514,9.8100004196167,58700,2017-08-21
2497093,INDU,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,27300,2017-08-22
2497234,INDU,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,10000,2017-08-24
2497263,INDU,9.69999980926514,9.71300029754639,9.71300029754639,9.69999980926514,9.71300029754639,29800,2017-08-25
2497351,INDU,9.72000026702881,9.71000003814697,9.71000003814697,9.71000003814697,9.72000026702881,9300,2017-08-28
2497371,INDU,9.71000003814697,9.72000026702881,9.72000026702881,9.71000003814697,9.72000026702881,150000,2017-08-29
2497391,INDU,9.72000026702881,9.72000026702881,9.72000026702881,9.72000026702881,9.72000026702881,1700,2017-08-30
2497589,INDU,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,900,2017-09-01
2497642,INDU,9.72999954223633,9.75,9.75,9.72999954223633,9.829999923706051,12700,2017-09-05
2497756,INDU,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,500,2017-09-06
2497873,INDU,9.72999954223633,9.72000026702881,9.72000026702881,9.72000026702881,9.73999977111816,102000,2017-09-07
2497914,INDU,9.72999954223633,9.72000026702881,9.72000026702881,9.72000026702881,9.72999954223633,251000,2017-09-08
2498023,INDU,9.73499965667725,9.76000022888184,9.76000022888184,9.72900009155273,9.76000022888184,199300,2017-09-11
2498321,INDU,9.76000022888184,9.76000022888184,9.76000022888184,9.75800037384033,9.76000022888184,300,2017-09-12
2498377,INDU,9.64999961853027,9.77000045776367,9.77000045776367,9.64999961853027,9.78999996185303,800,2017-09-13
2498417,INDU,9.73999977111816,9.73999977111816,9.73999977111816,9.73999977111816,9.73999977111816,500,2017-09-14
2498440,INDU,9.77000045776367,9.77999973297119,9.77999973297119,9.72000026702881,9.77999973297119,121600,2017-09-15
2498463,INDU,9.77999973297119,9.76000022888184,9.76000022888184,9.72999954223633,9.77999973297119,800,2017-09-18
2498485,INDU,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,9.73999977111816,17000,2017-09-19
2498563,INDU,9.78999996185303,9.73600006103516,9.73600006103516,9.72999954223633,9.78999996185303,24000,2017-09-20
2498717,INDU,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,9.73099994659424,6300,2017-09-21
2498807,INDU,9.7519998550415,9.72999954223633,9.72999954223633,9.72999954223633,9.7519998550415,400,2017-09-22
2498833,INDU,9.72999954223633,9.73999977111816,9.73999977111816,9.72999954223633,9.73999977111816,5700,2017-09-25
2498855,INDU,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,4900,2017-09-26
2498878,INDU,9.72999954223633,9.75,9.75,9.72799968719482,9.75,63600,2017-09-27
2498900,INDU,9.73999977111816,9.77999973297119,9.77999973297119,9.73999977111816,9.78999996185303,67200,2017-09-28
2499025,INDU,9.78999996185303,9.77099990844727,9.77099990844727,9.77099990844727,9.78999996185303,800,2017-10-02
2499368,INDU,9.77000045776367,9.76000022888184,9.76000022888184,9.76000022888184,9.77000045776367,200,2017-10-03
2500006,INDU,9.76000022888184,9.75,9.75,9.75,9.76000022888184,2200,2017-10-09
2500063,INDU,9.75,9.75,9.75,9.75,9.75,2600,2017-10-10
2500130,INDU,9.73999977111816,9.76000022888184,9.76000022888184,9.73999977111816,9.77999973297119,452600,2017-10-11
2500152,INDU,9.77000045776367,9.77200031280518,9.77200031280518,9.77000045776367,9.77200031280518,500,2017-10-12
2500264,INDU,9.77000045776367,9.77000045776367,9.77000045776367,9.77000045776367,9.77000045776367,1100,2017-10-13
2500286,INDU,9.76500034332275,9.76500034332275,9.76500034332275,9.76500034332275,9.76500034332275,400,2017-10-16
2500308,INDU,9.76000022888184,9.76000022888184,9.76000022888184,9.73999977111816,9.76000022888184,6100,2017-10-17
2500352,INDU,9.73999977111816,9.76000022888184,9.76000022888184,9.73999977111816,9.8100004196167,248200,2017-10-19
2500378,INDU,9.75,9.80599975585938,9.80599975585938,9.75,9.80599975585938,52500,2017-10-20
2500407,INDU,9.75,9.75,9.75,9.75,9.80000019073486,101200,2017-10-23
2500436,INDU,9.73999977111816,9.80000019073486,9.80000019073486,9.73999977111816,9.80000019073486,1400,2017-10-24
2500462,INDU,9.73999977111816,9.80000019073486,9.80000019073486,9.73999977111816,9.80000019073486,50100,2017-10-25
2500489,INDU,9.76000022888184,9.73999977111816,9.73999977111816,9.73999977111816,9.77999973297119,106100,2017-10-26
2500514,INDU,9.73700046539307,9.74199962615967,9.74199962615967,9.72999954223633,9.75,10900,2017-10-27
2500541,INDU,9.75,9.75,9.75,9.7209997177124,9.75,2800,2017-10-30
2500563,INDU,9.72000026702881,9.75,9.75,9.71000003814697,9.75,319800,2017-10-31
2500585,INDU,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,9.72999954223633,2000,2017-11-01
2500607,INDU,9.73099994659424,9.73099994659424,9.73099994659424,9.73099994659424,9.73099994659424,100,2017-11-02
2500629,INDU,9.73099994659424,9.73099994659424,9.73099994659424,9.73099994659424,9.73099994659424,700,2017-11-03
2500651,INDU,9.72000026702881,9.72000026702881,9.72000026702881,9.72000026702881,9.72000026702881,100100,2017-11-06
2500673,INDU,9.72000026702881,9.72000026702881,9.72000026702881,9.72000026702881,9.72000026702881,1700,2017-11-07
2500699,INDU,9.72999954223633,9.71000003814697,9.71000003814697,9.71000003814697,9.72999954223633,70900,2017-11-08
2500722,INDU,9.71000003814697,9.704999923706051,9.704999923706051,9.69999980926514,9.71000003814697,197500,2017-11-09
2500744,INDU,9.6899995803833,9.71000003814697,9.71000003814697,9.6899995803833,9.71500015258789,30200,2017-11-10
2500766,INDU,9.71000003814697,9.6899995803833,9.6899995803833,9.6899995803833,9.71000003814697,79900,2017-11-13
2500788,INDU,9.6899995803833,9.68900012969971,9.68900012969971,9.68000030517578,9.69999980926514,199600,2017-11-14
2500831,INDU,9.6899995803833,9.68000030517578,9.68000030517578,9.68000030517578,9.6899995803833,23900,2017-11-16
2500854,INDU,9.68000030517578,9.71000003814697,9.71000003814697,9.68000030517578,9.71000003814697,123300,2017-11-17
2500877,INDU,9.75,9.6850004196167,9.6850004196167,9.68000030517578,9.75,4100,2017-11-20
2500899,INDU,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,98000,2017-11-21
2500963,INDU,9.75,9.75,9.75,9.75,9.75,200,2017-11-27
2501006,INDU,9.75,9.69999980926514,9.69999980926514,9.69999980926514,9.75,20500,2017-11-29
2501028,INDU,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,19900,2017-11-30
2501092,INDU,9.72000026702881,9.73999977111816,9.73999977111816,9.72000026702881,9.73999977111816,22200,2017-12-05
2501114,INDU,9.73999977111816,9.73999977111816,9.73999977111816,9.73999977111816,9.73999977111816,100,2017-12-06
2501220,INDU,9.72700023651123,9.72500038146973,9.72500038146973,9.72000026702881,9.72700023651123,8000,2017-12-13
2501286,INDU,9.72000026702881,9.73999977111816,9.73999977111816,9.68000030517578,9.73999977111816,1600,2017-12-15
2501308,INDU,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,9.69999980926514,1100,2017-12-18
2501330,INDU,9.6899995803833,9.68000030517578,9.68000030517578,9.68000030517578,9.6899995803833,3500,2017-12-19
2501373,INDU,9.69999980926514,9.692999839782711,9.692999839782711,9.6899995803833,9.69999980926514,4800,2017-12-21
2501437,INDU,9.72000026702881,9.72000026702881,9.72000026702881,9.72000026702881,9.72000026702881,500,2017-12-27
2501459,INDU,9.72000026702881,9.75,9.75,9.72000026702881,9.75,1300,2017-12-28
2501502,INDU,9.73999977111816,9.73999977111816,9.73999977111816,9.73999977111816,9.75,51900,2018-01-02
2501524,INDU,9.73999977111816,9.73999977111816,9.73999977111816,9.72000026702881,9.73999977111816,126600,2018-01-03
2501573,INDU,9.73900032043457,9.73900032043457,9.73900032043457,9.73900032043457,9.73900032043457,200,2018-01-04
2501662,INDU,9.71000003814697,9.6899995803833,9.6899995803833,9.68000030517578,9.73999977111816,30100,2018-01-10
2501685,INDU,9.76000022888184,9.76000022888184,9.76000022888184,9.76000022888184,9.76000022888184,100,2018-01-11
2501707,INDU,9.6899995803833,9.73999977111816,9.73999977111816,9.6899995803833,9.73999977111816,69200,2018-01-12
2501729,INDU,9.77000045776367,9.73999977111816,9.73999977111816,9.73999977111816,9.77000045776367,16900,2018-01-16
2501751,INDU,9.77000045776367,9.73999977111816,9.73999977111816,9.73999977111816,9.77000045776367,30600,2018-01-17
2501773,INDU,9.77000045776367,9.77000045776367,9.77000045776367,9.77000045776367,9.77000045776367,100,2018-01-18
2501796,INDU,9.77000045776367,9.81999969482422,9.81999969482422,9.75,9.81999969482422,42000,2018-01-19
2501818,INDU,9.81999969482422,9.75,9.75,9.72999954223633,9.81999969482422,303500,2018-01-22
2501840,INDU,9.75,9.81999969482422,9.81999969482422,9.69999980926514,9.81999969482422,19300,2018-01-23
2501862,INDU,9.76000022888184,9.81999969482422,9.81999969482422,9.76000022888184,9.81999969482422,3800,2018-01-24
2501885,INDU,9.78999996185303,9.77999973297119,9.77999973297119,9.77999973297119,9.80000019073486,301000,2018-01-25
2501929,INDU,9.78999996185303,9.78999996185303,9.78999996185303,9.78999996185303,9.78999996185303,322000,2018-01-29
2501951,INDU,9.85000038146973,9.81999969482422,9.81999969482422,9.78999996185303,9.85000038146973,5200,2018-01-30
2501973,INDU,9.80000019073486,9.81999969482422,9.81999969482422,9.80000019073486,9.81999969482422,2700,2018-01-31
2501995,INDU,9.79699993133545,9.8100004196167,9.8100004196167,9.79699993133545,9.81999969482422,4100,2018-02-01
2502017,INDU,9.77999973297119,9.80000019073486,9.80000019073486,9.69999980926514,9.80000019073486,129300,2018-02-02
2502060,INDU,9.78999996185303,9.80000019073486,9.80000019073486,9.69999980926514,9.8100004196167,128200,2018-02-06
2502103,INDU,9.71000003814697,9.75,9.75,9.68000030517578,9.75,302300,2018-02-08
2502125,INDU,9.73200035095215,9.76000022888184,9.76000022888184,9.73200035095215,9.76000022888184,565900,2018-02-09
2502147,INDU,9.73999977111816,9.77000045776367,9.77000045776367,9.73999977111816,9.77000045776367,2600,2018-02-12
2502190,INDU,9.73999977111816,9.77999973297119,9.77999973297119,9.73999977111816,9.77999973297119,123000,2018-02-14
2502213,INDU,9.73999977111816,9.73999977111816,9.73999977111816,9.73999977111816,9.73999977111816,8500,2018-02-15
2502235,INDU,9.74499988555908,9.74499988555908,9.74499988555908,9.74499988555908,9.74499988555908,300,2018-02-16
2502257,INDU,9.76000022888184,9.77999973297119,9.77999973297119,9.76000022888184,9.77999973297119,2000,2018-02-20
2502303,INDU,9.80000019073486,9.80000019073486,9.80000019073486,9.80000019073486,9.80000019073486,300,2018-02-22
2502326,INDU,9.80000019073486,9.80000019073486,9.80000019073486,9.80000019073486,9.8100004196167,4100,2018-02-23
2502346,INDU,9.80000019073486,9.80000019073486,9.80000019073486,9.80000019073486,9.80000019073486,2400,2018-02-26
2502453,INDU,9.80000019073486,9.76000022888184,9.76000022888184,9.76000022888184,9.80000019073486,1065200,2018-02-27
2502793,INDU,9.81999969482422,9.77999973297119,9.77999973297119,9.77099990844727,9.81999969482422,155700,2018-02-28
2503018,INDU,9.81999969482422,9.81999969482422,9.81999969482422,9.81999969482422,9.829999923706051,3000,2018-03-01
2503038,INDU,9.76000022888184,9.76000022888184,9.76000022888184,9.76000022888184,9.76000022888184,1000,2018-03-02
2503058,INDU,9.77999973297119,9.84000015258789,9.84000015258789,9.77999973297119,9.84000015258789,5200,2018-03-05
2503082,INDU,9.77999973297119,9.81999969482422,9.81999969482422,9.77999973297119,9.81999969482422,200200,2018-03-06
2503104,INDU,9.81999969482422,9.81999969482422,9.81999969482422,9.81999969482422,9.81999969482422,535800,2018-03-07
2503127,INDU,9.81999969482422,9.81999969482422,9.81999969482422,9.81999969482422,9.81999969482422,37900,2018-03-08
2503171,INDU,9.795000076293949,9.76000022888184,9.76000022888184,9.76000022888184,9.795000076293949,4000,2018-03-12
2503217,INDU,9.81999969482422,9.76000022888184,9.76000022888184,9.76000022888184,9.81999969482422,73800,2018-03-14
