,ticker,open,close,Adj Close,low,high,volume,Date
19006039,IRTC,26.75,26.0499992370605,26.0499992370605,24.739999771118196,28.0,6006400,2016-10-20
19006043,IRTC,26.0699996948242,25.7900009155273,25.7900009155273,25.0669994354248,26.249000549316396,473600,2016-10-21
19006062,IRTC,25.7900009155273,26.7000007629395,26.7000007629395,25.4799995422363,26.9099998474121,244800,2016-10-24
19006068,IRTC,26.6100006103516,26.6800003051758,26.6800003051758,26.4209995269775,27.100000381469698,292900,2016-10-25
19006095,IRTC,26.399999618530302,25.739999771118196,25.739999771118196,25.729000091552702,26.600000381469698,134800,2016-10-26
19006159,IRTC,26.0799999237061,25.0200004577637,25.0200004577637,23.4599990844727,26.0799999237061,316200,2016-10-27
19006177,IRTC,25.1800003051758,24.25,24.25,23.4799995422363,25.1800003051758,256200,2016-10-28
19006178,IRTC,24.4099998474121,24.9500007629395,24.9500007629395,24.1599998474121,25.100000381469698,161700,2016-10-31
19006182,IRTC,25.1100006103516,25.739999771118196,25.739999771118196,24.190000534057603,26.5,127500,2016-11-01
19006201,IRTC,25.739999771118196,24.899999618530302,24.899999618530302,24.75,25.975000381469698,137600,2016-11-02
19006210,IRTC,24.8400001525879,23.3600006103516,23.3600006103516,22.1599998474121,25.5400009155273,249900,2016-11-03
19006225,IRTC,23.469999313354503,23.0799999237061,23.0799999237061,22.3299999237061,24.5,188000,2016-11-04
19006230,IRTC,23.5900001525879,23.5200004577637,23.5200004577637,22.809999465942397,23.75,185900,2016-11-07
19006245,IRTC,23.5400009155273,23.309999465942397,23.309999465942397,22.7700004577637,23.5550003051758,80400,2016-11-08
19006249,IRTC,22.9500007629395,23.75,23.75,22.9500007629395,24.239999771118196,159600,2016-11-09
19006263,IRTC,24.0,23.7000007629395,23.7000007629395,23.621000289917003,24.4500007629395,103000,2016-11-10
19006268,IRTC,23.489999771118196,24.2299995422363,24.2299995422363,23.030000686645497,24.2999992370605,291400,2016-11-11
19006269,IRTC,24.5,24.8199996948242,24.8199996948242,23.760000228881804,25.4200000762939,178600,2016-11-14
19006289,IRTC,25.190000534057603,25.6800003051758,25.6800003051758,25.0,26.0,107700,2016-11-15
19006293,IRTC,25.8799991607666,25.899999618530302,25.899999618530302,25.6299991607666,26.5,61500,2016-11-16
19006294,IRTC,26.010000228881804,27.4500007629395,27.4500007629395,25.649999618530302,27.469999313354503,85100,2016-11-17
19006309,IRTC,27.510000228881804,30.489999771118196,30.489999771118196,26.9500007629395,31.0,225600,2016-11-18
19006313,IRTC,30.7999992370605,29.969999313354503,29.969999313354503,28.5,31.2999992370605,116200,2016-11-21
19006326,IRTC,30.1200008392334,29.1599998474121,29.1599998474121,29.010000228881804,30.4599990844727,135800,2016-11-22
19006330,IRTC,29.100000381469698,29.2099990844727,29.2099990844727,28.725000381469698,29.399999618530302,84400,2016-11-23
19006347,IRTC,29.309999465942397,29.3299999237061,29.3299999237061,28.719999313354503,29.5,21400,2016-11-25
19006351,IRTC,29.2900009155273,29.7700004577637,29.7700004577637,28.2999992370605,29.8899993896484,82900,2016-11-28
19006372,IRTC,29.8400001525879,30.940000534057603,30.940000534057603,29.239999771118196,31.277999877929698,157300,2016-11-29
