,ticker,open,close,Adj Close,low,high,volume,Date
20643222,KELYA,12.1000003814697,12.890000343322802,11.762777328491199,12.1000003814697,12.9300003051758,190700,2010-01-04
20643226,KELYA,12.8299999237061,12.9499998092651,11.8175268173218,12.6000003814697,12.9899997711182,209400,2010-01-05
20643230,KELYA,12.869999885559098,12.5600004196167,11.4616355895996,12.4200000762939,12.979999542236301,194900,2010-01-06
20643234,KELYA,12.5100002288818,12.6700000762939,11.562015533447301,12.270000457763699,12.720000267028801,133200,2010-01-07
20643238,KELYA,12.640000343322802,12.4399995803833,11.3521280288696,12.220000267028801,12.640000343322802,209600,2010-01-08
20643242,KELYA,12.5,12.2600002288818,11.1878662109375,12.130000114440902,12.5100002288818,85000,2010-01-11
20643246,KELYA,12.1700000762939,11.890000343322802,10.850226402282699,11.8000001907349,12.229999542236301,122500,2010-01-12
20643250,KELYA,11.9899997711182,12.479999542236301,11.3886299133301,11.9899997711182,12.5500001907349,100100,2010-01-13
20643254,KELYA,12.380000114440902,12.5500001907349,11.452507972717301,12.1700000762939,12.619999885559098,44600,2010-01-14
20643258,KELYA,12.5900001525879,12.3500003814697,11.270001411438,12.0100002288818,12.5900001525879,132700,2010-01-15
20643262,KELYA,12.4399995803833,12.460000038147,11.3703775405884,12.1000003814697,12.539999961853,142100,2010-01-19
20643266,KELYA,12.9899997711182,13.720000267028801,12.5201930999756,12.869999885559098,13.75,371700,2010-01-20
20643270,KELYA,13.75,13.119999885559098,11.972662925720199,13.0,13.75,166400,2010-01-21
20643274,KELYA,13.0699996948242,13.2399997711182,12.082166671752901,13.0,13.3999996185303,258000,2010-01-22
20643278,KELYA,13.470000267028801,13.270000457763699,12.109543800353999,13.1499996185303,13.5900001525879,190200,2010-01-25
20643282,KELYA,13.220000267028801,13.3999996185303,12.228177070617699,13.0799999237061,13.5699996948242,204200,2010-01-26
20643286,KELYA,13.2600002288818,13.470000267028801,12.2920560836792,12.8999996185303,13.529999732971199,181300,2010-01-27
20643290,KELYA,13.4899997711182,13.1899995803833,12.036541938781701,13.039999961853,13.6499996185303,170800,2010-01-28
20643294,KELYA,13.220000267028801,13.119999885559098,11.972662925720199,13.0500001907349,13.4499998092651,264800,2010-01-29
20643298,KELYA,13.2399997711182,13.5600004196167,12.374185562133801,13.1000003814697,13.5600004196167,134700,2010-02-01
20643299,KELYA,13.609999656677198,13.869999885559098,12.657075881958,13.460000038147,13.9200000762939,173500,2010-02-02
