,ticker,open,close,Adj Close,low,high,volume,Date
19875015,KEQU,14.270000457763699,14.479999542236301,11.1214427947998,14.270000457763699,14.479999542236301,4800,2010-01-04
19875017,KEQU,14.4099998474121,14.6899995803833,11.282734870910598,14.25,14.6899995803833,2500,2010-01-05
19875033,KEQU,14.4200000762939,14.6499996185303,11.2520141601562,14.4200000762939,14.6899995803833,1000,2010-01-06
19875035,KEQU,14.630000114440902,14.3199996948242,10.998555183410598,14.279999732971199,14.630000114440902,5500,2010-01-07
19875051,KEQU,14.25,14.5,11.1368055343628,14.25,14.5,3000,2010-01-08
19875053,KEQU,14.460000038147,14.5,11.1368055343628,14.460000038147,14.5,700,2010-01-11
19875069,KEQU,14.5100002288818,14.3999996185303,11.0599975585938,14.3999996185303,14.5100002288818,900,2010-01-12
19875071,KEQU,14.5,14.5,11.1368055343628,14.5,14.6000003814697,400,2010-01-13
19875088,KEQU,14.539999961853,14.380000114440902,11.0446367263794,14.359999656677198,14.539999961853,3400,2010-01-15
19875104,KEQU,14.529999732971199,14.460000038147,11.1060800552368,14.460000038147,14.6000003814697,800,2010-01-19
19875106,KEQU,14.359999656677198,14.4499998092651,11.098400115966802,14.359999656677198,14.6000003814697,1600,2010-01-20
19875122,KEQU,14.470000267028801,14.5,11.1368055343628,14.460000038147,14.5,700,2010-01-21
19875124,KEQU,14.460000038147,14.460000038147,11.1060800552368,14.460000038147,14.460000038147,100,2010-01-22
19875140,KEQU,14.6000003814697,14.279999732971199,10.967832565307601,14.279999732971199,14.6000003814697,5900,2010-01-25
19875142,KEQU,14.3199996948242,14.25,10.944787025451697,14.25,14.3199996948242,1500,2010-01-26
19875158,KEQU,14.2600002288818,14.5,11.1368055343628,14.2600002288818,14.5,600,2010-01-27
19875160,KEQU,14.369999885559098,14.3500003814697,11.0215978622437,14.3500003814697,14.5500001907349,800,2010-01-28
19875174,KEQU,14.369999885559098,14.369999885559098,11.036956787109402,14.369999885559098,14.369999885559098,100,2010-01-29
19875176,KEQU,14.369999885559098,14.4899997711182,11.129122734069801,14.369999885559098,14.4899997711182,300,2010-02-01
19875191,KEQU,14.5,14.5,11.1368055343628,14.5,14.5,700,2010-02-02
19875193,KEQU,14.479999542236301,14.6999998092651,11.290415763855,14.479999542236301,14.6999998092651,4100,2010-02-03
19875207,KEQU,14.6899995803833,14.6499996185303,11.2520141601562,14.6499996185303,14.789999961853,2400,2010-02-04
19875223,KEQU,14.6000003814697,14.75,11.328818321228,14.6000003814697,14.75,1600,2010-02-08
19875238,KEQU,14.520000457763699,14.960000038147,11.490108489990199,14.5100002288818,14.960000038147,3700,2010-02-10
19875240,KEQU,14.979999542236301,14.9099998474121,11.451706886291499,14.8999996185303,15.039999961853,3400,2010-02-11
19875254,KEQU,15.0500001907349,15.0900001525879,11.5899572372437,15.0500001907349,15.0900001525879,600,2010-02-12
19875256,KEQU,15.0900001525879,15.0900001525879,11.5899572372437,15.0900001525879,15.0900001525879,100,2010-02-16
19875271,KEQU,15.020000457763699,15.0600004196167,11.5669164657593,15.0100002288818,15.130000114440902,5000,2010-02-17
19875273,KEQU,15.1000003814697,15.220000267028801,11.689805030822802,15.1000003814697,15.4300003051758,1300,2010-02-18
19875287,KEQU,15.390000343322802,15.369999885559098,11.8050127029419,15.210000038147,15.4300003051758,4600,2010-02-19
19875289,KEQU,15.4499998092651,15.4399995803833,11.858776092529302,15.3000001907349,15.4499998092651,11000,2010-02-22
19875303,KEQU,15.5,15.529999732971199,11.9279012680054,15.390000343322802,15.789999961853,9700,2010-02-23
19875305,KEQU,15.529999732971199,15.5,11.9048595428467,15.3400001525879,15.5500001907349,3700,2010-02-24
19875319,KEQU,15.5,16.0499992370605,12.327291488647498,15.5,16.4200000762939,36600,2010-02-25
19875321,KEQU,14.8400001525879,13.8999996185303,10.675970077514599,13.520000457763699,14.8400001525879,48300,2010-02-26
19875335,KEQU,14.0699996948242,13.6800003051758,10.506998062133801,13.6700000762939,14.1499996185303,11000,2010-03-01
19875337,KEQU,13.6700000762939,13.9200000762939,10.691330909729,13.6700000762939,14.0500001907349,11400,2010-03-02
19875351,KEQU,13.9099998474121,14.1999998092651,10.9063873291016,13.8999996185303,14.3000001907349,14500,2010-03-03
19875353,KEQU,14.1800003051758,14.270000457763699,11.037880897522,14.1000003814697,14.3000001907349,8300,2010-03-04
19875367,KEQU,14.3000001907349,14.2399997711182,11.014676094055199,14.0,14.3000001907349,7200,2010-03-05
19875369,KEQU,14.1999998092651,14.1999998092651,10.983736038208,14.1999998092651,14.1999998092651,400,2010-03-08
19875383,KEQU,14.0,14.1000003814697,10.9063892364502,14.0,14.1899995803833,2600,2010-03-09
19875385,KEQU,14.0600004196167,13.9899997711182,10.821301460266099,13.9399995803833,14.25,7700,2010-03-10
19875399,KEQU,13.8199996948242,13.8299999237061,10.6975412368774,13.8199996948242,13.8299999237061,900,2010-03-11
19875401,KEQU,13.7600002288818,13.789999961853,10.6666011810303,13.5500001907349,13.8100004196167,2500,2010-03-12
19875415,KEQU,13.5799999237061,13.529999732971199,10.465492248535199,13.529999732971199,13.630000114440902,2800,2010-03-15
19875417,KEQU,13.609999656677198,13.4300003051758,10.3881416320801,13.4300003051758,13.609999656677198,600,2010-03-16
19875431,KEQU,13.539999961853,13.6700000762939,10.5737810134888,13.539999961853,13.9099998474121,8000,2010-03-17
19875433,KEQU,13.6999998092651,13.5900001525879,10.511901855468802,13.119999885559098,13.6999998092651,10100,2010-03-18
19875447,KEQU,13.5,14.0,10.829035758972198,13.5,14.0,4200,2010-03-19
19875449,KEQU,13.770000457763699,13.520000457763699,10.457755088806199,13.4899997711182,13.770000457763699,3800,2010-03-22
19875463,KEQU,13.520000457763699,13.4899997711182,10.4345483779907,13.2399997711182,13.520000457763699,2700,2010-03-23
19875465,KEQU,13.4099998474121,13.470000267028801,10.4190816879272,13.4099998474121,13.470000267028801,3200,2010-03-24
19875480,KEQU,13.6499996185303,13.869999885559098,10.728480339050302,13.609999656677198,14.0,5400,2010-03-25
19875482,KEQU,13.6999998092651,13.9399995803833,10.7826271057129,13.6999998092651,13.9399995803833,600,2010-03-26
19875510,KEQU,13.9899997711182,13.9899997711182,10.821301460266099,13.75,14.0,3100,2010-03-29
19875512,KEQU,14.0,13.8199996948242,10.6898069381714,13.710000038147,14.0,3200,2010-03-30
19875526,KEQU,13.729999542236301,14.0100002288818,10.8367738723755,13.729999542236301,14.1599998474121,6400,2010-03-31
19875528,KEQU,14.1499996185303,14.6599998474121,11.3395481109619,14.1499996185303,14.6999998092651,3600,2010-04-01
19875544,KEQU,14.4300003051758,14.4499998092651,11.177112579345698,14.2600002288818,14.5,1300,2010-04-05
19875546,KEQU,14.470000267028801,14.4899997711182,11.2080516815186,14.470000267028801,14.4899997711182,1100,2010-04-06
19875562,KEQU,14.4899997711182,14.140000343322802,10.9373292922974,13.9200000762939,14.4899997711182,1700,2010-04-07
19875564,KEQU,14.4399995803833,14.3299999237061,11.084294319152802,14.3299999237061,14.4399995803833,400,2010-04-08
19875596,KEQU,14.390000343322802,14.289999961853,11.05335521698,14.289999961853,14.390000343322802,700,2010-04-09
19875598,KEQU,14.220000267028801,14.1499996185303,10.945063591003402,14.0,14.25,6700,2010-04-12
19875660,KEQU,14.0100002288818,13.6499996185303,10.558311462402301,13.529999732971199,14.0100002288818,13400,2010-04-13
19875662,KEQU,13.6999998092651,13.710000038147,10.6047229766846,13.5799999237061,13.890000343322802,2900,2010-04-14
19875678,KEQU,13.5699996948242,13.8400001525879,10.7052764892578,13.5699996948242,13.8400001525879,2600,2010-04-15
19875680,KEQU,13.859999656677198,13.8999996185303,10.751686096191401,13.4399995803833,13.9899997711182,2100,2010-04-16
19875697,KEQU,13.880000114440902,13.779999732971199,10.6588659286499,13.460000038147,13.880000114440902,3200,2010-04-19
19875699,KEQU,13.9899997711182,13.789999961853,10.6666011810303,13.779999732971199,13.9899997711182,600,2010-04-20
19875715,KEQU,13.8000001907349,13.880000114440902,10.7362184524536,13.529999732971199,13.960000038147,4100,2010-04-21
19875717,KEQU,13.6800003051758,13.640000343322802,10.550576210022,13.5600004196167,13.6800003051758,9900,2010-04-22
19875733,KEQU,13.640000343322802,13.640000343322802,10.550576210022,13.640000343322802,13.640000343322802,100,2010-04-26
19875749,KEQU,13.640000343322802,13.6499996185303,10.558311462402301,13.6000003814697,13.960000038147,5600,2010-04-27
19875751,KEQU,13.619999885559098,13.5,10.4422855377197,13.5,13.859999656677198,2600,2010-04-28
19875779,KEQU,13.479999542236301,13.140000343322802,10.1638240814209,13.0100002288818,13.529999732971199,10500,2010-04-29
19875790,KEQU,13.029999732971199,13.1899995803833,10.2024993896484,13.020000457763699,13.460000038147,2800,2010-04-30
19875807,KEQU,13.0600004196167,13.1000003814697,10.1328840255737,13.0600004196167,13.4399995803833,2700,2010-05-03
19875817,KEQU,13.109999656677198,13.1000003814697,10.1328840255737,13.0600004196167,13.2399997711182,4000,2010-05-04
19875834,KEQU,14.890000343322802,13.130000114440902,10.156089782714801,12.9499998092651,14.890000343322802,8500,2010-05-05
19875848,KEQU,13.0900001525879,12.8000001907349,9.900835037231449,12.8000001907349,13.1599998474121,9300,2010-05-06
19875864,KEQU,12.9499998092651,12.5500001907349,9.70745754241943,12.3000001907349,12.9499998092651,4000,2010-05-07
19875869,KEQU,12.75,13.270000457763699,10.2643823623657,12.640000343322802,13.270000457763699,3800,2010-05-10
19875885,KEQU,13.359999656677198,13.2600002288818,10.2566442489624,13.0500001907349,13.5,2100,2010-05-11
19875888,KEQU,13.0,12.8000001907349,9.900835037231449,12.6599998474121,13.1999998092651,15100,2010-05-12
19875902,KEQU,12.5100002288818,12.6499996185303,9.784807205200199,12.5100002288818,13.0500001907349,4500,2010-05-13
19875906,KEQU,12.6700000762939,12.8199996948242,9.91630268096924,12.270000457763699,12.9899997711182,9200,2010-05-14
19875920,KEQU,12.880000114440902,12.8000001907349,9.900835037231449,12.5500001907349,12.8999996185303,2200,2010-05-17
19875923,KEQU,12.7399997711182,12.869999885559098,9.95497798919678,12.5600004196167,13.359999656677198,2400,2010-05-18
19875938,KEQU,13.1899995803833,12.520000457763699,9.68425273895264,12.3100004196167,13.1899995803833,2900,2010-05-19
19875943,KEQU,12.4099998474121,12.1499996185303,9.39805507659912,12.0500001907349,12.6899995803833,9900,2010-05-20
19875957,KEQU,12.6700000762939,12.279999732971199,9.498613357543949,12.1800003051758,12.6700000762939,1800,2010-05-21
19875962,KEQU,12.220000267028801,12.1000003814697,9.35938358306885,12.020000457763699,12.220000267028801,2400,2010-05-24
19875977,KEQU,11.970000267028801,12.3100004196167,9.52181816101074,11.970000267028801,12.5500001907349,1100,2010-05-25
19875980,KEQU,12.4399995803833,12.4499998092651,9.630105972290039,12.4399995803833,12.4499998092651,200,2010-05-26
19875994,KEQU,12.729999542236301,12.75,9.86215782165527,12.729999542236301,12.75,800,2010-05-27
19875997,KEQU,12.130000114440902,12.109999656677198,9.36711597442627,12.109999656677198,12.3999996185303,1500,2010-05-28
19876011,KEQU,12.020000457763699,12.369999885559098,9.56822872161865,12.020000457763699,12.369999885559098,600,2010-06-01
19876014,KEQU,12.3400001525879,12.289999961853,9.50634860992432,12.289999961853,12.3400001525879,2800,2010-06-02
19876028,KEQU,12.109999656677198,12.4499998092651,9.630105972290039,12.109999656677198,12.4499998092651,1700,2010-06-03
19876031,KEQU,12.3500003814697,12.109999656677198,9.36711597442627,12.1000003814697,12.609999656677198,900,2010-06-04
19876045,KEQU,12.140000343322802,12.0,9.28203010559082,11.779999732971199,12.25,3900,2010-06-07
19876048,KEQU,11.9899997711182,12.1000003814697,9.35938358306885,11.770000457763699,12.5900001525879,5000,2010-06-08
19876062,KEQU,12.1000003814697,12.1000003814697,9.437379837036131,12.1000003814697,12.119999885559098,900,2010-06-09
19876067,KEQU,12.0500001907349,12.0500001907349,9.39838123321533,12.029999732971199,12.0500001907349,1400,2010-06-10
19876084,KEQU,12.1499996185303,12.0,9.35937976837158,11.8100004196167,12.1999998092651,5700,2010-06-14
