,ticker,open,close,Adj Close,low,high,volume,Date
20304098,KST,11.5600004196167,11.5500001907349,6.349822998046879,11.539999961853,11.6999998092651,22600,2010-01-04
20304099,KST,11.5900001525879,11.6000003814697,6.377310276031491,11.5900001525879,11.630000114440902,13500,2010-01-05
20304109,KST,11.630000114440902,11.8100004196167,6.49276494979858,11.6000003814697,11.8100004196167,14500,2010-01-06
20304110,KST,11.640000343322802,11.789999961853,6.48177099227905,11.640000343322802,11.859999656677198,9800,2010-01-07
20304120,KST,11.8000001907349,11.75,6.45977878570557,11.6499996185303,11.8400001525879,9400,2010-01-08
20304121,KST,11.8100004196167,11.779999732971199,6.4762678146362305,11.7399997711182,11.8199996948242,9400,2010-01-11
20304131,KST,11.8000001907349,11.720000267028801,6.443285465240481,11.630000114440902,11.859999656677198,25800,2010-01-12
20304132,KST,11.75,11.8000001907349,6.487267017364499,11.720000267028801,11.8299999237061,14100,2010-01-13
20304142,KST,11.7399997711182,11.8000001907349,6.53433799743652,11.7399997711182,11.869999885559098,13500,2010-01-14
20304144,KST,11.8199996948242,11.7600002288818,6.51218557357788,11.640000343322802,11.8199996948242,12800,2010-01-15
20304155,KST,11.789999961853,11.779999732971199,6.52326250076294,11.7600002288818,11.869999885559098,11700,2010-01-19
20304157,KST,11.8100004196167,11.770000457763699,6.517723560333249,11.6999998092651,11.869999885559098,34800,2010-01-20
20304167,KST,11.7399997711182,11.710000038147,6.484497547149661,11.6999998092651,11.75,10000,2010-01-21
20304168,KST,11.6999998092651,11.6999998092651,6.47895956039429,11.6999998092651,11.6999998092651,8300,2010-01-22
20304178,KST,11.720000267028801,11.6999998092651,6.47895956039429,11.6800003051758,11.720000267028801,13300,2010-01-25
20304180,KST,11.6899995803833,11.770000457763699,6.517723560333249,11.630000114440902,11.789999961853,19700,2010-01-26
20304190,KST,11.7600002288818,11.8299999237061,6.55094861984253,11.609999656677198,11.9499998092651,18000,2010-01-27
20304192,KST,11.779999732971199,11.75,6.50664615631104,11.6700000762939,11.789999961853,11100,2010-01-28
20304202,KST,11.75,11.770000457763699,6.517723560333249,11.710000038147,11.770000457763699,12200,2010-01-29
20304204,KST,11.779999732971199,11.770000457763699,6.517723560333249,11.609999656677198,11.779999732971199,14100,2010-02-01
20304214,KST,11.779999732971199,11.770000457763699,6.517723560333249,11.75,11.779999732971199,10000,2010-02-02
20304215,KST,11.75,11.8100004196167,6.539870738983151,11.75,11.8100004196167,18100,2010-02-03
20304225,KST,11.779999732971199,11.5699996948242,6.4069705009460405,11.5699996948242,11.779999732971199,20500,2010-02-04
20304226,KST,11.5500001907349,11.220000267028801,6.21315860748291,11.130000114440902,11.5500001907349,14600,2010-02-05
20304236,KST,11.1999998092651,11.279999732971199,6.246380805969241,10.869999885559098,11.5100002288818,70500,2010-02-08
20304238,KST,11.2600002288818,11.380000114440902,6.30175924301147,11.1899995803833,11.4200000762939,13800,2010-02-09
20304248,KST,11.390000343322802,11.369999885559098,6.2962155342102095,11.279999732971199,11.4099998474121,21900,2010-02-10
20304249,KST,11.279999732971199,11.4099998474121,6.36765336990356,11.2600002288818,11.4099998474121,11600,2010-02-11
20304260,KST,11.380000114440902,11.380000114440902,6.35091352462769,11.2600002288818,11.3999996185303,5700,2010-02-12
20304262,KST,11.4499998092651,11.390000343322802,6.3564944267272905,11.3000001907349,11.460000038147,8000,2010-02-16
20304273,KST,11.4099998474121,11.390000343322802,6.3564944267272905,11.3299999237061,11.4499998092651,8100,2010-02-17
20304274,KST,11.390000343322802,11.4300003051758,6.3788142204284695,11.369999885559098,11.4499998092651,8600,2010-02-18
20304284,KST,11.4099998474121,11.4099998474121,6.36765336990356,11.3400001525879,11.4899997711182,22400,2010-02-19
20304285,KST,11.3500003814697,11.4300003051758,6.3788142204284695,11.3100004196167,11.5,25900,2010-02-22
20304295,KST,11.4300003051758,11.460000038147,6.39556121826172,11.4099998474121,11.479999542236301,20300,2010-02-23
20304297,KST,11.4899997711182,11.5699996948242,6.45694780349731,11.4899997711182,11.5900001525879,20400,2010-02-24
20304307,KST,11.5600004196167,11.539999961853,6.44020128250122,11.5100002288818,11.5600004196167,17100,2010-02-25
20304309,KST,11.5600004196167,11.6499996185303,6.501592636108401,11.5500001907349,11.6800003051758,19100,2010-02-26
20304319,KST,11.5799999237061,11.6899995803833,6.52391576766968,11.5799999237061,11.6999998092651,10900,2010-03-01
20304320,KST,11.710000038147,11.6999998092651,6.529494762420651,11.6800003051758,11.7600002288818,14100,2010-03-02
20304330,KST,11.7600002288818,11.720000267028801,6.54065799713135,11.720000267028801,11.789999961853,11100,2010-03-03
20304331,KST,11.7399997711182,11.770000457763699,6.56856250762939,11.7399997711182,11.789999961853,9500,2010-03-04
20304341,KST,11.789999961853,11.970000267028801,6.680176258087161,11.770000457763699,11.970000267028801,5400,2010-03-05
20304342,KST,11.979999542236301,11.859999656677198,6.6187863349914595,11.75,11.979999542236301,13700,2010-03-08
20304352,KST,11.869999885559098,11.9200000762939,6.652273654937741,11.8100004196167,11.9300003051758,12200,2010-03-09
20304353,KST,11.9200000762939,11.8400001525879,6.60762643814087,11.8199996948242,11.9200000762939,3200,2010-03-10
20304363,KST,11.890000343322802,11.869999885559098,6.6243691444397,11.869999885559098,11.9200000762939,3800,2010-03-11
20304365,KST,11.890000343322802,11.9200000762939,6.652273654937741,11.890000343322802,11.960000038147,6900,2010-03-12
20304381,KST,11.859999656677198,11.970000267028801,6.680176258087161,11.8500003814697,12.0,13800,2010-03-15
20304383,KST,11.9899997711182,12.0799999237061,6.7415652275085405,11.960000038147,12.0900001525879,12200,2010-03-16
20304384,KST,12.0699996948242,11.9499998092651,6.71795511245728,11.9499998092651,12.0799999237061,5700,2010-03-17
20304394,KST,11.9499998092651,11.8999996185303,6.68984508514404,11.779999732971199,11.9499998092651,14800,2010-03-18
20304396,KST,11.8500003814697,11.8500003814697,6.66173791885376,11.8500003814697,11.8999996185303,9600,2010-03-19
20304406,KST,11.8999996185303,11.8999996185303,6.68984508514404,11.8199996948242,11.960000038147,26700,2010-03-22
20304407,KST,11.960000038147,12.0100002288818,6.75168371200562,11.9099998474121,12.109999656677198,16200,2010-03-23
20304417,KST,12.020000457763699,12.039999961853,6.76855134963989,11.970000267028801,12.0500001907349,10000,2010-03-24
20304419,KST,12.0600004196167,12.1000003814697,6.80227899551392,12.0600004196167,12.1000003814697,16700,2010-03-25
20304429,KST,12.109999656677198,12.0,6.7460651397705105,11.960000038147,12.130000114440902,7100,2010-03-26
20304430,KST,12.0,12.039999961853,6.76855134963989,12.0,12.0500001907349,16300,2010-03-29
20304440,KST,12.039999961853,11.970000267028801,6.729196071624759,11.970000267028801,12.0600004196167,17800,2010-03-30
20304441,KST,11.9899997711182,11.9899997711182,6.740441799163821,11.960000038147,12.020000457763699,17400,2010-03-31
20304451,KST,11.9499998092651,12.0500001907349,6.77417325973511,11.9499998092651,12.0799999237061,10200,2010-04-01
20304453,KST,12.0500001907349,12.109999656677198,6.80790281295776,12.0500001907349,12.109999656677198,9000,2010-04-05
20304463,KST,12.109999656677198,12.0900001525879,6.79665660858154,12.0900001525879,12.1899995803833,18900,2010-04-06
20304464,KST,12.1499996185303,12.1000003814697,6.80227899551392,12.0799999237061,12.1700000762939,8500,2010-04-07
20304474,KST,12.130000114440902,12.1899995803833,6.852874755859379,12.130000114440902,12.1899995803833,9900,2010-04-08
20304475,KST,12.289999961853,12.359999656677198,6.948443412780759,12.279999732971199,12.4200000762939,34700,2010-04-09
20304486,KST,12.4200000762939,12.4200000762939,6.98217439651489,12.3999996185303,12.460000038147,20100,2010-04-12
20304488,KST,12.4399995803833,12.4099998474121,6.97655391693115,12.3999996185303,12.4399995803833,10200,2010-04-13
20304498,KST,12.460000038147,12.520000457763699,7.03838920593262,12.3500003814697,12.5600004196167,30200,2010-04-14
20304500,KST,12.460000038147,12.4399995803833,7.0440535545349094,12.390000343322802,12.460000038147,11300,2010-04-15
20304510,KST,12.4399995803833,12.289999961853,6.9591169357299805,12.25,12.4399995803833,15800,2010-04-16
20304512,KST,12.2399997711182,12.3400001525879,6.987427234649661,12.2399997711182,12.3500003814697,12900,2010-04-19
20304525,KST,12.3400001525879,12.369999885559098,7.0044150352478,12.3400001525879,12.390000343322802,6700,2010-04-20
20304526,KST,12.4399995803833,12.380000114440902,7.010076999664309,12.380000114440902,12.4499998092651,12800,2010-04-21
20304538,KST,12.369999885559098,12.5,7.07803106307983,12.3500003814697,12.6499996185303,28600,2010-04-22
20304539,KST,12.539999961853,12.4099998474121,7.0270686149597195,12.3999996185303,12.5799999237061,34900,2010-04-23
20304552,KST,12.4200000762939,12.390000343322802,7.015742301940921,12.359999656677198,12.4300003051758,14000,2010-04-26
20304553,KST,12.390000343322802,12.3999996185303,7.02140378952026,12.380000114440902,12.3999996185303,12600,2010-04-27
20304565,KST,12.460000038147,12.470000267028801,7.061041355133059,12.460000038147,12.479999542236301,10400,2010-04-28
20304567,KST,12.4899997711182,12.4899997711182,7.07236385345459,12.460000038147,12.4899997711182,10400,2010-04-29
20304580,KST,12.470000267028801,12.4499998092651,7.04971694946289,12.4499998092651,12.470000267028801,2300,2010-04-30
20304582,KST,12.470000267028801,12.4499998092651,7.04971694946289,12.4099998474121,12.470000267028801,20300,2010-05-03
20304594,KST,12.4399995803833,12.4399995803833,7.0440535545349094,12.4099998474121,12.470000267028801,10400,2010-05-04
20304595,KST,12.390000343322802,12.229999542236301,6.9251413345336905,12.210000038147,12.529999732971199,23600,2010-05-05
20304607,KST,12.210000038147,11.529999732971199,6.52877140045166,10.75,12.470000267028801,73700,2010-05-06
20304608,KST,11.5500001907349,11.710000038147,6.630699634551999,11.5500001907349,12.130000114440902,40200,2010-05-07
20304621,KST,11.8400001525879,12.0699996948242,6.8345451354980495,11.8400001525879,12.1000003814697,14700,2010-05-10
20304622,KST,12.0799999237061,12.3299999237061,6.9817681312561,12.0799999237061,12.4099998474121,14700,2010-05-11
20304634,KST,12.3299999237061,12.289999961853,6.9591169357299805,12.289999961853,12.3500003814697,36000,2010-05-12
20304635,KST,12.130000114440902,12.289999961853,7.010451793670651,12.0100002288818,12.520000457763699,36300,2010-05-13
20304648,KST,12.220000267028801,12.25,6.98763561248779,12.1000003814697,12.25,12100,2010-05-14
20304650,KST,12.25,11.960000038147,6.82221794128418,11.779999732971199,12.25,27600,2010-05-17
20304662,KST,11.9899997711182,11.9099998474121,6.79369401931763,11.9099998474121,12.109999656677198,10100,2010-05-18
20304663,KST,12.3000001907349,11.8199996948242,6.74235725402832,11.630000114440902,12.3199996948242,20900,2010-05-19
20304675,KST,11.770000457763699,11.5900001525879,6.61116123199463,11.2600002288818,11.770000457763699,12600,2010-05-20
20304676,KST,11.539999961853,11.6499996185303,6.64538431167603,11.25,11.6499996185303,10800,2010-05-21
