,ticker,open,close,Adj Close,low,high,volume,Date
15197998,LIVE,3.96666669845581,4.43333339691162,4.43333339691162,3.96666669845581,5.5,6000,2010-01-05
15198014,LIVE,4.5,4.63333320617676,4.63333320617676,4.06666660308838,4.66666650772095,900,2010-01-06
15198019,LIVE,4.30000019073486,4.06666660308838,4.06666660308838,4.03333330154419,4.30000019073486,3000,2010-01-07
15198035,LIVE,4.96666669845581,4.266666889190669,4.266666889190669,4.266666889190669,4.96666669845581,3600,2010-01-08
15198041,LIVE,4.33333349227905,4.66666650772095,4.66666650772095,4.33333349227905,4.66666650772095,5100,2010-01-11
15198057,LIVE,4.63333320617676,4.66666650772095,4.66666650772095,4.63333320617676,4.66666650772095,2400,2010-01-12
15198062,LIVE,4.83333349227905,4.66666650772095,4.66666650772095,4.66666650772095,4.83333349227905,1200,2010-01-13
15198082,LIVE,4.83333349227905,5.5,5.5,4.83333349227905,5.5,3300,2010-01-14
15198087,LIVE,5.400000095367429,5.16666650772095,5.16666650772095,5.16666650772095,5.66666650772095,900,2010-01-15
15198088,LIVE,5.03333330154419,5.0,5.0,4.96666669845581,5.16666650772095,3600,2010-01-19
15198089,LIVE,5.16666650772095,5.16666650772095,5.16666650772095,5.16666650772095,5.16666650772095,600,2010-01-20
15198090,LIVE,4.766666889190669,5.0,5.0,4.766666889190669,5.0,900,2010-01-21
15198091,LIVE,5.03333330154419,5.266666889190669,5.266666889190669,5.03333330154419,5.266666889190669,2100,2010-01-22
15198107,LIVE,5.266666889190669,5.03333330154419,5.03333330154419,5.03333330154419,5.266666889190669,1200,2010-01-25
15198166,LIVE,4.766666889190669,5.0,5.0,4.766666889190669,5.0,1200,2010-01-29
15198192,LIVE,4.66666650772095,5.0,5.0,4.099999904632569,5.0,2700,2010-02-03
15198208,LIVE,4.766666889190669,4.800000190734861,4.800000190734861,4.766666889190669,4.800000190734861,300,2010-02-04
15198247,LIVE,4.733333110809331,4.40000009536743,4.40000009536743,4.40000009536743,4.733333110809331,2100,2010-02-11
15198271,LIVE,4.16666650772095,4.40000009536743,4.40000009536743,3.66666674613953,4.40000009536743,4800,2010-02-17
15198287,LIVE,4.099999904632569,4.099999904632569,4.099999904632569,4.099999904632569,4.099999904632569,300,2010-02-19
15198293,LIVE,3.83333325386047,3.5,3.5,3.5,3.83333325386047,3900,2010-02-22
15198309,LIVE,3.5,2.5,2.5,2.0,3.5,416400,2010-02-23
15198314,LIVE,2.6666667461395295,2.53333330154419,2.53333330154419,2.4000000953674303,2.6666667461395295,21300,2010-02-24
15198330,LIVE,2.63333344459534,2.16666674613953,2.16666674613953,2.13333344459534,2.63333344459534,52200,2010-02-25
15198336,LIVE,2.36666655540466,2.16666674613953,2.16666674613953,2.0,2.36666655540466,27600,2010-02-26
15198352,LIVE,2.16666674613953,2.06666660308838,2.06666660308838,2.0,2.3333332538604705,19500,2010-03-01
15198353,LIVE,2.06666660308838,2.06666660308838,2.06666660308838,2.0,2.2999999523162797,11400,2010-03-02
15198358,LIVE,2.0,2.16666674613953,2.16666674613953,2.0,2.3333332538604705,7200,2010-03-03
15198374,LIVE,2.2999999523162797,2.23333334922791,2.23333334922791,2.03333330154419,2.2999999523162797,3600,2010-03-04
15198375,LIVE,2.3333332538604705,2.2000000476837203,2.2000000476837203,2.2000000476837203,2.3333332538604705,7500,2010-03-05
15198381,LIVE,2.26666665077209,2.3333332538604705,2.3333332538604705,2.23333334922791,2.5,4200,2010-03-08
15198397,LIVE,2.36666655540466,2.2999999523162797,2.2999999523162797,2.23333334922791,2.4000000953674303,6600,2010-03-09
15198398,LIVE,2.4000000953674303,2.3333332538604705,2.3333332538604705,2.2000000476837203,2.4000000953674303,3000,2010-03-10
15198404,LIVE,2.4000000953674303,2.36666655540466,2.36666655540466,2.2000000476837203,2.4000000953674303,300,2010-03-11
15198420,LIVE,2.2000000476837203,2.3333332538604705,2.3333332538604705,2.06666660308838,2.3333332538604705,9000,2010-03-12
15198425,LIVE,2.09999990463257,2.03333330154419,2.03333330154419,1.9666666984558099,2.2000000476837203,12600,2010-03-16
15198441,LIVE,2.03333330154419,2.0,2.0,1.9666666984558099,2.03333330154419,3300,2010-03-17
