,ticker,open,close,Adj Close,low,high,volume,Date
12045780,MBFI,19.9899997711182,20.1499996185303,17.9951133728027,19.8899993896484,20.2900009155273,153900,2010-01-04
12045782,MBFI,20.0599994659424,19.7800006866455,17.6646823883057,19.5300006866455,20.229999542236303,266200,2010-01-05
12045800,MBFI,19.8099994659424,19.5300006866455,17.4414215087891,19.4899997711182,20.0100002288818,230600,2010-01-06
12045802,MBFI,19.5599994659424,20.0699996948242,17.9236736297607,19.1800003051758,20.1299991607666,236700,2010-01-07
12045820,MBFI,19.9899997711182,20.8700008392334,18.6381149291992,19.909999847412102,20.9899997711182,435300,2010-01-08
12045822,MBFI,20.9200000762939,20.2900009155273,18.1201438903809,20.2600002288818,20.9500007629395,282300,2010-01-11
12045840,MBFI,20.1399993896484,20.2600002288818,18.093355178833,20.0499992370605,20.5,443900,2010-01-12
12045842,MBFI,20.3099994659424,20.4699993133545,18.2808933258057,19.8299999237061,20.6800003051758,253700,2010-01-13
12045860,MBFI,20.479999542236303,21.690000534057603,19.3704242706299,20.340000152587898,21.780000686645497,406800,2010-01-14
12045862,MBFI,21.649999618530302,21.489999771118196,19.191806793212898,20.590000152587898,21.7099990844727,320500,2010-01-15
12045880,MBFI,21.559999465942397,22.3199996948242,19.9330425262451,21.25,22.3199996948242,267100,2010-01-19
12045882,MBFI,22.1399993896484,21.9599990844727,19.61155128479,21.5699996948242,22.530000686645497,361200,2010-01-20
12045900,MBFI,21.940000534057603,22.3600006103516,19.9687728881836,21.5499992370605,23.0,676200,2010-01-21
12045902,MBFI,21.510000228881804,21.649999618530302,19.33469581604,20.8299999237061,22.2999992370605,765300,2010-01-22
12045920,MBFI,21.7900009155273,21.0,18.754215240478498,20.8299999237061,21.7900009155273,502500,2010-01-25
12045922,MBFI,20.9599990844727,20.5699996948242,18.3701992034912,20.3999996185303,21.5400009155273,496400,2010-01-26
12045940,MBFI,20.4400005340576,20.6000003814697,18.396991729736303,20.2600002288818,20.9599990844727,480900,2010-01-27
12045942,MBFI,20.6299991607666,20.479999542236303,18.2898216247559,19.9899997711182,21.2900009155273,322000,2010-01-28
12045960,MBFI,20.520000457763697,20.2800006866455,18.111213684082,20.1399993896484,21.1499996185303,436000,2010-01-29
12045962,MBFI,20.3600006103516,19.9500007629395,17.8165035247803,19.6800003051758,20.4899997711182,314900,2010-02-01
12045980,MBFI,20.020000457763697,20.270000457763697,18.1022777557373,19.7999992370605,20.3799991607666,530100,2010-02-02
12045982,MBFI,20.1299991607666,20.0599994659424,17.9147357940674,19.8799991607666,20.229999542236303,516500,2010-02-03
12046000,MBFI,19.8799991607666,19.409999847412102,17.3342456817627,19.229999542236303,19.9899997711182,692900,2010-02-04
12046002,MBFI,19.4300003051758,19.6299991607666,17.5307216644287,19.0,20.3199996948242,477700,2010-02-05
12046021,MBFI,19.659999847412102,19.3999996185303,17.3253269195557,19.1100006103516,20.0599994659424,309800,2010-02-08
12046023,MBFI,19.75,19.6299991607666,17.5307216644287,19.2600002288818,19.9599990844727,195400,2010-02-09
12046043,MBFI,19.5599994659424,19.7399997711182,17.6379432678223,19.3500003814697,19.9300003051758,285600,2010-02-10
12046045,MBFI,19.6200008392334,19.4699993133545,17.3966960906982,19.3600006103516,19.7000007629395,346400,2010-02-11
12046065,MBFI,19.25,19.5100002288818,17.4324359893799,19.1499996185303,19.659999847412102,269900,2010-02-12
12046067,MBFI,19.6900005340576,20.0499992370605,17.914936065673803,19.3299999237061,20.0599994659424,113000,2010-02-16
12046087,MBFI,20.0799999237061,20.090000152587898,17.9506721496582,19.8500003814697,20.2600002288818,223300,2010-02-17
12046089,MBFI,20.1100006103516,20.0799999237061,17.941738128662102,20.0,20.159999847412102,139000,2010-02-18
12046109,MBFI,20.0599994659424,20.229999542236303,18.0757656097412,20.0400009155273,20.4500007629395,199400,2010-02-19
12046111,MBFI,20.3700008392334,20.3500003814697,18.182991027832,20.0799999237061,20.4200000762939,342200,2010-02-22
12046131,MBFI,20.2999992370605,20.1800003051758,18.031093597412102,19.979999542236303,20.3299999237061,212000,2010-02-23
12046133,MBFI,20.25,21.229999542236303,18.9692764282227,20.1700000762939,21.2800006866455,311300,2010-02-24
12046153,MBFI,20.7900009155273,20.7800006866455,18.5672016143799,20.520000457763697,21.1800003051758,326500,2010-02-25
12046155,MBFI,20.7800006866455,20.3500003814697,18.182991027832,20.159999847412102,20.7800006866455,282500,2010-02-26
12046175,MBFI,20.4400005340576,20.6100006103516,18.415302276611303,20.3299999237061,20.7000007629395,268600,2010-03-01
12046177,MBFI,20.6900005340576,21.0,18.7637710571289,20.6100006103516,21.2399997711182,259700,2010-03-02
12046197,MBFI,21.1000003814697,20.6499996185303,18.4510440826416,20.6200008392334,21.3099994659424,256800,2010-03-03
12046199,MBFI,20.7000007629395,20.7099990844727,18.504652023315398,20.5100002288818,20.8799991607666,120800,2010-03-04
12046219,MBFI,20.8099994659424,21.6299991607666,19.326681137085,20.5,21.6800003051758,406600,2010-03-05
12046221,MBFI,21.5499992370605,21.229999542236303,18.9692764282227,21.1900005340576,21.850000381469698,177000,2010-03-08
12046241,MBFI,21.1800003051758,21.2800006866455,19.013961791992198,20.9500007629395,21.6399993896484,236500,2010-03-09
12046243,MBFI,21.3500003814697,21.6700000762939,19.3624248504639,21.1200008392334,21.809999465942397,273500,2010-03-10
12046263,MBFI,21.510000228881804,21.8899993896484,19.5590000152588,21.510000228881804,22.059999465942397,246600,2010-03-11
12046265,MBFI,22.059999465942397,21.5200004577637,19.2283992767334,21.3700008392334,22.059999465942397,219400,2010-03-12
12046285,MBFI,21.3700008392334,21.270000457763697,19.0050201416016,20.9300003051758,21.4699993133545,231600,2010-03-15
12046287,MBFI,21.270000457763697,21.7000007629395,19.389230728149396,20.7900009155273,21.7299995422363,249400,2010-03-16
12046307,MBFI,21.690000534057603,22.2700004577637,19.8985385894775,21.340000152587898,22.3199996948242,236800,2010-03-17
12046309,MBFI,22.1399993896484,22.1399993896484,19.7823734283447,22.0,22.7000007629395,239200,2010-03-18
12046329,MBFI,22.2700004577637,23.1800003051758,20.7116260528564,22.1100006103516,23.1800003051758,547200,2010-03-19
12046331,MBFI,23.0,23.7000007629395,21.1762542724609,22.780000686645497,23.7700004577637,294200,2010-03-22
12046351,MBFI,23.75,23.7999992370605,21.2656097412109,23.4599990844727,23.850000381469698,191700,2010-03-23
12046353,MBFI,23.7299995422363,23.3799991607666,20.8903312683105,23.3400001525879,23.9099998474121,155300,2010-03-24
12046375,MBFI,23.5,23.5200004577637,21.015426635742198,23.4300003051758,24.1700000762939,253800,2010-03-25
12046377,MBFI,23.6399993896484,23.219999313354503,20.747369766235398,23.2099990844727,23.8899993896484,402300,2010-03-26
12046404,MBFI,23.2299995422363,22.850000381469698,20.4167633056641,22.75,23.239999771118196,159400,2010-03-29
12046406,MBFI,22.899999618530302,22.760000228881804,20.336355209350604,22.5400009155273,23.0499992370605,195800,2010-03-30
12046430,MBFI,22.600000381469698,22.530000686645497,20.130846023559602,22.4799995422363,23.0400009155273,249700,2010-03-31
12046432,MBFI,22.649999618530302,22.600000381469698,20.1933917999268,22.280000686645497,22.850000381469698,98300,2010-04-01
12046454,MBFI,22.7299995422363,22.75,20.32741355896,22.4200000762939,22.7900009155273,194900,2010-04-05
12046456,MBFI,22.6399993896484,23.5,20.9975490570068,22.5400009155273,23.7299995422363,801900,2010-04-06
12046476,MBFI,23.3899993896484,23.2299995422363,20.7563037872314,22.940000534057603,23.6299991607666,360700,2010-04-07
12046478,MBFI,23.1800003051758,23.2299995422363,20.7563037872314,23.010000228881804,23.3299999237061,167700,2010-04-08
12046503,MBFI,23.25,23.219999313354503,20.747369766235398,22.9500007629395,23.4500007629395,158700,2010-04-09
12046505,MBFI,23.1599998474121,23.149999618530302,20.6848201751709,23.100000381469698,23.469999313354503,181100,2010-04-12
12046527,MBFI,23.1100006103516,23.1100006103516,20.649082183837898,22.6399993896484,23.219999313354503,261300,2010-04-13
12046529,MBFI,23.25,24.0400009155273,21.4800510406494,23.25,24.1399993896484,224000,2010-04-14
12046549,MBFI,24.059999465942397,24.7099990844727,22.078706741332997,23.9500007629395,24.760000228881804,210200,2010-04-15
12046551,MBFI,24.0799999237061,24.2999992370605,21.7123622894287,23.7299995422363,24.5400009155273,586700,2010-04-16
12046571,MBFI,24.2900009155273,24.3400001525879,21.748104095459,24.0499992370605,24.7099990844727,302200,2010-04-19
12046573,MBFI,24.489999771118196,24.3899993896484,21.792783737182603,24.2999992370605,24.6299991607666,371200,2010-04-20
12046593,MBFI,24.469999313354503,25.1800003051758,22.4986515045166,24.469999313354503,25.2700004577637,550000,2010-04-21
12046595,MBFI,24.899999618530302,26.3799991607666,23.5708656311035,24.8700008392334,26.5400009155273,435000,2010-04-22
12046615,MBFI,26.4799995422363,26.5699996948242,23.7406368255615,26.030000686645497,26.780000686645497,539400,2010-04-23
12046617,MBFI,27.059999465942397,24.510000228881804,21.9000034332275,24.1800003051758,28.1800003051758,1754800,2010-04-26
12046639,MBFI,24.309999465942397,24.559999465942397,21.944673538207997,24.1399993896484,25.0900001525879,574300,2010-04-27
12046641,MBFI,24.7999992370605,25.0499992370605,22.382495880127,24.7900009155273,25.559999465942397,416400,2010-04-28
12046661,MBFI,25.239999771118196,25.3600006103516,22.659486770629897,25.2000007629395,25.7700004577637,395700,2010-04-29
12046663,MBFI,25.4099998474121,24.5,21.891065597534197,24.489999771118196,25.5400009155273,310200,2010-04-30
12046683,MBFI,24.690000534057603,24.649999618530302,22.0250968933105,24.440000534057603,25.0200004577637,344400,2010-05-03
12046685,MBFI,24.4799995422363,23.5400009155273,21.033290863037102,23.2999992370605,24.6100006103516,584400,2010-05-04
12046705,MBFI,23.3700008392334,24.1599998474121,21.5872650146484,23.239999771118196,24.3400001525879,310800,2010-05-05
12046707,MBFI,23.940000534057603,23.25,20.7741756439209,22.0200004577637,24.260000228881804,359500,2010-05-06
12046727,MBFI,23.190000534057603,23.010000228881804,20.5597362518311,22.5900001525879,23.7299995422363,536400,2010-05-07
12046729,MBFI,23.6599998474121,24.5200004577637,21.908935546875,23.6299991607666,24.6599998474121,364900,2010-05-10
