,ticker,open,close,Adj Close,low,high,volume,Date
6315520,MORN,48.470001220703104,48.3199996948242,44.9520111083984,47.9900016784668,48.880001068115206,55000,2010-01-04
6315535,MORN,48.41999816894529,48.8899993896484,45.482269287109396,48.0900001525879,48.8899993896484,46900,2010-01-05
6315541,MORN,49.0,48.8600006103516,45.4543685913086,48.66999816894529,49.5900001525879,95200,2010-01-06
6315555,MORN,48.83000183105471,49.040000915527294,45.621822357177706,48.1399993896484,49.16999816894529,51800,2010-01-07
6315561,MORN,48.869998931884794,49.040000915527294,45.621822357177706,48.310001373290994,49.1800003051758,24500,2010-01-08
6315575,MORN,49.439998626709006,48.41999816894529,45.045040130615206,48.0200004577637,49.439998626709006,66800,2010-01-11
6315581,MORN,48.3600006103516,49.5200004577637,46.0683784484863,48.3400001525879,49.779998779296896,78700,2010-01-12
6315597,MORN,49.4300003051758,49.959999084472706,46.477687835693395,48.5900001525879,50.1399993896484,51400,2010-01-13
6315603,MORN,49.6100006103516,49.220001220703104,45.7892837524414,49.220001220703104,49.9900016784668,30500,2010-01-14
6315619,MORN,49.4099998474121,48.6599998474121,45.2683029174805,48.2700004577637,49.6800003051758,51100,2010-01-15
6315625,MORN,48.369998931884794,48.810001373290994,45.4078598022461,48.040000915527294,48.810001373290994,33100,2010-01-19
6315640,MORN,48.3600006103516,48.560001373290994,45.1752777099609,47.75,48.619998931884794,66100,2010-01-20
6315646,MORN,48.41999816894529,47.8899993896484,44.551975250244105,47.8899993896484,48.8499984741211,92100,2010-01-21
6315662,MORN,47.75,47.6100006103516,44.291500091552706,47.560001373290994,48.33000183105471,75200,2010-01-22
6315668,MORN,47.75,46.459999084472706,43.2216377258301,46.2299995422363,47.9099998474121,67900,2010-01-25
6315683,MORN,46.2400016784668,46.5,43.2588500976562,46.16999816894529,46.720001220703104,37100,2010-01-26
6315689,MORN,46.4900016784668,47.060001373290994,43.7798194885254,46.209999084472706,47.060001373290994,48200,2010-01-27
6315704,MORN,47.08000183105471,47.1599998474121,43.8728637695312,46.3400001525879,47.3499984741211,40900,2010-01-28
6315710,MORN,47.1399993896484,47.2599983215332,43.9658889770508,46.8499984741211,47.6399993896484,46000,2010-01-29
6315725,MORN,47.2700004577637,47.2400016784668,43.947292327880895,46.6500015258789,47.2700004577637,47900,2010-02-01
6315731,MORN,47.1399993896484,47.3199996948242,44.0217056274414,46.2700004577637,47.3199996948242,40600,2010-02-02
6315747,MORN,46.939998626709006,46.9799995422363,43.705406188964794,46.790000915527294,47.3600006103516,50900,2010-02-03
6315753,MORN,46.9500007629395,45.779998779296896,42.589042663574205,45.7000007629395,47.4900016784668,129400,2010-02-04
6315767,MORN,45.720001220703104,45.810001373290994,42.616950988769496,44.58000183105471,46.0,61500,2010-02-05
6315773,MORN,45.6500015258789,45.2400016784668,42.08668899536129,45.0,45.6500015258789,34200,2010-02-08
6315789,MORN,45.25,45.279998779296896,42.1238975524902,44.6500015258789,45.5,43200,2010-02-09
6315795,MORN,44.970001220703104,45.0099983215332,41.872718811035206,44.380001068115206,45.040000915527294,33400,2010-02-10
6315811,MORN,44.7700004577637,45.75,42.56113815307621,44.66999816894529,45.7700004577637,27900,2010-02-11
6315817,MORN,45.5699996948242,45.189998626709006,42.0401649475098,45.0099983215332,45.5699996948242,70500,2010-02-12
6315833,MORN,45.279998779296896,45.1100006103516,41.9657440185547,44.790000915527294,45.2999992370605,158300,2010-02-16
6315839,MORN,45.040000915527294,45.08000183105471,41.937839508056605,44.9000015258789,45.5,174500,2010-02-17
6315854,MORN,45.0,44.5900001525879,41.481990814209,44.380001068115206,45.2400016784668,142800,2010-02-18
6315860,MORN,44.380001068115206,44.5,41.398262023925795,43.0099983215332,45.040000915527294,374900,2010-02-19
6315876,MORN,44.3899993896484,44.33000183105471,41.2401123046875,43.9099998474121,44.7700004577637,211300,2010-02-22
6315882,MORN,44.5999984741211,44.3499984741211,41.258716583252,44.2700004577637,44.7999992370605,73100,2010-02-23
6315897,MORN,44.5999984741211,44.7000007629395,41.584342956543004,44.33000183105471,45.0499992370605,131800,2010-02-24
6315903,MORN,44.5,44.4900016784668,41.3889656066895,43.9099998474121,44.6100006103516,127900,2010-02-25
6315918,MORN,44.380001068115206,44.0499992370605,40.9796371459961,43.1100006103516,44.689998626709006,270200,2010-02-26
6315924,MORN,44.4300003051758,45.5,42.3285522460938,44.2700004577637,45.540000915527294,359000,2010-03-01
6315939,MORN,45.75,46.1100006103516,42.896049499511705,45.0,46.16999816894529,141900,2010-03-02
6315945,MORN,45.91999816894529,45.630001068115206,42.4495048522949,45.540000915527294,46.0999984741211,69500,2010-03-03
6315961,MORN,45.790000915527294,46.779998779296896,43.51933288574221,45.4000015258789,46.9799995422363,182300,2010-03-04
6315972,MORN,47.58000183105471,47.33000183105471,44.031005859375,47.119998931884794,47.58000183105471,162700,2010-03-05
6315987,MORN,47.9300003051758,48.439998626709006,45.0636329650879,47.5099983215332,48.439998626709006,143400,2010-03-08
6316076,MORN,48.58000183105471,48.8899993896484,45.482269287109396,48.3600006103516,49.3600006103516,151800,2010-03-09
6316091,MORN,48.790000915527294,49.1800003051758,45.7520561218262,48.75,49.2400016784668,104800,2010-03-10
6316097,MORN,49.2599983215332,49.1100006103516,45.686939239502,49.0,49.310001373290994,69800,2010-03-11
6316113,MORN,49.5,49.33000183105471,45.8916015625,49.0200004577637,49.6800003051758,88000,2010-03-12
6316119,MORN,49.560001373290994,49.029998779296896,45.6125144958496,48.8499984741211,49.7400016784668,75400,2010-03-15
6316134,MORN,49.4099998474121,48.8899993896484,45.482269287109396,48.7599983215332,49.4099998474121,83400,2010-03-16
6316141,MORN,48.7999992370605,48.5200004577637,45.1380729675293,48.3600006103516,49.040000915527294,143600,2010-03-17
6316156,MORN,48.709999084472706,48.4500007629395,45.0729484558105,48.2400016784668,48.709999084472706,62100,2010-03-18
6316162,MORN,49.0200004577637,49.0200004577637,45.6032028198242,48.0999984741211,49.029998779296896,108000,2010-03-19
6316178,MORN,48.66999816894529,48.9500007629395,45.5380973815918,48.6100006103516,49.0,94200,2010-03-22
6316185,MORN,49.209999084472706,49.439998626709006,45.993934631347706,48.6399993896484,49.4500007629395,84500,2010-03-23
6316201,MORN,49.029998779296896,49.16999816894529,45.7427558898926,48.7000007629395,49.189998626709006,96900,2010-03-24
6316207,MORN,49.0900001525879,49.130001068115206,45.7055549621582,48.959999084472706,49.3499984741211,83800,2010-03-25
6316223,MORN,49.0699996948242,48.9799995422363,45.566013336181605,48.8600006103516,49.33000183105471,57600,2010-03-26
6316229,MORN,48.9099998474121,49.0999984741211,45.6776351928711,48.75,49.4300003051758,65600,2010-03-29
6316245,MORN,48.9099998474121,48.8899993896484,45.482269287109396,48.8600006103516,49.4500007629395,76700,2010-03-30
6316251,MORN,48.5999984741211,48.0900001525879,44.7380294799805,48.0,48.689998626709006,96300,2010-03-31
6316267,MORN,47.5,47.7599983215332,44.4310417175293,47.0999984741211,48.470001220703104,90400,2010-04-01
6316274,MORN,48.0200004577637,47.6500015258789,44.3287010192871,47.529998779296896,48.6500015258789,68900,2010-04-05
6316289,MORN,47.6500015258789,47.9000015258789,44.5612716674805,47.6500015258789,48.279998779296896,70900,2010-04-06
6316296,MORN,47.6800003051758,47.1599998474121,43.8728637695312,46.9099998474121,47.790000915527294,68700,2010-04-07
6316311,MORN,47.279998779296896,47.310001373290994,44.0124092102051,46.8400001525879,47.5,63500,2010-04-08
6316312,MORN,47.4099998474121,47.2299995422363,43.9379806518555,47.0200004577637,47.5,39400,2010-04-09
6316318,MORN,47.470001220703104,47.470001220703104,44.161247253418,47.0,47.7299995422363,102700,2010-04-12
6316333,MORN,47.5,47.5,44.189151763915994,47.2400016784668,47.5999984741211,118000,2010-04-13
6316334,MORN,47.5699996948242,47.790000915527294,44.458953857421896,47.2000007629395,47.790000915527294,112400,2010-04-14
6316340,MORN,47.5999984741211,47.6100006103516,44.291500091552706,46.8400001525879,47.8400001525879,112200,2010-04-15
6316356,MORN,47.5999984741211,47.8199996948242,44.4868698120117,47.5200004577637,48.1500015258789,51700,2010-04-16
6316357,MORN,47.7299995422363,48.380001068115206,45.0078277587891,47.6500015258789,48.4900016784668,78000,2010-04-19
6316364,MORN,48.5,49.3199996948242,45.8823013305664,48.0200004577637,49.3199996948242,91000,2010-04-20
6316379,MORN,49.0699996948242,49.7000007629395,46.2358245849609,49.0699996948242,49.9300003051758,106200,2010-04-21
6316380,MORN,49.1599998474121,50.290000915527294,46.7846870422363,49.060001373290994,50.2999992370605,42800,2010-04-22
6316386,MORN,49.9799995422363,50.6500015258789,47.1195945739746,49.630001068115206,50.9099998474121,63700,2010-04-23
6316402,MORN,50.33000183105471,49.8499984741211,46.375370025634794,49.66999816894529,50.8600006103516,151600,2010-04-26
6316408,MORN,49.9799995422363,49.459999084472706,46.0125579833984,49.08000183105471,49.9900016784668,106500,2010-04-27
6316424,MORN,48.279998779296896,48.7299995422363,45.333431243896506,48.08000183105471,48.880001068115206,128900,2010-04-28
6316430,MORN,48.58000183105471,48.0699996948242,44.7194290161133,47.75,48.8499984741211,165300,2010-04-29
6316445,MORN,48.189998626709006,47.0099983215332,43.73332214355471,46.810001373290994,48.189998626709006,110200,2010-04-30
6316452,MORN,46.9900016784668,47.560001373290994,44.2449722290039,46.6399993896484,47.560001373290994,107500,2010-05-03
6316468,MORN,47.0,47.959999084472706,44.617095947265604,46.1599998474121,48.0,188100,2010-05-04
