,ticker,open,close,Adj Close,low,high,volume,Date
3977577,MRIN,133.0,113.819999694824,113.819999694824,113.819999694824,139.649993896484,1570200,2013-03-22
3977593,MRIN,116.550003051758,111.08999633789101,111.08999633789101,106.050003051758,116.550003051758,177700,2013-03-25
3977607,MRIN,113.050003051758,119.279998779297,119.279998779297,112.069999694824,121.66000366210899,49800,2013-03-26
3977623,MRIN,119.0,115.849998474121,115.849998474121,115.430000305176,119.0,28900,2013-03-27
3977629,MRIN,115.91999816894501,115.01000213623001,115.01000213623001,113.050003051758,116.970001220703,15800,2013-03-28
3977645,MRIN,113.33000183105499,111.930000305176,111.930000305176,111.16000366210899,115.01000213623001,17700,2013-04-01
3977651,MRIN,111.930000305176,109.26999664306601,109.26999664306601,109.199996948242,112.55999755859399,23200,2013-04-02
3977667,MRIN,109.199996948242,103.599998474121,103.599998474121,102.76000213623001,109.970001220703,91500,2013-04-03
3977673,MRIN,103.389999389648,107.449996948242,107.449996948242,102.550003051758,107.58999633789101,25800,2013-04-04
3977690,MRIN,102.69000244140601,105.83999633789101,105.83999633789101,102.69000244140601,106.540000915527,15300,2013-04-05
3977696,MRIN,105.279998779297,110.25,110.25,105.279998779297,110.80999755859399,17800,2013-04-08
3977713,MRIN,108.849998474121,109.900001525879,109.900001525879,108.849998474121,111.300003051758,13300,2013-04-09
3977719,MRIN,108.849998474121,108.849998474121,108.849998474121,107.58999633789101,110.599998474121,18200,2013-04-10
3977735,MRIN,108.5,108.08000183105499,108.08000183105499,104.58000183105499,108.779998779297,24500,2013-04-11
3977741,MRIN,107.51999664306601,104.300003051758,104.300003051758,103.180000305176,108.5,84300,2013-04-12
3977757,MRIN,102.900001525879,103.110000610352,103.110000610352,102.900001525879,105.279998779297,28700,2013-04-15
3977763,MRIN,105.91000366210899,104.650001525879,104.650001525879,103.949996948242,106.610000610352,89700,2013-04-16
3977780,MRIN,104.720001220703,104.23000335693399,104.23000335693399,102.69000244140601,108.5,99100,2013-04-17
3977786,MRIN,104.930000305176,102.33999633789101,102.33999633789101,102.26999664306601,106.19000244140601,23500,2013-04-18
3977802,MRIN,104.300003051758,104.37000274658199,104.37000274658199,101.849998474121,105.699996948242,29000,2013-04-19
3977808,MRIN,104.23000335693399,102.26999664306601,102.26999664306601,102.26999664306601,105.41999816894501,18300,2013-04-22
3977824,MRIN,102.26999664306601,104.720001220703,104.720001220703,102.26999664306601,104.720001220703,20400,2013-04-23
3977830,MRIN,104.930000305176,103.110000610352,103.110000610352,102.62000274658199,105.139999389648,15100,2013-04-24
3977846,MRIN,102.970001220703,101.639999389648,101.639999389648,101.5,104.300003051758,16500,2013-04-25
3977852,MRIN,102.550003051758,98.9800033569336,98.9800033569336,98.3499984741211,102.550003051758,23900,2013-04-26
3977868,MRIN,100.16999816894501,100.16999816894501,100.16999816894501,99.12000274658199,101.150001525879,15000,2013-04-29
3977874,MRIN,100.66000366210899,102.900001525879,102.900001525879,98.7699966430664,103.25,12400,2013-04-30
3977890,MRIN,102.900001525879,99.9599990844727,99.9599990844727,99.8899993896484,103.73999786376999,11600,2013-05-01
3977896,MRIN,101.01000213623001,103.87999725341801,103.87999725341801,99.3300018310547,105.55999755859399,35500,2013-05-02
3977912,MRIN,105.83999633789101,98.3499984741211,98.3499984741211,96.4599990844727,105.83999633789101,55900,2013-05-03
3977918,MRIN,98.62999725341801,98.3499984741211,98.3499984741211,94.8499984741211,101.150001525879,43100,2013-05-06
3977935,MRIN,98.83999633789058,99.26000213623051,99.26000213623051,98.6999969482422,100.58999633789101,6400,2013-05-07
3977936,MRIN,99.5400009155273,99.8899993896484,99.8899993896484,97.6500015258789,99.8899993896484,10700,2013-05-08
