,ticker,open,close,Adj Close,low,high,volume,Date
9355526,MTBC,5.0,4.2800002098083505,4.2800002098083505,4.150000095367431,5.0,1894200,2014-07-23
9355536,MTBC,4.2800002098083505,4.150000095367431,4.150000095367431,4.019999980926509,4.38000011444092,180000,2014-07-24
9355548,MTBC,4.230000019073491,4.09000015258789,4.09000015258789,3.79999995231628,4.230000019073491,131300,2014-07-25
9355558,MTBC,4.09000015258789,3.89000010490417,3.89000010490417,3.64000010490417,4.34000015258789,106500,2014-07-28
9355569,MTBC,3.82999992370605,3.77999997138977,3.77999997138977,3.70000004768372,3.83999991416931,62900,2014-07-29
9355579,MTBC,3.67000007629395,3.8699998855590803,3.8699998855590803,3.67000007629395,4.0,112000,2014-07-30
9355591,MTBC,3.79999995231628,3.77999997138977,3.77999997138977,3.7030000686645494,4.0,40800,2014-07-31
9355602,MTBC,3.83999991416931,3.75,3.75,3.6900000572204603,3.89000010490417,25000,2014-08-01
9355614,MTBC,3.79999995231628,3.6900000572204603,3.6900000572204603,3.64000010490417,3.9000000953674303,55400,2014-08-04
9355624,MTBC,3.60999989509583,3.5,3.5,3.4300000667572004,3.6449999809265097,57500,2014-08-05
9355636,MTBC,3.5999999046325697,3.5,3.5,3.39000010490417,3.5999999046325697,29700,2014-08-06
9355646,MTBC,3.2709999084472696,3.4400000572204603,3.4400000572204603,3.2699999809265097,3.4400000572204603,62200,2014-08-07
9355660,MTBC,3.3499999046325697,3.3099999427795397,3.3099999427795397,3.1900000572204603,3.5599999427795397,71000,2014-08-08
9355670,MTBC,3.5,3.3099999427795397,3.3099999427795397,3.2100000381469704,3.57999992370605,57600,2014-08-11
9355671,MTBC,3.2899999618530296,3.3099999427795397,3.3099999427795397,3.2300000190734903,3.39000010490417,14700,2014-08-12
9355682,MTBC,3.4300000667572004,3.3499999046325697,3.3499999046325697,3.3099999427795397,3.52999997138977,25700,2014-08-13
9355692,MTBC,3.39000010490417,3.4000000953674303,3.4000000953674303,3.33999991416931,3.42000007629395,11900,2014-08-14
9355704,MTBC,3.3699998855590803,3.45000004768372,3.45000004768372,3.3699998855590803,3.5999999046325697,43000,2014-08-15
9355714,MTBC,3.42000007629395,3.3199999332427996,3.3199999332427996,3.29999995231628,3.45000004768372,19800,2014-08-18
9355726,MTBC,3.5,3.2100000381469704,3.2100000381469704,3.20000004768372,3.5,25600,2014-08-19
9355735,MTBC,3.375,3.0699999332427996,3.0699999332427996,3.00999999046326,3.3800001144409197,35400,2014-08-20
9355736,MTBC,3.0599999427795397,3.08999991416931,3.08999991416931,3.0,3.10999989509583,92600,2014-08-21
9355748,MTBC,3.0599999427795397,3.08999991416931,3.08999991416931,3.04999995231628,3.08999991416931,9100,2014-08-22
9355779,MTBC,3.0999999046325697,3.45000004768372,3.45000004768372,3.04999995231628,3.5,142100,2014-08-25
9355791,MTBC,3.49000000953674,3.47000002861023,3.47000002861023,3.3800001144409197,3.54999995231628,81400,2014-08-26
9355800,MTBC,3.5,3.1300001144409197,3.1300001144409197,3.10999989509583,3.5,95700,2014-08-27
9355812,MTBC,3.45000004768372,3.1900000572204603,3.1900000572204603,3.1410000324249303,3.45000004768372,26500,2014-08-28
9355821,MTBC,3.20000004768372,3.3800001144409197,3.3800001144409197,3.20000004768372,3.4400000572204603,65800,2014-08-29
9355833,MTBC,3.4000000953674303,3.39000010490417,3.39000010490417,3.35999989509583,3.54999995231628,64800,2014-09-02
9355843,MTBC,3.45000004768372,3.92000007629395,3.92000007629395,3.45000004768372,4.09000015258789,422000,2014-09-03
9355855,MTBC,3.85999989509583,3.7699999809265097,3.7699999809265097,3.6199998855590803,3.92000007629395,84100,2014-09-04
