,ticker,open,close,Adj Close,low,high,volume,Date
18970286,MVIS,25.9200000762939,25.8400001525879,25.8400001525879,24.719999313354503,25.9200000762939,111800,2010-01-04
18970292,MVIS,25.8400001525879,26.9599990844727,26.9599990844727,25.760000228881804,28.399999618530302,290800,2010-01-05
18970306,MVIS,27.2000007629395,28.239999771118196,28.239999771118196,26.719999313354503,29.0400009155273,254900,2010-01-06
18970312,MVIS,27.9200000762939,24.8799991607666,24.8799991607666,24.4799995422363,28.0799999237061,313200,2010-01-07
18970326,MVIS,24.0,23.8400001525879,23.8400001525879,22.9599990844727,24.3199996948242,329600,2010-01-08
18970332,MVIS,24.6399993896484,22.9599990844727,22.9599990844727,22.9599990844727,24.6399993896484,203200,2010-01-11
18970346,MVIS,23.2000007629395,19.840000152587898,19.840000152587898,19.6800003051758,23.2000007629395,458600,2010-01-12
18970352,MVIS,20.0,21.0400009155273,21.0400009155273,19.6000003814697,21.2000007629395,262600,2010-01-13
18970366,MVIS,21.5200004577637,20.159999847412102,20.159999847412102,20.0,21.5200004577637,173300,2010-01-14
18970372,MVIS,20.3999996185303,19.3600006103516,19.3600006103516,19.2000007629395,20.6399993896484,162600,2010-01-15
18970385,MVIS,19.3600006103516,19.6000003814697,19.6000003814697,19.2800006866455,19.6800003051758,89400,2010-01-19
18970391,MVIS,19.3600006103516,18.7199993133545,18.7199993133545,18.0799999237061,19.840000152587898,163100,2010-01-20
18970405,MVIS,18.7199993133545,17.3600006103516,17.3600006103516,17.0400009155273,19.3600006103516,198000,2010-01-21
18970411,MVIS,17.520000457763697,17.6800003051758,17.6800003051758,16.5599994659424,18.8799991607666,173400,2010-01-22
18970425,MVIS,18.0,17.3600006103516,17.3600006103516,17.120000839233402,18.8799991607666,114900,2010-01-25
18970431,MVIS,17.4400005340576,17.0400009155273,17.0400009155273,16.9599990844727,17.4400005340576,113100,2010-01-26
18970445,MVIS,16.9599990844727,16.1599998474121,16.1599998474121,16.0799999237061,17.2000007629395,130900,2010-01-27
18970451,MVIS,16.3199996948242,15.6800003051758,15.6800003051758,15.6800003051758,16.6399993896484,133400,2010-01-28
18970465,MVIS,15.9200000762939,15.520000457763699,15.520000457763699,15.520000457763699,16.7199993133545,118300,2010-01-29
