,ticker,open,close,Adj Close,low,high,volume,Date
734358,OMF,19.1000003814697,19.2600002288818,19.2600002288818,18.5100002288818,20.020000457763697,17412400,2013-10-16
734367,OMF,19.1499996185303,20.0,20.0,19.1399993896484,20.1499996185303,1470400,2013-10-17
734379,OMF,19.75,20.2000007629395,20.2000007629395,19.6200008392334,20.3099994659424,723500,2013-10-18
734389,OMF,20.0,19.8999996185303,19.8999996185303,19.7099990844727,20.5,636900,2013-10-21
734401,OMF,19.8999996185303,19.8999996185303,19.8999996185303,19.7099990844727,20.0,492200,2013-10-22
734410,OMF,19.6200008392334,19.9200000762939,19.9200000762939,19.0599994659424,20.0,400900,2013-10-23
734422,OMF,19.7800006866455,19.770000457763697,19.770000457763697,19.5499992370605,20.5,998800,2013-10-24
734433,OMF,19.8299999237061,19.5300006866455,19.5300006866455,19.3600006103516,20.0499992370605,531600,2013-10-25
734445,OMF,19.5,19.6100006103516,19.6100006103516,19.5,19.8500003814697,254700,2013-10-28
734455,OMF,19.6000003814697,19.8500003814697,19.8500003814697,19.5,19.8799991607666,211800,2013-10-29
734467,OMF,19.7099990844727,20.270000457763697,20.270000457763697,19.7099990844727,20.5,393800,2013-10-30
734477,OMF,20.3999996185303,20.3299999237061,20.3299999237061,20.0599994659424,20.7000007629395,435000,2013-10-31
734489,OMF,20.2800006866455,21.600000381469698,21.600000381469698,20.2600002288818,21.940000534057603,1033300,2013-11-01
734498,OMF,21.8799991607666,21.6299991607666,21.6299991607666,21.2099990844727,22.1399993896484,405400,2013-11-04
734510,OMF,21.4799995422363,21.510000228881804,21.510000228881804,21.1700000762939,21.7299995422363,363400,2013-11-05
734520,OMF,21.5,21.4799995422363,21.4799995422363,21.3799991607666,21.649999618530302,591200,2013-11-06
734532,OMF,21.5,21.3199996948242,21.3199996948242,21.25,21.649999618530302,441200,2013-11-07
734542,OMF,21.229999542236303,21.3600006103516,21.3600006103516,21.1100006103516,21.719999313354503,80900,2013-11-08
734554,OMF,21.3700008392334,21.3899993896484,21.3899993896484,20.979999542236303,21.4799995422363,125800,2013-11-11
734564,OMF,21.5400009155273,20.3299999237061,20.3299999237061,20.1100006103516,21.5400009155273,545700,2013-11-12
734576,OMF,20.1499996185303,20.0,20.0,20.0,20.5499992370605,585100,2013-11-13
734586,OMF,20.0,19.8500003814697,19.8500003814697,19.1800003051758,20.0799999237061,597800,2013-11-14
734598,OMF,19.9200000762939,20.0599994659424,20.0599994659424,19.7999992370605,20.3099994659424,401100,2013-11-15
734608,OMF,20.1900005340576,19.4899997711182,19.4899997711182,19.4699993133545,20.25,350500,2013-11-18
734620,OMF,19.4500007629395,19.4599990844727,19.4599990844727,19.409999847412102,19.6299991607666,245000,2013-11-19
734630,OMF,19.479999542236303,19.659999847412102,19.659999847412102,19.4400005340576,20.0499992370605,409700,2013-11-20
734642,OMF,19.7399997711182,20.1000003814697,20.1000003814697,19.7399997711182,20.3799991607666,246800,2013-11-21
734652,OMF,20.229999542236303,20.1800003051758,20.1800003051758,19.9599990844727,20.270000457763697,152300,2013-11-22
734664,OMF,20.4599990844727,20.479999542236303,20.479999542236303,20.1100006103516,20.8700008392334,33800,2013-11-25
734674,OMF,20.3500003814697,20.0699996948242,20.0699996948242,19.8999996185303,20.8799991607666,420900,2013-11-26
734686,OMF,20.0699996948242,20.8899993896484,20.8899993896484,20.0699996948242,20.9899997711182,180000,2013-11-27
734696,OMF,20.9200000762939,21.0799999237061,21.0799999237061,20.9200000762939,21.2999992370605,117100,2013-11-29
734708,OMF,21.0,21.3500003814697,21.3500003814697,21.0,21.5,324500,2013-12-02
734718,OMF,21.3799991607666,21.2000007629395,21.2000007629395,21.0,21.3799991607666,230400,2013-12-03
734730,OMF,21.1299991607666,21.600000381469698,21.600000381469698,21.0699996948242,21.739999771118196,178600,2013-12-04
734740,OMF,21.6299991607666,21.8299999237061,21.8299999237061,21.3199996948242,22.190000534057603,198100,2013-12-05
734752,OMF,22.3299999237061,21.7700004577637,21.7700004577637,21.7099990844727,22.3799991607666,281800,2013-12-06
734763,OMF,21.7099990844727,21.1800003051758,21.1800003051758,20.9899997711182,21.760000228881804,201700,2013-12-09
734775,OMF,21.1800003051758,21.7999992370605,21.7999992370605,21.1800003051758,22.030000686645497,162600,2013-12-10
734786,OMF,21.75,21.409999847412102,21.409999847412102,21.3999996185303,22.600000381469698,455900,2013-12-11
734798,OMF,21.3999996185303,21.7900009155273,21.7900009155273,21.3999996185303,22.219999313354503,309700,2013-12-12
734808,OMF,22.6100006103516,22.5,22.5,21.8299999237061,22.719999313354503,491300,2013-12-13
734820,OMF,22.530000686645497,22.9500007629395,22.9500007629395,22.4599990844727,23.100000381469698,354200,2013-12-16
734830,OMF,22.899999618530302,23.0900001525879,23.0900001525879,21.8899993896484,23.239999771118196,501600,2013-12-17
734842,OMF,23.030000686645497,23.6100006103516,23.6100006103516,22.760000228881804,23.7999992370605,525700,2013-12-18
734853,OMF,23.510000228881804,23.4599990844727,23.4599990844727,23.3700008392334,23.9500007629395,320000,2013-12-19
734865,OMF,23.5699996948242,23.5799999237061,23.5799999237061,23.219999313354503,23.9200000762939,2632200,2013-12-20
734875,OMF,23.739999771118196,24.5,24.5,23.6299991607666,24.6800003051758,348400,2013-12-23
734887,OMF,24.4500007629395,24.5,24.5,24.309999465942397,24.649999618530302,71400,2013-12-24
734897,OMF,24.6399993896484,24.600000381469698,24.600000381469698,24.4300003051758,24.6700000762939,88900,2013-12-26
734909,OMF,24.8400001525879,25.0400009155273,25.0400009155273,24.510000228881804,25.2000007629395,100900,2013-12-27
734919,OMF,24.9799995422363,25.0900001525879,25.0900001525879,24.6800003051758,25.2099990844727,154200,2013-12-30
734931,OMF,25.149999618530302,25.280000686645497,25.280000686645497,24.9300003051758,25.649999618530302,223100,2013-12-31
734942,OMF,25.2900009155273,25.7299995422363,25.7299995422363,25.1100006103516,25.899999618530302,617800,2014-01-02
734954,OMF,25.719999313354503,25.149999618530302,25.149999618530302,24.989999771118196,25.719999313354503,223700,2014-01-03
734964,OMF,25.2999992370605,25.4500007629395,25.4500007629395,25.1599998474121,25.5400009155273,457200,2014-01-06
734976,OMF,25.5400009155273,27.1200008392334,27.1200008392334,25.5400009155273,27.2900009155273,357700,2014-01-07
734986,OMF,27.030000686645497,27.1700000762939,27.1700000762939,26.559999465942397,27.280000686645497,145600,2014-01-08
734998,OMF,27.149999618530302,26.2999992370605,26.2999992370605,26.2000007629395,27.3400001525879,587900,2014-01-09
735008,OMF,26.350000381469698,26.3600006103516,26.3600006103516,25.760000228881804,26.6299991607666,314500,2014-01-10
735020,OMF,26.2999992370605,25.2099990844727,25.2099990844727,25.0499992370605,26.2999992370605,178800,2014-01-13
735031,OMF,25.2700004577637,25.4500007629395,25.4500007629395,25.1200008392334,25.5,165200,2014-01-14
735043,OMF,25.5699996948242,26.190000534057603,26.190000534057603,25.4599990844727,26.850000381469698,556100,2014-01-15
735053,OMF,26.280000686645497,26.0499992370605,26.0499992370605,25.9799995422363,26.8199996948242,515300,2014-01-16
735065,OMF,26.1100006103516,25.7099990844727,25.7099990844727,25.4500007629395,26.1200008392334,124500,2014-01-17
735075,OMF,25.9300003051758,25.309999465942397,25.309999465942397,24.8799991607666,25.9300003051758,215400,2014-01-21
735087,OMF,25.309999465942397,25.719999313354503,25.719999313354503,25.1200008392334,26.0,130100,2014-01-22
735097,OMF,25.739999771118196,25.7999992370605,25.7999992370605,25.440000534057603,25.9500007629395,112800,2014-01-23
735109,OMF,25.6100006103516,24.9300003051758,24.9300003051758,24.8199996948242,26.1800003051758,375700,2014-01-24
735119,OMF,24.8899993896484,24.8700008392334,24.8700008392334,24.010000228881804,25.1700000762939,162900,2014-01-27
735131,OMF,24.9599990844727,24.6399993896484,24.6399993896484,24.4300003051758,25.25,86700,2014-01-28
735140,OMF,24.239999771118196,23.4300003051758,23.4300003051758,23.239999771118196,24.5,178500,2014-01-29
735152,OMF,23.7000007629395,23.899999618530302,23.899999618530302,23.309999465942397,24.3400001525879,177700,2014-01-30
735162,OMF,23.7099990844727,23.9599990844727,23.9599990844727,23.600000381469698,24.1200008392334,114900,2014-01-31
735174,OMF,23.969999313354503,23.8199996948242,23.8199996948242,23.649999618530302,24.2999992370605,347400,2014-02-03
735184,OMF,24.030000686645497,23.8299999237061,23.8299999237061,23.6800003051758,24.0699996948242,186300,2014-02-04
735196,OMF,23.760000228881804,23.8199996948242,23.8199996948242,23.6100006103516,23.9200000762939,216900,2014-02-05
735206,OMF,24.0499992370605,23.8799991607666,23.8799991607666,23.8199996948242,24.530000686645497,86400,2014-02-06
735218,OMF,23.8799991607666,24.2000007629395,24.2000007629395,23.559999465942397,24.2000007629395,155100,2014-02-07
735228,OMF,24.1299991607666,24.530000686645497,24.530000686645497,23.9200000762939,24.8199996948242,170200,2014-02-10
735240,OMF,24.6599998474121,25.489999771118196,25.489999771118196,24.510000228881804,25.739999771118196,264400,2014-02-11
735249,OMF,25.6599998474121,25.8899993896484,25.8899993896484,25.0499992370605,26.3299999237061,290600,2014-02-12
735261,OMF,25.739999771118196,25.600000381469698,25.600000381469698,25.3899993896484,25.7999992370605,141600,2014-02-13
735270,OMF,25.719999313354503,25.2900009155273,25.2900009155273,25.1700000762939,25.719999313354503,62600,2014-02-14
735282,OMF,25.489999771118196,25.489999771118196,25.489999771118196,25.1100006103516,25.9200000762939,208800,2014-02-18
735291,OMF,25.5,25.5,25.5,25.3600006103516,25.7099990844727,114000,2014-02-19
735303,OMF,25.469999313354503,24.5699996948242,24.5699996948242,24.530000686645497,25.6200008392334,392300,2014-02-20
735313,OMF,24.600000381469698,26.1399993896484,26.1399993896484,24.030000686645497,26.1800003051758,490200,2014-02-21
735325,OMF,26.1299991607666,28.3600006103516,28.3600006103516,26.010000228881804,28.9099998474121,1233400,2014-02-24
735335,OMF,28.530000686645497,28.559999465942397,28.559999465942397,28.0200004577637,29.5,598200,2014-02-25
735347,OMF,28.719999313354503,27.489999771118196,27.489999771118196,27.469999313354503,29.4200000762939,527300,2014-02-26
735357,OMF,27.489999771118196,27.1599998474121,27.1599998474121,26.6100006103516,27.649999618530302,451000,2014-02-27
735369,OMF,27.239999771118196,28.1700000762939,28.1700000762939,27.1599998474121,28.4200000762939,434700,2014-02-28
735379,OMF,27.8299999237061,28.0900001525879,28.0900001525879,27.510000228881804,28.469999313354503,299400,2014-03-03
735391,OMF,28.4300003051758,28.440000534057603,28.440000534057603,28.190000534057603,28.8899993896484,419200,2014-03-04
735401,OMF,27.219999313354503,27.690000534057603,27.690000534057603,26.7099990844727,28.2299995422363,450200,2014-03-05
735413,OMF,27.780000686645497,27.8199996948242,27.8199996948242,27.5,28.0,350000,2014-03-06
735422,OMF,28.0200004577637,27.9599990844727,27.9599990844727,27.5499992370605,28.4300003051758,203600,2014-03-07
735434,OMF,28.059999465942397,27.8600006103516,27.8600006103516,27.3799991607666,28.1200008392334,308100,2014-03-10
735443,OMF,27.559999465942397,27.2900009155273,27.2900009155273,27.0499992370605,27.5699996948242,441700,2014-03-11
735455,OMF,27.239999771118196,26.149999618530302,26.149999618530302,25.7299995422363,27.239999771118196,511300,2014-03-12
735465,OMF,26.469999313354503,25.8600006103516,25.8600006103516,25.7700004577637,26.5499992370605,554500,2014-03-13
735477,OMF,25.7000007629395,24.4799995422363,24.4799995422363,24.2299995422363,25.7000007629395,781300,2014-03-14
735486,OMF,24.559999465942397,25.100000381469698,25.100000381469698,24.530000686645497,25.3400001525879,391000,2014-03-17
735498,OMF,24.9799995422363,25.8400001525879,25.8400001525879,24.969999313354503,25.8400001525879,403800,2014-03-18
