,ticker,open,close,Adj Close,low,high,volume,Date
6917207,PBB,24.5,24.850000381469698,21.2101192474365,24.0,24.9500007629395,131600,2015-12-21
6917221,PBB,24.600000381469698,24.600000381469698,20.996738433837898,24.3799991607666,24.8600006103516,140900,2015-12-22
6917225,PBB,24.600000381469698,24.239999771118196,20.6894683837891,24.239999771118196,24.600000381469698,83600,2015-12-23
6917240,PBB,24.5,24.0699996948242,20.5443706512451,24.0499992370605,24.5,70800,2015-12-24
6917244,PBB,23.7099990844727,23.5900001525879,20.134677886962898,23.3299999237061,23.9500007629395,182000,2015-12-28
6917258,PBB,23.399999618530302,23.5,20.0578632354736,23.1800003051758,23.75,120100,2015-12-29
6917262,PBB,23.309999465942397,23.2999992370605,19.8871574401855,23.1299991607666,23.649999618530302,103200,2015-12-30
6917277,PBB,23.1599998474121,23.5,20.0578632354736,23.0799999237061,23.649999618530302,86000,2015-12-31
6917281,PBB,23.0799999237061,23.350000381469698,19.9298305511475,23.0799999237061,23.489999771118196,39300,2016-01-04
6917295,PBB,23.350000381469698,23.5,20.0578632354736,23.350000381469698,23.690000534057603,71200,2016-01-05
6917299,PBB,23.649999618530302,23.5,20.0578632354736,23.3799991607666,23.7000007629395,65800,2016-01-06
6917313,PBB,23.399999618530302,23.3700008392334,19.9469051361084,23.3600006103516,23.5499992370605,81200,2016-01-07
6917317,PBB,23.4300003051758,23.5499992370605,20.1005363464355,23.413999557495103,23.6800003051758,46100,2016-01-08
6917331,PBB,23.600000381469698,22.4099998474121,19.127515792846697,22.3799991607666,23.618000030517603,140300,2016-01-11
6917335,PBB,22.5499992370605,20.75,17.710659027099602,20.5100002288818,22.5849990844727,170000,2016-01-12
6917349,PBB,20.590000152587898,20.1399993896484,17.190013885498,19.8099994659424,21.0,93900,2016-01-13
6917353,PBB,20.1200008392334,19.7000007629395,16.8144607543945,19.090999603271502,20.4349994659424,119700,2016-01-14
6917367,PBB,19.479999542236303,19.4899997711182,16.635217666626,19.2199993133545,19.8479995727539,73900,2016-01-15
6917371,PBB,19.5,19.8899993896484,16.9766311645508,19.5,20.4599990844727,141000,2016-01-19
6917385,PBB,19.8899993896484,20.0400009155273,17.104661941528303,19.0,20.2900009155273,117800,2016-01-20
6917389,PBB,20.1800003051758,20.5400009155273,17.5314254760742,20.1200008392334,20.7199993133545,218200,2016-01-21
6917403,PBB,20.6299991607666,21.0,17.9240455627441,20.5,21.0,109300,2016-01-22
6917407,PBB,21.0,20.5599994659424,17.5484924316406,20.5599994659424,21.3500003814697,82800,2016-01-25
6917421,PBB,20.75,20.0799999237061,17.138799667358402,20.0799999237061,21.0,102600,2016-01-26
6917425,PBB,20.2900009155273,19.8999996185303,16.985162734985398,19.8999996185303,20.3500003814697,116400,2016-01-27
6917439,PBB,20.2000007629395,20.25,17.2839012145996,20.0100002288818,20.7399997711182,55500,2016-01-28
6917443,PBB,20.5,21.0,17.9240455627441,20.3999996185303,21.0,51900,2016-01-29
6917457,PBB,21.3899993896484,21.600000381469698,18.4361591339111,21.1200008392334,21.9500007629395,44600,2016-02-01
6917461,PBB,21.7549991607666,21.6599998474121,18.487369537353498,21.0499992370605,21.780000686645497,51600,2016-02-02
6917475,PBB,21.7000007629395,22.3299999237061,19.059232711792,21.2399997711182,22.3299999237061,50500,2016-02-03
6917479,PBB,22.0,21.6200008392334,18.4532318115234,21.4699993133545,22.1299991607666,58500,2016-02-04
6917493,PBB,21.5,21.5,18.35080909729,21.020000457763697,21.989999771118196,34800,2016-02-05
6917510,PBB,21.1000003814697,20.1900005340576,17.232688903808597,20.1200008392334,21.1000003814697,45200,2016-02-09
6917514,PBB,20.5599994659424,20.2199993133545,17.2582931518555,20.2199993133545,21.1000003814697,38800,2016-02-10
6917528,PBB,20.0300006866455,20.1800003051758,17.2241554260254,19.7999992370605,20.6340007781982,52200,2016-02-11
6917532,PBB,20.1000003814697,20.6900005340576,17.6594543457031,19.7910003662109,20.75,36000,2016-02-12
