,ticker,open,close,Adj Close,low,high,volume,Date
13567792,PRCP,3.32999992370605,3.16000008583069,2.92926287651062,3.10999989509583,3.3699998855590803,29500,2010-01-04
13567810,PRCP,3.0999999046325697,3.08999991416931,2.8643739223480202,3.08999991416931,3.1199998855590803,20400,2010-01-05
13567812,PRCP,3.0999999046325697,3.1199998855590803,2.89218354225159,3.0999999046325697,3.27999997138977,29600,2010-01-06
13567830,PRCP,3.0999999046325697,3.1900000572204603,2.9570722579956095,3.0999999046325697,3.29999995231628,111100,2010-01-07
13567832,PRCP,3.2100000381469704,3.2100000381469704,2.9756119251251203,3.20000004768372,3.27999997138977,19300,2010-01-08
13567851,PRCP,3.17000007629395,3.08999991416931,2.8643739223480202,3.07999992370605,3.2100000381469704,84900,2010-01-11
13567853,PRCP,3.08999991416931,3.00999999046326,2.79021549224854,3.00999999046326,3.14000010490417,60600,2010-01-12
13567872,PRCP,3.04999995231628,3.0599999427795397,2.83656454086304,3.02999997138977,3.2300000190734903,32400,2010-01-13
13567874,PRCP,3.08999991416931,3.1500000953674303,2.91999292373657,3.08999991416931,3.1900000572204603,83100,2010-01-14
13567893,PRCP,3.07999992370605,3.17000007629395,2.93853259086609,3.0599999427795397,3.1900000572204603,69000,2010-01-15
13567895,PRCP,3.2300000190734903,3.14000010490417,2.9107234477996804,3.1199998855590803,3.24000000953674,10100,2010-01-19
13567914,PRCP,3.1199998855590803,3.0999999046325697,2.87364363670349,3.04999995231628,3.17000007629395,62900,2010-01-20
13567916,PRCP,3.10999989509583,3.0999999046325697,2.87364363670349,3.0699999332427996,3.16000008583069,15500,2010-01-21
13567934,PRCP,3.04999995231628,3.14000010490417,2.9107234477996804,3.00999999046326,3.14000010490417,233400,2010-01-22
13567936,PRCP,3.14000010490417,3.1199998855590803,2.89218354225159,3.0999999046325697,3.27999997138977,42400,2010-01-25
13567954,PRCP,3.16000008583069,3.20000004768372,2.9663422107696498,3.1500000953674303,3.2899999618530296,16100,2010-01-26
13567956,PRCP,3.25,3.1900000572204603,2.9570722579956095,3.1900000572204603,3.25,15000,2010-01-27
13567973,PRCP,3.20000004768372,3.14000010490417,2.9107234477996804,3.1300001144409197,3.20000004768372,9700,2010-01-28
13567975,PRCP,3.27999997138977,3.14000010490417,2.9107234477996804,3.0999999046325697,3.3199999332427996,41600,2010-01-29
13567993,PRCP,3.14000010490417,3.24000000953674,3.00342154502869,3.14000010490417,3.35999989509583,73400,2010-02-01
13567995,PRCP,3.27999997138977,3.16000008583069,2.92926287651062,3.16000008583069,3.27999997138977,12700,2010-02-02
13568012,PRCP,3.2100000381469704,3.22000002861023,2.9848816394805895,3.16000008583069,3.2899999618530296,17000,2010-02-03
13568014,PRCP,3.2699999809265097,3.3099999427795397,3.06831002235413,3.25,3.50999999046326,61900,2010-02-04
13568032,PRCP,3.25999999046326,3.29999995231628,3.0590405464172403,3.25,3.3800001144409197,23000,2010-02-05
13568034,PRCP,3.49000000953674,3.5,3.24443674087524,3.3800001144409197,3.77999997138977,85900,2010-02-08
13568078,PRCP,3.64000010490417,3.4600000381469704,3.2073574066162096,3.4600000381469704,3.6500000953674303,5900,2010-02-09
13568080,PRCP,3.39000010490417,3.5,3.24443674087524,3.3800001144409197,3.5,6800,2010-02-10
13568101,PRCP,3.4600000381469704,3.8099999427795397,3.5318009853362997,3.4600000381469704,3.99000000953674,190500,2010-02-11
