,ticker,open,close,Adj Close,low,high,volume,Date
14928166,PVAC,15.0,40.625,40.625,15.0,40.625,625719,2016-11-15
14928178,PVAC,39.75,39.0,39.0,38.0099983215332,39.75,12600,2016-11-16
14928191,PVAC,39.0,36.9900016784668,36.9900016784668,35.0,39.0,28300,2016-11-17
14928203,PVAC,38.9500007629395,39.75,39.75,34.75,39.75,1100,2016-11-18
14928212,PVAC,40.0,40.0,40.0,35.060001373291,40.0,2500,2016-11-21
14928223,PVAC,40.0,41.0,41.0,36.0,41.0,4100,2016-11-22
14928231,PVAC,41.0,41.0,41.0,41.0,41.0,900,2016-11-23
14928249,PVAC,37.0,43.0,43.0,37.0,43.0,2700,2016-11-28
14928259,PVAC,37.1100006103516,41.25,41.25,37.1100006103516,41.25,1500,2016-11-29
14928268,PVAC,42.5999984741211,43.0,43.0,39.0,44.0,206200,2016-11-30
14928278,PVAC,42.5,42.5,42.5,42.5,43.0,16400,2016-12-01
14928295,PVAC,43.0,44.5,44.5,43.0,44.5,76800,2016-12-05
14928304,PVAC,44.5,43.0999984741211,43.0999984741211,43.0999984741211,44.5,600,2016-12-06
14928314,PVAC,44.0,43.5,43.5,43.5,44.0,1400,2016-12-07
14928322,PVAC,43.25,46.0,46.0,43.25,46.0,1600,2016-12-08
14928331,PVAC,46.0,47.0,47.0,44.0,47.5,1300,2016-12-09
14928339,PVAC,46.5,48.0,48.0,46.5,48.0,22500,2016-12-12
14928349,PVAC,49.0,48.25,48.25,48.0,50.0,28600,2016-12-13
14928357,PVAC,46.0,46.0,46.0,46.0,46.0,200,2016-12-14
14928371,PVAC,47.4000015258789,47.4000015258789,47.4000015258789,45.5,47.4000015258789,1700,2016-12-15
14928394,PVAC,46.5,46.7400016784668,46.7400016784668,44.0099983215332,46.75,308800,2016-12-16
14928403,PVAC,44.2830009460449,46.75,46.75,44.2830009460449,46.75,486300,2016-12-19
14928415,PVAC,44.5,46.5,46.5,44.5,46.5,1800,2016-12-20
14928425,PVAC,45.0,45.0,45.0,45.0,45.5,900,2016-12-21
14928435,PVAC,44.0,45.25,45.25,43.5,45.25,8600,2016-12-22
14928447,PVAC,45.25,45.25,45.25,45.25,45.4249992370605,1000,2016-12-23
14928456,PVAC,45.25,45.4500007629395,45.4500007629395,43.5099983215332,46.0,2700,2016-12-27
14928465,PVAC,45.637001037597706,48.0,48.0,45.5,48.0,5100,2016-12-28
14928483,PVAC,49.0,49.0,49.0,45.7700004577637,50.0,3200,2016-12-30
14928564,PVAC,49.0,57.9000015258789,57.9000015258789,49.0,61.970001220703104,7700,2017-01-03
14928574,PVAC,55.0,53.0,53.0,53.0,55.0,2400,2017-01-04
14928584,PVAC,49.5,52.0,52.0,49.5,52.0,700,2017-01-05
14928594,PVAC,52.0,52.25,52.25,52.0,54.0,4200,2017-01-06
14928603,PVAC,52.0,52.0,52.0,50.25,52.0,5200,2017-01-09
14928613,PVAC,51.0,50.74800109863279,50.74800109863279,50.74800109863279,52.0499992370605,2800,2017-01-10
14928621,PVAC,50.5999984741211,52.0,52.0,50.5999984741211,53.0,5100,2017-01-11
14928639,PVAC,52.0,52.0,52.0,50.733001708984396,52.112998962402294,1700,2017-01-13
14928678,PVAC,50.290000915527294,52.0,52.0,50.290000915527294,52.7000007629395,3600,2017-01-17
14928688,PVAC,50.2999992370605,49.9000015258789,49.9000015258789,47.0999984741211,52.0,3200,2017-01-18
14928698,PVAC,50.323001861572294,51.7999992370605,51.7999992370605,50.0099983215332,52.0,7500,2017-01-19
14928776,PVAC,51.16999816894529,51.7299995422363,51.7299995422363,50.0,52.5750007629395,7600,2017-01-20
14928786,PVAC,51.9000015258789,51.939998626709006,51.939998626709006,50.0,52.0,3800,2017-01-23
14928796,PVAC,51.75,50.9799995422363,50.9799995422363,50.9000015258789,51.75,4700,2017-01-24
14928805,PVAC,50.5,51.0,51.0,50.5,51.7999992370605,2100,2017-01-25
14928816,PVAC,51.0,50.3600006103516,50.3600006103516,48.176998138427706,51.0,5600,2017-01-26
14928826,PVAC,49.25,49.9000015258789,49.9000015258789,49.2000007629395,51.0,32000,2017-01-27
14928837,PVAC,48.5499992370605,50.4000015258789,50.4000015258789,48.5499992370605,51.0,5000,2017-01-30
14928847,PVAC,49.0,51.0,51.0,48.0,51.0,10100,2017-01-31
14928860,PVAC,49.8499984741211,48.9799995422363,48.9799995422363,48.2400016784668,50.0,6300,2017-02-01
14928871,PVAC,49.4500007629395,49.0,49.0,48.9900016784668,49.689998626709006,8300,2017-02-02
14928881,PVAC,49.0999984741211,49.0,49.0,48.75,50.2000007629395,18600,2017-02-03
14928891,PVAC,49.2000007629395,49.25,49.25,48.6310005187988,49.25,9400,2017-02-06
14928902,PVAC,48.9900016784668,48.8899993896484,48.8899993896484,46.056999206543,49.5,13100,2017-02-07
14928911,PVAC,49.25,49.0,49.0,46.0099983215332,50.0,14700,2017-02-08
14928922,PVAC,49.9000015258789,49.5,49.5,48.9900016784668,49.9000015258789,5000,2017-02-09
14928931,PVAC,49.5,49.0,49.0,48.7000007629395,49.5,11500,2017-02-10
14928941,PVAC,49.3499984741211,49.0,49.0,48.7999992370605,49.3499984741211,6800,2017-02-13
14928951,PVAC,48.9000015258789,49.470001220703104,49.470001220703104,48.8499984741211,49.5,5500,2017-02-14
14928962,PVAC,49.5,49.040000915527294,49.040000915527294,48.7299995422363,49.5,13200,2017-02-15
14928972,PVAC,49.0,49.0,49.0,44.689998626709006,49.0,1600,2017-02-16
14928984,PVAC,49.0,49.720001220703104,49.720001220703104,48.826999664306605,49.720001220703104,3500,2017-02-17
14928994,PVAC,49.1599998474121,48.9799995422363,48.9799995422363,48.8899993896484,49.1599998474121,20000,2017-02-21
14929005,PVAC,48.9000015258789,49.0,49.0,48.7400016784668,49.0,8000,2017-02-22
14929015,PVAC,46.2299995422363,49.220001220703104,49.220001220703104,46.2299995422363,49.220001220703104,15100,2017-02-23
14929026,PVAC,49.0,49.0,49.0,48.5260009765625,49.2750015258789,15600,2017-02-24
14929036,PVAC,49.7000007629395,49.189998626709006,49.189998626709006,48.8339996337891,49.7400016784668,11800,2017-02-27
14929047,PVAC,49.9900016784668,48.75,48.75,48.5099983215332,49.9900016784668,17500,2017-02-28
14929057,PVAC,49.2000007629395,49.0,49.0,48.75,49.2000007629395,7800,2017-03-01
14929084,PVAC,49.0,48.8199996948242,48.8199996948242,48.5999984741211,49.4000015258789,5900,2017-03-02
14929097,PVAC,49.2999992370605,49.08000183105471,49.08000183105471,48.790000915527294,49.2999992370605,3900,2017-03-03
14929117,PVAC,49.9500007629395,49.0,49.0,48.9900016784668,49.9500007629395,2300,2017-03-06
14929128,PVAC,49.0,48.66999816894529,48.66999816894529,48.66999816894529,49.0,1500,2017-03-07
14929140,PVAC,48.7700004577637,49.0,49.0,48.689998626709006,50.0,9800,2017-03-08
14929152,PVAC,49.0,47.6949996948242,47.6949996948242,47.5,49.0,13200,2017-03-09
14929163,PVAC,47.9000015258789,47.2700004577637,47.2700004577637,44.1399993896484,48.540000915527294,15700,2017-03-10
14929174,PVAC,46.2999992370605,44.0349998474121,44.0349998474121,43.4010009765625,47.2000007629395,32900,2017-03-13
14929185,PVAC,43.9500007629395,43.939998626709006,43.939998626709006,43.7000007629395,44.6500015258789,19500,2017-03-14
14929195,PVAC,44.75,45.5999984741211,45.5999984741211,44.5,45.5999984741211,38400,2017-03-15
14929206,PVAC,48.439998626709006,47.8400001525879,47.8400001525879,46.4000015258789,48.439998626709006,26300,2017-03-16
14929216,PVAC,47.7999992370605,44.7999992370605,44.7999992370605,42.5,48.4799995422363,101300,2017-03-17
14929228,PVAC,45.0,43.5900001525879,43.5900001525879,43.459999084472706,46.4000015258789,17600,2017-03-20
14929238,PVAC,45.125,44.0,44.0,42.4000015258789,46.939998626709006,22100,2017-03-21
14929250,PVAC,43.810001373290994,43.0,43.0,41.4000015258789,45.4749984741211,18200,2017-03-22
14929260,PVAC,42.7999992370605,42.72999954223629,42.72999954223629,41.8619995117188,42.7999992370605,2000,2017-03-23
14929271,PVAC,42.2000007629395,42.7000007629395,42.7000007629395,42.2000007629395,42.7000007629395,14000,2017-03-24
14929282,PVAC,42.5,44.0,44.0,42.5,45.0,3500,2017-03-27
14929293,PVAC,44.4500007629395,43.959999084472706,43.959999084472706,43.75,44.8250007629395,12800,2017-03-28
14929304,PVAC,43.959999084472706,44.9500007629395,44.9500007629395,43.959999084472706,45.8899993896484,7300,2017-03-29
14929316,PVAC,45.0699996948242,44.439998626709006,44.439998626709006,43.7599983215332,45.939998626709006,9600,2017-03-30
14929326,PVAC,45.1399993896484,45.25,45.25,43.0200004577637,46.0,30400,2017-03-31
14929337,PVAC,45.25,46.189998626709006,46.189998626709006,45.25,46.665000915527294,4800,2017-04-03
14929346,PVAC,45.8199996948242,46.5,46.5,45.8199996948242,46.8849983215332,12900,2017-04-04
14929357,PVAC,46.5,47.0,47.0,46.5,48.3199996948242,60400,2017-04-05
14929367,PVAC,46.439998626709006,46.5,46.5,44.16999816894529,47.3549995422363,14800,2017-04-06
14929380,PVAC,46.25,48.83000183105471,48.83000183105471,46.25,48.8499984741211,8600,2017-04-07
14929390,PVAC,48.5149993896484,48.25,48.25,48.0,49.2249984741211,40000,2017-04-10
14929402,PVAC,48.0999984741211,46.9000015258789,46.9000015258789,45.66999816894529,48.0999984741211,9400,2017-04-11
14929412,PVAC,49.9990005493164,46.9799995422363,46.9799995422363,46.814998626709006,49.9990005493164,18000,2017-04-12
14929423,PVAC,46.91999816894529,46.959999084472706,46.959999084472706,46.5900001525879,49.5550003051758,11900,2017-04-13
14929433,PVAC,45.4500007629395,46.9900016784668,46.9900016784668,45.4500007629395,47.9900016784668,8400,2017-04-17
14929445,PVAC,46.619998931884794,46.5,46.5,45.8899993896484,46.8499984741211,14800,2017-04-18
14929455,PVAC,46.7000007629395,44.9900016784668,44.9900016784668,44.3899993896484,46.7999992370605,13900,2017-04-19
14929469,PVAC,45.0,42.75,42.75,42.560001373291,45.2000007629395,83900,2017-04-20
14929479,PVAC,42.7999992370605,42.75,42.75,41.8699989318848,47.0200004577637,16300,2017-04-21
14929492,PVAC,44.1629981994629,42.6399993896484,42.6399993896484,42.220001220703104,46.4000015258789,18800,2017-04-24
14929502,PVAC,42.6399993896484,42.4199981689453,42.4199981689453,41.4199981689453,42.9900016784668,18600,2017-04-25
14929512,PVAC,42.310001373291,41.5,41.5,41.2849998474121,42.8300018310547,13100,2017-04-26
14929521,PVAC,41.3899993896484,39.9500007629395,39.9500007629395,39.0,41.3899993896484,464400,2017-04-27
14929533,PVAC,40.029998779296896,39.5900001525879,39.5900001525879,38.9099998474121,42.779998779296896,29300,2017-04-28
14929543,PVAC,40.0800018310547,38.9900016784668,38.9900016784668,38.8300018310547,40.415000915527294,38400,2017-05-01
14929555,PVAC,39.319999694824205,39.2649993896484,39.2649993896484,38.470001220703104,41.4000015258789,24500,2017-05-02
14929563,PVAC,39.040000915527294,40.7000007629395,40.7000007629395,38.7490005493164,40.8800010681152,40600,2017-05-03
14929575,PVAC,42.3899993896484,38.9000015258789,38.9000015258789,38.22999954223629,44.9039993286133,28000,2017-05-04
14929584,PVAC,38.9900016784668,42.069999694824205,42.069999694824205,37.8030014038086,42.6699981689453,18800,2017-05-05
14929596,PVAC,42.6199989318848,44.0499992370605,44.0499992370605,42.6199989318848,44.709999084472706,27800,2017-05-08
14929597,PVAC,43.459999084472706,42.7000007629395,42.7000007629395,41.7999992370605,43.83000183105471,26800,2017-05-09
14929610,PVAC,45.0,43.5999984741211,43.5999984741211,42.029998779296896,45.0,23700,2017-05-10
14929611,PVAC,44.0,42.9500007629395,42.9500007629395,42.2000007629395,44.4000015258789,54600,2017-05-11
14929623,PVAC,42.6300010681152,43.7999992370605,43.7999992370605,41.5900001525879,44.08000183105471,51900,2017-05-12
14929633,PVAC,45.0,44.0,44.0,43.4500007629395,45.0,50500,2017-05-15
14929653,PVAC,42.0099983215332,44.25,44.25,42.0099983215332,46.2999992370605,43600,2017-05-16
14929665,PVAC,44.9300003051758,43.6100006103516,43.6100006103516,42.9000015258789,45.0,18200,2017-05-17
14929681,PVAC,43.0099983215332,43.2000007629395,43.2000007629395,41.8400001525879,45.220001220703104,19000,2017-05-18
14929691,PVAC,44.5,44.029998779296896,44.029998779296896,43.2430000305176,45.494998931884794,19400,2017-05-19
14929703,PVAC,44.0999984741211,44.4500007629395,44.4500007629395,43.4099998474121,47.1969985961914,33800,2017-05-22
14929714,PVAC,44.25,44.16999816894529,44.16999816894529,43.75,45.4500007629395,43600,2017-05-23
14929725,PVAC,45.0,44.290000915527294,44.290000915527294,44.0270004272461,45.643001556396506,29800,2017-05-24
14929735,PVAC,44.4900016784668,44.25,44.25,43.5999984741211,46.0,29000,2017-05-25
14929746,PVAC,43.790000915527294,43.4300003051758,43.4300003051758,42.9799995422363,44.869998931884794,24700,2017-05-26
14929756,PVAC,43.0,44.7999992370605,44.7999992370605,42.8600006103516,45.3600006103516,22000,2017-05-30
14929766,PVAC,43.810001373290994,42.7999992370605,42.7999992370605,41.6399993896484,44.0999984741211,42600,2017-05-31
14929776,PVAC,42.9199981689453,43.5,43.5,42.5800018310547,45.94599914550779,41300,2017-06-01
14929787,PVAC,43.4000015258789,44.0200004577637,44.0200004577637,39.5099983215332,45.9500007629395,61700,2017-06-02
14929797,PVAC,43.7700004577637,44.25,44.25,42.689998626709,45.0999984741211,53400,2017-06-05
14929808,PVAC,45.9799995422363,44.1500015258789,44.1500015258789,42.1599998474121,45.9799995422363,42300,2017-06-06
14929819,PVAC,43.451999664306605,42.819999694824205,42.819999694824205,40.689998626709,45.5,34200,2017-06-07
14929830,PVAC,43.0999984741211,43.41999816894529,43.41999816894529,41.7599983215332,45.91999816894529,33700,2017-06-08
14929838,PVAC,43.5099983215332,43.5699996948242,43.5699996948242,43.5099983215332,46.0,21700,2017-06-09
14929849,PVAC,44.0499992370605,42.6599998474121,42.6599998474121,41.0499992370605,46.1800003051758,111800,2017-06-12
14929859,PVAC,42.5900001525879,41.9199981689453,41.9199981689453,41.1300010681152,43.029998779296896,58600,2017-06-13
14929871,PVAC,42.0,42.209999084472706,42.209999084472706,40.7599983215332,43.58000183105471,48700,2017-06-14
14929881,PVAC,40.5149993896484,39.0900001525879,39.0900001525879,38.8499984741211,42.189998626709,76700,2017-06-15
14929892,PVAC,39.0999984741211,39.029998779296896,39.029998779296896,38.6399993896484,40.2519989013672,214000,2017-06-16
14929902,PVAC,40.7999992370605,38.7599983215332,38.7599983215332,38.1199989318848,40.7999992370605,61300,2017-06-19
14929912,PVAC,38.0499992370605,38.2000007629395,38.2000007629395,37.959999084472706,39.0,40300,2017-06-20
14929922,PVAC,37.7000007629395,37.1399993896484,37.1399993896484,36.5,38.0,48500,2017-06-21
14929932,PVAC,37.3400001525879,32.6100006103516,32.6100006103516,32.5999984741211,38.040000915527294,200100,2017-06-22
14929943,PVAC,32.5999984741211,33.0,33.0,31.0,33.1500015258789,1972900,2017-06-23
14929955,PVAC,32.7099990844727,36.1100006103516,36.1100006103516,32.7099990844727,37.02000045776371,98400,2017-06-26
14929965,PVAC,35.8899993896484,35.8600006103516,35.8600006103516,33.6450004577637,36.790000915527294,78600,2017-06-27
14929982,PVAC,36.1199989318848,35.970001220703104,35.970001220703104,35.310001373291,38.2599983215332,59100,2017-06-28
14930032,PVAC,38.4900016784668,37.6100006103516,37.6100006103516,35.819999694824205,38.6100006103516,85400,2017-06-29
14930045,PVAC,37.4199981689453,36.75,36.75,35.220001220703104,38.3499984741211,61700,2017-06-30
