,ticker,open,close,Adj Close,low,high,volume,Date
367773,QD,34.3499984741211,29.1800003051758,29.1800003051758,29.1800003051758,35.4500007629395,33472500,2017-10-18
367789,QD,29.010000228881804,34.9000015258789,34.9000015258789,28.4860000610352,34.9099998474121,15689000,2017-10-19
367791,QD,34.7700004577637,33.0,33.0,32.0999984741211,34.7999992370605,9158600,2017-10-20
367807,QD,31.8899993896484,26.5900001525879,26.5900001525879,26.2999992370605,31.8899993896484,13718300,2017-10-23
367809,QD,26.6200008392334,28.4500007629395,28.4500007629395,26.5,29.5799999237061,10416400,2017-10-24
367825,QD,28.739999771118196,26.3899993896484,26.3899993896484,26.0,28.989999771118196,5833300,2017-10-25
367827,QD,26.6599998474121,22.7999992370605,22.7999992370605,22.719999313354503,26.6599998474121,10094400,2017-10-26
367853,QD,23.899999618530302,23.2700004577637,23.2700004577637,23.190000534057603,25.7999992370605,5194900,2017-10-27
367855,QD,22.7999992370605,22.190000534057603,22.190000534057603,22.100000381469698,23.940000534057603,3065900,2017-10-30
367856,QD,22.649999618530302,24.899999618530302,24.899999618530302,21.899999618530302,25.0,5176000,2017-10-31
367857,QD,25.899999618530302,27.0499992370605,27.0499992370605,25.760000228881804,28.149999618530302,7396100,2017-11-01
367879,QD,25.489999771118196,25.2700004577637,25.2700004577637,25.030000686645497,26.7900009155273,3003000,2017-11-02
367881,QD,25.489999771118196,25.0200004577637,25.0200004577637,25.0,26.399999618530302,1677200,2017-11-03
367897,QD,25.899999618530302,27.100000381469698,27.100000381469698,25.600000381469698,27.5,2946600,2017-11-06
367899,QD,27.4500007629395,27.5200004577637,27.5200004577637,27.2999992370605,28.0,2282600,2017-11-07
367915,QD,27.5,26.010000228881804,26.010000228881804,25.739999771118196,27.5900001525879,2821300,2017-11-08
367917,QD,25.9599990844727,25.469999313354503,25.469999313354503,24.559999465942397,26.100000381469698,3242600,2017-11-09
367933,QD,26.469999313354503,27.510000228881804,27.510000228881804,26.010000228881804,27.600000381469698,3158900,2017-11-10
367935,QD,28.75,27.2299995422363,27.2299995422363,26.5,29.2999992370605,8123800,2017-11-13
367951,QD,27.2900009155273,25.1599998474121,25.1599998474121,25.1100006103516,27.9200000762939,3461600,2017-11-14
367953,QD,24.9200000762939,24.9799995422363,24.9799995422363,24.7999992370605,26.1189994812012,3306100,2017-11-15
367954,QD,25.4799995422363,23.309999465942397,23.309999465942397,23.0,25.809999465942397,5561500,2017-11-16
367970,QD,23.6299991607666,21.2000007629395,21.2000007629395,21.1499996185303,23.6299991607666,7230800,2017-11-17
367972,QD,21.159999847412102,20.0799999237061,20.0799999237061,19.659999847412102,21.4699993133545,9550800,2017-11-20
367973,QD,16.9899997711182,19.3099994659424,19.3099994659424,16.0,19.4200000762939,31515000,2017-11-21
367989,QD,19.0799999237061,16.1499996185303,16.1499996185303,16.1000003814697,19.1100006103516,17509900,2017-11-22
367991,QD,14.4099998474121,12.220000267028801,12.220000267028801,12.029999732971199,14.539999961853,24410300,2017-11-24
368007,QD,12.9899997711182,13.5100002288818,13.5100002288818,12.9899997711182,14.779999732971199,18313900,2017-11-27
368009,QD,14.1999998092651,13.7600002288818,13.7600002288818,13.3999996185303,14.6000003814697,7936500,2017-11-28
368025,QD,14.279999732971199,14.119999885559098,14.119999885559098,13.039999961853,14.470000267028801,7472000,2017-11-29
368027,QD,14.3400001525879,13.6000003814697,13.6000003814697,13.6000003814697,14.720000267028801,4915100,2017-11-30
368043,QD,13.039999961853,13.779999732971199,13.779999732971199,12.8999996185303,14.720000267028801,12390200,2017-12-01
368045,QD,14.229999542236301,12.4499998092651,12.4499998092651,12.1999998092651,14.5900001525879,8635200,2017-12-04
368061,QD,12.8500003814697,11.8500003814697,11.8500003814697,11.5,12.859999656677198,9553600,2017-12-05
368063,QD,11.640000343322802,11.4899997711182,11.4899997711182,11.3299999237061,12.380000114440902,7133800,2017-12-06
368079,QD,11.5,11.8299999237061,11.8299999237061,11.479999542236301,11.970000267028801,2877800,2017-12-07
368081,QD,12.109999656677198,13.6499996185303,13.6499996185303,12.0600004196167,13.8500003814697,10434500,2017-12-08
368097,QD,13.529999732971199,14.0500001907349,14.0500001907349,13.529999732971199,14.8000001907349,7407700,2017-12-11
368099,QD,14.270000457763699,13.1899995803833,13.1899995803833,13.0,14.869999885559098,6356600,2017-12-12
368115,QD,13.3100004196167,13.979999542236301,13.979999542236301,13.289999961853,14.6000003814697,6570800,2017-12-13
368117,QD,14.0100002288818,12.729999542236301,12.729999542236301,12.5600004196167,14.0100002288818,6158300,2017-12-14
368134,QD,13.140000343322802,12.9300003051758,12.9300003051758,12.75,13.3999996185303,2463100,2017-12-15
368136,QD,13.119999885559098,13.270000457763699,13.270000457763699,13.0600004196167,13.619999885559098,2007800,2017-12-18
368152,QD,13.270000457763699,12.859999656677198,12.859999656677198,12.729999542236301,13.6000003814697,3336700,2017-12-19
368154,QD,12.9200000762939,12.4399995803833,12.4399995803833,11.979999542236301,13.0500001907349,3632900,2017-12-20
368171,QD,12.4200000762939,12.539999961853,12.539999961853,12.177000045776401,12.8000001907349,2152400,2017-12-21
368173,QD,12.6700000762939,13.0699996948242,13.0699996948242,12.5,13.1700000762939,2699900,2017-12-22
368189,QD,13.0,12.3500003814697,12.3500003814697,12.3000001907349,13.244999885559098,3142000,2017-12-26
368191,QD,12.3000001907349,12.4399995803833,12.4399995803833,12.3000001907349,12.6000003814697,1139700,2017-12-27
368207,QD,12.5799999237061,12.4099998474121,12.4099998474121,12.25,12.6499996185303,1678900,2017-12-28
368209,QD,12.3299999237061,12.539999961853,12.539999961853,12.3299999237061,12.8500003814697,1621900,2017-12-29
368225,QD,12.6599998474121,12.5799999237061,12.5799999237061,12.3999996185303,12.9499998092651,3094500,2018-01-02
368227,QD,12.5600004196167,12.5,12.5,12.25,12.609999656677198,2248700,2018-01-03
368243,QD,12.270000457763699,12.0500001907349,12.0500001907349,12.0,12.442999839782699,2997600,2018-01-04
368245,QD,12.0500001907349,13.0,13.0,12.0500001907349,13.3000001907349,4922400,2018-01-05
368261,QD,13.020000457763699,12.8299999237061,12.8299999237061,12.5500001907349,13.020000457763699,2957500,2018-01-08
368263,QD,13.0100002288818,12.270000457763699,12.270000457763699,12.25,13.0100002288818,4078600,2018-01-09
368279,QD,12.220000267028801,11.979999542236301,11.979999542236301,11.979999542236301,12.3999996185303,4868500,2018-01-10
368281,QD,11.8000001907349,12.1800003051758,12.1800003051758,11.8000001907349,12.4399995803833,3911700,2018-01-11
368297,QD,12.1999998092651,12.0,12.0,11.960000038147,12.3000001907349,1926700,2018-01-12
368299,QD,12.4300003051758,12.3100004196167,12.3100004196167,12.1599998474121,12.5699996948242,4931700,2018-01-16
368315,QD,12.3299999237061,12.1899995803833,12.1899995803833,12.020000457763699,12.5100002288818,2189800,2018-01-17
368317,QD,12.3000001907349,12.3500003814697,12.3500003814697,12.1499996185303,12.470000267028801,1598400,2018-01-18
