,ticker,open,close,Adj Close,low,high,volume,Date
10224261,RESN,10.0,9.10000038146973,9.10000038146973,8.5,11.539999961853,478900,2014-05-29
10224271,RESN,9.5,8.38000011444092,8.38000011444092,7.5,9.5,60500,2014-05-30
10224281,RESN,9.170000076293949,7.949999809265139,7.949999809265139,7.5110001564025906,9.170000076293949,37300,2014-06-02
10224291,RESN,7.619999885559079,7.599999904632571,7.599999904632571,7.550000190734861,8.199999809265138,60800,2014-06-03
10224299,RESN,7.5100002288818395,7.889999866485599,7.889999866485599,7.5100002288818395,7.97100019454956,31600,2014-06-04
10224309,RESN,7.900000095367429,8.199999809265138,8.199999809265138,7.900000095367429,8.300000190734862,22800,2014-06-05
10224317,RESN,8.13000011444092,8.14000034332275,8.14000034332275,7.76999998092651,8.42099952697754,22800,2014-06-06
10224327,RESN,8.02000045776367,7.92999982833862,7.92999982833862,7.76999998092651,8.07999992370605,10800,2014-06-09
10224335,RESN,7.639999866485599,7.7399997711181605,7.7399997711181605,7.599999904632571,7.949999809265139,17400,2014-06-10
10224336,RESN,7.639999866485599,7.82999992370605,7.82999992370605,7.599999904632571,7.92000007629395,36600,2014-06-11
10224346,RESN,7.67000007629395,7.75,7.75,7.65999984741211,8.06700038909912,23100,2014-06-12
10224354,RESN,7.65999984741211,7.639999866485599,7.639999866485599,7.5100002288818395,7.699999809265139,21000,2014-06-13
10224365,RESN,7.550000190734861,7.59000015258789,7.59000015258789,7.5100002288818395,7.619999885559079,13400,2014-06-16
10224373,RESN,7.59000015258789,7.25,7.25,7.25,7.599999904632571,36500,2014-06-17
10224383,RESN,7.380000114440921,7.300000190734861,7.300000190734861,7.2600002288818395,7.380000114440921,13900,2014-06-18
10224391,RESN,7.30999994277954,7.42000007629395,7.42000007629395,7.26999998092651,7.800000190734861,12100,2014-06-19
10224401,RESN,7.300000190734861,7.499000072479251,7.499000072479251,7.300000190734861,7.5,6700,2014-06-20
10224409,RESN,7.349999904632571,7.630000114440921,7.630000114440921,7.349999904632571,7.699999809265139,27000,2014-06-23
10224419,RESN,7.800000190734861,7.800000190734861,7.800000190734861,7.610000133514401,7.800000190734861,13500,2014-06-24
10224427,RESN,7.800000190734861,8.0,8.0,7.5100002288818395,8.11999988555908,46600,2014-06-25
10224437,RESN,8.10000038146973,8.550000190734862,8.550000190734862,7.69000005722046,8.80000019073486,58500,2014-06-26
10224445,RESN,8.560000419616701,8.28999996185303,8.28999996185303,8.14999961853027,8.60999965667725,19700,2014-06-27
10224576,RESN,8.25,7.71999979019165,7.71999979019165,7.67999982833862,8.449999809265138,12200,2014-06-30
10224584,RESN,7.92000007629395,7.150000095367429,7.150000095367429,6.699999809265139,7.94000005722046,106300,2014-07-01
10224599,RESN,7.300000190734861,7.139999866485599,7.139999866485599,7.0,7.3579998016357395,5300,2014-07-02
10224607,RESN,7.03999996185303,7.199999809265139,7.199999809265139,7.01999998092651,7.28999996185303,8900,2014-07-03
10224619,RESN,7.230999946594241,7.42999982833862,7.42999982833862,7.199999809265139,7.550000190734861,13900,2014-07-07
10224627,RESN,7.18499994277954,7.25,7.25,7.17999982833862,7.599999904632571,8500,2014-07-08
10224628,RESN,7.21999979019165,7.150000095367429,7.150000095367429,7.03999996185303,7.349999904632571,16700,2014-07-09
10224641,RESN,7.2600002288818395,7.050000190734861,7.050000190734861,7.01999998092651,7.2600002288818395,35200,2014-07-10
10224649,RESN,7.050000190734861,7.199999809265139,7.199999809265139,7.050000190734861,7.46000003814697,3000,2014-07-11
10224661,RESN,7.30999994277954,7.139999866485599,7.139999866485599,7.050000190734861,7.337999820709231,10900,2014-07-14
10224669,RESN,7.05999994277954,6.610000133514401,6.610000133514401,6.610000133514401,7.139999866485599,19800,2014-07-15
10224681,RESN,6.699999809265139,6.51999998092651,6.51999998092651,6.5,6.84000015258789,17500,2014-07-16
10224689,RESN,6.51999998092651,6.2600002288818395,6.2600002288818395,6.25,6.619999885559079,28800,2014-07-17
10224702,RESN,6.5,6.5,6.5,6.369999885559079,6.699999809265139,5200,2014-07-18
10224710,RESN,6.26999998092651,6.650000095367429,6.650000095367429,6.26999998092651,7.0,5800,2014-07-21
10224722,RESN,6.76999998092651,6.650000095367429,6.650000095367429,6.610000133514401,6.76999998092651,22500,2014-07-22
10224730,RESN,6.90999984741211,7.07000017166138,7.07000017166138,6.71000003814697,7.07000017166138,39900,2014-07-23
10224743,RESN,7.05999994277954,7.0100002288818395,7.0100002288818395,6.90999984741211,7.07000017166138,12200,2014-07-24
10224751,RESN,7.0100002288818395,7.0100002288818395,7.0100002288818395,7.0100002288818395,7.03000020980835,1700,2014-07-25
10224764,RESN,7.300000190734861,7.099999904632571,7.099999904632571,7.099999904632571,7.300000190734861,500,2014-07-28
10224772,RESN,6.65999984741211,6.900000095367429,6.900000095367429,6.65999984741211,7.03000020980835,22900,2014-07-29
10224791,RESN,6.82000017166138,6.4899997711181605,6.4899997711181605,6.4439997673034695,6.849999904632571,14000,2014-07-31
10224803,RESN,6.5,6.7600002288818395,6.7600002288818395,6.5,6.9899997711181605,6300,2014-08-01
10224811,RESN,6.90999984741211,6.900000095367429,6.900000095367429,6.900000095367429,6.90999984741211,500,2014-08-04
10224823,RESN,6.9899997711181605,6.94000005722046,6.94000005722046,6.94000005722046,6.9899997711181605,900,2014-08-05
10224831,RESN,6.92999982833862,6.7399997711181605,6.7399997711181605,6.46000003814697,7.09499979019165,4300,2014-08-06
10224843,RESN,6.94000005722046,6.949999809265139,6.949999809265139,6.94000005722046,6.949999809265139,800,2014-08-07
10224851,RESN,6.949999809265139,7.869999885559079,7.869999885559079,6.949999809265139,7.869999885559079,30500,2014-08-08
10224863,RESN,7.300000190734861,7.23000001907349,7.23000001907349,7.23000001907349,7.5,38200,2014-08-11
10224871,RESN,7.23000001907349,6.96000003814697,6.96000003814697,6.82000017166138,7.7399997711181605,13500,2014-08-12
10224883,RESN,6.90899991989136,6.90999984741211,6.90999984741211,6.84000015258789,7.1350002288818395,23400,2014-08-13
10224891,RESN,7.050000190734861,6.800000190734861,6.800000190734861,6.800000190734861,7.050000190734861,33700,2014-08-14
10224903,RESN,7.0,7.0,7.0,6.800000190734861,7.199999809265139,37700,2014-08-15
10224911,RESN,7.46999979019165,7.65999984741211,7.65999984741211,7.03000020980835,7.949999809265139,62000,2014-08-18
10224923,RESN,8.199999809265138,7.699999809265139,7.699999809265139,7.5,8.199999809265138,72600,2014-08-19
10224931,RESN,7.71000003814697,8.14000034332275,8.14000034332275,7.55999994277954,8.14000034332275,52300,2014-08-20
10224943,RESN,8.14999961853027,8.11999988555908,8.11999988555908,7.75,8.199999809265138,60100,2014-08-21
10224951,RESN,8.01000022888184,8.06999969482422,8.06999969482422,8.00100040435791,8.21000003814697,7800,2014-08-22
10224963,RESN,8.23999977111816,7.949999809265139,7.949999809265139,7.92999982833862,8.23999977111816,7600,2014-08-25
