,ticker,open,close,Adj Close,low,high,volume,Date
4883400,RNGR,10.0600004196167,10.0600004196167,10.0600004196167,10.039999961853,10.0699996948242,17600,2017-08-07
4883419,RNGR,10.0699996948242,10.053999900817901,10.053999900817901,10.0500001907349,10.0699996948242,21300,2017-08-08
4883444,RNGR,14.0,14.220000267028801,14.220000267028801,13.5,14.5,2093200,2017-08-11
4883461,RNGR,14.1999998092651,14.0,14.0,13.960000038147,14.1999998092651,66000,2017-08-14
4883465,RNGR,13.8999996185303,14.0,14.0,13.75,14.0500001907349,135500,2017-08-15
4883483,RNGR,14.0,14.0100002288818,14.0100002288818,13.8999996185303,14.1000003814697,64700,2017-08-16
4883487,RNGR,14.1000003814697,13.75,13.75,13.75,14.1000003814697,18400,2017-08-17
4883506,RNGR,14.0,14.1499996185303,14.1499996185303,13.9499998092651,14.880000114440902,159400,2017-08-18
4883510,RNGR,14.5,13.9899997711182,13.9899997711182,13.880000114440902,14.5,109100,2017-08-21
4883528,RNGR,13.9499998092651,14.0500001907349,14.0500001907349,13.8000001907349,14.289999961853,68600,2017-08-22
4883532,RNGR,14.0,14.0,14.0,13.8400001525879,14.130000114440902,130400,2017-08-23
4883550,RNGR,14.020000457763699,14.0,14.0,13.9650001525879,14.0649995803833,42500,2017-08-24
4883554,RNGR,13.9899997711182,14.0,14.0,13.960000038147,14.0,38600,2017-08-25
4883571,RNGR,13.9099998474121,14.0500001907349,14.0500001907349,13.8400001525879,14.1499996185303,35400,2017-08-28
4883575,RNGR,13.8999996185303,13.979999542236301,13.979999542236301,13.8400001525879,14.1499996185303,38700,2017-08-29
4883593,RNGR,13.991999626159698,14.1999998092651,14.1999998092651,13.9899997711182,14.25,38000,2017-08-30
4883597,RNGR,14.109999656677198,14.1999998092651,14.1999998092651,13.8500003814697,14.25,167800,2017-08-31
4883615,RNGR,14.1999998092651,14.9200000762939,14.9200000762939,14.0600004196167,15.1700000762939,58600,2017-09-01
4883619,RNGR,14.770000457763699,14.5699996948242,14.5699996948242,14.1499996185303,14.770000457763699,78200,2017-09-05
4883637,RNGR,14.630000114440902,14.529999732971199,14.529999732971199,14.3299999237061,14.6499996185303,82800,2017-09-06
4883641,RNGR,14.5249996185303,14.369999885559098,14.369999885559098,14.0,14.5500001907349,126200,2017-09-07
4883658,RNGR,14.3400001525879,14.5500001907349,14.5500001907349,14.0,14.6999998092651,106100,2017-09-08
4883662,RNGR,14.4499998092651,13.9300003051758,13.9300003051758,13.8400001525879,14.5500001907349,81200,2017-09-11
4883680,RNGR,14.0,14.1999998092651,14.1999998092651,13.960000038147,14.3000001907349,116300,2017-09-12
4883684,RNGR,14.1499996185303,14.359999656677198,14.359999656677198,13.9200000762939,14.539999961853,150100,2017-09-13
4883701,RNGR,14.3999996185303,15.5,15.5,14.2559995651245,15.6999998092651,80500,2017-09-14
