,ticker,open,close,Adj Close,low,high,volume,Date
1355142,RTEC,6.889999866485599,7.099999904632571,7.099999904632571,6.869999885559079,7.30999994277954,214700,2010-01-04
1355148,RTEC,7.099999904632571,7.0,7.0,6.949999809265139,7.199999809265139,116800,2010-01-05
1355184,RTEC,7.0,6.900000095367429,6.900000095367429,6.849999904632571,7.139999866485599,160100,2010-01-06
1355190,RTEC,6.90999984741211,6.869999885559079,6.869999885559079,6.73000001907349,7.07999992370605,113900,2010-01-07
1355263,RTEC,6.860000133514401,7.199999809265139,7.199999809265139,6.849999904632571,7.21999979019165,329200,2010-01-08
1355269,RTEC,7.26999998092651,7.21999979019165,7.21999979019165,7.130000114440921,7.44000005722046,98000,2010-01-11
1355327,RTEC,7.099999904632571,6.96000003814697,6.96000003814697,6.84000015258789,7.150000095367429,57400,2010-01-12
1355334,RTEC,6.9899997711181605,7.21000003814697,7.21000003814697,6.800000190734861,7.32999992370605,93800,2010-01-13
1355354,RTEC,7.199999809265139,7.9899997711181605,7.9899997711181605,7.150000095367429,8.06999969482422,404700,2010-01-14
1355363,RTEC,8.02000045776367,7.67999982833862,7.67999982833862,7.5,8.02000045776367,248000,2010-01-15
1355633,RTEC,7.69000005722046,7.880000114440921,7.880000114440921,7.65999984741211,7.9899997711181605,92300,2010-01-19
1355641,RTEC,7.800000190734861,7.389999866485599,7.389999866485599,7.300000190734861,7.900000095367429,181700,2010-01-20
1355665,RTEC,7.389999866485599,7.40999984741211,7.40999984741211,7.389999866485599,7.610000133514401,287000,2010-01-21
1355673,RTEC,7.360000133514401,6.82999992370605,6.82999992370605,6.75,7.389999866485599,180500,2010-01-22
1355693,RTEC,6.92000007629395,6.619999885559079,6.619999885559079,6.57999992370605,6.949999809265139,151600,2010-01-25
1355694,RTEC,6.619999885559079,6.5,6.5,6.360000133514401,6.82999992370605,196500,2010-01-26
1355702,RTEC,6.42999982833862,6.610000133514401,6.610000133514401,6.42999982833862,7.050000190734861,223800,2010-01-27
