,ticker,open,close,Adj Close,low,high,volume,Date
7750868,SCKT,3.10999989509583,3.04999995231628,3.04999995231628,3.0,3.1500000953674303,6900,2010-01-04
7750883,SCKT,3.02999997138977,3.1500000953674303,3.1500000953674303,2.8499999046325697,3.1500000953674303,3400,2010-01-05
7750889,SCKT,3.1300001144409197,3.10999989509583,3.10999989509583,2.92000007629395,3.1500000953674303,1900,2010-01-06
7750905,SCKT,3.0999999046325697,3.0199999809265097,3.0199999809265097,3.00999999046326,3.1500000953674303,2800,2010-01-07
7750911,SCKT,3.0399999618530296,3.04999995231628,3.04999995231628,3.0399999618530296,3.04999995231628,300,2010-01-08
7750927,SCKT,3.0199999809265097,2.8099999427795397,2.8099999427795397,2.8099999427795397,3.0199999809265097,5600,2010-01-11
7750933,SCKT,2.8099999427795397,2.77999997138977,2.77999997138977,2.75,2.8099999427795397,3800,2010-01-12
7750949,SCKT,2.82999992370605,2.8699998855590803,2.8699998855590803,2.72000002861023,2.8699998855590803,300,2010-01-13
7750955,SCKT,2.79999995231628,2.85999989509583,2.85999989509583,2.7100000381469704,2.85999989509583,4800,2010-01-14
7750971,SCKT,2.5699999332428,2.99000000953674,2.99000000953674,2.5699999332428,3.04999995231628,5100,2010-01-15
7750977,SCKT,2.9600000381469704,2.9600000381469704,2.9600000381469704,2.9600000381469704,2.9600000381469704,600,2010-01-19
7750993,SCKT,3.0999999046325697,3.0,3.0,2.8800001144409197,3.0999999046325697,1000,2010-01-20
7750999,SCKT,3.17000007629395,3.17000007629395,3.17000007629395,2.99000000953674,3.17000007629395,2500,2010-01-21
7751016,SCKT,3.0599999427795397,3.0999999046325697,3.0999999046325697,2.9800000190734903,3.16000008583069,4100,2010-01-22
7751022,SCKT,2.9600000381469704,2.9400000572204603,2.9400000572204603,2.9400000572204603,2.97000002861023,1600,2010-01-25
7751040,SCKT,2.7300000190734903,2.91000008583069,2.91000008583069,2.7300000190734903,3.0,3800,2010-01-26
7751046,SCKT,2.64000010490417,2.7100000381469704,2.7100000381469704,2.64000010490417,2.79999995231628,6000,2010-01-27
7751063,SCKT,2.72000002861023,2.57999992370605,2.57999992370605,2.5,2.72000002861023,3800,2010-01-28
7751069,SCKT,2.57999992370605,2.5699999332428,2.5699999332428,2.52999997138977,2.57999992370605,1000,2010-01-29
7751085,SCKT,2.55999994277954,2.63000011444092,2.63000011444092,2.55999994277954,2.63000011444092,400,2010-02-01
7751091,SCKT,2.60999989509583,2.57999992370605,2.57999992370605,2.50999999046326,2.61999988555908,2500,2010-02-02
7751106,SCKT,2.5999999046325697,2.5999999046325697,2.5999999046325697,2.5999999046325697,2.5999999046325697,500,2010-02-03
7751112,SCKT,2.64000010490417,2.77999997138977,2.77999997138977,2.64000010490417,2.77999997138977,4000,2010-02-04
7751127,SCKT,2.79999995231628,3.02999997138977,3.02999997138977,2.79999995231628,3.10999989509583,12200,2010-02-05
7751133,SCKT,3.10999989509583,3.25,3.25,3.0999999046325697,3.25,12500,2010-02-08
7751149,SCKT,3.20000004768372,3.0999999046325697,3.0999999046325697,3.0399999618530296,3.20000004768372,1500,2010-02-09
7751155,SCKT,3.1500000953674303,3.1500000953674303,3.1500000953674303,3.1500000953674303,3.1500000953674303,3000,2010-02-10
7751171,SCKT,3.20000004768372,3.20000004768372,3.20000004768372,3.20000004768372,3.20000004768372,100,2010-02-11
7751192,SCKT,3.02999997138977,3.0399999618530296,3.0399999618530296,2.9800000190734903,3.0399999618530296,900,2010-02-16
7751198,SCKT,3.0,2.97000002861023,2.97000002861023,2.97000002861023,3.0,500,2010-02-17
7751214,SCKT,2.92000007629395,2.99000000953674,2.99000000953674,2.91000008583069,2.99000000953674,500,2010-02-18
7751220,SCKT,2.7300000190734903,2.9400000572204603,2.9400000572204603,2.7300000190734903,2.99000000953674,500,2010-02-19
7751236,SCKT,2.9000000953674303,2.9300000667572004,2.9300000667572004,2.8699998855590803,3.0,500,2010-02-22
7751242,SCKT,2.8699998855590803,2.9800000190734903,2.9800000190734903,2.8499999046325697,2.9800000190734903,800,2010-02-23
7751258,SCKT,2.8099999427795397,2.8800001144409197,2.8800001144409197,2.67000007629395,2.9000000953674303,2600,2010-02-24
7751264,SCKT,2.9000000953674303,2.89000010490417,2.89000010490417,2.89000010490417,2.92000007629395,3600,2010-02-25
7751280,SCKT,2.75999999046326,2.99000000953674,2.99000000953674,2.75,2.99000000953674,2300,2010-02-26
7751286,SCKT,3.00999999046326,3.17000007629395,3.17000007629395,2.9000000953674303,3.17000007629395,10200,2010-03-01
7751302,SCKT,3.10999989509583,2.99000000953674,2.99000000953674,2.9000000953674303,3.10999989509583,800,2010-03-02
7751308,SCKT,2.92000007629395,2.7899999618530296,2.7899999618530296,2.7899999618530296,2.9400000572204603,4000,2010-03-03
7751324,SCKT,2.75,2.83999991416931,2.83999991416931,2.5999999046325697,2.91000008583069,8600,2010-03-04
7751325,SCKT,2.89000010490417,2.83999991416931,2.83999991416931,2.83999991416931,2.9800000190734903,4000,2010-03-05
7751331,SCKT,2.75,2.70000004768372,2.70000004768372,2.70000004768372,2.75,4000,2010-03-08
7751347,SCKT,2.6500000953674303,2.64000010490417,2.64000010490417,2.63000011444092,2.6900000572204603,700,2010-03-09
7751353,SCKT,2.6500000953674303,2.89000010490417,2.89000010490417,2.6500000953674303,2.89000010490417,9900,2010-03-10
7751369,SCKT,2.7100000381469704,2.9600000381469704,2.9600000381469704,2.7100000381469704,2.9600000381469704,600,2010-03-11
7751375,SCKT,2.92000007629395,2.9400000572204603,2.9400000572204603,2.70000004768372,2.9400000572204603,3200,2010-03-12
7751390,SCKT,2.74000000953674,2.85999989509583,2.85999989509583,2.74000000953674,2.9300000667572004,1300,2010-03-15
7751396,SCKT,2.9300000667572004,2.89000010490417,2.89000010490417,2.89000010490417,2.9300000667572004,1300,2010-03-16
7751412,SCKT,2.8499999046325697,2.83999991416931,2.83999991416931,2.57999992370605,2.8499999046325697,7100,2010-03-17
7751418,SCKT,2.79999995231628,2.8099999427795397,2.8099999427795397,2.61999988555908,2.8099999427795397,7400,2010-03-18
7751434,SCKT,2.79999995231628,2.75,2.75,2.75,2.79999995231628,2600,2010-03-19
7751440,SCKT,2.74000000953674,2.75,2.75,2.74000000953674,2.75,1000,2010-03-22
7751456,SCKT,2.66000008583069,2.79999995231628,2.79999995231628,2.61999988555908,2.79999995231628,14800,2010-03-23
7751462,SCKT,2.8099999427795397,2.77999997138977,2.77999997138977,2.64000010490417,2.8099999427795397,3500,2010-03-24
7751477,SCKT,2.6900000572204603,2.7899999618530296,2.7899999618530296,2.6800000667572,2.7899999618530296,1500,2010-03-25
7751478,SCKT,2.70000004768372,2.74000000953674,2.74000000953674,2.70000004768372,2.74000000953674,1500,2010-03-26
7751484,SCKT,2.6500000953674303,2.6500000953674303,2.6500000953674303,2.6500000953674303,2.6500000953674303,2000,2010-03-29
7751499,SCKT,2.7899999618530296,3.25,3.25,2.7899999618530296,5.44000005722046,809300,2010-03-30
7751505,SCKT,3.1900000572204603,3.4400000572204603,3.4400000572204603,2.9800000190734903,3.4400000572204603,76500,2010-03-31
7751521,SCKT,3.4000000953674303,3.3199999332427996,3.3199999332427996,3.20000004768372,3.4000000953674303,16400,2010-04-01
7751527,SCKT,3.2100000381469704,3.2100000381469704,3.2100000381469704,3.0699999332427996,3.29999995231628,12600,2010-04-05
7751542,SCKT,3.22000002861023,3.0399999618530296,3.0399999618530296,2.92000007629395,3.22000002861023,22400,2010-04-06
7751548,SCKT,3.10999989509583,3.07999992370605,3.07999992370605,2.99000000953674,3.14000010490417,15700,2010-04-07
7751564,SCKT,3.0,3.08999991416931,3.08999991416931,3.0,3.08999991416931,7700,2010-04-08
7751570,SCKT,3.0199999809265097,3.0199999809265097,3.0199999809265097,3.0199999809265097,3.0199999809265097,200,2010-04-09
7751586,SCKT,3.00999999046326,3.1300001144409197,3.1300001144409197,3.00999999046326,3.1300001144409197,900,2010-04-12
7751592,SCKT,3.02999997138977,3.04999995231628,3.04999995231628,2.8099999427795397,3.07999992370605,13300,2010-04-13
7751608,SCKT,3.0,3.00999999046326,3.00999999046326,3.0,3.1800000667572004,4500,2010-04-14
7751614,SCKT,3.0,3.0599999427795397,3.0599999427795397,2.9000000953674303,3.0599999427795397,2700,2010-04-15
7751630,SCKT,3.1300001144409197,3.1300001144409197,3.1300001144409197,3.1199998855590803,3.1300001144409197,300,2010-04-16
7751636,SCKT,3.1800000667572004,3.07999992370605,3.07999992370605,3.00999999046326,3.1800000667572004,2300,2010-04-19
7751652,SCKT,2.97000002861023,3.14000010490417,3.14000010490417,2.9600000381469704,3.14000010490417,10900,2010-04-20
7751658,SCKT,3.00999999046326,3.04999995231628,3.04999995231628,3.00999999046326,3.04999995231628,1400,2010-04-21
7751674,SCKT,3.0199999809265097,3.0399999618530296,3.0399999618530296,2.95000004768372,3.0399999618530296,6500,2010-04-22
