,ticker,open,close,Adj Close,low,high,volume,Date
10119574,SCL,32.875,33.560001373291,28.477706909179698,32.875,33.689998626709,125400,2010-01-04
10119584,SCL,33.419998168945305,33.0149993896484,28.0152378082275,32.544998168945305,33.419998168945305,150000,2010-01-05
10119595,SCL,32.9150009155273,32.5349998474121,27.6079216003418,32.3499984741211,33.240001678466804,82200,2010-01-06
10119605,SCL,32.6049995422363,32.884998321533196,27.9049243927002,31.4599990844727,33.060001373291,84600,2010-01-07
10119615,SCL,32.6800003051758,32.4749984741211,27.557010650634798,32.3349990844727,33.1399993896484,75800,2010-01-08
10119625,SCL,32.7299995422363,32.6749992370605,27.7267246246338,32.3050003051758,32.8250007629395,42200,2010-01-11
10119635,SCL,32.3600006103516,32.3699989318848,27.4679164886475,32.080001831054695,32.759998321533196,52800,2010-01-12
10119646,SCL,32.259998321533196,33.779998779296896,28.664381027221697,31.9300003051758,33.8349990844727,112400,2010-01-13
10119656,SCL,33.779998779296896,33.4449996948242,28.3801193237305,33.2649993896484,33.779998779296896,159600,2010-01-14
10119666,SCL,33.544998168945305,33.330001831054695,28.2825355529785,32.9599990844727,33.544998168945305,70800,2010-01-15
10119676,SCL,33.5,33.439998626709,28.3758697509766,33.080001831054695,33.5,56600,2010-01-19
10119685,SCL,33.310001373291,32.75,27.790359497070302,32.4799995422363,33.310001373291,71000,2010-01-20
10119695,SCL,32.685001373291,32.5149993896484,27.590951919555696,32.5149993896484,33.1399993896484,80000,2010-01-21
10119705,SCL,32.375,31.309999465942397,26.5684452056885,31.125,32.4000015258789,62800,2010-01-22
10119715,SCL,31.655000686645497,31.6450004577637,26.852706909179698,31.4300003051758,31.8700008392334,56600,2010-01-25
10119725,SCL,31.4549999237061,31.4200000762939,26.6617813110352,31.350000381469698,31.8250007629395,95200,2010-01-26
10119735,SCL,31.1800003051758,30.684999465942397,26.038082122802702,30.239999771118196,31.225000381469698,99200,2010-01-27
10119745,SCL,30.625,29.6650009155273,25.172550201416,29.030000686645497,30.625,137200,2010-01-28
10119753,SCL,29.850000381469698,29.239999771118196,24.8119163513184,29.149999618530302,30.184999465942397,125400,2010-01-29
10119762,SCL,29.434999465942397,29.1299991607666,24.7185764312744,28.7099990844727,29.625,86200,2010-02-01
10119772,SCL,29.149999618530302,28.524999618530302,24.205196380615202,28.1100006103516,29.149999618530302,149200,2010-02-02
10119781,SCL,28.4200000762939,28.4500007629395,24.141555786132802,28.4200000762939,28.635000228881804,174600,2010-02-03
