,ticker,open,close,Adj Close,low,high,volume,Date
10878591,SLS,2748.0,2460.0,2460.0,2400.0,2772.0,300,2010-01-04
10878615,SLS,2460.0,2304.0,2304.0,2250.0,2460.0,400,2010-01-05
10878617,SLS,2310.0,2232.0,2232.0,2088.0,2310.0,500,2010-01-06
10878643,SLS,2232.0,2520.0,2520.0,2196.0,2562.0,200,2010-01-07
10878645,SLS,2550.0,2580.0,2580.0,2532.0,2670.0,200,2010-01-08
10878666,SLS,2556.0,2694.0,2694.0,2436.0,2730.0,200,2010-01-11
10878668,SLS,2688.0,2940.0,2940.0,2628.0,2982.0,900,2010-01-12
10878688,SLS,3018.0,3210.0,3210.0,2934.0,3390.0,1500,2010-01-13
10878690,SLS,3258.0,3396.0,3396.0,3084.0,3480.0,700,2010-01-14
10878711,SLS,3426.0,3330.0,3330.0,3210.0,3480.0,500,2010-01-15
10878713,SLS,3330.0,3090.0,3090.0,3030.0,3330.0,300,2010-01-19
10878734,SLS,3144.0,3402.0,3402.0,3018.0,3468.0,200,2010-01-20
10878736,SLS,3420.0,3294.0,3294.0,3186.0,3420.0,200,2010-01-21
10878756,SLS,3360.0,3096.0,3096.0,3096.0,3360.0,100,2010-01-22
10878758,SLS,3198.0,3006.0,3006.0,2880.0,3198.0,300,2010-01-25
10878778,SLS,3054.0,3072.0,3072.0,2880.0,3180.0,200,2010-01-26
10878780,SLS,3042.0,3006.0,3006.0,3000.0,3150.0,100,2010-01-27
10878800,SLS,3054.0,3000.0,3000.0,2976.0,3054.0,100,2010-01-28
10878802,SLS,3000.0,3198.0,3198.0,3000.0,3264.0,300,2010-01-29
10878822,SLS,3228.0,3060.0,3060.0,3048.0,3258.0,100,2010-02-01
10878824,SLS,3060.0,3126.0,3126.0,3060.0,3162.0,100,2010-02-02
10878844,SLS,3156.0,3180.0,3180.0,3096.0,3216.0,100,2010-02-03
10878846,SLS,3180.0,3210.0,3210.0,3108.0,3234.0,100,2010-02-04
10878866,SLS,3186.0,3168.0,3168.0,3096.0,3246.0,100,2010-02-05
10878887,SLS,3192.0,3210.0,3210.0,3102.0,3210.0,100,2010-02-09
10878889,SLS,3180.0,3120.0,3120.0,3066.0,3192.0,100,2010-02-10
10878909,SLS,3126.0,3054.0,3054.0,3036.0,3132.0,100,2010-02-11
10878911,SLS,3006.0,3180.0,3180.0,3006.0,3180.0,100,2010-02-12
10878930,SLS,3150.0,3132.0,3132.0,3078.0,3228.0,100,2010-02-16
10878932,SLS,3210.0,3132.0,3132.0,3012.0,3210.0,300,2010-02-17
10878951,SLS,3126.0,3078.0,3078.0,3072.0,3138.0,100,2010-02-18
10878953,SLS,3090.0,3120.0,3120.0,3030.0,3222.0,100,2010-02-19
10878973,SLS,3102.0,3132.0,3132.0,3012.0,3180.0,100,2010-02-22
10878975,SLS,3102.0,3258.0,3258.0,3090.0,3330.0,300,2010-02-23
10878995,SLS,3240.0,3216.0,3216.0,3156.0,3384.0,200,2010-02-24
10879017,SLS,3078.0,3108.0,3108.0,3048.0,3204.0,100,2010-03-01
10879083,SLS,3156.0,3132.0,3132.0,3090.0,3234.0,100,2010-03-08
10879103,SLS,3126.0,3276.0,3276.0,3126.0,3348.0,100,2010-03-10
10879105,SLS,3234.0,3798.0,3798.0,3114.0,3822.0,1300,2010-03-11
10879123,SLS,3798.0,3588.0,3588.0,3510.0,4104.0,700,2010-03-12
10879125,SLS,3600.0,3954.0,3954.0,3384.0,3978.0,500,2010-03-15
10879143,SLS,3936.0,3924.0,3924.0,3810.0,3990.0,400,2010-03-16
10879145,SLS,3990.0,4164.0,4164.0,3972.0,4200.0,1100,2010-03-17
10879164,SLS,4200.0,4104.0,4104.0,3990.0,4218.0,800,2010-03-18
