,ticker,open,close,Adj Close,low,high,volume,Date
14971542,SPI,12.0,16.531000137329098,16.531000137329098,12.0,17.479999542236303,6500,2016-01-20
14971544,SPI,16.5,16.370000839233402,16.370000839233402,13.5,17.2900009155273,7200,2016-01-21
14971545,SPI,16.3999996185303,15.7399997711182,15.7399997711182,15.3409996032715,16.75,8600,2016-01-22
14971567,SPI,11.3400001525879,14.0600004196167,14.0600004196167,11.3400001525879,14.6599998474121,2600,2016-01-25
14971569,SPI,14.3009996414185,14.1499996185303,14.1499996185303,14.1000003814697,14.3009996414185,2000,2016-01-26
14971588,SPI,13.572999954223599,13.572999954223599,13.572999954223599,13.572999954223599,13.572999954223599,300,2016-01-27
14971590,SPI,13.9899997711182,14.0,14.0,13.9899997711182,14.0,600,2016-01-28
14971608,SPI,13.8999996185303,13.8999996185303,13.8999996185303,13.8999996185303,13.8999996185303,300,2016-01-29
14971610,SPI,13.25,12.3999996185303,12.3999996185303,12.270000457763699,13.9899997711182,16800,2016-02-01
14971627,SPI,12.6999998092651,11.8299999237061,11.8299999237061,10.4700002670288,12.6999998092651,4600,2016-02-02
14971629,SPI,10.75,8.0,8.0,7.800000190734861,10.75,19600,2016-02-03
14971646,SPI,8.0,6.275000095367429,6.275000095367429,5.650000095367429,8.0,40800,2016-02-04
14971648,SPI,6.2600002288818395,7.28000020980835,7.28000020980835,6.2399997711181605,7.400000095367429,28100,2016-02-05
14971665,SPI,8.28999996185303,7.860000133514401,7.860000133514401,7.05999994277954,8.28999996185303,8000,2016-02-08
14971667,SPI,8.02400016784668,8.00399971008301,8.00399971008301,8.0019998550415,8.14999961853027,3900,2016-02-09
14971685,SPI,8.0,7.900000095367429,7.900000095367429,7.900000095367429,8.01000022888184,1600,2016-02-10
14971687,SPI,7.94000005722046,6.949999809265139,6.949999809265139,6.949999809265139,7.94000005722046,6400,2016-02-11
14971704,SPI,6.25,6.849999904632571,6.849999904632571,6.25,6.849999904632571,1500,2016-02-12
14971706,SPI,7.42999982833862,7.64099979400635,7.64099979400635,7.42999982833862,8.28999996185303,3300,2016-02-16
14971724,SPI,8.23999977111816,7.869999885559079,7.869999885559079,7.84000015258789,8.300000190734862,5000,2016-02-17
14971726,SPI,8.300000190734862,8.310000419616701,8.310000419616701,8.300000190734862,8.52999973297119,4700,2016-02-18
14971744,SPI,8.80000019073486,8.37199974060059,8.37199974060059,8.25500011444092,8.80000019073486,2500,2016-02-19
14971746,SPI,8.36999988555908,8.86400032043457,8.86400032043457,8.36999988555908,8.89999961853027,9500,2016-02-22
14971764,SPI,8.85999965667725,8.85000038146973,8.85000038146973,8.699999809265138,8.91600036621094,2200,2016-02-23
14971766,SPI,8.10700035095215,8.89999961853027,8.89999961853027,8.02999973297119,8.89999961853027,16200,2016-02-24
14971785,SPI,8.31999969482422,8.62199974060059,8.62199974060059,8.14000034332275,8.89999961853027,17500,2016-02-25
14971787,SPI,8.94999980926514,8.96300029754639,8.96300029754639,8.94999980926514,8.97900009155273,1700,2016-02-26
14971805,SPI,8.89000034332275,8.88000011444092,8.88000011444092,8.38300037384033,8.89999961853027,7000,2016-02-29
14971807,SPI,8.21000003814697,8.01000022888184,8.01000022888184,8.01000022888184,8.409999847412111,1200,2016-03-01
14971823,SPI,8.10400009155273,8.328000068664549,8.328000068664549,8.060000419616701,8.42000007629395,5300,2016-03-02
14971825,SPI,8.26000022888184,8.060000419616701,8.060000419616701,8.060000419616701,8.300000190734862,2400,2016-03-03
14971843,SPI,8.18000030517578,8.18000030517578,8.18000030517578,8.18000030517578,8.18000030517578,600,2016-03-04
14971845,SPI,8.199999809265138,7.89499998092651,7.89499998092651,7.699999809265139,8.199999809265138,1600,2016-03-07
14971862,SPI,7.9210000038147,7.9899997711181605,7.9899997711181605,7.9210000038147,7.9899997711181605,1300,2016-03-08
14971864,SPI,7.699999809265139,7.80800008773804,7.80800008773804,7.30999994277954,7.860000133514401,5900,2016-03-09
14971882,SPI,7.699999809265139,7.51999998092651,7.51999998092651,7.449999809265139,7.73000001907349,2700,2016-03-10
14971884,SPI,7.650000095367429,7.17700004577637,7.17700004577637,7.07999992370605,7.75,12700,2016-03-11
14971902,SPI,7.05999994277954,6.770999908447269,6.770999908447269,6.65999984741211,7.26800012588501,19100,2016-03-14
14971904,SPI,6.2399997711181605,6.300000190734861,6.300000190734861,6.2399997711181605,6.71000003814697,2600,2016-03-15
14971921,SPI,6.51800012588501,6.52199983596802,6.52199983596802,6.30999994277954,6.599999904632571,2400,2016-03-16
14971923,SPI,6.55999994277954,6.199999809265139,6.199999809265139,6.0,6.55999994277954,10400,2016-03-17
14971940,SPI,6.76999998092651,6.28999996185303,6.28999996185303,6.28000020980835,6.78000020980835,2600,2016-03-18
14971942,SPI,6.300000190734861,6.349999904632571,6.349999904632571,6.0,6.349999904632571,11400,2016-03-21
14971959,SPI,6.400000095367429,6.199999809265139,6.199999809265139,6.199999809265139,7.0,8600,2016-03-22
14971961,SPI,6.0,6.111999988555911,6.111999988555911,6.0,6.37900018692017,1200,2016-03-23
