,ticker,open,close,Adj Close,low,high,volume,Date
3959407,SPNS,1.4800000190734899,1.4800000190734899,1.34221124649048,1.4800000190734899,1.4900000095367398,5500,2010-01-04
3959428,SPNS,1.46000003814697,1.4800000190734899,1.34221124649048,1.46000003814697,1.4800000190734899,400,2010-01-05
3959430,SPNS,1.5,1.4800000190734899,1.34221124649048,1.4800000190734899,1.5,6100,2010-01-06
3959454,SPNS,1.5599999427795401,1.4099999666213998,1.27872824668884,1.4099999666213998,1.5599999427795401,900,2010-01-07
3959456,SPNS,1.4099999666213998,1.36000001430511,1.23338317871094,1.33000004291534,1.4099999666213998,9400,2010-01-08
3959475,SPNS,1.36000001430511,1.36000001430511,1.23338317871094,1.36000001430511,1.37000000476837,3000,2010-01-11
3959477,SPNS,1.37000000476837,1.4800000190734899,1.34221124649048,1.37000000476837,1.5199999809265101,3700,2010-01-12
3959495,SPNS,1.39999997615814,1.39999997615814,1.26965916156769,1.39999997615814,1.39999997615814,600,2010-01-13
3959497,SPNS,1.4700000286102302,1.46000003814697,1.32407307624817,1.42999994754791,1.4700000286102302,2000,2010-01-14
3959515,SPNS,1.46000003814697,1.4700000286102302,1.33314216136932,1.46000003814697,1.4700000286102302,10200,2010-01-19
3959533,SPNS,1.45000004768372,1.45000004768372,1.3150041103363,1.45000004768372,1.45000004768372,800,2010-01-20
3959535,SPNS,1.45000004768372,1.4800000190734899,1.34221124649048,1.4400000572204599,1.4900000095367398,29300,2010-01-21
3959552,SPNS,1.46000003814697,1.37999999523163,1.25152122974396,1.37999999523163,1.46000003814697,9900,2010-01-22
3959554,SPNS,1.46000003814697,1.46000003814697,1.32407307624817,1.46000003814697,1.46000003814697,500,2010-01-25
3959671,SPNS,1.41999995708466,1.42999994754791,1.2968661785125701,1.41999995708466,1.42999994754791,4300,2010-01-26
3959673,SPNS,1.4400000572204599,1.4400000572204599,1.30593526363373,1.4400000572204599,1.4400000572204599,1000,2010-01-27
3959730,SPNS,1.39999997615814,1.39999997615814,1.26965916156769,1.39999997615814,1.39999997615814,4000,2010-02-02
3959747,SPNS,1.39999997615814,1.39999997615814,1.26965916156769,1.39999997615814,1.39999997615814,400,2010-02-03
3959749,SPNS,1.37999999523163,1.37999999523163,1.25152122974396,1.37999999523163,1.37999999523163,400,2010-02-04
3959767,SPNS,1.37000000476837,1.37999999523163,1.25152122974396,1.37000000476837,1.37999999523163,2200,2010-02-05
3959769,SPNS,1.45000004768372,1.42999994754791,1.2968661785125701,1.37999999523163,1.46000003814697,18500,2010-02-08
3959787,SPNS,1.45000004768372,1.38999998569489,1.26059031486511,1.36000001430511,1.45000004768372,11900,2010-02-09
3959789,SPNS,1.38999998569489,1.46000003814697,1.32407307624817,1.38999998569489,1.4700000286102302,5600,2010-02-10
3959807,SPNS,1.46000003814697,1.4099999666213998,1.27872824668884,1.39999997615814,1.46000003814697,12700,2010-02-11
3959826,SPNS,1.41999995708466,1.5,1.3603491783142099,1.4099999666213998,1.5,1400,2010-02-16
3959828,SPNS,1.45000004768372,1.4900000095367398,1.35128009319305,1.4099999666213998,1.5,22500,2010-02-17
3959846,SPNS,1.41999995708466,1.5,1.3603491783142099,1.39999997615814,1.5299999713897698,86500,2010-02-18
3959848,SPNS,1.46000003814697,1.5,1.3603491783142099,1.46000003814697,1.5,12200,2010-02-19
3959865,SPNS,1.57000005245209,1.57000005245209,1.4238320589065598,1.57000005245209,1.57000005245209,1000,2010-02-22
3959867,SPNS,1.5199999809265101,1.4800000190734899,1.34221124649048,1.4800000190734899,1.5199999809265101,1600,2010-02-23
3959885,SPNS,1.41999995708466,1.5199999809265101,1.3784871101379401,1.41999995708466,1.5199999809265101,21500,2010-02-24
3959887,SPNS,1.4400000572204599,1.5199999809265101,1.3784871101379401,1.4400000572204599,1.5199999809265101,900,2010-02-25
3959906,SPNS,1.4400000572204599,1.5099999904632602,1.36941814422607,1.4400000572204599,1.5099999904632602,8400,2010-02-26
3959908,SPNS,1.5,1.5,1.3603491783142099,1.5,1.5,2000,2010-03-01
3959926,SPNS,1.4800000190734899,1.4800000190734899,1.34221124649048,1.4800000190734899,1.4800000190734899,500,2010-03-02
3959928,SPNS,1.57000005245209,1.5299999713897698,1.3875560760498,1.5299999713897698,1.57000005245209,5000,2010-03-03
3959944,SPNS,1.5099999904632602,1.57000005245209,1.4238320589065598,1.5099999904632602,1.57000005245209,2900,2010-03-04
3959946,SPNS,1.5199999809265101,1.63999998569489,1.48731505870819,1.5199999809265101,1.63999998569489,1200,2010-03-05
3959964,SPNS,1.60000002384186,1.60000002384186,1.45103919506073,1.60000002384186,1.60000002384186,100,2010-03-08
3959982,SPNS,1.61000001430511,1.82000005245209,1.65055692195892,1.61000001430511,1.8400000333786002,43100,2010-03-10
3959984,SPNS,1.79999995231628,1.83000004291534,1.6596260070800801,1.79999995231628,1.83000004291534,5900,2010-03-11
3960001,SPNS,1.87999999523163,2.09999990463257,1.9044885635376,1.87999999523163,2.09999990463257,21300,2010-03-12
3960003,SPNS,2.10999989509583,2.08999991416931,1.8954199552536002,2.04999995231628,2.2000000476837203,21200,2010-03-15
3960021,SPNS,2.0,1.9700000286102302,1.78659188747406,1.91999995708466,2.0,8400,2010-03-16
3960023,SPNS,2.11999988555908,2.0699999332428,1.8772819042205802,2.00999999046326,2.11999988555908,10900,2010-03-17
3960041,SPNS,2.0699999332428,2.15000009536743,1.9498336315155,2.0699999332428,2.19000005722046,13200,2010-03-18
3960043,SPNS,2.15000009536743,2.05999994277954,1.8682128190994298,2.01999998092651,2.19000005722046,7100,2010-03-19
3960060,SPNS,2.0,2.15000009536743,1.9498336315155,2.0,2.1800000667572,1200,2010-03-22
3960062,SPNS,2.01999998092651,2.15000009536743,1.9498336315155,2.01999998092651,2.19000005722046,17600,2010-03-23
3960080,SPNS,2.0699999332428,2.15000009536743,1.9498336315155,2.04999995231628,2.15000009536743,1100,2010-03-24
3960082,SPNS,2.09999990463257,2.15000009536743,1.9498336315155,2.02999997138977,2.15000009536743,2500,2010-03-25
3960100,SPNS,2.03999996185303,2.03999996185303,1.8500747680664098,2.03999996185303,2.13000011444092,4900,2010-03-29
3960118,SPNS,2.02999997138977,2.03999996185303,1.8500747680664098,2.02999997138977,2.09999990463257,1300,2010-03-30
3960120,SPNS,2.13000011444092,2.13000011444092,1.93169593811035,2.13000011444092,2.13000011444092,12000,2010-03-31
3960138,SPNS,2.02999997138977,2.03999996185303,1.8500747680664098,2.02999997138977,2.03999996185303,500,2010-04-01
3960140,SPNS,2.09999990463257,2.09999990463257,1.9044885635376,2.09999990463257,2.09999990463257,1200,2010-04-05
3960158,SPNS,2.03999996185303,2.13000011444092,1.93169593811035,2.0,2.14000010490417,3700,2010-04-06
3960160,SPNS,2.02999997138977,2.09999990463257,1.9044885635376,2.02999997138977,2.10999989509583,1600,2010-04-07
3960178,SPNS,2.08999991416931,2.04999995231628,1.8591438531875601,2.01999998092651,2.09999990463257,1000,2010-04-08
3960180,SPNS,2.09999990463257,2.09999990463257,1.9044885635376,2.09999990463257,2.09999990463257,200,2010-04-09
3960199,SPNS,2.00999999046326,2.09999990463257,1.9044885635376,1.9400000572204599,2.09999990463257,5100,2010-04-12
3960201,SPNS,2.03999996185303,2.14000010490417,1.9407649040222201,2.03999996185303,2.14000010490417,8000,2010-04-13
3960219,SPNS,2.14000010490417,2.14000010490417,1.9407649040222201,2.14000010490417,2.14000010490417,900,2010-04-14
3960221,SPNS,2.14000010490417,2.14000010490417,1.9407649040222201,2.14000010490417,2.14000010490417,1000,2010-04-15
3960240,SPNS,2.14000010490417,2.05999994277954,1.8682128190994298,2.05999994277954,2.14000010490417,500,2010-04-19
3960257,SPNS,2.14000010490417,2.14000010490417,1.9407649040222201,2.14000010490417,2.14000010490417,300,2010-04-20
3960259,SPNS,2.10999989509583,2.15000009536743,1.9498336315155,2.10999989509583,2.15000009536743,19800,2010-04-21
3960278,SPNS,2.1800000667572,2.19000005722046,1.98610961437225,2.1800000667572,2.19000005722046,2100,2010-04-22
3960296,SPNS,2.15000009536743,2.15000009536743,1.9498336315155,2.15000009536743,2.15000009536743,100,2010-04-26
3960298,SPNS,2.15000009536743,2.16000008583069,1.95890283584595,2.15000009536743,2.1800000667572,400,2010-04-27
3960316,SPNS,2.10999989509583,2.10999989509583,1.91355764865875,2.10999989509583,2.10999989509583,2800,2010-04-28
3960318,SPNS,2.2000000476837203,2.19000005722046,1.98610961437225,2.19000005722046,2.2000000476837203,3300,2010-04-29
3960335,SPNS,2.2100000381469704,2.19000005722046,1.98610961437225,2.19000005722046,2.2100000381469704,1200,2010-04-30
3960337,SPNS,2.2100000381469704,2.1800000667572,1.97704088687897,2.1800000667572,2.2100000381469704,1100,2010-05-03
3960355,SPNS,2.17000007629395,2.2000000476837203,1.9951790571212802,2.16000008583069,2.2000000476837203,3600,2010-05-04
3960357,SPNS,2.16000008583069,2.13000011444092,1.93169593811035,2.09999990463257,2.16000008583069,5400,2010-05-05
3960376,SPNS,2.11999988555908,1.9400000572204599,1.75938498973846,1.9099999666213998,2.15000009536743,7800,2010-05-06
