,ticker,open,close,Adj Close,low,high,volume,Date
707168,TNP,14.869999885559098,14.8299999237061,9.72424697875977,14.7600002288818,15.1800003051758,211600,2010-01-04
707169,TNP,14.9399995803833,15.3000001907349,10.032435417175302,14.9200000762939,15.3400001525879,226200,2010-01-05
707179,TNP,15.529999732971199,15.630000114440902,10.248819351196301,15.4099998474121,16.0900001525879,222700,2010-01-06
707189,TNP,15.859999656677198,15.710000038147,10.301276206970199,15.6000003814697,15.859999656677198,150300,2010-01-07
707201,TNP,15.8000001907349,16.5799999237061,10.871747016906701,15.6000003814697,16.5799999237061,341400,2010-01-08
707211,TNP,16.9200000762939,17.6299991607666,11.560245513916,16.9200000762939,17.6499996185303,671400,2010-01-11
707223,TNP,17.5,17.520000457763697,11.488119125366199,17.0100002288818,17.5499992370605,281500,2010-01-12
707234,TNP,17.659999847412102,17.6700000762939,11.5864772796631,17.4699993133545,17.9699993133545,289500,2010-01-13
707235,TNP,17.6499996185303,18.0400009155273,11.8290920257568,17.6499996185303,18.0499992370605,209800,2010-01-14
707247,TNP,17.9599990844727,17.9400005340576,11.7635183334351,17.5699996948242,18.1100006103516,293000,2010-01-15
707257,TNP,17.7900009155273,17.9899997711182,11.7963056564331,17.6900005340576,18.229999542236303,272400,2010-01-19
707267,TNP,17.9400005340576,17.979999542236303,11.7897472381592,17.520000457763697,18.0599994659424,209300,2010-01-20
707277,TNP,18.020000457763697,17.6499996185303,11.5733642578125,17.3299999237061,18.0400009155273,296300,2010-01-21
707289,TNP,17.5599994659424,17.5,11.475003242492699,17.0,17.75,380100,2010-01-22
707300,TNP,17.7099990844727,18.0599994659424,11.842206001281701,17.5499992370605,18.2099990844727,270600,2010-01-25
707301,TNP,18.1399993896484,17.8199996948242,11.684835433960002,17.6900005340576,18.340000152587898,223700,2010-01-26
707311,TNP,17.840000152587898,17.7099990844727,11.6127061843872,17.4200000762939,17.9599990844727,190800,2010-01-27
707321,TNP,17.659999847412102,16.270000457763697,10.668477058410598,16.2000007629395,17.659999847412102,715200,2010-01-28
707332,TNP,16.5900001525879,16.129999160766598,10.5766754150391,15.8000001907349,16.8299999237061,1512900,2010-01-29
707342,TNP,16.1499996185303,16.020000457763697,10.5045480728149,15.890000343322802,16.2399997711182,139500,2010-02-01
707354,TNP,16.0900001525879,16.4599990844727,10.793061256408699,15.960000038147,16.5,184000,2010-02-02
707364,TNP,16.4400005340576,16.270000457763697,10.668477058410598,16.1499996185303,16.5799999237061,130800,2010-02-03
707365,TNP,16.1000003814697,15.5799999237061,10.2160348892212,15.470000267028801,16.1000003814697,215100,2010-02-04
707376,TNP,15.470000267028801,15.210000038147,9.97341728210449,14.720000267028801,15.5,202500,2010-02-05
707386,TNP,15.1599998474121,15.130000114440902,9.92096042633057,14.960000038147,15.5699996948242,229300,2010-02-08
707398,TNP,15.3500003814697,15.289999961853,10.0258779525757,15.220000267028801,15.5699996948242,138800,2010-02-09
707409,TNP,15.289999961853,15.2600002288818,10.006205558776902,14.9899997711182,15.359999656677198,77100,2010-02-10
707421,TNP,15.2600002288818,15.4899997711182,10.157018661499,15.1000003814697,15.5500001907349,103700,2010-02-11
707432,TNP,15.5,15.3400001525879,10.058660507202099,15.029999732971199,15.5,110500,2010-02-12
707433,TNP,15.5,15.8199996948242,10.373404502868699,15.369999885559098,15.8400001525879,109300,2010-02-16
707444,TNP,15.8199996948242,15.470000267028801,10.1439046859741,15.4399995803833,15.8500003814697,121300,2010-02-17
707454,TNP,15.4099998474121,15.3299999237061,10.052104949951199,15.0100002288818,15.4099998474121,226300,2010-02-18
707465,TNP,15.3100004196167,15.390000343322802,10.091447830200199,15.1000003814697,15.4499998092651,192600,2010-02-19
707475,TNP,15.4399995803833,15.3299999237061,10.052104949951199,15.229999542236301,15.5500001907349,153500,2010-02-22
707476,TNP,15.380000114440902,14.8299999237061,9.72424697875977,14.7399997711182,15.3999996185303,203200,2010-02-23
707487,TNP,14.880000114440902,14.8299999237061,9.72424697875977,14.6999998092651,15.0100002288818,104200,2010-02-24
707497,TNP,14.640000343322802,14.9399995803833,9.7963752746582,14.5,14.979999542236301,131400,2010-02-25
707508,TNP,14.859999656677198,14.9099998474121,9.77670478820801,14.770000457763699,15.0699996948242,172200,2010-02-26
707518,TNP,15.0,14.960000038147,9.80949020385742,14.8500003814697,15.130000114440902,117100,2010-03-01
707519,TNP,15.140000343322802,14.8299999237061,9.72424697875977,14.7399997711182,15.140000343322802,133200,2010-03-02
707529,TNP,15.0,14.9300003051758,9.78981971740723,14.869999885559098,15.029999732971199,150900,2010-03-03
707539,TNP,15.0,15.220000267028801,9.9799747467041,14.9099998474121,15.2600002288818,116900,2010-03-04
707550,TNP,15.3999996185303,15.729999542236301,10.3143882751465,15.3000001907349,15.789999961853,209100,2010-03-05
707561,TNP,15.869999885559098,15.8000001907349,10.3602914810181,15.5699996948242,15.880000114440902,123100,2010-03-08
707573,TNP,15.6499996185303,15.6999998092651,10.2947187423706,15.619999885559098,15.7399997711182,85300,2010-03-09
