,ticker,open,close,Adj Close,low,high,volume,Date
8501953,VGI,20.0,19.9899997711182,10.0951557159424,19.8999996185303,20.0,812300,2012-02-24
8501970,VGI,20.0400009155273,20.0,10.1002035140991,19.9500007629395,20.0400009155273,86700,2012-02-27
8501974,VGI,20.0499992370605,20.020000457763697,10.1103048324585,19.9500007629395,20.0499992370605,46000,2012-02-28
8501991,VGI,19.9500007629395,20.0,10.1002035140991,19.9500007629395,20.0,43800,2012-02-29
8501992,VGI,19.9500007629395,20.0,10.1002035140991,19.9500007629395,20.0,37000,2012-03-01
8501996,VGI,20.0,19.9500007629395,10.074959754943801,19.9500007629395,20.0,7400,2012-03-02
8502015,VGI,19.9500007629395,20.0,10.1002035140991,19.9500007629395,20.0100002288818,34400,2012-03-05
8502019,VGI,19.9899997711182,20.0100002288818,10.105259895324698,19.9899997711182,20.0100002288818,11900,2012-03-06
8502036,VGI,19.9500007629395,20.0,10.1002035140991,19.9500007629395,20.0,6800,2012-03-07
8502037,VGI,20.0499992370605,20.0,10.1002035140991,19.979999542236303,20.0499992370605,1700,2012-03-08
8502041,VGI,19.979999542236303,20.0,10.1002035140991,19.9500007629395,20.0,11100,2012-03-09
8502056,VGI,20.0,20.0100002288818,10.105259895324698,20.0,20.0100002288818,3200,2012-03-12
8502057,VGI,20.0100002288818,20.0100002288818,10.105259895324698,20.0,20.0100002288818,5100,2012-03-13
8502061,VGI,20.0,20.0,10.1002035140991,20.0,20.0100002288818,7200,2012-03-14
8502078,VGI,20.0,20.0100002288818,10.105259895324698,20.0,20.0100002288818,6300,2012-03-15
8502082,VGI,20.0,20.0100002288818,10.105259895324698,20.0,20.0499992370605,6200,2012-03-16
8502098,VGI,20.0,20.0,10.1002035140991,20.0,20.0100002288818,4500,2012-03-19
8502099,VGI,20.0,20.0100002288818,10.105259895324698,20.0,20.0100002288818,7100,2012-03-20
8502103,VGI,20.0100002288818,20.020000457763697,10.1103048324585,20.0,20.0499992370605,7700,2012-03-21
8502120,VGI,20.0499992370605,20.0499992370605,10.125452995300302,20.0100002288818,20.1900005340576,16700,2012-03-22
8502124,VGI,20.0499992370605,20.0100002288818,10.105259895324698,20.0100002288818,20.1000003814697,5600,2012-03-23
8502141,VGI,20.0100002288818,20.020000457763697,10.1103048324585,20.0,20.0499992370605,7700,2012-03-26
8502145,VGI,20.020000457763697,20.0499992370605,10.125452995300302,20.020000457763697,20.0499992370605,4200,2012-03-27
8502161,VGI,20.090000152587898,20.0,10.1002035140991,20.0,20.090000152587898,56500,2012-03-28
8502165,VGI,20.0,20.0,10.1002035140991,19.9500007629395,20.0100002288818,89000,2012-03-29
8502181,VGI,20.0,20.0499992370605,10.125452995300302,20.0,20.0499992370605,55300,2012-03-30
8502185,VGI,20.0,20.0499992370605,10.125452995300302,20.0,20.0499992370605,39700,2012-04-02
8502201,VGI,20.25,20.0,10.1002035140991,19.9400005340576,20.25,152500,2012-04-03
8502205,VGI,19.9500007629395,19.9500007629395,10.074959754943801,19.9400005340576,20.0100002288818,87400,2012-04-04
8502222,VGI,20.0499992370605,19.9500007629395,10.074959754943801,19.9500007629395,20.0499992370605,46200,2012-04-05
8502226,VGI,19.8999996185303,19.229999542236303,9.71134853363037,19.0,19.8999996185303,77600,2012-04-09
8502241,VGI,19.3500003814697,19.2900009155273,9.74164772033691,19.25,19.5,22000,2012-04-10
8502245,VGI,19.4300003051758,19.2900009155273,9.74164772033691,19.1499996185303,19.4300003051758,12900,2012-04-11
8502265,VGI,19.2999992370605,19.2800006866455,9.73659992218018,19.1499996185303,19.4500007629395,15900,2012-04-12
8502269,VGI,19.3299999237061,19.3500003814697,9.83161544799805,19.1800003051758,19.7600002288818,6600,2012-04-13
8502287,VGI,19.5,19.0599994659424,9.684263229370119,18.909999847412102,19.8999996185303,29200,2012-04-16
8502291,VGI,19.7999992370605,18.5499992370605,9.42513656616211,18.2600002288818,19.7999992370605,84400,2012-04-17
8502308,VGI,18.6200008392334,18.75,9.52675724029541,18.25,18.75,44600,2012-04-18
8502312,VGI,18.8500003814697,19.1000003814697,9.70458889007568,18.8500003814697,19.1900005340576,12700,2012-04-19
8502330,VGI,18.9899997711182,18.8999996185303,9.60297107696533,18.7000007629395,19.0100002288818,25800,2012-04-20
8502334,VGI,18.75,18.4500007629395,9.37432765960693,18.25,18.8199996948242,29100,2012-04-23
8502351,VGI,18.0599994659424,18.5699996948242,9.43530178070068,18.0599994659424,18.8999996185303,58600,2012-04-24
8502355,VGI,18.6299991607666,18.4500007629395,9.37432765960693,18.2999992370605,18.7999992370605,50700,2012-04-25
8502371,VGI,18.4899997711182,18.2900009155273,9.293031692504881,18.2000007629395,18.4899997711182,28200,2012-04-26
8502375,VGI,18.3099994659424,18.520000457763697,9.40989875793457,18.3099994659424,18.6299991607666,17600,2012-04-27
8502391,VGI,18.340000152587898,18.659999847412102,9.481024742126461,18.340000152587898,18.840000152587898,40000,2012-04-30
8502395,VGI,18.75,18.7600002288818,9.53183746337891,18.5100002288818,18.7999992370605,30000,2012-05-01
8502412,VGI,18.7399997711182,18.75,9.52675724029541,18.5799999237061,19.0699996948242,25000,2012-05-02
8502416,VGI,18.8700008392334,19.0,9.65377902984619,18.75,19.1399993896484,31000,2012-05-03
8502435,VGI,19.1900005340576,19.1000003814697,9.70458889007568,18.8999996185303,19.2000007629395,21100,2012-05-04
8502439,VGI,18.9200000762939,19.0300006866455,9.66902256011963,18.8999996185303,19.2099990844727,15000,2012-05-07
8502456,VGI,19.1700000762939,19.0400009155273,9.67410659790039,18.8999996185303,19.1700000762939,9100,2012-05-08
8502460,VGI,19.0499992370605,18.8299999237061,9.62655830383301,18.6800003051758,19.0699996948242,5200,2012-05-09
8502477,VGI,19.020000457763697,18.7399997711182,9.58055019378662,18.6499996185303,19.1499996185303,13700,2012-05-10
8502481,VGI,18.6299991607666,18.7600002288818,9.59077453613281,18.6299991607666,18.9400005340576,10000,2012-05-11
8502499,VGI,18.6299991607666,19.1000003814697,9.7645902633667,18.3999996185303,19.1200008392334,41900,2012-05-14
8502503,VGI,18.770000457763697,18.479999542236303,9.447625160217289,18.3799991607666,18.979999542236303,27000,2012-05-15
8502519,VGI,18.2399997711182,18.6100006103516,9.51408672332764,18.2000007629395,18.6100006103516,17100,2012-05-16
8502523,VGI,18.3999996185303,18.25,9.33004570007324,18.25,18.5,44900,2012-05-17
8502540,VGI,18.1499996185303,18.0300006866455,9.21756744384766,17.8799991607666,18.229999542236303,28700,2012-05-18
8502544,VGI,17.8899993896484,17.8999996185303,9.1511116027832,17.8799991607666,18.1399993896484,24200,2012-05-21
8502560,VGI,18.1399993896484,17.729999542236303,9.06419658660889,17.729999542236303,18.270000457763697,28300,2012-05-22
8502564,VGI,17.6800003051758,17.7999992370605,9.09998416900635,17.1000003814697,17.9899997711182,96000,2012-05-23
8502579,VGI,17.979999542236303,17.6000003814697,8.9977388381958,17.5900001525879,17.979999542236303,33600,2012-05-24
8502583,VGI,17.659999847412102,17.5,8.94661617279053,17.4200000762939,17.770000457763697,38800,2012-05-25
8502584,VGI,17.8500003814697,17.6000003814697,8.9977388381958,17.5,17.8700008392334,57100,2012-05-29
8502585,VGI,17.7000007629395,17.6299991607666,9.0130729675293,17.3400001525879,17.7099990844727,37400,2012-05-30
8502586,VGI,17.6000003814697,17.6800003051758,9.03863906860352,17.4099998474121,17.6900005340576,20500,2012-05-31
8502587,VGI,17.5100002288818,17.6200008392334,9.00796318054199,17.5100002288818,17.6800003051758,30300,2012-06-01
8502604,VGI,17.75,17.2099990844727,8.79836273193359,17.0900001525879,17.75,33900,2012-06-04
8502608,VGI,17.1399993896484,17.1800003051758,8.78302097320557,17.0900001525879,17.3899993896484,11200,2012-06-05
8502626,VGI,17.1800003051758,17.1900005340576,8.78812980651855,17.1599998474121,17.3899993896484,33600,2012-06-06
8502630,VGI,17.129999160766598,17.1599998474121,8.83291625976562,17.0400009155273,17.270000457763697,32100,2012-06-07
8502646,VGI,17.3400001525879,17.3400001525879,8.92557048797607,17.2000007629395,17.3899993896484,17900,2012-06-08
8502650,VGI,17.2999992370605,17.3199996948242,8.91527271270752,17.1399993896484,17.3899993896484,42000,2012-06-11
8502667,VGI,17.5,17.5,9.00792407989502,17.1000003814697,17.5,39400,2012-06-12
8502671,VGI,17.3999996185303,17.4400005340576,8.97704029083252,17.2900009155273,17.5300006866455,22300,2012-06-13
8502689,VGI,17.5799999237061,17.229999542236303,8.86894798278809,17.1900005340576,17.5799999237061,48400,2012-06-14
8502693,VGI,17.4400005340576,17.3999996185303,8.95645141601562,17.2999992370605,17.5799999237061,17300,2012-06-15
8502711,VGI,17.5300006866455,17.5400009155273,9.02851581573486,17.3999996185303,17.5699996948242,41500,2012-06-18
8502715,VGI,17.5499992370605,17.7000007629395,9.11087036132812,17.5499992370605,17.9500007629395,31300,2012-06-19
8502732,VGI,17.8799991607666,18.1100006103516,9.321919441223141,17.8099994659424,18.270000457763697,26300,2012-06-20
8502736,VGI,18.1499996185303,17.6700000762939,9.09543228149414,17.6000003814697,18.2000007629395,56500,2012-06-21
8502752,VGI,17.6800003051758,17.7000007629395,9.11087036132812,17.6000003814697,17.8299999237061,41500,2012-06-22
8502756,VGI,17.7800006866455,17.6000003814697,9.05939769744873,17.4099998474121,17.7900009155273,86600,2012-06-25
8502773,VGI,17.7099990844727,17.5100002288818,9.01307106018066,17.2900009155273,17.7900009155273,81600,2012-06-26
8502777,VGI,17.6100006103516,17.9899997711182,9.260149002075199,17.5400009155273,17.9899997711182,40900,2012-06-27
8502798,VGI,17.7800006866455,17.9899997711182,9.260149002075199,17.6399993896484,18.0,24900,2012-06-28
8502802,VGI,17.9899997711182,18.020000457763697,9.275593757629391,17.6900005340576,18.1900005340576,37400,2012-06-29
8502819,VGI,17.9899997711182,18.3199996948242,9.43001174926758,17.9899997711182,18.409999847412102,15300,2012-07-02
8502823,VGI,18.229999542236303,18.2000007629395,9.368242263793949,18.2000007629395,18.2399997711182,1900,2012-07-03
8502838,VGI,18.2000007629395,18.2199993133545,9.3785400390625,18.2000007629395,18.3299999237061,14700,2012-07-05
8502842,VGI,18.3299999237061,18.229999542236303,9.38368511199951,18.2000007629395,18.5,15500,2012-07-06
8502860,VGI,18.3299999237061,18.3999996185303,9.47118759155273,18.2099990844727,18.5,5600,2012-07-09
8502864,VGI,18.1200008392334,18.2099990844727,9.43337249755859,18.0799999237061,18.3500003814697,7800,2012-07-10
8502881,VGI,18.2900009155273,18.090000152587898,9.37121200561523,18.090000152587898,18.5,2800,2012-07-11
8502885,VGI,18.1000003814697,18.3199996948242,9.49035549163818,18.1000003814697,18.3899993896484,15300,2012-07-12
8502903,VGI,18.409999847412102,18.4500007629395,9.55770111083984,18.2999992370605,18.5,18000,2012-07-13
8502907,VGI,18.25,18.2900009155273,9.47481441497803,18.25,18.6299991607666,17800,2012-07-16
8502924,VGI,18.3500003814697,18.4400005340576,9.55252552032471,18.2999992370605,18.6200008392334,3900,2012-07-17
8502928,VGI,18.3299999237061,18.6800003051758,9.67685317993164,18.2600002288818,18.6900005340576,24600,2012-07-18
8502944,VGI,18.8199996948242,18.5300006866455,9.59914588928223,18.3700008392334,19.0300006866455,18700,2012-07-19
8502948,VGI,18.729999542236303,18.4500007629395,9.55770111083984,18.3600006103516,18.9500007629395,26400,2012-07-20
8502964,VGI,18.2999992370605,18.270000457763697,9.46445941925049,18.1499996185303,18.4500007629395,15300,2012-07-23
8502968,VGI,18.3899993896484,18.3700008392334,9.516255378723141,18.2600002288818,18.5599994659424,33100,2012-07-24
8502985,VGI,18.5400009155273,18.2600002288818,9.45927429199219,18.1900005340576,18.5400009155273,28800,2012-07-25
8502989,VGI,18.270000457763697,18.25,9.45409774780273,18.2099990844727,18.3700008392334,18100,2012-07-26
8503007,VGI,18.3899993896484,18.2399997711182,9.4489164352417,18.1800003051758,18.5,13600,2012-07-27
8503012,VGI,18.3700008392334,18.3299999237061,9.49553680419922,18.2999992370605,18.4400005340576,6200,2012-07-30
8503030,VGI,18.2199993133545,18.3099994659424,9.4851770401001,18.2199993133545,18.4300003051758,17800,2012-07-31
8503035,VGI,18.25,18.3799991607666,9.52143859863281,18.25,18.5,19900,2012-08-01
8503055,VGI,18.5100002288818,18.4699993133545,9.5680627822876,18.409999847412102,18.6000003814697,48500,2012-08-02
8503060,VGI,18.6399993896484,18.4699993133545,9.5680627822876,18.270000457763697,18.7199993133545,27400,2012-08-03
8503079,VGI,18.6700000762939,18.6100006103516,9.64058971405029,18.6000003814697,18.7199993133545,18800,2012-08-06
8503084,VGI,18.6200008392334,18.7800006866455,9.72865390777588,18.6100006103516,18.7999992370605,30700,2012-08-07
