,ticker,open,close,Adj Close,low,high,volume,Date
6759354,VIVE,96.0,80.8000030517578,80.8000030517578,80.0,96.0,100,2010-06-28
6759404,VIVE,80.8000030517578,44.0,44.0,44.0,80.8000030517578,100,2010-07-06
6759745,VIVE,48.0,60.0,60.0,48.0,60.0,100,2010-08-26
6759864,VIVE,62.4000015258789,64.0,64.0,62.4000015258789,64.0,200,2010-09-14
6759892,VIVE,56.7999992370605,56.7999992370605,56.7999992370605,56.7999992370605,56.7999992370605,100,2010-09-17
6759931,VIVE,64.0,68.0,68.0,56.0,88.0,100,2010-09-23
6759970,VIVE,80.0,88.0,88.0,80.0,144.0,200,2010-09-29
6759990,VIVE,120.0,120.0,120.0,120.0,136.0,100,2010-10-01
6760011,VIVE,136.0,120.0,120.0,120.0,147.199996948242,100,2010-10-05
6760269,VIVE,64.0,96.0,96.0,64.0,96.0,100,2010-11-10
6760289,VIVE,72.0,96.0,96.0,72.0,100.0,100,2010-11-12
6760347,VIVE,80.0,80.0,80.0,68.0,88.0,100,2010-11-22
6760357,VIVE,80.0,80.0,80.0,56.7999992370605,80.0,100,2010-11-23
6760413,VIVE,64.8000030517578,65.59999847412111,65.59999847412111,64.8000030517578,65.59999847412111,100,2010-12-02
6760432,VIVE,56.7999992370605,64.0,64.0,56.7999992370605,65.59999847412111,100,2010-12-06
6760442,VIVE,64.0,56.0,56.0,56.0,64.0,100,2010-12-07
6760475,VIVE,56.0,65.59999847412111,65.59999847412111,56.0,65.59999847412111,400,2010-12-10
6760485,VIVE,48.0,56.0,56.0,48.0,64.0,100,2010-12-13
6760497,VIVE,56.0,52.0,52.0,52.0,56.0,100,2010-12-14
6760518,VIVE,48.7999992370605,54.4000015258789,54.4000015258789,48.7999992370605,56.0,100,2010-12-16
6760528,VIVE,54.4000015258789,52.0,52.0,52.0,56.0,100,2010-12-17
6760539,VIVE,49.5999984741211,72.0,72.0,48.7999992370605,72.0,200,2010-12-20
6760560,VIVE,52.0,52.0,52.0,48.7999992370605,72.0,100,2010-12-22
6760601,VIVE,48.7999992370605,49.5999984741211,49.5999984741211,48.7999992370605,49.5999984741211,100,2010-12-29
6760611,VIVE,49.5999984741211,52.7999992370605,52.7999992370605,49.5999984741211,52.7999992370605,100,2010-12-30
6760739,VIVE,60.0,48.0,48.0,48.0,71.1999969482422,100,2011-01-19
6760768,VIVE,56.0,56.0,56.0,56.0,56.0,100,2011-01-24
6760818,VIVE,49.5999984741211,64.0,64.0,48.0,64.0,100,2011-01-31
6760828,VIVE,64.0,52.7999992370605,52.7999992370605,52.0,71.1999969482422,200,2011-02-01
6760848,VIVE,72.0,88.0,88.0,53.5999984741211,88.0,100,2011-02-03
6760995,VIVE,80.0,96.0,96.0,60.7999992370605,96.0,100,2011-02-25
6761014,VIVE,92.0,92.0,92.0,92.0,92.0,100,2011-03-01
6761034,VIVE,104.0,96.0,96.0,96.0,120.0,100,2011-03-03
6761044,VIVE,96.0,120.0,120.0,96.0,120.0,100,2011-03-04
6761056,VIVE,88.0,100.0,100.0,88.0,112.0,100,2011-03-07
6761135,VIVE,97.5999984741211,97.5999984741211,97.5999984741211,97.5999984741211,97.5999984741211,100,2011-03-17
6761163,VIVE,100.0,100.0,100.0,100.0,100.0,100,2011-03-22
6761194,VIVE,100.0,136.0,136.0,100.0,136.0,100,2011-03-25
6761204,VIVE,136.0,124.0,124.0,100.0,136.0,100,2011-03-28
6761215,VIVE,116.0,112.0,112.0,112.0,136.0,100,2011-03-29
6761225,VIVE,120.0,136.0,136.0,100.800003051758,136.0,100,2011-03-30
6761246,VIVE,136.0,152.0,152.0,136.0,152.0,100,2011-04-01
6761258,VIVE,136.0,192.0,192.0,112.800003051758,192.0,100,2011-04-04
6761776,VIVE,104.0,96.0,96.0,96.0,104.0,100,2011-06-21
6761957,VIVE,88.0,88.0,88.0,88.0,100.0,100,2011-07-19
6762492,VIVE,92.0,112.0,112.0,92.0,112.0,100,2011-10-05
6762665,VIVE,144.0,144.800003051758,144.800003051758,144.0,160.0,100,2011-11-03
6762722,VIVE,144.0,128.0,128.0,112.800003051758,144.0,100,2011-11-11
6762732,VIVE,128.0,144.0,144.0,128.0,144.0,100,2011-11-14
6762941,VIVE,112.0,96.0,96.0,80.0,112.0,100,2011-12-15
6762972,VIVE,80.8000030517578,100.0,100.0,80.0,100.0,100,2011-12-20
6763044,VIVE,84.8000030517578,84.0,84.0,80.8000030517578,84.8000030517578,100,2011-12-30
6763085,VIVE,97.5999984741211,104.0,104.0,97.5999984741211,104.0,100,2012-01-09
6763116,VIVE,112.0,116.0,116.0,112.0,136.0,100,2012-01-13
6763211,VIVE,96.8000030517578,136.0,136.0,96.8000030517578,136.0,100,2012-01-30
6763223,VIVE,84.8000030517578,152.0,152.0,84.8000030517578,152.0,100,2012-01-31
6763376,VIVE,124.800003051758,200.0,200.0,124.800003051758,200.0,100,2012-02-23
6763404,VIVE,200.0,208.0,208.0,176.0,216.0,200,2012-02-28
6763414,VIVE,216.0,256.0,256.0,216.0,256.0,100,2012-02-29
6763442,VIVE,256.0,264.0,264.0,224.0,280.0,100,2012-03-05
6763504,VIVE,256.0,240.0,240.0,200.0,256.0,200,2012-03-13
6763523,VIVE,216.0,272.0,272.0,216.0,272.0,100,2012-03-15
6763544,VIVE,276.0,240.0,240.0,240.0,276.0,100,2012-03-19
6763593,VIVE,264.0,264.0,264.0,240.0,264.0,100,2012-03-26
6763691,VIVE,232.0,264.0,264.0,200.0,264.79998779296903,100,2012-04-04
