,ticker,open,close,Adj Close,low,high,volume,Date
14406380,VRX,14.020000457763699,14.6800003051758,13.8857574462891,14.020000457763699,14.6999998092651,1938500,2010-01-04
14406393,VRX,14.6899995803833,14.880000114440902,14.074936866760302,14.6800003051758,14.9499998092651,1121100,2010-01-05
14406401,VRX,14.890000343322802,14.970000267028801,14.1600666046143,14.859999656677198,15.039999961853,967500,2010-01-06
14406463,VRX,14.869999885559098,14.8000001907349,13.999264717102099,14.640000343322802,14.890000343322802,1279900,2010-01-07
14406471,VRX,14.75,14.9899997711182,14.178984642028801,14.5799999237061,15.0,2281300,2010-01-08
14406494,VRX,15.020000457763699,15.359999656677198,14.5289659500122,14.869999885559098,15.479999542236301,1915200,2010-01-11
14406502,VRX,15.2399997711182,15.229999542236301,14.405999183654801,15.140000343322802,15.359999656677198,1012800,2010-01-12
14406513,VRX,15.2399997711182,15.4300003051758,14.5951795578003,15.1599998474121,15.479999542236301,1790700,2010-01-13
14406521,VRX,15.380000114440902,16.0300006866455,15.162717819213901,15.279999732971199,16.1399993896484,2163800,2010-01-14
14406531,VRX,16.0300006866455,15.729999542236301,14.8789482116699,15.6999998092651,16.129999160766598,2219800,2010-01-15
14406539,VRX,15.6999998092651,15.640000343322802,14.7938175201416,15.5,15.9099998474121,1042600,2010-01-19
14406550,VRX,15.5900001525879,15.3299999237061,14.500589370727502,15.270000457763699,15.779999732971199,1369500,2010-01-20
14406558,VRX,15.3299999237061,14.880000114440902,14.074936866760302,14.8299999237061,15.369999885559098,1333900,2010-01-21
14406604,VRX,14.710000038147,14.6000003814697,13.8100852966309,14.5600004196167,14.9899997711182,1752100,2010-01-22
14406612,VRX,14.729999542236301,14.8999996185303,14.093852996826199,14.5500001907349,14.9300003051758,773800,2010-01-25
14406625,VRX,14.779999732971199,14.779999732971199,13.9803466796875,14.6800003051758,14.9899997711182,702800,2010-01-26
14406633,VRX,14.6899995803833,14.6000003814697,13.8100852966309,14.5500001907349,14.9499998092651,1019700,2010-01-27
14406645,VRX,14.6999998092651,14.289999961853,13.516857147216802,14.289999961853,14.710000038147,1043600,2010-01-28
14406653,VRX,14.3400001525879,14.520000457763699,13.734413146972699,14.25,14.6700000762939,1044600,2010-01-29
14406664,VRX,14.5799999237061,14.960000038147,14.1506080627441,14.460000038147,15.0,1142300,2010-02-01
14406672,VRX,14.9099998474121,14.979999542236301,14.169525146484402,14.789999961853,15.020000457763699,1278200,2010-02-02
14406682,VRX,14.890000343322802,14.479999542236301,13.6965770721436,14.270000457763699,14.970000267028801,2477300,2010-02-03
14406690,VRX,14.3000001907349,14.0,13.2425479888916,13.979999542236301,14.3000001907349,830200,2010-02-04
14406700,VRX,14.029999732971199,13.960000038147,13.2047119140625,13.640000343322802,14.0500001907349,1225000,2010-02-05
14406708,VRX,13.970000267028801,13.7399997711182,12.9966144561768,13.6800003051758,13.970000267028801,715400,2010-02-08
14406718,VRX,13.869999885559098,13.9399995803833,13.185792922973599,13.7399997711182,14.039999961853,752300,2010-02-09
14406726,VRX,13.9099998474121,14.229999542236301,13.460103034973098,13.770000457763699,14.279999732971199,1150400,2010-02-10
14406736,VRX,14.210000038147,14.4499998092651,13.668200492858901,14.1800003051758,14.4899997711182,669800,2010-02-11
14406744,VRX,14.270000457763699,14.4099998474121,13.630364418029801,14.25,14.5799999237061,875600,2010-02-12
14406753,VRX,14.5900001525879,14.7600002288818,13.961428642272901,14.5600004196167,14.8500003814697,593500,2010-02-16
14406761,VRX,14.7600002288818,14.9499998092651,14.1411485671997,14.729999542236301,15.1000003814697,834800,2010-02-17
14406771,VRX,15.020000457763699,14.9499998092651,14.1411485671997,14.880000114440902,15.029999732971199,786400,2010-02-18
14406780,VRX,14.9399995803833,14.970000267028801,14.1600666046143,14.8000001907349,15.0500001907349,912900,2010-02-19
14406790,VRX,14.9899997711182,14.8299999237061,14.0276412963867,14.630000114440902,15.020000457763699,1571400,2010-02-22
14406798,VRX,14.8400001525879,14.4499998092651,13.668200492858901,14.3999996185303,14.8400001525879,1334700,2010-02-23
14406808,VRX,14.4300003051758,14.5100002288818,13.724954605102502,14.390000343322802,14.6800003051758,1970500,2010-02-24
14406816,VRX,14.3400001525879,14.4300003051758,13.6492824554443,14.0699996948242,14.5699996948242,2378800,2010-02-25
14406827,VRX,14.5100002288818,14.8299999237061,14.0276412963867,14.4099998474121,15.130000114440902,2123800,2010-02-26
14406835,VRX,14.8199996948242,14.979999542236301,14.169525146484402,14.7600002288818,15.020000457763699,1210000,2010-03-01
14406836,VRX,15.0900001525879,15.0699996948242,14.2546558380127,14.979999542236301,15.2399997711182,1061300,2010-03-02
14406837,VRX,15.210000038147,15.5,14.661391258239698,15.039999961853,15.520000457763699,2075100,2010-03-03
14406838,VRX,15.5,15.4099998474121,14.661391258239698,15.289999961853,15.520000457763699,1383200,2010-03-04
14406847,VRX,15.390000343322802,15.3000001907349,14.556735038757301,15.25,15.5500001907349,1534700,2010-03-05
14406855,VRX,15.4099998474121,15.3000001907349,14.556735038757301,15.2399997711182,15.4899997711182,835400,2010-03-08
14406866,VRX,15.3100004196167,15.0900001525879,14.356937408447301,15.029999732971199,15.3100004196167,1381800,2010-03-09
14406874,VRX,15.0900001525879,15.479999542236301,14.727991104126,15.020000457763699,15.4899997711182,1136100,2010-03-10
14406884,VRX,15.3400001525879,15.6899995803833,14.927788734436,15.289999961853,15.6899995803833,1416700,2010-03-11
14406892,VRX,15.6899995803833,15.6000003814697,14.842161178588901,15.3299999237061,15.779999732971199,2890500,2010-03-12
14406928,VRX,15.5100002288818,15.6599998474121,14.8992471694946,15.4499998092651,15.720000267028801,1655600,2010-03-15
14406939,VRX,15.630000114440902,15.779999732971199,15.0134172439575,15.5500001907349,15.8299999237061,1432100,2010-03-16
14406990,VRX,15.779999732971199,15.9300003051758,15.156130790710401,15.720000267028801,15.9399995803833,832200,2010-03-17
14406999,VRX,15.8999996185303,15.8000001907349,15.032446861267099,15.5699996948242,15.9099998474121,8327900,2010-03-18
14407009,VRX,15.9099998474121,15.9099998474121,15.1371021270752,15.6899995803833,16.0100002288818,1718100,2010-03-19
14407019,VRX,15.970000267028801,16.0300006866455,15.2512731552124,15.6999998092651,16.1100006103516,1465100,2010-03-22
14407029,VRX,16.0699996948242,16.270000457763697,15.4796142578125,16.0,16.3400001525879,1016300,2010-03-23
14407039,VRX,16.2199993133545,16.3899993896484,15.5937824249268,16.1800003051758,16.4200000762939,1319000,2010-03-24
