,ticker,open,close,Adj Close,low,high,volume,Date
8414800,WLH,3.71250367164612,3.8775038719177206,3.8775038719177206,3.71250367164612,3.8775038719177206,34100,2013-01-18
8414810,WLH,4.62000465393066,4.62000465393066,4.62000465393066,4.62000465393066,4.62000465393066,1500,2013-01-22
8414822,WLH,7.01250696182251,7.590007781982419,7.590007781982419,7.01250696182251,7.590007781982419,4700,2013-01-23
8414832,WLH,8.332508087158201,11.550011634826697,11.550011634826697,8.332508087158201,11.550011634826697,24200,2013-01-24
8414844,WLH,9.90001010894775,14.767515182495101,14.767515182495101,9.90001010894775,14.8500146865845,8100,2013-01-25
8414854,WLH,14.767515182495101,13.6125135421753,13.6125135421753,13.2000131607056,14.8500146865845,22000,2013-01-28
8414866,WLH,14.025013923645,16.5000171661377,16.5000171661377,14.025013923645,16.5000171661377,43600,2013-01-29
8414876,WLH,16.5000171661377,16.087516784668,16.087516784668,15.3450155258179,16.5000171661377,27900,2013-01-30
8414888,WLH,15.6750154495239,14.8500146865845,14.8500146865845,14.8500146865845,16.087516784668,20900,2013-01-31
8414898,WLH,15.2625150680542,16.5000171661377,16.5000171661377,15.2625150680542,16.5000171661377,4200,2013-02-01
8414910,WLH,16.5000171661377,15.2625150680542,15.2625150680542,14.8500146865845,16.5000171661377,24200,2013-02-04
8414920,WLH,14.025013923645,16.417516708374,16.417516708374,13.2000131607056,16.417516708374,24900,2013-02-05
8414932,WLH,15.6750154495239,16.0050163269043,16.0050163269043,14.437514305114698,16.170015335083,1164400,2013-02-06
8414942,WLH,15.2625150680542,16.170015335083,16.170015335083,15.2625150680542,16.170015335083,4100,2013-02-07
8414954,WLH,14.932515144348098,14.932515144348098,14.932515144348098,14.932515144348098,14.932515144348098,4800,2013-02-08
8414963,WLH,15.0150146484375,14.932515144348098,14.932515144348098,14.932515144348098,15.2625150680542,5100,2013-02-11
8414975,WLH,14.8500146865845,14.8500146865845,14.8500146865845,14.8500146865845,14.8500146865845,9700,2013-02-12
8414985,WLH,14.8500146865845,14.437514305114698,14.437514305114698,14.025013923645,14.932515144348098,50200,2013-02-13
8415006,WLH,14.437514305114698,14.437514305114698,14.437514305114698,14.025013923645,14.6025142669678,36000,2013-02-15
8415018,WLH,14.025013923645,13.5300130844116,13.5300130844116,13.5300130844116,14.437514305114698,9100,2013-02-19
8415027,WLH,12.375012397766099,12.375012397766099,12.375012397766099,12.375012397766099,12.457512855529801,20700,2013-02-20
8415039,WLH,12.375012397766099,11.962512016296401,11.962512016296401,11.7975120544434,12.787512779235803,17300,2013-02-21
8415048,WLH,11.550011634826697,11.550011634826697,11.550011634826697,10.725010871887198,11.550011634826697,10500,2013-02-22
8415061,WLH,11.962512016296401,12.2100124359131,12.2100124359131,11.550011634826697,12.787512779235803,109400,2013-02-25
8415071,WLH,11.550011634826697,9.90001010894775,9.90001010894775,9.90001010894775,11.962512016296401,5200,2013-02-26
8415084,WLH,11.962512016296401,11.962512016296401,11.962512016296401,11.962512016296401,11.962512016296401,12400,2013-02-27
