,ticker,open,close,Adj Close,low,high,volume,Date
15972487,X,56.41999816894529,57.9099998474121,53.888248443603494,56.209999084472706,58.369998931884794,10339400,2010-01-04
15972493,X,58.0699996948242,57.83000183105471,53.813812255859396,57.2700004577637,58.4500007629395,9003200,2010-01-05
15972507,X,57.91999816894529,60.4000015258789,56.205318450927706,57.8499984741211,60.7999992370605,11831200,2010-01-06
15972513,X,60.2400016784668,60.9099998474121,56.679904937744105,58.869998931884794,61.0,12132800,2010-01-07
15972527,X,60.8400001525879,65.33999633789061,60.8022384643555,60.7599983215332,66.0800018310547,25997900,2010-01-08
15972533,X,66.1999969482422,62.9300003051758,58.559627532959006,62.7999992370605,66.4499969482422,19441300,2010-01-11
15972547,X,61.8400001525879,62.9300003051758,58.559627532959006,61.7999992370605,64.72000122070311,22930900,2010-01-12
15972553,X,63.7000007629395,63.16999816894529,58.7829475402832,61.41999816894529,63.9500007629395,13217000,2010-01-13
15972566,X,63.3199996948242,63.560001373290994,59.145877838134794,62.4500007629395,63.869998931884794,11051000,2010-01-14
15972572,X,63.2599983215332,62.040000915527294,57.731418609619105,61.619998931884794,63.630001068115206,12631800,2010-01-15
15972586,X,62.9099998474121,65.44000244140621,60.8952980041504,62.6500015258789,65.52999877929689,14130200,2010-01-19
15972592,X,64.01999664306639,63.2599983215332,58.86669921875,62.2400016784668,64.0800018310547,15164600,2010-01-20
15972606,X,63.290000915527294,57.66999816894529,53.664920806884794,57.6399993896484,63.8600006103516,26907300,2010-01-21
15972612,X,56.2999992370605,55.0,51.180335998535206,54.2999992370605,58.470001220703104,28085900,2010-01-22
15972626,X,56.7700004577637,56.2299995422363,52.324924468994105,55.0,57.4900016784668,16024500,2010-01-25
15972632,X,52.6599998474121,49.6100006103516,46.164676666259794,49.4799995422363,53.4000015258789,41417600,2010-01-26
15972646,X,48.75,46.5999984741211,43.3637008666992,45.0499992370605,49.0099983215332,48032200,2010-01-27
15972647,X,47.2700004577637,45.58000183105471,42.41455078125,45.2299995422363,47.6599998474121,27279900,2010-01-28
15972653,X,46.119998931884794,44.4300003051758,41.344413757324205,43.75,47.5,29901900,2010-01-29
15972667,X,45.16999816894529,47.3199996948242,44.0337066650391,45.08000183105471,47.369998931884794,19375000,2010-02-01
15972668,X,48.2000007629395,48.0499992370605,44.7130126953125,46.9000015258789,48.25,20656200,2010-02-02
15972674,X,47.290000915527294,46.8199996948242,43.568431854248,46.5999984741211,48.130001068115206,12703800,2010-02-03
15972688,X,45.709999084472706,44.0699996948242,41.0094223022461,44.0200004577637,45.8199996948242,20370300,2010-02-04
15972694,X,44.16999816894529,44.779998779296896,41.670108795166,42.319999694824205,44.83000183105471,28598300,2010-02-05
15972708,X,44.8199996948242,44.0900001525879,41.073883056640604,43.6399993896484,45.9000015258789,16556700,2010-02-08
15972714,X,45.4500007629395,46.0099983215332,42.8625450134277,44.9500007629395,46.5,21781900,2010-02-09
15972728,X,45.5200004577637,44.369998931884794,41.33473587036129,44.0099983215332,46.130001068115206,19820300,2010-02-10
15972734,X,44.619998931884794,47.0099983215332,43.7941398620605,44.5200004577637,47.3899993896484,23036500,2010-02-11
15972748,X,45.9300003051758,47.9799995422363,44.697784423828104,45.6100006103516,48.6399993896484,26302900,2010-02-12
