,ticker,open,close,Adj Close,low,high,volume,Date
14554132,ZAYO,21.510000228881804,22.0,22.0,21.2099990844727,22.850000381469698,8178600,2014-10-17
14554151,ZAYO,21.940000534057603,22.2000007629395,22.2000007629395,21.8700008392334,22.899999618530302,512000,2014-10-20
14554155,ZAYO,22.2000007629395,22.100000381469698,22.100000381469698,22.0499992370605,22.5,344600,2014-10-21
14554172,ZAYO,22.0,22.3400001525879,22.3400001525879,21.8700008392334,22.469999313354503,491200,2014-10-22
14554176,ZAYO,22.75,22.75,22.75,22.4200000762939,22.8799991607666,568700,2014-10-23
14554194,ZAYO,22.7700004577637,22.8700008392334,22.8700008392334,22.600000381469698,23.100000381469698,402200,2014-10-24
14554198,ZAYO,22.75,23.0200004577637,23.0200004577637,22.75,23.2000007629395,183500,2014-10-27
14554216,ZAYO,23.2999992370605,22.75,22.75,22.510000228881804,23.2999992370605,177900,2014-10-28
14554220,ZAYO,23.190000534057603,23.399999618530302,23.399999618530302,22.9599990844727,23.5499992370605,337400,2014-10-29
14554238,ZAYO,23.399999618530302,23.3600006103516,23.3600006103516,23.25,23.5,107600,2014-10-30
14554243,ZAYO,23.6700000762939,23.4099998474121,23.4099998474121,23.260000228881804,23.9200000762939,292000,2014-10-31
14554244,ZAYO,23.440000534057603,23.8700008392334,23.8700008392334,23.2900009155273,23.989999771118196,310400,2014-11-03
14554262,ZAYO,24.309999465942397,23.7299995422363,23.7299995422363,23.260000228881804,24.309999465942397,282400,2014-11-04
14554276,ZAYO,23.8799991607666,24.0400009155273,24.0400009155273,23.5799999237061,24.2099990844727,132600,2014-11-05
14554277,ZAYO,24.010000228881804,23.5799999237061,23.5799999237061,23.5,24.260000228881804,170000,2014-11-06
14554298,ZAYO,23.809999465942397,23.5900001525879,23.5900001525879,23.0400009155273,23.809999465942397,310800,2014-11-07
14554302,ZAYO,23.7299995422363,23.5200004577637,23.5200004577637,23.381999969482397,23.8600006103516,384100,2014-11-10
14554320,ZAYO,23.2299995422363,23.190000534057603,23.190000534057603,22.6200008392334,23.4500007629395,325200,2014-11-11
14554324,ZAYO,23.030000686645497,23.260000228881804,23.260000228881804,23.0200004577637,23.7900009155273,121100,2014-11-12
14554342,ZAYO,23.190000534057603,23.7299995422363,23.7299995422363,23.190000534057603,24.2000007629395,70300,2014-11-13
14554346,ZAYO,23.649999618530302,23.8199996948242,23.8199996948242,23.100000381469698,23.8299999237061,179600,2014-11-14
14554366,ZAYO,23.7099990844727,23.7000007629395,23.7000007629395,23.6100006103516,23.719999313354503,220400,2014-11-17
14554370,ZAYO,23.690000534057603,23.8299999237061,23.8299999237061,23.510000228881804,23.9799995422363,197900,2014-11-18
14554389,ZAYO,23.7299995422363,23.780000686645497,23.780000686645497,23.500999450683604,23.809999465942397,154300,2014-11-19
14554393,ZAYO,23.510000228881804,24.0400009155273,24.0400009155273,23.250999450683604,24.8899993896484,251400,2014-11-20
14554411,ZAYO,23.8299999237061,25.0400009155273,25.0400009155273,23.7000007629395,25.280000686645497,994200,2014-11-21
14554415,ZAYO,26.3700008392334,25.5400009155273,25.5400009155273,25.059999465942397,26.5,842200,2014-11-24
14554433,ZAYO,25.8899993896484,25.5400009155273,25.5400009155273,24.42799949646,28.1100006103516,1461500,2014-11-25
14554437,ZAYO,26.510000228881804,27.0,27.0,25.4799995422363,27.350000381469698,2131000,2014-11-26
14554455,ZAYO,27.4099998474121,27.489999771118196,27.489999771118196,26.6310005187988,27.6200008392334,335500,2014-11-28
14554459,ZAYO,27.7999992370605,26.8400001525879,26.8400001525879,25.8199996948242,27.7999992370605,588700,2014-12-01
14554478,ZAYO,26.899999618530302,26.899999618530302,26.899999618530302,26.0,26.972000122070302,560500,2014-12-02
